Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
"Plumbing by Jay, INC.",https://plumbingbyjay.com,OSM (fill),08456584,Dealing Directly,Owner,dealing.directly@plumbingbyjay.com,website,micah@micahrich.com; dealing.directly@plumbingbyjay.com
Club Pilates,https://clubpilates.com,OSM (fill),089409371736465965,Club Pilates,cto,club@clubpilates.com,website,operations@clubpilates.com; club@clubpilates.com
Collin County Community College - Preston Ridge Campus,https://www.collin.edu,OSM (fill),0260807,External Relations,Vice President,external@collin.edu,website,mmcclure@collin.edu; external@collin.edu
United Pentecostal Church Apostolic Temple,https://friscofaith.com,OSM (fill),0102011,,,impallari@gmail.com,none,team@latofonts.com; impallari@gmail.com; seniorpastor@friscofaith.com
UNT at Frisco,https://frisco.unt.edu,OSM (fill),0260505,Collaborative Innovation,partner,collaborative.innovation@frisco.unt.edu,website,frisco.studentsuccess@unt.edu; gofrisco@unt.edu; idcards@unt.edu; jquery@3.6; untfrisco.ops@unt.edu; untfrisco@unt.edu; untfriscohelpdesk@unt.edu; collaborative.innovation@frisco.unt.edu
LA Fitness,https://www.lafitness.com/pages/clubhome.aspx?clubid=1157,OSM (fill),011306302026,,,contactus@fitnessintl.com,none,contactus@fitnessintl.com
Prestige Community Credit Union,https://prestigecu.org,OSM (fill),025792261,Day February,President,day.february@prestigecu.org,website,info@prestigecu.org; complaints@cud.texas.gov; membercontactcenter@rivercityfcu.org; sdfcu@sdfcu.org; day.february@prestigecu.org
La Quinta Inn & Suites Frisco Fieldhouse North,https://www.wyndhamhotels.com/laquinta/frisco-texas/la-quinta-inn-suites-frisco-fieldhouse-north/overview,OSM (fill),08131679941807,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Anytime Fitness,https://www.anytimefitness.com/gyms/4588/mckinney-tx-75072,OSM (fill),0611448,Bob Wilkinson,Owner,bob.wilkinson@anytimefitness.com,website,customercare@abcfitness.com; mckinneytx3@anytimefitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; bob.wilkinson@anytimefitness.com
ThinkGeo,https://thinkgeo.com,OSM,01581296325628,,,sales@thinkgeo.com,none,sales@thinkgeo.com
