Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Western Reserve Hospital,https://www.westernreservehospital.org,OSM (fill),0675036,Patient Experience,Partner,patient.experience@westernreservehospital.org,website,contact@westernreservehospital.org; patient.experience@westernreservehospital.org
Blimp City Bike & Hike,https://www.blimpcitybikeandhike.com,OSM (fill),08366600,Bike Rentals,Team Member,bike.rentals@blimpcitybikeandhike.com,website,info@blimpcitybikeandhike.com; bike.rentals@blimpcitybikeandhike.com
Towpath Credit Union,https://www.towpathcu.com,OSM (fill),01520153,King Jr,President,king@towpathcu.com,website,hello@towpathcu.com; towpathcreditunion1@towpathcu.com; towpathcreditunioncuyahogafallsbranch@towpathcu.com; towpathcreditunionnorthhillbranch@towpathcu.com; towpathcreditunionportagelakesbranch@towpathcu.com; king@towpathcu.com
Heather Knoll Nursing and Rehabilitation Center,https://www.sprengerhealthcare.com/location/heather-knoll-nursing-and-rehabilitation,OSM (fill),0251005,Healthcare Sprenger,owner,healthcare.sprenger@sprengerhealthcare.com,website,jstudeny@outlook.com; healthcare.sprenger@sprengerhealthcare.com
Cuyahoga Falls City School District Transportation Dept,https://www.cfalls.org,OSM (fill),02362216588170,District Newsletters,Partner,district.newsletters@cfalls.org,website,noemail@no.com; district.newsletters@cfalls.org
Level Best LLC,https://www.levelbestohio.com,OSM (fill),040605398697,Level Best,Team Member,level.best@levelbestohio.com,website,levelbestohio@gmail.com; level.best@levelbestohio.com
"Seikel & Company, Inc. CPA",https://www.seikel.com,OSM (fill),0240124,Ohio Since,partner,ohio@seikel.com,website,carolynh@seikel.com; dkrites@seikel.com; jcasey@seikel.com; lberry@seikel.com; lseikel@seikel.com; smosley@seikel.com; ohio@seikel.com
RKP Transit Center,http://yourmetrobus.org,OSM (fill),07620341,Dawn Distler,Chief Executive Officer,dawn.distler@yourmetrobus.org,website,dawn.distler@yourmetrobus.org; eec@yourmetrobus.org; finance@yourmetrobus.org; gertrude.wilms@yourmetrobus.org; jarrod.hampshire@yourmetrobus.org; kayla.kinkead@yourmetrobus.org; maintenance@yourmetrobus.org; metroboard@yourmetrobus.org; operations@yourmetrobus.org; pr@yourmetrobus.org; publicrecords@yourmetrobus.org; spd@yourmetrobus.org; tatia.harris@yourmetrobus.org; tomy.brown@geomobiliti.com; zachary.smith@yourmetrobus.org
Uncle Tito's Mexican Grill,https://uncletitosmexicangrill.com,OSM (fill),0260309,Lorenzo Lopez,manager,lorenzo.lopez@uncletitosmexicangrill.com,website,info@uncletitosmexicangrill.com; inquncletitos@gmail.com; lorenzo.lopez@uncletitosmexicangrill.com
University of Akron,https://www.uakron.edu,OSM (fill),026072414,Akers Special,President,akers@uakron.edu,website,3mtl8eicli0knc7mfbjngt2x84tjf@fnd7upxb860584xnffs7ursmicnlnjp4dchifai3w.gi4mt9bm3xp8msoefp; akers1@uakron.edu; ccmenze@uakron.edu; goodrich@uakron.edu; jam125@uakron.edu; jcorby@uakron.edu; jhzx4a-plu2z0-ghdgpa-25ycai-@7ki1i-uudq3c-a0u26s-k8kvuy-rbsbvw-oexnr4-nt1cyi-.tmx28-evstn4-d8a766-ua0zlv; jpg2@uakron.edu; kbrennan@uakron.edu; mjuravich@uakron.edu; sarah30@uakron.edu; sbausch@uakron.edu; ui@6.0; wbbax5-rpxym0-kl2st4-1psq3s-@ygquj-ug75pl-anfbmv-kdxj2b-rbymfz-oxud2d-nekmld-.zxm8y-ephh6w-dcinkx-uy1y73; wrk1@uakron.edu; xj7jdrccc6vmd25ugfo6ngkw00gv6@d02xqp8dznf5ci6u2fhs2zcm3gyuwjs4e6ai3cqoc.1gmdw9x8yd48s646hp; akers@uakron.edu
Yoga Squared,https://www.yogasquaredakron.com,OSM (fill),0200423,,,vendors@yogasquaredakron.com,none,hello@yogasquaredakron.com; vendors@yogasquaredakron.com
ACCESS,https://www.access-shelter.org,OSM (fill),04418871252,Akron Canton,President,akron@access-shelter.org,website,engagement@access-shelter.org; akron@access-shelter.org
Summit DD,https://www.summitdd.org,OSM (fill),0260522,Cramer Vice,President,cramer@summitdd.org,website,intake@summitdd.org; malbright@summitdd.org; muireports@summitdd.org; pr@summitdd.org; providersupport@summitdd.org; cramer@summitdd.org
Freedom IT Group,https://www.freedomitgroup.com,OSM,04231717,American First,Vice President,american.first@freedomitgroup.com,website,info@freedomitgroup.com; american.first@freedomitgroup.com
Summit IT Solutions,https://www.summititsolutions.com,OSM,0100101,At Risk,Owner,at.risk@summititsolutions.com,website,info@summititsolutions.com; sam@gmail.com; at.risk@summititsolutions.com
Restore Addiction Recovery,https://restoreaddictionrecovery.com,OSM (fill),0260119,Charity Health,CEO,charity.health@restoreaddictionrecovery.com,website,info@restoreaddictionrecovery.com; connect234-571-9503info@restoreaddictionrecovery.com2650; charity.health@restoreaddictionrecovery.com
