Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
University Heights Association Department of Public Safety,https://www.universityheights.org,OSM (fill),0420111721695,Russell Sage,partner,russell.sage@universityheights.org,website,contact.uha@universityheights.org; russell.sage@universityheights.org
Equinox Inc.,https://www.equinoxinc.org,OSM (fill),0706831,Adult Residential,CEO,adult.residential@equinoxinc.org,website,kmchale@wmyhealth.org; adult.residential@equinoxinc.org
Frank Chapman Memorial Institute,https://fcmialbany.org,OSM (fill),0250313,Black Chamber,Founder,black.chamber@fcmialbany.org,website,office@fcmialbany.org; lemonad@jovanny.ru; typesetit@att.net; black.chamber@fcmialbany.org
Rapp Road Landfill Recycling Facility,https://albanynyrecycles.com/rapp-road-landfill,OSM (fill),0505003,Capital Region,Partner,capital.region@albanynyrecycles.com,website,albanyrecycles@albanyny.gov; fzeoli@albanyny.gov; mruby@albanyny.gov; questions@capitalregionlandfill.com; capital.region@albanynyrecycles.com
Eyedentity Eyewear LLC,https://eyedentityeyewearalbany.com,OSM (fill),0150117,Accolades Recipients,cto,accolades.recipients@eyedentityeyewearalbany.com,website,eyedentityalbanyny@yahoo.com; accolades.recipients@eyedentityeyewearalbany.com
Youth FX,https://www.youthfx.org,OSM (fill),0471517600233160,Community Based,partner,community.based@youthfx.org,website,info@youthfx.org; bhawin74@gmail.com; community.based@youthfx.org
Natural Heritage Trust,https://www.naturalheritagetrust.org,OSM (fill),0883824847,Donate Featured,Partner,donate.featured@naturalheritagetrust.org,website,nht@parks.ny.gov; donate.featured@naturalheritagetrust.org
New Scotland Spirits Tasting Room,https://www.newscotlandspirits.com/tasting-room,OSM (fill),05900718958,Behind Jesse,founder,behind@newscotlandspirits.com,website,info@newscotlandspirits.com; newscotlandspirits@gmail.com; tastingroom@newscotlandspirits.com; behind@newscotlandspirits.com
The Hollow + Kitchen,https://www.thehollowalbany.com,OSM (fill),026080522,Events Halloween,cto,events.halloween@thehollowalbany.com,website,dp@thehollowalbany.com; events.halloween@thehollowalbany.com
Shred Nations,https://www.shrednations.com/albany,OSM (fill),0230706,Best We,partner,best@shrednations.com,website,info@shrednations.com; support@shrednations.com; albany@shrednations.com; best@shrednations.com
United Tenants of Albany,https://utalbany.org,OSM (fill),0250182,Roger Markovics,co-founder,roger.markovics@utalbany.org,website,info@unitedtenantsalbany.org; roger.markovics@utalbany.org
Caffe Italia,https://www.caffeitaliaalbany.com,OSM (fill),+15184598029,,,caffeitalia@yahoo.com,none,caffeitalia@yahoo.com
Capitalize Albany Corporation,https://capitalizealbany.com,OSM (fill),0100430,Downtown Residential,Partner,downtown.residential@capitalizealbany.com,website,ca_homepage__2025_slides_01.2@1.5x; downtown.residential@capitalizealbany.com
Pro Tech Automatic Lawn Sprinklers Inc.,https://www.protechlawnsprinklers.com,OSM,0544818,Lawn Sprinklers,owner,lawn.sprinklers@protechlawnsprinklers.com,website,service@protechlawnsprinklers.com; lawn.sprinklers@protechlawnsprinklers.com
Integrated Liner Technologies,https://www.iltusa.com,OSM,0260603,Timeline Integrated,President,timeline@iltusa.com,website,abaxter@iltusa.com; jcheeves@iltusa.com; jpinto@iltusa.com; rovino@iltusa.com; sales@iltusa.com; timeline@iltusa.com
Discover Albany Visitors Center,https://www.albany.org/listing/discover-albany-visitors-center/2366,OSM (fill),029613340,Attendance Reports,Partner,attendance@albany.org,website,accvb@albany.org; mmceneny@albany.org; attendance@albany.org
Albany Institute of History and Art,https://www.albanyinstitute.org,OSM (fill),0859220,Chief Curator,Director,chief@albanyinstitute.org,website,info@albanyinstitute.org; arrastia-nowakb@albanyinstitute.org; benassij@albanyinstitute.org; brownm@albanyinstitute.org; carlsenk@albanyinstitute.org; duartes@albanyinstitute.org; espem@albanyinstitute.org; moonj@albanyinstitute.org; noonans@albanyinstitute.org; olivern@albanyinstitute.org; owensb@albanyinstitute.org; palmerr@albanyinstitute.org; shewchukd@albanyinstitute.org; vinciquerrae@albanyinstitute.org; chief@albanyinstitute.org
Clark Auditorium,https://www.nysm.nysed.gov/location/huxley-theater,OSM (fill),07139977,Diagonal Screen,cto,diagonal.screen@nysm.nysed.gov,website,aaron.noble@nysed.gov; andrew.clift@nysed.gov; andrew.kozlowski@nysed.gov; ashley.hopkins-benton@nysed.gov; brad.utter@nysed.gov; charles.verstraeten@nysed.gov; cornelia.frisbeehoude@nysed.gov; devin.lander@nysed.gov; emily.finelli@nysed.gov; emily.mclean@nysed.gov; geoffrey.stein@nysed.gov; gwendolyn.saul@nysed.gov; hailey.forgeng@nysed.gov; jennifer.lemak@nysed.gov; john.scherer@nysed.gov; joseph.gonzalez@nysed.gov; karen.quinn@nysed.gov; karl.backhaus@nysed.gov; lauren.lyons@nysed.gov; michael.hawkins@nysed.gov; robert.chiles@nysed.gov; shadya.elashkar@nysed.gov; stefan.bielinski@nysed.gov; stephen.loughman@nysed.gov; diagonal.screen@nysm.nysed.gov
Judy Torel Coaching & Training,https://judytorel.com,OSM (fill),01520153,Clinical Testing,Partner,clinical.testing@judytorel.com,website,jtorel2263@yahoo.com; clinical.testing@judytorel.com
Capital District Transportation Committee,https://www.cdtcmpo.org,OSM (fill),0692999395,Indicators Planning,Partner,indicators.planning@cdtcmpo.org,website,info@capitalmpo.org; indicators.planning@cdtcmpo.org
Albany Police Athletic League,https://www.albanypal.org,OSM (fill),01000100,Champions Contacts,Partner,champions@albanypal.org,website,programs@albanypal.org; champions@albanypal.org
Skincare Specialists of the Capital Region,https://skinspecialistscr.com,OSM (fill),01020103,,,agustinamingote@gmail.com,none,contact@sansoxygen.com; info@ndiscovered.com; agustinamingote@gmail.com; filler@godaddy.com
