Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Joak Wellness Home Care,http://joakhomes.com,OSM (fill),,Grand Traverse,Partner,grand.traverse@joakhomes.com,website,contact@joakmacomb.com; hr@joakhomes.com; info@joakhomes.co; info@joakhomes.com; grand.traverse@joakhomes.com
Arbor Interactive,https://www.arborinteractive.com,OSM,05947946,Azure Ravens,Partner,azure.ravens@arborinteractive.com,website,hello@arborinteractive.com; azure.ravens@arborinteractive.com
Expo Kitchen and Bath,https://expokb.com,OSM (fill),0251208,Eastern Michigan,president,eastern@expokb.com,website,info@expokb.com; dallas@expokb.com; eastern@expokb.com
Atomic Object Software,https://atomicobject.com/contact/ann-arbor,OSM,+17348876020,Ann Arbor,Partner,ann.arbor@atomicobject.com,website,contact@atomicobject.com; you@company.com; ann.arbor@atomicobject.com
Grange Kitchen and Bar,https://www.grangekitchenandbar.com,OSM (fill),0220314,And Always,Team Member,and.always@grangekitchenandbar.com,website,marketing@grangekitchenandbar.com; and.always@grangekitchenandbar.com
The Aviary,https://a2aviary.com,OSM (fill),04900491,Aviary Aerial,partner,aviary.aerial@a2aviary.com,website,contact@a2aviary.com; aviary.aerial@a2aviary.com
Taubman College Liberty Research Annex,https://taubmancollege.umich.edu/about/facilities/liberty-research-annex,OSM,+17347641300,Winter Fairs,partner,winter.fairs@taubmancollege.umich.edu,website,mecken@umich.edu; spolich@umich.edu; taubmancollegecareer@umich.edu; winter.fairs@taubmancollege.umich.edu
Frita Batidos,https://fritabatidos.com/ann-arbor,OSM (fill),0142025,,,frita@fritabatidos.com,none,frita@fritabatidos.com
Crunch Fitness,https://www.crunch.com/locations/ann-arbor,OSM (fill),0214519,Crunch Gym,Owner,crunch.gym@crunch.com,website,gm7694@primetimefitness.org; crunch.gym@crunch.com
Echelon Kitchen & Bar,https://echelonkitchenandbar.com,OSM (fill),0322052010,Emily Habib,Managing Director,emily.habib@echelonkitchenandbar.com,website,info@echelonkitchenandbar.com; emily.habib@echelonkitchenandbar.com
