Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Decatur City Jewelers,https://www.decaturcityjewelers.com,OSM (fill),01994158,Brett Weiler,owner,brett.weiler@decaturcityjewelers.com,website,brettdotweiler@gmail.com; brett.weiler@decaturcityjewelers.com
Wreck Techs,https://wrecktechs.gatech.edu,OSM,0100101,Georgia Tech,Vice President,georgia.tech@wrecktechs.gatech.edu,website,wthiring@groups.gatech.edu; georgia.tech@wrecktechs.gatech.edu
Gio's Chicken Amalfitano,https://littleitalia.com/gios-chicken,OSM (fill),0241105,Toast Order,PARTNER,toast@littleitalia.com,website,inquiries@littleitalia.com; events@littleitalia.com; toast@littleitalia.com
Paolo's Gelato Italiano,https://paolosgelato.com,OSM (fill),+14046070055,Paolo Dalla,Owner,paolo.dalla@paolosgelato.com,website,paolo@smilingconsultants.org; paolo.dalla@paolosgelato.com
Decatur First United Methodist Church,https://decaturfirst.org,OSM (fill),070660031,Decatur First,partner,decatur@decaturfirst.org,website,jyates@decaturfirst.org; decatur@decaturfirst.org
Honeywell Building Technologies,https://buildings.honeywell.com,OSM,07573758,Training Website,Partner,training.website@buildings.honeywell.com,website,adeeba.ahmad@honeywell.com; ademir.santos@honeywell.com; aimee.dzib@honeywell.com; alvin.matthew@honeywell.com; andreas.floeren@scutum-group.de; ayyappa.bk@honeywell.com; cristina-stefania.stanciu@honeywell.com; dan.marinaro@dynafire.com; de_schulungen@chubbfs.com; edgareduardo.mondragonmolina@honeywell.com; einkauf@tas.de; elena.bercea@honeywell.com; elizabeth.moctezuma@honeywell.com; g.wazeck@frewa-sicherheit.de; ganesh.jonnalagadda@honeywell.com; gene@avcomsystems.com; gloria.dielunvuidi@honeywell.com; gmayer@vikingfire.ca; gokul.vadje@honeywell.com; guido.bleich@chubbfs.com; hari.prasath@honeywell.com; harry.barnes@honeywell.com; hemanta.rao@honeywell.com; hiba.saleh@xtralis.com; holger.niese@deutschebahn.com; honvalidateba+2@gmail.com; honvalidateba@gmail.com; jay.davis@honeywell.com; julie.roughton@honeywell.com; karl.vondrak@honeywell.com; karl.vondrak@kac.co.uk; katarzyna.szmer@honeywell.com; khumar.muradova@honeywell.com; klaus.doelker@cws.com; kritika.garg@honeywell.com; krucker@vulcanfireus.com; lokesh.bade@honeywell.com; lucas.neidert@honeywell.com; mariana.alonso@honeywell.com; martin.doernberg@burt.de; michael.juettner@coler-systems.de; michael.koehler@honeywell.com; mmeyers@fireline.com; mukhesh.yakkala@honeywell.com; mybuildingsregistration@honeywell.com; myhbuhonqa+1@gmail.com; myhbutest+1@gmail.com; myhbutest@gmail.com; n.vorholt@wis-sicherheit.de; nicholas.ho@honeywell.com; olaf.bursian@honeywell.com; oliver.vogt@elko.de; pandurengan.g@honeywell.com; peeran.mukadam@honeywell.com; punit.dhirawani@honeywell.com; rh@freihoff.de; rieck@binss.media; ritika.joshi@honeywell.com; rowan.irons@honeywell.com; rschenk@hm-p.de; s.muehlau@zettec.de; sandhya.debbadi@honeywell.com; schulung@gn-gmbh.de; srinath.ms@honeywell.com; supreeth.sureshreddy@honeywell.com; swinhausen@roewer.de; testhbuhon+1@gmail.com; testhbuhon@gmail.com; theodora.boieroiu@honeywell.com; thomas.lish@pyebarkerfs.com; veronica.marcelline@honeywell.com; vishal.rathod@honeywell.com; zemelka@fritsche-sicherheit.de; training.website@buildings.honeywell.com
LA Fitness,https://www.lafitness.com,OSM (fill),023351969,Fitness Job,Team Member,fitness.job@lafitness.com,website,contactus@fitnessintl.com; fitness.job@lafitness.com
Sankranti Indian Kitchen,https://sankranti.com,OSM (fill),0260717,Spice Up,Team Member,spice.up@sankranti.com,website,contact@sankranti.com; spice.up@sankranti.com
Atlanta Technical College,https://www.atlantatech.edu,OSM,0250808,Angelo Executive,Vice President,angelo.executive@atlantatech.edu,website,+ga+30310@33.71177; angelo.executive@atlantatech.edu
Flying Biscuit,https://www.flyingbiscuit.com/locations-2/midtown,OSM (fill),048748887,,,midtown@flyingbiscuit.com,none,midtown@flyingbiscuit.com; midtowncatering@flyingbiscuit.com
Synchronicity Theatre,https://www.synchrotheatre.com,OSM (fill),0260402,Artistic Director,Co-Founder,artistic@synchrotheatre.com,website,info@synchrotheatre.com; boxoffice@synchrotheatre.com; taylor@synchrotheatre.com; volunteer@synchrotheatre.com; artistic@synchrotheatre.com
Eastside United Methodist Church,https://eastsideatl.org,OSM (fill),01020103,Abby Norman,DIRECTOR,abby@eastsideatl.org,website,info@eastsideatl.org; abby@eastsideatl.org; anjie@eastsideatl.com; anjie@eastsideatl.org; chris@eastsideatl.org; karina@eastsideatl.org; steven@eastsideatl.org; troi@eastsideatl.org
Fowler Design Associates Inc,https://www.fowlerdesignassociates.com,OSM (fill),0971575312224183,Masterson Associates,CEO,masterson@fowlerdesignassociates.com,website,contact@fowlerdesignassociates.com; csmith@fowlerdesignassociates.com; rrivera@fowlerdesignassociates.com; rwfowler@fowlerdesignassociates.com; masterson@fowlerdesignassociates.com
Saint Mark United Methodist Church,https://www.stmarkumc.org,OSM (fill),01520153,Associate Vice,President,associate@stmarkumc.org,website,office@stmarkumc.org; ccrofton@stmarkumc.org; dhilton@stmarkumc.org; jsims@stmarkumc.org; mbecker@stmarkumc.org; mmartinez@stmarkumc.org; njoslin@stmarkumc.org; plewis@stmarkumc.org; associate@stmarkumc.org
The Little Tart Bakeshop,https://www.littletartatl.com/location/grant-park,OSM (fill),04319825,,,sarah@littletartatl.com,none,sarah@littletartatl.com
TNT,https://www.tntdrama.com,OSM (fill),03128679,Expires August,owner,expires.august@tntdrama.com,website,ixmkjr.8hjkkeyup6gex@g3tky.bmbib; expires.august@tntdrama.com
Shred Nations,https://www.shrednations.com/atlanta,OSM (fill),0231116,Best We,partner,best@shrednations.com,website,info@shrednations.com; support@shrednations.com; atlanta@shrednations.com; best@shrednations.com
MAD Industries,https://madindustries.com,OSM (fill),026030241,For Atlanta,cto,for.atlanta@madindustries.com,website,info@madindustries.com; for.atlanta@madindustries.com
LGE Community Credit Union,https://www.lgeccu.org,OSM (fill),0625782,Renters Commercial,owner,renters@lgeccu.org,website,contactcentermailbox@lgeccu.org; aprilk@lgeccu.org; austinc@lgeccu.org; enjolil@lgeccu.org; jasona@lgeccu.org; kenan.falzic@lgeinvest-lpl.com; kenan.fazlic@lgeinvest-lpl.com; lisal@lgeccu.org; margo.null@lgeinvest-lpl.com; marjoriem@lgeccu.org; markde@lgeccu.org; rhondas@lgeccu.org; richardh@lgeccu.org; ronnie.shelby@lgeinvest-lpl.com; tammyw@lgeccu.org; troy.strong@lgeinvest-lpl.com; renters@lgeccu.org
Community Q BBQ,https://communityqbbq.com,OSM (fill),0934959,,,communityqbbq@hotmail.com,none,communityqbbq@hotmail.com
Consulate General of Switzerland,https://www.eda.admin.ch/atlanta,OSM (fill),0190919,America The,partner,america@eda.admin.ch,website,atlanta.civil@eda.admin.ch; atlanta.pass@eda.admin.ch; atlanta.visa@eda.admin.ch; atlanta@eda.admin.ch; helpline@eda.admin.ch; america@eda.admin.ch
CODA,https://coda.gatech.edu,OSM,+14048942000,Campus Map,Director,campus.map@coda.gatech.edu,website,codabuilding@gatech.edu; campus.map@coda.gatech.edu
Atlanta VA Medical Center,https://www.va.gov/atlanta-health-care,OSM (fill),0260722,General Hotline,cto,general@va.gov,website,20complaint@jointcommission.org; complaint@jointcommission.org; u003ecomplaint@jointcommission.org; u003evhaatghassupervisors@va.gov; u003evhaatgpao@va.gov; vhaatghassupervisors@va.gov; vhaatgpao@va.gov; general@va.gov
The Cook’s Warehouse,https://www.cookswarehouse.com,OSM (fill),0642925,Atlanta Business,CEO,atlanta@cookswarehouse.com,website,webinfo@cookswarehouse.com; atlanta@cookswarehouse.com
BitPay Headquarters,https://BitPay.com,OSM (fill),01020103,Ask Payment,partner,ask@BitPay.com,website,dpo@bitpay.com; marketing@bitpay.com; ask@BitPay.com
Juneau Construction Company,http://www.juneaucc.com,OSM (fill),0251008,Expertise Overview,Partner,expertise.overview@juneaucc.com,website,ui@5.0; expertise.overview@juneaucc.com
Ingenics Consulting,https://www.ingenics.com,OSM (fill),0948115,Herstellerneutralität Als,inhaber,contact@ingenics.com,website,contact@ingenics.com
Le Petit Marche,https://www.lepetit-marche.com,OSM (fill),026145835,,,info@lepetitmarche.net,none,info@lepetitmarche.net
University Catholic Center at Emory University,https://www.emorycatholic.org,OSM (fill),0831768,Voll Liturgical,cto,voll@emorycatholic.org,website,frbranson@emorycatholic.org; michael@emorycatholic.org; stephanie@emorycatholic.org; vickie.voll@gmail.com; vickie@emorycatholic.org; victoria@emorycatholic.org; vschwa3@emory.edu; voll@emorycatholic.org
Taziki's Mediterranean Cafe,https://www.tazikis.com/location/tocohills,OSM (fill),01520153,Giving Kitchen,partner,giving@tazikis.com,website,tocohills@tazikis.com; giving@tazikis.com
White Oak,https://www.whiteoakkitchen.com,OSM (fill),026231004,,,events@whiteoakkitchen.com,none,events@whiteoakkitchen.com
iC Consult US Corp.,https://ic-consult.com,OSM,05678962,Raiffeisen Bank,Owner,raiffeisen.bank@ic-consult.com,website,marketing@ic-consult.com; raiffeisen.bank@ic-consult.com
Church Street Animal Hospital,https://churchstanimalhospital.com,OSM (fill),0100101,Agnes Scott,owner,agnes.scott@churchstanimalhospital.com,website,churchstah@aol.com; agnes.scott@churchstanimalhospital.com
"Fitzpatrick Firm, LLC",https://personalinjuryatl.com,OSM (fill),0250228,Juris Do,cto,juris@personalinjuryatl.com,website,admin@atlantasattorneys.com; nate@apersonalinjuryatl.com; nate@personalinjuryatl.com; juris@personalinjuryatl.com
