Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
LINKSciences,http://www.linksciences.com/home.do,OSM,06569899,Researchers Business,Partner,researchers.business@linksciences.com,website,info@linksciences.com; researchers.business@linksciences.com
Institute of Marine and Environmental Technology,https://imet.usmd.edu,OSM,0728618,Annual Report,director,annual.report@imet.usmd.edu,website,imetdirectorsoffice@umces.edu; annual.report@imet.usmd.edu
Aquaculture Research Center,https://imet.usmd.edu/aquaculture-research-center,OSM,0728618,Annual Report,director,annual.report@imet.usmd.edu,website,imetdirectorsoffice@umces.edu; annual.report@imet.usmd.edu
Internet Testing Systems,https://www.testsys.com,OSM,0260225,Assessments Pat,Vice President,assessments@testsys.com,website,info@testsys.com; support@testsys.com; india@testsys.com; assessments@testsys.com
The Loading Dock,https://www.loadingdock.org,OSM (fill),05581888,Alyssa Domazal,President,alyssa@loadingdock.org,website,dmatthews@loadingdock.org; kirkland@loadingdock.org; mcoskey@loadingdock.org; mknox@loadingdock.org; soladoyin@loadingdock.org; alyssa@loadingdock.org
Towson University Center for STEM Excellence,https://www.towson.edu/fcsm/centers/stem/contact.html,OSM,07042000,Hoke Smith,President,hoke@towson.edu,website,grasmickleadership@towson.edu; hoke@towson.edu
"Cowan Systems, LLC",https://www.cowansystems.com,OSM,0260407,Site Navigaiton,Partner,site@cowansystems.com,website,careers@cowansystems.com; itaccounts@cowansystems.com; sales@cowansystems.com; site@cowansystems.com
Rite Aid,https://www.riteaid.com/locations/md/baltimore/4600-west-northern-parkway.html,OSM (fill),083604958,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Shred Nations,https://www.shrednations.com/baltimore,OSM (fill),0260624,Best We,partner,best.we@shrednations.com,website,info@shrednations.com; support@shrednations.com; best.we@shrednations.com
BioAnalytical Services Laboratory,https://www.umces.edu/baslab,OSM,0260518,Academic Affairs,Vice President,academic@umces.edu,website,aelmore@umces.edu; bpolidoro@umces.edu; dennison@umces.edu; dnelson@umces.edu; fmiralles@umces.edu; hkelsey@umces.edu; jennburns@umces.edu; lcolaprete@umces.edu; mike.sieracki@gmail.com; moser@mdsg.umd.edu; nemazie@umces.edu; academic@umces.edu
Redemption City Church,https://www.rccbaltimore.org,OSM (fill),0173911,Redemption City,PARTNER,redemption@rccbaltimore.org,website,amuhtaseb@rccbaltimore.org; bsams@rccbaltimore.org; bsmith@bible.edu; bsmith@rccbaltimore.org; bvoelp@rccbaltimore.org; cgrant@rccbaltimore.org; jjean-simon@rccbaltimore.org; jules@rccbaltimore.org; jyun@rccbaltimore.org; jzello@rccbaltimore.org; mapraku@rccbaltimore.org; skim@rccbaltimore.org; ssheffer@rccbaltimore.org; twilliams@rccbaltimore.org; redemption@rccbaltimore.org
St Vincent de Paul Head Start at Patterson Park,http://www.vincentbaltimore.org/our-programs/head-start-baltimore,OSM (fill),0200302,Memorial Giving,Partner,memorial.giving@vincentbaltimore.org,website,info@vincentbaltimore.org; memorial.giving@vincentbaltimore.org
Flavocure Biotech,https://flavocure.com,OSM,0260804,Blue Cross,Chief Executive Officer,blue.cross@flavocure.com,website,info@flavocure.com; blue.cross@flavocure.com
