Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Amyx Homes,https://amyxhomes.com,OSM (fill),012001200,Experience Excellence,Team Member,experience@amyxhomes.com,website,anthony@amyxhomes.com; experience@amyxhomes.com
Retail West,https://retailwest.com,OSM (fill),0120206,Idaho Business,cto,idaho@retailwest.com,website,davis@retailwest.com; wayne@retailwest.com; idaho@retailwest.com
Jackson BevCo,https://jacksonbevco.com,OSM (fill),0100101,Bored At,Team Member,bored.at@jacksonbevco.com,website,jacksonbevco@gmail.com; bored.at@jacksonbevco.com
Mazzah Mediterranean Grill,https://mazzahboise.com,OSM (fill),026080512,,,media@mazzahboise.com,none,media@mazzahboise.com
Capital City Florist,https://www.ccfboise.com,OSM (fill),0260805233338,Assn Morning,owner,assn.morning@ccfboise.com,website,ricmartindale48@gmail.com; assn.morning@ccfboise.com
House of the Little Pig,https://www.hlpboise.com,OSM (fill),0986621813,The Lively,Owner,the.lively@hlpboise.com,website,info@hlpboise.com; the.lively@hlpboise.com
Idaho Fitness Academy,https://idahofitnessacademy.com,OSM (fill),0190109135550,Idaho Fitness,owner,idaho.fitness@idahofitnessacademy.com,website,idahofitnessacademy@gmail.com; idaho.fitness@idahofitnessacademy.com
Oasis City Church,https://www.oasiscity.church,OSM (fill),01286464,Has God,Partner,has.god@oasiscity.church,website,info@oasiscity.church; u003einfo@oasiscity.church; has.god@oasiscity.church
Denodo Technologies Inc.,https://www.denodo.com,OSM,0302165,Launch Your,owner,launch.your@denodo.com,website,info@denodo.com; launch.your@denodo.com
"CompuNet, INC",https://compunet.biz,OSM,0260401,Engineer-Led Teams,owner,engineer-led@compunet.biz,website,help@compunet.biz; engineer-led@compunet.biz
United States Bureau of Reclamation,https://www.usbr.gov/pn,OSM (fill),0150101,Areas Number,partner,areas@usbr.gov,website,jvazquez@usbr.gov; areas@usbr.gov
Mrs. Beesley's Healthy Foods,https://mrsbeesleys.com,OSM (fill),01020103,,,sebastian@aldusleaf.org,none,sebastian@aldusleaf.org
Instrument Technologies,https://www.instrumentti.com,OSM,0629735021785963342,National Support,partner,national.support@instrumentti.com,website,service@instrumentti.com; national.support@instrumentti.com
