Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Basis Vector,http://basisvector.com,OSM,,Basis Ve,cto,basis@basisvector.com,website,lbohn@basisvector.com; basis@basisvector.com
Renewable and Sustainable Energy Institute,https://www.colorado.edu/rasei,OSM,025032025,Chief Information,Vice President,chief@colorado.edu,website,abuse@colorado.edu; scott.munson@cu.edu; chief@colorado.edu
Boomcom,https://boomcom.com,OSM (fill),01020103,Chief Financial,Partner,chief@boomcom.com,website,team@latofonts.com; impallari@gmail.com; outsidethebox@boomcom.com; chief@boomcom.com
Barre 3,https://barre3.com/studio-locations/boulder,OSM (fill),,,,onlinesupport@barre3.com,none,onlinesupport@barre3.com
CorePower Yoga,https://www.corepoweryoga.com/yoga-studios/colorado/boulder/boulder-hill,OSM (fill),+18334482561,Power Yoga,partner,power@corepoweryoga.com,website,alexandra.meddock@corepoweryoga.com; corepoweryoga@azionepr.com; mediainquiries@corepoweryoga.com; partnerships@corepoweryoga.com; power@corepoweryoga.com
Zayo Group,https://www.zayo.com,OSM,0260805,Chris Levendos,Chief Executive Officer,chris.levendos@zayo.com,website,ir@zayo.com; privacy.office@zayo.com; security.support@zayo.com; chris.levendos@zayo.com
IronWorks Fitness,https://www.ironworksfitness.net,OSM (fill),0720896,Iron Works,cto,iron@ironworksfitness.net,website,info@ironworksfitness.net; scott@ironworksfitness.net; iron@ironworksfitness.net
Denver Boulder Couriers,https://dbcouriers.com,OSM (fill),0170915,Barb Grealish,owner,barb.grealish@dbcouriers.com,website,info@dbcouriers.com; barb.grealish@dbcouriers.com
National Ecological Observatory Network,https://neonscience.org,OSM,0153433,Community Engagement,Partner,community.engagement@neonscience.org,website,recruiting@battelle.org; delaneyk@battelle.org; neon@service-now.com; community.engagement@neonscience.org
VaporTech,https://vaportech.com,OSM,0527461,Akkaoui President,CEO,akkaoui.president@vaportech.com,website,info@vaportech.com; sales@kdf.com; sales@vaportech.com; servicevt@kdf.com; akkaoui.president@vaportech.com
Buffalo Lock & Key,https://buffalolockandkey.com,OSM (fill),01520153,,,info@buffalosecurity.net,none,info@buffalosecurity.net
Laboratory for Atmospheric and Space Physics,https://lasp.colorado.edu,OSM,0260109,The Planetary,President,the@lasp.colorado.edu,website,hr@lasp.colorado.edu; info@lasp.colorado.edu; epomail@lasp.colorado.edu; the@lasp.colorado.edu
TRU Thrift Shop,https://www.trucare.org/truthriftshop,OSM (fill),0260803,Chief Executive,CEO,chief@trucare.org,website,info@trucare.org; thriftshop@trucare.org; chief@trucare.org
California Closets,https://www.locations.californiaclosets.com/co/boulder,OSM (fill),+18883369707,Scott Mc,cto,scott.mc@locations.californiaclosets.com,website,customer-service@calclosets.com; scott.mc@locations.californiaclosets.com
Timberline Instruments,https://www.timberlineinstruments.com,OSM (fill),0250318,Agricultural Lab,Manager,agricultural.lab@timberlineinstruments.com,website,info@timberlineinstruments.com; 3ah.nakamura@technoalpha.co.jp; labgroup@alghanem.com.jo; mariopicado@solucioneselectronicas.com; agricultural.lab@timberlineinstruments.com
Boulder Lightning Eliminators,https://www.lightningprotection.com,OSM (fill),0251218,John Mangum,Director,john.mangum@lightningprotection.com,website,info@lecglobal.com; john.mangum@lightningprotection.com
SportsLabs,https://www.sportslabs.com,OSM (fill),0811183860,American Football,Partner,american@sportslabs.com,website,info@sportslabs.co.uk; info@sportslabs.com; info@sportslabs.eu; info@sportslabs.fr; info@sportslabs.it; support@sportslabs.com; gustavo@sportslabs.com; jeremy@sportslabs.no; kieran@sportslabs.com; lori@sportslabs.com; melanie@sportslabs.com; mete@sporlabtr.com; niklas@sportslabs-sverige.com; ron@sportslabs.co.ul; american@sportslabs.com
Colorado Nutrients,https://www.coloradonutrition.com,OSM (fill),08198026530,Art Director,Owner,art@coloradonutrition.com,website,info@coloradonutrition.com; info@coloradonutritrion.com; matt@coloradonutrition.com; art@coloradonutrition.com
Yoga Shala,https://yogashalaboulder.com,OSM (fill),0250125,At Yoga,cto,at.yoga@yogashalaboulder.com,website,info@yogashalaboulder.com; at.yoga@yogashalaboulder.com
University Bicycles,https://www.ubikes.com,OSM (fill),04428009,,,hello@ubikes.com,none,hello@ubikes.com
Vitality Bowls,https://vitalitybowls.com/locations/boulder,OSM (fill),0210907,Tara Gilad,owner,tara@vitalitybowls.com,website,info@vitalitybowls.com; boulder@vitalitybowls.com; franchise@vitalitybowls.com; press@vitalitybowls.com; realestate@vitalitybowls.com; tara@vitalitybowls.com
McDevitt Taco Supply,https://www.mcdevitttacosupply.com,OSM (fill),0100101,Super Heady,Team Member,super@mcdevitttacosupply.com,website,catering@mcdevitttacosupply.com; coffee@headycoffee.co; tacos@arb.wer.mybluehost.me; tacos@mcdevitttacosupply.com; super@mcdevitttacosupply.com
west elm,https://www.westelm.com/stores/us/co/boulder,OSM (fill),0263080415189,Responsible Retail,Partner,responsible.retail@westelm.com,website,customerservice@westelm.com; westelm@o.westelm.com; responsible.retail@westelm.com
Bolder Games,https://www.boldergames.com,OSM (fill),0260730,Bolder Games,Partner,bolder.games@boldergames.com,website,info@boldergames.com; bolder.games@boldergames.com
Nite Ize Innovation,https://www.niteize.com,OSM (fill),019793697,Founder Rick,CEO,founder.rick@niteize.com,website,info@niteize.com; founder.rick@niteize.com
Kondition Fitness,https://www.konditionfitness.com,OSM (fill),0260416,General Manager,Owner,general.manager@konditionfitness.com,website,info@konditionfitness.com; general.manager@konditionfitness.com
Thermal Designs,https://thermaldesignsinc.com,OSM (fill),0260422,,,webcontact@thermaldesignsinc.com,none,webcontact@thermaldesignsinc.com
Space Lab,http://www.spacelabtech.com,OSM (fill),08076611745759,Space Lab,CEO,space.lab@spacelabtech.com,website,contact@spacelabtech.com; space.lab@spacelabtech.com
The Bitter Bar,https://www.thebitterbar.com,OSM (fill),0110930,James Lee,Owner,james@thebitterbar.com,website,info@thebitterbar.com; james@thebitterbar.com
Community Cycles,https://communitycycles.org,OSM (fill),0260730,Annual Report,Team Member,annual@communitycycles.org,website,info@communitycycles.org; workshops@communitycycles.org; classes@communitycycles.org; communications@communitycycles.org; diy@communitycycles.org; sales@communitycycles.org; volunteer@communitycycles.org; willp@communitycycles.org; annual@communitycycles.org
bldg.collective,https://www.bldgcollective.com,OSM (fill),0221708130087122,Collective Expands,owner,collective.expands@bldgcollective.com,website,info@bldgcollective.com; collective.expands@bldgcollective.com
City of Boulder Open Space and Mountain Parks (OSMP) Hub,https://bouldercolorado.gov/osmp,OSM (fill),0260803,Community Connections,Partner,community@bouldercolorado.gov,website,osmpfrontdesk@bouldercolorado.gov; community@bouldercolorado.gov
Dean Showroom,https://www.deanbikes.com,OSM (fill),0696175,El Diente,Team Member,el.diente@deanbikes.com,website,info@deanbikes.com; el.diente@deanbikes.com
Kalita Grill,https://kalitagrill.com,OSM (fill),026080511,,,kalitagrill@yahoo.com,none,kalitagrill@yahoo.com
