Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Custom Gear Solutions,http://customgearsolutions.com,OSM (fill),051566279,Pivot Punch,founder,pivot.punch@customgearsolutions.com,website,kandie@custom-gear.com; mike@custom-gear.com; pivot.punch@customgearsolutions.com
Music City Buffalo,http://www.musiccitybuffalo.com,OSM (fill),0154995174782826,,,musiccitybuffalo@yahoo.com,none,musiccitybuffalo@yahoo.com; proinfo@musiccitybuffalo.com
Studio Sophia Fitness Club,https://studiosophia.biz,OSM (fill),02495524,Studio Sophia,Team Member,studio@studiosophia.biz,website,deanna@studiosophia.biz; filler@godaddy.com; studio@studiosophia.biz
Sweat Society,https://www.sweatsocietybuffalo.com,OSM (fill),07666072697600,Certification Chloe,cto,certification.chloe@sweatsocietybuffalo.com,website,hello@sweatsocietybuffalo.com; certification.chloe@sweatsocietybuffalo.com
Heritage DiscoveRy Center,http://www.trainweb.org/wnyrhs,OSM (fill),0142856957867,Caryl Youngers,Vice President,caryl.youngers@trainweb.org,website,info@hdcbuffalo.org; apuchalski01@gmail.com; atoale82@yahoo.com; bobs39ford@roadrunner.com; caryl@bellaterragreenhouse.com; heritage_ltd@msn.com; martyvisciano@gmail.com; prmsmm@msm.com; skocsis2020@gmail.com; smph50@gmail.com; wnyrhs@gmail.com; wnytrainshow@gmail.com; caryl.youngers@trainweb.org
"Pole, Barre and Fitness Studio",https://polebarrefitness.com,OSM (fill),0102011,Ballet Barre,cto,ballet.barre@polebarrefitness.com,website,info@pbfstudio.com; team@latofonts.com; ballet.barre@polebarrefitness.com
Housing Opportunities Made Equal (HOME),https://www.homeny.org,OSM (fill),08961772743848081,Community Vi,cto,community@homeny.org,website,info@homeny.org; akosis@homeny.org; cfields@homeny.org; dcorbitt@homeny.org; deason@homeny.org; dnewton@homeny.org; ecrist@homeny.org; gschultz@homeny.org; lhambridge@homeny.org; mdiaz@homeny.org; npurvis@homeny.org; rkern@homeny.org; rmcgill@homeny.org; sgough@homeny.org; shaagsma@homeny.org; tharris@homeny.org; tmckirchy@homeny.org; twilliams@homeny.org; community@homeny.org
Bite Me Cafe,https://www.bitemebuffalo.com,OSM (fill),0260325,,,bitemecafebuffalo@gmail.com,none,bitemecafebuffalo@gmail.com
Erie County Youth Services,https://www3.erie.gov/youthservices,OSM (fill),0276322,Kate Hilliman,Director,kate.hilliman@www3.erie.gov,website,dinesha.scarver@erie.gov; jennifer.longo@erie.gov; katherine.hilliman@erie.gov; kenneth.simmons@erie.gov; raveela.jain@erie.gov; wanda.hillman@erie.gov; kate.hilliman@www3.erie.gov
Stitch Buffalo,https://www.stitchbuffalo.org,OSM (fill),04900491,Back Calendar,Partner,back.calendar@stitchbuffalo.org,website,info@stitchbuffalo.org; back.calendar@stitchbuffalo.org
Reform Fitness,https://www.reform.fitness,OSM (fill),03020303,Reform Fitness,cto,reform.fitness@reform.fitness,website,reformfitnessbflo@gmail.com; reform.fitness@reform.fitness
The Arc Erie County,https://www.arceriecounty.org,OSM (fill),06460786575,Douglas Di,Chief Executive Officer,douglas@arceriecounty.org,website,intake@arceriecounty.org; douglas@arceriecounty.org
Put a Plant On It,https://putaplantonit.shop,OSM (fill),039299311594857476,Dominguez Johanna,owner,dominguez.johanna@putaplantonit.shop,website,lake.effect.gardener@gmail.com; dominguez.johanna@putaplantonit.shop
The Summit Federal Credit Union,https://www.summitfcu.org/branch/delaware-hertel,OSM (fill),0260804,Employee Benefits,Partner,employee@summitfcu.org,website,delawarebranchatthesummit@summitfcu.org; employee@summitfcu.org
Niagara Frontier Transportation Authority,https://www.nfta.com,OSM (fill),073303499,Advertise With,Director,advertise@nfta.com,website,pr@nfta.com; privacy@nfta.com; advertise@nfta.com
Queen City Bookstore,https://queencitybook.com,OSM (fill),01520153,Queen City,founder,queen.city@queencitybook.com,website,inquiry@queencitybookstore.com; queen.city@queencitybook.com
Urbanity,https://urbanitybuffalo.com,OSM (fill),070660031,Julie Julie,Owner,julie.julie@urbanitybuffalo.com,website,urbanitybuffalo@gmail.com; julie.julie@urbanitybuffalo.com
Sports City Pizza Pub,https://sportscitypizzapub.com,OSM (fill),026080600,,,sportscityvp@gmail.com,none,sportscityvp@gmail.com
Buffalo State University,https://suny.buffalostate.edu,OSM (fill),0218961,Snapshot Community,Partner,snapshot.community@suny.buffalostate.edu,website,hr@buffalostate.edu; admissions@buffalostate.edu; alumni@buffalostate.edu; audit@buffalostate.edu; bannerstudent@buffalostate.edu; bscfoundation@buffalostate.edu; collrel@buffalostate.edu; finaid@buffalostate.edu; graduateadmissions@buffalostate.edu; president@buffalostate.edu; regofc@buffalostate.edu; reslife@buffalostate.edu; rsd@buffalostate.edu; stuaccts@buffalostate.edu; webadmin@buffalostate.edu; snapshot.community@suny.buffalostate.edu
DaVita Dialysis,https://www.davita.com/locations/ny/buffalo/699-hertel-ave--11538,OSM (fill),04246589,Fulfillment We,owner,fulfillment@davita.com,website,independentchair@davita.com; fulfillment@davita.com
Rolly Pollies,https://www.rpwny.com,OSM (fill),0353873,,,eastamherst@rpwny.com,none,eastamherst@rpwny.com; orchardpark@rpwny.com
Boxstar Training,https://boxstartraining.com,OSM (fill),05271024,Kevin Kirby,Owner,kevin.kirby@boxstartraining.com,website,faysal.bohmo@gmail.com; kevin.kirby@boxstartraining.com
ROOM,https://roombflo.com,OSM (fill),0883824847,Sales Advisor,Owner,sales.advisor@roombflo.com,website,hello@roombflo.com; info@room-buffalo.com; sales.advisor@roombflo.com
Pride Center of WNY,https://www.pridecenterwny.org,OSM (fill),01520153,Development Leah,Director,development@pridecenterwny.org,website,aashbrook@pridecenterwny.org; creinacher@pridecenterwny.org; dsprecker@pridecenterwny.org; executive@pridecenterwny.org; ffontenot@pridecenterwny.org; jsaucier@pridecenterwny.org; leah@pridecenterwny.org; michael@pridecenterwny.org; sdouglas@pridecenterwny.org; development@pridecenterwny.org
Localcoin Bitcoin ATM,https://localcoinatm.com/bitcoin-atm/ontario/fort-erie/PZ4DUK,OSM (fill),0616841,Choose Localcoin,partner,choose@localcoinatm.com,website,help@localcoinatm.com; choose@localcoinatm.com
Faithful Stones Church,https://www.faithfulstoneschurch.org/contact,OSM (fill),0375921,Ligonier Church,Partner,ligonier.church@faithfulstoneschurch.org,website,info@faithfulstoneschurch.org; ligonier.church@faithfulstoneschurch.org
Whitworth Ferguson Planetarium,https://planetarium.buffalostate.edu,OSM (fill),012001226,Connelly Dr,Director,connelly.dr@planetarium.buffalostate.edu,website,planetarium@buffalostate.edu; connelly.dr@planetarium.buffalostate.edu
Ró,https://www.rohomeshop.com,OSM (fill),030160802715,Project Management,Team Member,project.management@rohomeshop.com,website,info@rohomeshop.com; project.management@rohomeshop.com
Giacobbi's Cucina Citta,http://giacobbis.com,OSM (fill),01511511,,,giacobbiscucina@gmail.com,none,giacobbiscucina@gmail.com
Buffalo VA Medical Center,https://www.va.gov/western-new-york-health-care,OSM (fill),0260727,Associate Medical,Director,associate.medical@va.gov,website,complaint@jointcommission.org; joseph.sarzyniak@va.gov; u003ecomplaint@jointcommission.org; u003ejoseph.sarzyniak@va.gov; associate.medical@va.gov
WNY Veterans Housing Coalition,http://www.wnyvhc.org,OSM (fill),08991479,Grizanti Cooke,Chief Executive Officer,grizanti@wnyvhc.org,website,dbutrica@wnyvhc.org; ggrizanti@wnyvhc.org; htorres@wnyvhc.org; mcallanan@wnyvhc.org; grizanti@wnyvhc.org
National Equity Recovery Group,https://www.nationalequity.com,OSM (fill),,Janice Hart,President,janice@nationalequity.com,website,aff@nationalequity.com; jhart@nationalequity.com; rtb@nationalequity.com; sack_ta_@nationalequity.com; janice@nationalequity.com
Nickel City Dentisty,https://www.nickelcitydentistry.com,OSM (fill),05298812005,Manager Mike,partner,manager@nickelcitydentistry.com,website,hertel@nickelcitydentistry.com; snyder@nickelcitydentistry.com; manager@nickelcitydentistry.com
Turos IT,https://turosit.com,OSM (fill),,,,turosit@outlook.com,none,turosit@outlook.com
