Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
UnityPoint Hospice,https://www.unitypoint.org/clinics/clinic.aspx?id=990,OSM (fill),02382330000000,Accountable Care,Partner,accountable_care@unitypoint.org,website,amh_recruitment@unitypoint.org; cr_recruitment@unitypoint.org; dbq_recruitment@unitypoint.org; dm_recruitment@unitypoint.org; fd_recruitment@unitypoint.org; msn_recruitment@unitypoint.org; qc_recruitment@unitypoint.org; sio_recruitment@unitypoint.org; upah_privacyofficer@unitypoint.org; upah_recruitment@unitypoint.org; upc_recruitment@unitypoint.org; uph_centraliaprivacyofficer@unitypoint.org; uph_easterniaprivacyofficer@unitypoint.org; uph_ilprivacyofficer@unitypoint.org; uph_privacyofficers@unitypoint.org; uph_recruitment@unitypoint.org; uph_upcprivacyofficer@unitypoint.org; uph_westerniaprivacyofficer@unitypoint.org; uph_wiprivacyofficer@unitypoint.org; accountable_care@unitypoint.org
Ovation Networks Inc,https://www.ovationnetworks.com,OSM,0241025,Install Leveraging,cto,install@ovationnetworks.com,website,support@ovationnetworks.com; accounting@ovationenetworks.com; accounting@ovationnetworks.com; install@ovationnetworks.com
Shive Hattery,https://www.shive-hattery.com/contact/cedar-rapids,OSM,0251201,Cedar Rapids,Managing Director,cedar@shive-hattery.com,website,20info@shive-hattery.com; jvanausdall@shive-hattery.com; cedar@shive-hattery.com
Melanie Olson Design Group,https://melaniebydesign.com,OSM (fill),0210059,Elanie Olson,Founder,elanie.olson@melaniebydesign.com,website,hello@melaniebydesign.com; elanie.olson@melaniebydesign.com
Faith Lutheran Church,https://www.faithlutheran.org,OSM (fill),070660031,Christy Pratt,Vice President,christy@faithlutheran.org,website,councilsecretary@faithlutheran.org; counciltreasurer@faithlutheran.org; councilvicepresident@faithlutheran.org; facilities@faithlutheran.org; fellowship@faithlutheran.org; financialsecretary@faithlutheran.org; outreach@faithlutheran.org; pastortom@faithlutheran.org; secretary@faithlutheran.org; socialconcerns@faithlutheran.org; worship@faithlutheran.org; youth@faithlutheran.org; youthcouncil@faithlutheran.org; christy@faithlutheran.org
Pickle Palace,https://www.playpicklepalace.com,OSM (fill),04900491,Kingston Yard,partner,kingston.yard@playpicklepalace.com,website,gm@playpicklepalace.com; kingston.yard@playpicklepalace.com
Freedom Foundation Veterans Center,https://usfreedomfoundation.org,OSM (fill),01520153,Past President,CEO,past.president@usfreedomfoundation.org,website,info@usfreedomfoundation.org; filler@godaddy.com; past.president@usfreedomfoundation.org
Fun City Sports,http://www.funcitysports.com,OSM (fill),0190220,,,fcdbilliards@qwestoffice.net,none,fcdbilliards@qwestoffice.net; funcity319@gmail.com
KBD of Cedar Rapids,https://www.kbyd.com/our-team/cedar-rapids,OSM (fill),06537758,Quartz Countertops,cto,quartz.countertops@kbyd.com,website,ivy@deependiowa.com; quartz.countertops@kbyd.com
Napoli's Italian Restaurant,https://www.napolimarion.com,OSM (fill),026080512,Gony Qerimi,Owner,gony.qerimi@napolimarion.com,website,napolismarionia@gmail.com; gony.qerimi@napolimarion.com
The Top Shop,https://thetopshopcr.com,OSM (fill),022916016,Co-Owner Co,Owner,co-owner.co@thetopshopcr.com,website,info@thetopshopcr.com; info@topshop.espercreates.com; 2052402@42.033373; co-owner.co@thetopshopcr.com
Form Function Studio,https://www.formfunctionstudio.com,OSM (fill),094213960,Know Me,Director,know.me@formfunctionstudio.com,website,info@formfunctionstudio.com; know.me@formfunctionstudio.com
Fashion Par Kitchens,https://www.fashionpar.com,OSM (fill),0220617,,,info@fashionpar.com,none,info@fashionpar.com
