Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Woodlands Vegetarian South Indian Kitchen,http://woodlandsaz.com,OSM (fill),,,,info@woodlandsaz.com,none,info@woodlandsaz.com
AZ Endocrine Institute,https://azendocrineinstitute.com,OSM (fill),07335483,Advanced Practice,cto,advanced.practice@azendocrineinstitute.com,website,micah@micahrich.com; advanced.practice@azendocrineinstitute.com
Copper Mountain Animal Hospital,https://coppermountainvet.com,OSM (fill),01520153,Koala Pharmacy,partner,koala@coppermountainvet.com,website,info@indiantypefoundry.com; dave@lab6.com; reception@coppermountainvet.com; koala@coppermountainvet.com
CorePower Yoga,https://www.corepoweryoga.com/yoga-studios/arizona/chandler/chandler,OSM (fill),0415591615,Power Yoga,partner,power@corepoweryoga.com,website,corepoweryoga@azionepr.com; mediainquiries@corepoweryoga.com; partnerships@corepoweryoga.com; power@corepoweryoga.com
Gilbert Yoga,https://www.gilbertyoga.com,OSM (fill),04900491,Buddy Pass,partner,buddy.pass@gilbertyoga.com,website,info@gilbertflex.com; buddy.pass@gilbertyoga.com
Sotol Modern Cocktail Kitchen,https://sotolmck.com,OSM (fill),026080512,Book Table,head of,book.table@sotolmck.com,website,info@sotolmck.com; book.table@sotolmck.com
Body Focus Fitness & Performance,https://www.bodyfocusfitness.com,OSM (fill),0675283643313487,Kettlebell Instru,cto,kettlebell.instru@bodyfocusfitness.com,website,info@bodyfocusfitness.com; kettlebell.instru@bodyfocusfitness.com
Jeremiah's Italian Ice,https://jeremiahsice.com/locations/nw-chandler-az,OSM (fill),0230504190853,Italian Ice,founder,italian@jeremiahsice.com,website,devin@jeremiahsice.com; italian@jeremiahsice.com
East Valley Juniors Volleyball Club,https://www.evjvolleyball.com,OSM (fill),05805787,,,info@evjvolleyball.com,none,info@evjvolleyball.com
Iridium Communications Inc,https://www.iridium.com,OSM,0251218,Anywhere Accessories,Partner,anywhere.accessories@iridium.com,website,iridium.online@iridium.com; anywhere.accessories@iridium.com
Lotus Family Care,https://lotusfamilycare.com,OSM (fill),0250803,Bachelor Degree,cto,bachelor.degree@lotusfamilycare.com,website,info@lotusfamilycare.com; bachelor.degree@lotusfamilycare.com
Iridium Communications,https://www.iridium.com,OSM,0251218,Anywhere Accessories,Partner,anywhere.accessories@iridium.com,website,iridium.online@iridium.com; anywhere.accessories@iridium.com
Local Digital Genius,https://localdigitalgenius.com,OSM (fill),0100101,Customer Engagement,partner,customer.engagement@localdigitalgenius.com,website,ejortiz01@gmail.com; customer.engagement@localdigitalgenius.com
Carrabba's Italian Grill,https://www.carrabbas.com,OSM (fill),01703212236,Italian Grill,partner,italian.grill@carrabbas.com,website,carrabbasgiftcardsupport@buyatab.com; dinerewards@bloominbrands.com; giftcardteam@bloominbrands.com; u003ecarrabbasgiftcardsupport@buyatab.com; u003edinerewards@bloominbrands.com; u003egiftcardteam@bloominbrands.com; italian.grill@carrabbas.com
Arizona Fire Medical Authority Fire Station 342,https://www.afma.az.gov/facilities#07751E19-0851-4D24-9B27-9007D5F3057B,OSM (fill),0242029,Fire Code,cto,fire.code@afma.az.gov,website,info@afma.az.gov; fire.code@afma.az.gov
Sun Valley Community Church - Chandler,https://www.sunvalleycc.com,OSM (fill),0435464293199,Community Donation,partner,community.donation@sunvalleycc.com,website,info@sunvalleycc.com; faysal.bohmo@gmail.com; community.donation@sunvalleycc.com
"Works Consulting, LLC",https://www.worksconsulting.com,OSM (fill),0892981,,,info@gisworks.com,none,info@gisworks.com
Faith Church of the Valley,https://faithchurchaz.org,OSM (fill),0909090909,Benevolence Karl,Director,benevolence.karl@faithchurchaz.org,website,info@fcov.org; adam@fcov.org; blake@fcov.org; buckets1@cox.net; burton3boys@gmail.com; greg@fcov.org; john@fcov.org; jond@fcov.org; kaitlyn@fcov.org; marycay@fcov.org; milo.frazier@gmail.com; paul@fcov.org; benevolence.karl@faithchurchaz.org
slick city,https://slickcity.com,OSM (fill),0240806,Bron Launsby,CEO,bron.launsby@slickcity.com,website,ui@6.0; bron.launsby@slickcity.com
Parkland Memory Care,https://www.parklandmemorycare.com,OSM (fill),0230210,Deluxe Private,Team Member,deluxe.private@parklandmemorycare.com,website,careers@parklandmemorycare.com; marketing@parklandmemorycare.com; deluxe.private@parklandmemorycare.com
Chandler Regional Medical Center,https://www.dignityhealth.org/arizona/locations/chandlerregional,OSM (fill),09234578,Sponsorships Innovative,partner,sponsorships.innovative@dignityhealth.org,website,chandlerimmunizations@commonspirit.org; sponsorships.innovative@dignityhealth.org
Arizona Community Church,https://www.azcc.org,OSM (fill),03029298556,New Mexico,founder,new@azcc.org,website,bmeiter@azcc.org; eventpostbanner@1.1; welcome@azcc.org; new@azcc.org
CROSSwire Exhibits,https://www.crosswireexhibits.com,OSM (fill),0120811,,,info@crosswireexhibits.com,none,info@crosswireexhibits.com
PetSuites Chandler,https://www.petsuitesofamerica.com,OSM (fill),07790240,Tracy Mason,founder,tracy.mason@petsuitesofamerica.com,website,privacy@nva.com; website-accessibility@nva.com; tracy.mason@petsuitesofamerica.com
Life Time,https://www.lifetime.life/life-time-locations/az-tempe.html,OSM (fill),07058855,Content Membership,Partner,content.membership@lifetime.life,website,tempe@ltfinc.onmicrosoft.com; content.membership@lifetime.life
Navy Federal Credit Union,https://www.navyfederal.org/branches-atms/locations/usa/az/chandler/chr.html,OSM (fill),0811491,Business Membership,owner,business@navyfederal.org,website,invest@navyfederal.org; business@navyfederal.org
Oasis Behavioral Health,https://www.obhhospital.com,OSM (fill),0240206,Nutritionist Parent,Partner,nutritionist@obhhospital.com,website,_oasismedicalrecords@obhhospital.com; oasismedicalrecords@obhhospital.com; nutritionist@obhhospital.com
Global Credit Union,https://www.globalcu.org/branches/cooper-crossing,OSM (fill),07812511,Insurance Overview,owner,insurance@globalcu.org,website,coopercrossing@globalcu.org; globalcumsc@globalcu.org; insurance@globalcu.org
One Tribe Yoga and Wellness,https://onetribe.life,OSM (fill),0260729,,,behappy@onetribe.life,none,behappy@onetribe.life
The Buttered Biscuit,https://tbbsunlakes.com,OSM (fill),0182814,On Fridays,senior,on.fridays@tbbsunlakes.com,website,hello@tbbsunlakes.com; on.fridays@tbbsunlakes.com
