Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Petite Marie Bette,http://www.mariebette.com,OSM (fill),01520153,Baker Patrick,Founder,baker@mariebette.com,website,contact@mariebette.com; bakery@mariebette.com; baker@mariebette.com
VMDO Architects,https://www.vmdo.com,OSM (fill),0251001,Alice West,Team Member,alice@vmdo.com,website,atkins@vmdo.com; celentano@vmdo.com; mthacker@vmdo.com; winstead@vmdo.com; alice@vmdo.com
Vivace Italian Ristorante,https://www.vivacecville.com,OSM (fill),070660031,Chef Landon,Owner,chef.landon@vivacecville.com,website,vivacecville@gmail.com; chef.landon@vivacecville.com
Heart and Soul Fitness,https://heartsoulfitness.org,OSM (fill),01020103,Directors Connect,Founder,directors.connect@heartsoulfitness.org,website,impallari@gmail.com; directors.connect@heartsoulfitness.org
Quantum Movements Studio,https://www.quantummovementstudio.com,OSM (fill),0813791708892757568,Back Overview,Owner,back.overview@quantummovementstudio.com,website,info@quantummovementstudio.com; back.overview@quantummovementstudio.com
Sal's Caffe Italia,https://www.salscaffeitalia.com,OSM (fill),0527516286,Craft Cocktail,Team Member,craft.cocktail@salscaffeitalia.com,website,salscharlottesville@gmail.com; craft.cocktail@salscaffeitalia.com
Jefferson School African American Heritage Center,https://jeffschoolheritagecenter.org,OSM (fill),096439696,Economic Discrimination,President,economic@jeffschoolheritagecenter.org,website,info@jeffschoolheritagecenter.org; education@jeffschoolheritagecenter.org; economic@jeffschoolheritagecenter.org
Virginia Film Festival,https://virginiafilmfestival.org,OSM (fill),0260715,Ilya Tovbis,Managing Director,ilya.tovbis@virginiafilmfestival.org,website,info@virginiafilmfestival.org; ilya.tovbis@virginiafilmfestival.org
Little Mod Hotel,https://www.littlemodhotel.com,OSM (fill),09905664260,Central Grounds,Partner,central.grounds@littlemodhotel.com,website,hello@littlemodhotel.com; forms@tambourine.com; central.grounds@littlemodhotel.com
Roots Natural Kitchen,https://www.rootsnaturalkitchen.com/locations/charlottesville,OSM (fill),0260423,Corner Cobb,Team Member,corner.cobb@rootsnaturalkitchen.com,website,catering@rootsnk.com; feedback@rootsnk.com; corner.cobb@rootsnaturalkitchen.com
The Fitzroy,https://www.thefitzroycville.com,OSM (fill),01767769,,,info@thefitzroycville.com,none,info@thefitzroycville.com
Independence Resource Center,https://charlottesvilleirc.org,OSM (fill),0101371568,Education Accessibility,Partner,education.accessibility@charlottesvilleirc.org,website,info@charlottesvilleirc.org; education.accessibility@charlottesvilleirc.org
Snap Fitness,https://www.snapfitness.com/us/gyms/charlottesville-va,OSM (fill),0484562807,Fitness Investment,Owner,fitness@snapfitness.com,website,inquiries@snapfitness.com; bankscollage@yahoo.com; charlottesvilleva@snapfitness.com; joanclarkpt@gmail.com; joseph.hayes1@gmail.com; media@snapfitness.com; ninquiries@snapfitness.com; nmedia@snapfitness.com; nvendorsupport@liftbrands.com; vendorsupport@liftbrands.com; fitness@snapfitness.com
SPRC,https://www.crossfitsprc.com,OSM (fill),070660031,Trainer Craig,Owner,trainer.craig@crossfitsprc.com,website,info@crossfitsprc.com; trainer.craig@crossfitsprc.com
The Haven at First and Market,https://www.thehaven.org,OSM (fill),02107280,Anna Mendez,Director,anna@thehaven.org,website,operations@thehaven.org; anna@thehaven.org
"Perrone Robotics, Inc.",https://www.perronerobotics.com,OSM (fill),08960194,Perrone Founder,CEO,perrone.founder@perronerobotics.com,website,contact@perronerobotics.com; jobs@perronerobotics.com; sales@perronerobotics.com; perrone.founder@perronerobotics.com
Waterhouse Charlottesville Leasing,https://www.thespacedowntown.com/home,OSM (fill),01020103,The Space,owner,the.space@thespacedowntown.com,website,thespacedowntown@gmail.com; the.space@thespacedowntown.com
Days Inn Charlottesville / University Area,https://www.wyndhamhotels.com/days-inn/charlottesville-virginia/days-inn-charlottesville-university-area/overview,OSM (fill),013410134,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Virginia Credit Union,https://www.vacu.org,OSM (fill),0925127,Opportunities Every,owner,opportunities@vacu.org,website,memsvc@vacu.org; opportunities@vacu.org
Funk Brothers Furniture,https://www.funkbrothersfurniture.com,OSM (fill),0467044,,,office@funkbrothersfurniture.com,none,office@funkbrothersfurniture.com
Heritage Inn,https://www.heritageinncharlottesville.com,OSM (fill),01301783598105144,Schedule Your,Team Member,schedule.your@heritageinncharlottesville.com,website,inquiry.theheritageinn@hotmail.com; schedule.your@heritageinncharlottesville.com
SVOE,https://www.svoe.net,OSM (fill),0260803,Tim Hebb,President,tim@svoe.net,website,areadlandesjr@svoe.net540-271-3222; areascmiller@svoe.net540-292-7700; areaslarryp@svoe.net540-480-1132; bbence@svoe.net; bob@svoe.net; cmiller@svoe.net; dlandesjr@svoe.net; executivecharlottesvillebob@svoe.net239-218-5246; larryp@svoe.net; ownerthebb@svoe.net540-248-7863; salesbbence@svoe.net540-294-2900; svoe@svoe.net; thebb@svoe.net; tim@svoe.net
UVA Hospital Auxiliary Hospitality House,https://www.cvillevolunteer.org/agency/detail/?agency_id=12725,OSM (fill),0230808201957,County Name,Partner,county.name@cvillevolunteer.org,website,msmith@unitedwaycville.org; county.name@cvillevolunteer.org
Light House Studio,https://lighthousestudio.org,OSM (fill),02489665481,Beloved Community,Founder,beloved@lighthousestudio.org,website,anne@lighthousestudio.org; deanna@lighthousestudio.org; jalia@lighthousestudio.org; kayla@lighthousestudio.org; kristen@lighthousestudio.org; lindsey@lighthousestudio.org; mac@lighthousestudio.org; programs@lighthousestudio.org; taylor@lighthousestudio.org; zack@lighthousestudio.org; beloved@lighthousestudio.org
Posture Studio Pilates,https://www.posturestudio.com,OSM (fill),0692310,Carla Shifflett,Founder,carla.shifflett@posturestudio.com,website,info@posturestudio.com; info@posturestudio.om; carla.shifflett@posturestudio.com
Meadowcreek Center,https://regionten.org/locations/meadowcreek-center,OSM (fill),0260515,Community Wellness,Director,community.wellness@regionten.org,website,aisha.williams-cusano@regionten.org; amy.berry@regionten.org; anne.sekley@regionten.org; ashley.long@regionten.org; deidre.creasy-quirindoongo@regionten.org; karen.taylor@regionten.org; kathy.williams@regionten.org; lisa.beitz@regionten.org; marna.bentley@regionten.org; marny.bentley@regionten.org; neta.davis@regionten.org; shannon.wright@regionten.org; zara.strickler@regionten.org; community.wellness@regionten.org
Summit Elementary School,https://clark.charlottesvilleschools.org,OSM (fill),0260805170643,Facility Rentals,Director,facility.rentals@clark.charlottesvilleschools.org,website,summit@charlottesvilleschools.org; facility.rentals@clark.charlottesvilleschools.org
The Center at Belvedere,https://thecentercville.org,OSM (fill),034550443,Colonial Plantation,President,colonial@thecentercville.org,website,info@thecentercville.org; membership@thecentercville.org; colonial@thecentercville.org
Davenport Field at Disharoon Park,https://virginiasports.com,OSM (fill),012001227,Marching Band,Partner,marching.band@virginiasports.com,website,emily.keenan7@gmail.com; faysal.bohmo@gmail.com; klc4z@virginia.edu; marching.band@virginiasports.com
Herman Key Jr Recreation Center,https://www.charlottesville.gov/601/Key-Recreation-Center,OSM (fill),0275272,,,keyctr@charlottesville.gov,none,keyctr@charlottesville.gov; parksandrec@charlottesville.gov
Mitchell Matthews Architects,https://www.mitchellmatthews.com,OSM (fill),01431971604045403,John Matthews,senior,john.matthews@mitchellmatthews.com,website,info@mitchellmatthews.com; john.matthews@mitchellmatthews.com
Ronald McDonald House Charlottesville,https://rmhcharlottesville.org,OSM (fill),05722437,Bryan Harris,Chief Executive Officer,bryan.harris@rmhcharlottesville.org,website,info@rmhcharlottesville.org; bharris@ronaldmcdonaldhousecville.org; bsolak@ronaldmcdonaldhousecville.org; fkelley@ronaldmcdonaldhousecville.org; kkirkeide@ronaldmcdonaldhousecville.org; mjackson@ronaldmcdonaldhousecville.org; robert@ronaldmcdonaldhousecville.org; bryan.harris@rmhcharlottesville.org
Greater Charlottesville Habitat for Humanity,https://www.cvillehabitat.org,OSM (fill),0100101,Homeownership Program,owner,homeownership@cvillehabitat.org,website,volunteer@cvillehabitat.org; homeownership@cvillehabitat.org
Three Notch'd Craft Kitchen and Brewery,https://threenotchdbrewing.com/pages/cville,OSM (fill),0403034214,Grady Avenue,founder,grady.avenue@threenotchdbrewing.com,website,cville@threenb.com; info@threenb.com; club@threenb.com; grady.avenue@threenotchdbrewing.com
Trinity Irish Pub,https://www.trinityonthecorner.com,OSM (fill),0413145,,,catering@trinityirishpub.co,none,hello@trinityirishpub.co; catering@trinityirishpub.co; hanna@trinityonthecorner.com
DePaul Community Resources,https://www.depaulcr.org,OSM (fill),0260414,Hollins Road,CEO,hollins@depaulcr.org,website,info@depaulcr.org; chatwithadoption@depaulcr.org; chatwithads@depaulcr.org; chatwithcbs@depaulcr.org; chatwithddresidential@depaulcr.org; chatwithdevelopment@depaulcr.org; chatwithfinance@depaulcr.org; chatwithfostercare@depaulcr.org; chatwithil@depaulcr.org; chatwithqandc@depaulcr.org; chatwithrecruitment@depaulcr.org; chatwithsupportservices@depaulcr.org; chatwiththeceo@depaulcr.org; chatwiththecfo@depaulcr.org; chatwiththevpofcfs@depaulcr.org; chatwiththevpofdd@depaulcr.org; chatwiththevpofmd@depaulcr.org; hollins@depaulcr.org
University of Virginia Child Development Center,https://www.kindercare.com/our-centers/charlottesville/va/000857,OSM (fill),09243558,Families They,Partner,families@kindercare.com,website,care@kindercare.com; email@address.com; families@kindercare.com
Virginia National Bank,https://www.vnb.com,OSM (fill),0780376,Authentication Setting,cto,authentication@vnb.com,website,customerservice@vnb.com; tmgmt@vnb.com; authentication@vnb.com
Charlotesville Sanitary Supply,https://www.cssvac.com,OSM (fill),0260702,Central Virginia,owner,central.virginia@cssvac.com,website,sales@cssvac.com; central.virginia@cssvac.com
Take It Away,https://www.takeitawaysandwichshop.com,OSM (fill),02174924,Catering We,partner,catering.we@takeitawaysandwichshop.com,website,takeitawaysandwichshop@gmail.com; catering.we@takeitawaysandwichshop.com
Grit Coffee,https://gritcoffee.com,OSM (fill),0977786,,,connect@gritcoffee.com,none,connect@gritcoffee.com
Computers 4 Kids,https://c4kclubhouse.org,OSM,0241023,,,info@c4kclubhouse.org,none,info@c4kclubhouse.org
Unitarian Universalist Congregation of Charlottesville,https://www.uucharlottesville.org,OSM (fill),0260608,Board Executives,President,board@uucharlottesville.org,website,info@uucharlottesville.org; office@uucharlottesville.org; board@uucharlottesville.org; communications@uucharlottesville.org; leia@uucharlottesville.org; ministers@uucharlottesville.org; music@uucharlottesville.org; president@uucharlottesville.org; sandra@uucharlottesville.org; secretary@uucharlottesville.org; steven@uucharlottesville.org; sunny@uucharlottesville.org; tim@uucharlottesville.org; treasurer@uucharlottesville.org; vicepres@uucharlottesville.org
Monticello Area Community Action Agency,https://www.macaa.org,OSM (fill),07854613,,,info@macaa.org,none,info@macaa.org
Maple Pine Breakfast & Thai Kitchen,https://www.maplepinecville.com,OSM (fill),0380276,,,pinemaplescville@gmail.com,none,pinemaplescville@gmail.com
Pineapples Thai Kitchen,https://www.pineapplescville.com,OSM (fill),0359881,,,pineapplescville@gmail.com,none,pineapplescville@gmail.com
