Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Grace Hospital,https://www.gracehospital.org,OSM (fill),+12166871500,Northeast Ohio,manager,northeast@gracehospital.org,website,cseifert@gracehospital.org; northeast@gracehospital.org
Sixth City Cycles,https://www.sixthcitycycles.com,OSM (fill),070660031,Puerto Rican,owner,puerto@sixthcitycycles.com,website,berto@sixthcitycycles.com; puerto@sixthcitycycles.com
Tavern of Little Italy,https://tolicleveland.com,OSM (fill),026080510,Book Table,head of,book.table@tolicleveland.com,website,tavernoflittleitaly@gmail.com; book.table@tolicleveland.com
Community of Hope,https://www.hopecle.org,OSM (fill),01561143283880,Briana Foy,Director,briana@hopecle.org,website,amberdonovan@hopecle.org; bianafoy@hopecle.org; brianafoy@hopecle.org; cohoffice@hopecle.org; deniseeaddy@hopecle.org; marilynzeidner@hopecle.org; briana@hopecle.org
Americrane & Hoist Corp.,https://www.amchoist.com,OSM (fill),02209473,Hoist Corp,cto,hoist.corp@amchoist.com,website,rl@amchoist.com; sales@americraneandhoist.com; hoist.corp@amchoist.com
Zone Aviation,https://www.zoneaviation.com,OSM (fill),026080402,Facebook Twitter,owner,facebook.twitter@zoneaviation.com,website,info@zoneaviation.com; facebook.twitter@zoneaviation.com
Detroit Auto Clinic,https://www.detroitautoclinic.com,OSM (fill),+12169654717,,,josh@detroitautoclinic.com,none,josh@detroitautoclinic.com
Perplexity Games Escape Room,https://www.perplexitygames.com,OSM (fill),0260805,Cleveland Safety,Director,cleveland@perplexitygames.com,website,info@perplexitygames.com; teambuilding@perplexitygames.com; cleveland@perplexitygames.com
Dittrick Museum of Medicine History,https://artsci.case.edu/dittrick,OSM (fill),0180523122841,Scroll To,Director,scroll.to@artsci.case.edu,website,dittrick@case.edu; dittrickmuseum@case.edu; dittrickmuseum@case.educontinue; scroll.to@artsci.case.edu
Cleveland Hungarian Heritage Museum,https://clevelandhungarianmuseum.org,OSM (fill),0260417,Bea Tabor,President,bea@clevelandhungarianmuseum.org,website,museum@clevelandhungarianmuseum.org; bea@clevelandhungarianmuseum.org
Oak Tree Veterinary Hospital,https://www.oaktreevet.net,OSM (fill),0200304,Bio Dr,cto,bio@oaktreevet.net,website,clientservice@oaktreevet.net; bio@oaktreevet.net
