Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Mountain Fox Garage Doors,http://mountainfoxdoors.com,OSM (fill),0260712,Colorado Special,owner,colorado.special@mountainfoxdoors.com,website,info@mountainfoxgaragedoors.com; mountainfoxdoors@gmail.com; colorado.special@mountainfoxdoors.com
Flipshack,https://www.flipshack.com,OSM (fill),0120104,Girls Momentum,Team Member,girls.momentum@flipshack.com,website,info@flipshack.com; girls.momentum@flipshack.com
Renzo Gracie Jiu-Jitsu,https://www.renzograciecolorado.com,OSM (fill),0210413,Kids Program,cto,kids.program@renzograciecolorado.com,website,info@renzograciecolorado.com; kids.program@renzograciecolorado.com
Northgate Animal Hospital,https://northgateanimalhospital.net,OSM (fill),0240702,Brad Bush,Owner,brad.bush@northgateanimalhospital.net,website,reception.northgateah@gmail.com; brad.bush@northgateanimalhospital.net
Timberview Animal Hospital,https://www.timberviewah.com,OSM (fill),01299887,Colorado Springs,owner,colorado@timberviewah.com,website,timberview@timberviewah.com; colorado@timberviewah.com
Lane Mitchell Jewelers,https://www.lanemitchelljewelers.com,OSM (fill),031541445,Manitou Jacks,manager,manitou.jacks@lanemitchelljewelers.com,website,imagesloaded@4.1; lanejewelers@gmail.com; manitou.jacks@lanemitchelljewelers.com
Colorado Springs Senior Center,https://seniorcenter.ppymca.org,OSM (fill),0260309,Classes Camps,Partner,classes.camps@seniorcenter.ppymca.org,website,cguerrero@ppymca.org; colsen@ppymca.org; nsteffes@ppymca.org; swoolwine@ppymca.org; tlathrop@ppymca.org; classes.camps@seniorcenter.ppymca.org
Shred Nations,https://www.shrednations.com/colorado-springs,OSM (fill),0260624,Best We,partner,best.we@shrednations.com,website,info@shrednations.com; support@shrednations.com; colorado-springs@shrednations.com; best.we@shrednations.com
The Rabbit Hole,https://www.rabbitholedinner.com,OSM (fill),0182765345,,,rabbitholedinner@gmail.com,none,rabbitholedinner@gmail.com
Axellio,https://www.axellio.com,OSM,09430701777306869,Jesse Founder,CEO,jesse@axellio.com,website,contactus@axellio.com; jesse@axellio.com
Mici Italian,https://www.miciitalian.com,OSM (fill),0969948,Jeff Miceli,Founder,jeff.miceli@miciitalian.com,website,support@miciitalian.com; jeff.miceli@miciitalian.com
Barre3,https://online.barre3.com/studio-locations/colorado-springs,OSM (fill),,,,onlinesupport@barre3.com,none,onlinesupport@barre3.com
Routes Outfitters,https://routesoutfitter.com,OSM (fill),0260521,General Manager,Owner,general.manager@routesoutfitter.com,website,contact@routesoutfitter.com; general.manager@routesoutfitter.com
Colorado Technicial University - Colorado Springs,https://www.coloradotech-springs.com,OSM,+18552270555,Education Corporation,ceo,education.corporation@coloradotech-springs.com,website,privacymatters@coloradotech.edu; education.corporation@coloradotech-springs.com
