Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
City of Columbia Art Center,https://parksandrec.columbiasc.gov/art-center,OSM (fill),0260805,Programs Special,Senior,programs.special@parksandrec.columbiasc.gov,website,parksinfo@columbiasc.gov; programs.special@parksandrec.columbiasc.gov
Boudreaux,https://boudreauxgroup.com,OSM (fill),037990247,As Executive,Vice President,as@boudreauxgroup.com,website,info@boudreauxgroup.com; jointheteam@boudreauxgroup.com; ahampton@boudreauxgroup.com; ahernandez@boudreauxgroup.com; aliebe@boudreauxgroup.com; cbeard@boudreauxgroup.com; ccalhoun@boudreauxgroup.com; cgresham@boudreauxgroup.com; dbroome@boudreauxgroup.com; dlucas@boudreauxgroup.com; dwiesendanger@boudreauxgroup.com; eshepard@boudreauxgroup.com; etaylor@boudreauxgroup.com; gschafer@boudreauxgroup.com; hmitchell@boudreauxgroup.com; ityson@boudreauxgroup.com; jabrams@boudreauxgroup.com; jrosko@boudreauxgroup.com; kquinn@boudreauxgroup.com; kshepherd@boudreauxgroup.com; pdey@boudreauxgroup.com; rcaddell@boudreauxgroup.com; rhuth@boudreauxgroup.com; rjohn@boudreauxgroup.com; ssmith@boudreauxgroup.com; tedge@boudreauxgroup.com; twilliams@boudreauxgroup.com; zlong@boudreauxgroup.com; as@boudreauxgroup.com
Village Juice & Kitchen,https://sc.edu/about/offices_and_divisions/dining_services/restaurants/village_juice_co.php,OSM (fill),01341612031027720433,Design Contest,President,design.contest@sc.edu,website,roach-tiffany@aramark.com; williams-eric1@aramark.com; design.contest@sc.edu
18th Street Design,https://www.18street.com,OSM,0260803,Excellent Customer,Partner,excellent.customer@18street.com,website,hello@18street.com; excellent.customer@18street.com
Huitzi The Bus,https://www.huitzithebus.com,OSM (fill),09239020543126,Samara Ruiz,Founder,samara.ruiz@huitzithebus.com,website,info@huitzithebus.com; levy_gom@yahoo.com; luisjtoledo@hotmail.com; samara.ruiz@huitzithebus.com
M Kitchen,https://miyos.com,OSM (fill),,,,amy@miyos.com,none,amy@miyos.com; mw@miyos.com
South Carolina Connections Academy,https://www.connectionsacademy.com/south-carolina-virtual-school,OSM (fill),0260804,Adriana Sapienza,Director,adriana.sapienza@connectionsacademy.com,website,info@scca.connectionsacademy.org; ahightower@scca.connectionsacademy.org; amcrum@scca.connectionsacademy.org; arichardson@scca.connectionsacademy.org; asapienza@scca.connectionsacademy.org; brasmith@scca.connectionsacademy.org; cahmed@scca.connectionsacademy.org; cboyd@scca.connectionsacademy.org; ccollins@scca.connectionsacademy.org; ceoneill@scca.connectionsacademy.org; cking@scca.connectionsacademy.org; ehynum@scca.connectionsacademy.org; heevans@scca.connectionsacademy.org; jagordon@scca.connectionsacademy.org; jbailey@scca.connectionsacademy.org; jdean@scca.connectionsacademy.org; jmcrosby@scca.connectionsacademy.org; joskitchens@scca.connectionsacademy.org; jreeves@scca.connectionsacademy.org; kmesservy@scca.connectionsacademy.org; kpowers@scca.connectionsacademy.org; marmartin@scca.connectionsacademy.org; ncarter@scca.connectionsacademy.org; nretsos@scca.connectionsacademy.org; sarnold@scca.connectionsacademy.org; sheller@scca.connectionsacademy.org; sybrown@scca.connectionsacademy.org; vwoods@scca.connectionsacademy.org; adriana.sapienza@connectionsacademy.com
Midlands Center,https://ddsn.sc.gov,OSM (fill),07344026537,Ann Dalton,Director,ann@ddsn.sc.gov,website,qualitymanagement@ddsn.sc.gov; ann@ddsn.sc.gov
Pitas,https://pitascolumbia.com,OSM (fill),0260306,Bacon Shrimp,Team Member,bacon.shrimp@pitascolumbia.com,website,marc.herro@hotmail.com; marcherro@hotmail.com; bacon.shrimp@pitascolumbia.com
Orangetheory Fitness,https://www.orangetheory.com/en-us/locations/south-carolina/columbia/10296-two-notch-rd-suite-2,OSM (fill),0100301,Author Share,partner,author.share@orangetheory.com,website,studiomanager0881@orangetheoryfitness.com; author.share@orangetheory.com
