Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Northaven United Methodist Church,https://ntcumc.org/churches/northaven-umc,OSM (fill),0131354,Church Directory,Director,church.directory@ntcumc.org,website,info@ntcumc.org; church@northaven.org; church.directory@ntcumc.org
Smith Offroad and Performance,https://smithoffroad.com,OSM (fill),01020103,Dallas North,President,dallas@smithoffroad.com,website,aaron@smithoffroad.com; eben@eyebytes.com; dallas@smithoffroad.com
Ardy's Mediterranean Grill,https://ardysgrill.com,OSM (fill),01020103,,,eben@eyebytes.com,none,team@latofonts.com; eben@eyebytes.com; filler@godaddy.com
Callier Center Richardson,https://calliercenter.utdallas.edu/location/richardson-campus,OSM,0250630,Annual Giving,Director,annual.giving@calliercenter.utdallas.edu,website,bethany.arsenault@utdallas.edu; communicationdisorders@utdallas.edu; darin.phan@utdallas.edu; donna.wylie@utdallas.edu; holly.rio@utdallas.edu; jiana.khazma@utdallas.edu; kenyatta.rendon@utdallas.edu; larissa.fong@utdallas.edu; melanie.obrien@utdallas.edu; patricia.gregory@utdallas.edu; sam.cox@utdallas.edu; slhs.phd@utdallas.edu; utdaudcenter@utdallas.edu; annual.giving@calliercenter.utdallas.edu
Bless Web Designs,https://blesswebdesigns.com,OSM,0260508,Dallas Business,Owner,dallas.business@blesswebdesigns.com,website,support@blesswebdesigns.com; billing@blesswebdesigns.com; sales@blesswebdesigns.com; dallas.business@blesswebdesigns.com
Heritage Farmstead Museum,https://www.heritagefarmstead.org,OSM (fill),0260706,Mary Alice,owner,mary.alice@heritagefarmstead.org,website,info@heritagefarmstead.org; mary.alice@heritagefarmstead.org
Good Work,https://simplygoodwork.com,OSM,0251113,Investor Dallas,Owner,investor.dallas@simplygoodwork.com,website,hello@simplygoodwork.com; info@simplygoodwork.com; investor.dallas@simplygoodwork.com
Shred Nations,https://www.shrednations.com/dallas,OSM (fill),0251121,Best We,partner,best@shrednations.com,website,info@shrednations.com; support@shrednations.com; dallas@shrednations.com; best@shrednations.com
"Synergistic Systems, Inc.",https://www.e-ssy.com,OSM,+19724159217,Certification Support,Team Member,certification.support@e-ssy.com,website,support@e-ssy.com; certification.support@e-ssy.com
Record Nations,https://www.recordnations.com/featured/dallas,OSM (fill),0260729,Match Engine,CEO,match@recordnations.com,website,info@recordnations.com; support@recordnations.com; dallas@recordnations.com; match@recordnations.com
Alfonso's Italian Restaurant,http://www.alfonsositalianrestaurant.com,OSM (fill),01520153,,,info@latinotype.com,none,info@latinotype.com
Bain & Company,https://www.bain.com/offices/dallas/en_us/index.aspx,OSM (fill),06336289442,Maeve Wang,Co-Founder,maeve.wang@bain.com,website,alumni.relations@bain.com; ann.lee@bain.com; dan.pinkney@bain.com; gary.duncan@bain.com; investorrelations_gisg@bain.com; maeve.wang@bain.com
Star Foundation Repair,https://www.starfoundationrepair.com,OSM (fill),0201125,Free Estimates,owner,free.estimates@starfoundationrepair.com,website,starfoundationrepair@gmail.com; free.estimates@starfoundationrepair.com
La Casita Bakeshop,https://www.lacasitabakeshop.com,OSM (fill),026080212,Brianna Short,owner,brianna.short@lacasitabakeshop.com,website,info@lacasitabakeshop.com; brianna.short@lacasitabakeshop.com
