Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Ampere Computing,https://amperecomputing.com/locations/raleigh,OSM (fill),044732334,Ampere Computing,cto,ampere.computing@amperecomputing.com,website,info@amperecomputing.com; ampere.computing@amperecomputing.com
Syngenta Biotechnology Inc.,https://www.syngenta.com,OSM,0260714,Seeds North,owner,seeds.north@syngenta.com,website,amea.communications@syngenta.com; andrei.marutescu@syngenta.com; beat.werder@syngenta.com; celina.peper@syngenta.com; christina.staikou@syngenta.com; christina.stroud@syngenta.com; clara.fernandez_escudero@syngenta.com; dimitri.houtart@syngenta.com; global.investor_relations@syngenta.com; guilherme.galvao@syngenta.com; jason.sparks@syngenta.com; kseniia.mishchenko@syngenta.com; linda.arnoldwhaley@syngenta.com; luke.gibbs@syngenta.com; magdalena.bukowiec@syngenta.com; manuel.ermann@syngenta.com; media.relations@syngenta.com; media@syngentagroup.com; michelle.jorgensen@syngenta.com; michelle.ng@syngenta.com; nemora.reche@syngenta.com; news.syngenta@syngenta.com; nick.booth@syngenta.com; paolo.dilernia@syngenta.com; pedro.arranz@syngenta.com; peter.kertesz@syngenta.com; product.support@syngenta.com; ronald.jager@syngenta.com; saswato.das@syngenta.com; sebastien.evain@syngenta.com; sustainability.syngenta@syngenta.com; vincenzo.merante@syngenta.com; seeds.north@syngenta.com
Midtown Yoga,https://midtownyogastudios.com,OSM (fill),056400101,Midtown Yoga,cto,midtown.yoga@midtownyogastudios.com,website,info@midtownyogastudios.com; midtownyogaraleigh@gmail.com; midtown.yoga@midtownyogastudios.com
"Asklepios BioPharmaceutical, Inc. (AskBio)",https://www.askbio.com,OSM (fill),0260122,Canwen Jiang,Chief Executive Officer,canwen@askbio.com,website,info@askbio.com; askfirst@askbio.com; corpcommunications@askbio.com; speak.up@bayer.com; canwen@askbio.com
Locus Biosciences,https://www.locus-bio.com,OSM (fill),0251119,Co-Founder Paul,Chief Executive Officer,co-founder.paul@locus-bio.com,website,info@locus-bio.com; media@locus-bio.com; co-founder.paul@locus-bio.com
Farmside Kitchen,https://www.farmsidekitchen.com,OSM (fill),01087008177696,Cofounder Meg,CEO,cofounder.meg@farmsidekitchen.com,website,hello@farmsidekitchen.com; cofounder.meg@farmsidekitchen.com
Synergy Fitness for Her,https://synergyfitnessforher.com,OSM (fill),0260401,Birgit Reher,Owner,birgit.reher@synergyfitnessforher.com,website,info@synergyfitnessforher.com; birgit.reher@synergyfitnessforher.com
Bull City Fair Trade,https://bullcityfairtrade.com,OSM (fill),04146897613856191762,Build Ca,partner,build.ca@bullcityfairtrade.com,website,info@bullcityfairtrade.com; build.ca@bullcityfairtrade.com
Bull City Art & Frame Company,https://www.bullcityartandframecompany.com,OSM (fill),098891080,,,faysal.bohmo@gmail.com,none,faysal.bohmo@gmail.com
Bull City Running Company,https://www.bullcityrunning.com,OSM (fill),0100101,Run Clubs,Partner,run@bullcityrunning.com,website,community@bullcityrunning.com; run@bullcityrunning.com
The Wine Authorities,https://www.wineauthorities.com,OSM (fill),0220427,Death Star,cto,death@wineauthorities.com,website,headsup@wineauthorities.com; death@wineauthorities.com
