Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Coca-Cola Vending,https://www.cokesolutions.com,OSM (fill),0120727,Offers Electronic,Partner,offers.electronic@cokesolutions.com,website,cokesolutions@coca-cola.com; offers.electronic@cokesolutions.com
Wayne Thornton Community Center,https://www.elpasotexas.gov/parks/centers/recreation-centers,OSM (fill),03352926704,Development Map,Partner,development@elpasotexas.gov,website,hr-request@elpasotexas.gov; ayubsx@elpasotexas.gov; buenocz@elpasotexas.gov; cclerk-1@elpasotexas.gov; chaconmt@elpasotexas.gov; cityattorney@elpasotexas.gov; cityauditor@elpasotexas.gov; cityfleetservices@elpasotexas.gov; citymanager@elpasotexas.gov; citytaxoffice@elpasotexas.gov; cruz-acostala@elpasotexas.gov; delatrinidadec@elpasotexas.gov; district1@elpasotexas.gov; district2@elpasotexas.gov; district3@elpasotexas.gov; district4@elpasotexas.gov; district5@elpasotexas.gov; district6@elpasotexas.gov; district7@elpasotexas.gov; district8@elpasotexas.gov; ed@elpasotexas.gov; gomezv1@elpasotexas.gov; hagarap@elpasotexas.gov; lermast@elpasotexas.gov; lopezci@elpasotexas.gov; lopezrx@elpasotexas.gov; mayor@elpasotexas.gov; ombanalysts@elpasotexas.gov; osshelp@elpasotexas.gov; parksandrec@elpasotexas.gov; pdpios@elpasotexas.gov; development@elpasotexas.gov
Cuartito Azul,http://www.elcuartitoazul.com,OSM (fill),01520153,Cuartito Azul,cto,cuartito.azul@elcuartitoazul.com,website,info@ndiscovered.com; cuartito.azul@outlok.com; cuartito.azul@elcuartitoazul.com
Instituto Mexico,https://www.institutomexicodeciudadjuarez.com,OSM (fill),0973838992,Ciudad Ju,CTO,ciudad.ju@institutomexicodeciudadjuarez.com,website,promocion@institutomexico.org; ciudad.ju@institutomexicodeciudadjuarez.com
Keep It Smoothie,https://keepitsmoothie.square.site,OSM (fill),0260325,,,keepitsmoothie1@gmail.com,none,keepitsmoothie1@gmail.com
Black Sheep BJJ,https://blacksheepbjjep.com,OSM (fill),0260325,Tiktok Yelp,PARTNER,tiktok.yelp@blacksheepbjjep.com,website,blacksheepbjjep@gmail.com; tiktok.yelp@blacksheepbjjep.com
"Seniors Helping Seniors of El Paso, TX",https://www.shsborderland.com,OSM (fill),03439698085733,Alex Crews,Senior,alex.crews@shsborderland.com,website,info@shseastelpaso.com; alex.crews@shsborderland.com
Extended Suites Ciudad Juárez Consulado,https://www.extendedsuites.com.mx/hotel-extended-suites-ciudad-juarez-consulado,OSM (fill),0260617,Alianzas Inicio,cto,alianzas@extendedsuites.com.mx,website,contacto@extendedsuites.com.mx; cjs-01@extendedsuites.com.mx; gm-can@extendedsuites.com.mx; gm-car@extendedsuites.com.mx; gm-cch@extendedsuites.com.mx; gm-cjs@extendedsuites.com.mx; gm-coa@extendedsuites.com.mx; gm-mid@extendedsuites.com.mx; gm-mty@extendedsuites.com.mx; gm-mxl@extendedsuites.com.mx; gm-qro@extendedsuites.com.mx; gm-sal@extendedsuites.com.mx; gm-tij@extendedsuites.com.mx; soporteweb@extendedsuites.com.mx; alianzas@extendedsuites.com.mx
Fundación Integra,https://integra.org.mx,OSM (fill),013661136136,Fundación Ju,cto,info@integra.org.mx,website,info@integra.org.mx; desarrolloinstitucional@integra.org.mx; fintegra@integra.org.mx
RockItCoin Bitcoin ATM,https://www.rockitcoin.com,OSM (fill),0260114,Coin Gives,partner,coin@rockitcoin.com,website,support@rockitcoin.com; compliance@rockitcoin.com; coin@rockitcoin.com
