Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Encryptomatic LLC,https://www.encryptomatic.com,OSM (fill),070496344799,Dex Multi,Manager,dex@encryptomatic.com,website,supportline@encryptomatic.com; sales@encryptomatic.com; dex@encryptomatic.com
Aldevron,https://www.aldevron.com,OSM (fill),+14015551212,Consistent Biologics,Partner,consistent@aldevron.com,website,dna@aldevron.com; protein@aldevron.com; consistent@aldevron.com
Ignite Church,https://www.ignite.church,OSM (fill),01696579,The Last,Team Member,the.last@ignite.church,website,info@ignite.church; the.last@ignite.church
Minnesota State University Moorhead,https://www.mnstate.edu,OSM (fill),021081809924,Strategic Framework,President,strategic@mnstate.edu,website,aidankolehmainen@minnstate.edu; alexelness@minnstate.edu; ashley.berkenpas@mnstate.edu; collinbueltel@minnstate.edu; deanofstudents@mnstate.edu; housing@mnstate.edu; msuminternationaladmissions@minnstate.edu; rachaelharvey1@minnstate.edu; strategic@mnstate.edu
Southview Dental Care: Dr. Caitlin Spacek,https://southviewdentalcare.com,OSM (fill),04900491,Southview Dental,owner,southview@southviewdentalcare.com,website,filler@godaddy.com; frontdesk@southviewdentalcare.com; southview@southviewdentalcare.com
Fargo Veteran's Administration Medical Center,https://www.va.gov/fargo-health-care,OSM (fill),0260201,Health Care,President,health@va.gov,website,complaint@jointcommission.org; shawn.abbas@va.gov; u003ecomplaint@jointcommission.org; u003eshawn.abbas@va.gov; u003evhafarfoia@va.gov; vhafarfoia@va.gov; health@va.gov
Kilbourne Group,https://kilbournegroup.com,OSM (fill),0811199,Collaboration Great,partner,collaboration.great@kilbournegroup.com,website,info@kilbournegroup.com; collaboration.great@kilbournegroup.com
Moore Engineering Inc.,https://www.mooreengineeringinc.com,OSM (fill),03523236930,Eadership The,President,eadership.the@mooreengineeringinc.com,website,ui@5.0; eadership.the@mooreengineeringinc.com
Moorhead City Hall,https://cityofmoorhead.com,OSM (fill),02656445,Hour Parking,owner,hour.parking@cityofmoorhead.com,website,contactmhrc@moorheadmn.gov; information.technology@ci.moorhead.mn.us; assessor@moorheadmn.gov; buildingcodes@moorheadmn.gov; chris.helmick@moorheadmn.gov; city.prosecutor@moorheadmn.gov; cityclerk@moorheadmn.gov; citymanager@moorheadmn.gov; communitydevelopment@moorheadmn.gov; economicdevelopment@moorheadmn.gov; engineering@moorheadmn.gov; financestaff@moorheadmn.gov; firedept@moorheadmn.gov; flood@moorheadmn.gov; forestry@moorheadmn.gov; gis@moorheadmn.gov; governmental.affairs@moorheadmn.gov; humanresources@moorheadmn.gov; kelly.kuntz@moorheadmn.gov; moorhead@larl.org; mps@mpsutility.com; neighborhood.services@moorheadmn.gov; parkandrec@moorheadmn.gov; planningandzoning@moorheadmn.gov; publichousingauthority@moorheadmn.gov; publicworks@moorheadmn.gov; questions@moorheadmn.gov; sanitation@moorheadmn.gov; stormwaterstaff.website.group@moorheadmn.gov; street@moorheadmn.gov; wastewater@moorheadmn.gov; hour.parking@cityofmoorhead.com
Granite City,https://www.gcfb.com/location/fargo-north-dakota,OSM (fill),0260723,Pasta Options,Team Member,pasta.options@gcfb.com,website,sean@visionfriendly.com; pasta.options@gcfb.com
Minnesota State Community & Technical College,https://minnesota.edu,OSM,0240701,Sample Classes,Partner,sample.classes@minnesota.edu,website,info@minnesota.edu; adam.baker@minnesota.edu; brian.keller@minnesota.edu; carissa.engstrom@minnesota.edu; dana.haagenson@minnesota.edu; enroll@minnesota.edu; judy.patrick@minnesota.edu; katie.anderson@minnesota.edu; korey.fry@minnesota.edu; marty.ohren@minnesota.edu; megan.sorum@minnesota.edu; michele.waldera@minnesota.edu; sally.gruver@minnesota.edu; sample.classes@minnesota.edu
Days Inn & Suites,https://www.wyndhamhotels.com/days-inn/fargo-north-dakota/days-inn-and-suites-fargo-19th-ave-airport-dome/overview,OSM (fill),0441104411,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Eco Chic Home,https://shopecochichome.com,OSM (fill),0260107,Fixer Upper,cto,fixer.upper@shopecochichome.com,website,info@iloveecochic.com; shop@yourstore.com; fixer.upper@shopecochichome.com
Expressway Suites,https://expresswaysuitesfargo.com,OSM (fill),08499143,,,expresswayfargo@gmail.com,none,expresswayfargo@gmail.com; suitessales@gmail.com
Anytime Fitness,https://www.anytimefitness.com/gyms/422/fargo-nd-58102,OSM (fill),0611448,Personalized Plans,Team Member,personalized@anytimefitness.com,website,customercare@abcfitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; northfargo@anytimefitness.com; personalized@anytimefitness.com
Trollwood Performing Arts School,https://trollwood.org,OSM (fill),0939666,Coming Up,President,coming.up@trollwood.org,website,andersk1@fargo.k12.nd.us; coming.up@trollwood.org
RHET Architecture,https://www.rhet-arch.com,OSM (fill),04900491,Design Awards,founder,design@rhet-arch.com,website,ben@rhet-arch.com; maha@rhet-arch.com; mitch@rhet-arch.com; rhet@rhet-arch.com; design@rhet-arch.com
La Quinta Inn & Suites,https://wyndhamhotels.com/laquinta/fargo-north-dakota/la-quinta-fargo-medical-center/overview,OSM (fill),03753037,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Infinite Vapor,https://infinitevapor.com,OSM (fill),0260526,Berry Non-Alcoholic,Team Member,berry.non-alcoholic@infinitevapor.com,website,info@shopturningleaf.com; berry.non-alcoholic@infinitevapor.com
TLC Cleaning,https://tlccleaningexperts.com,OSM (fill),0251004,Grand Forks,Owner,grand.forks@tlccleaningexperts.com,website,sales@tlccleaningexperts.com; grand.forks@tlccleaningexperts.com
