Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Fort Lauderdale Health and Rehabilitation Center,https://www.ftlauderdalehrc.com,OSM (fill),04122924805,Rehab Nursing,Partner,rehab.nursing@ftlauderdalehrc.com,website,email@gmail.com; rehab.nursing@ftlauderdalehrc.com
Holy Cross Hospital,https://www.holy-cross.com,OSM (fill),0402604,Breast Health,Partner,breast@holy-cross.com,website,donations@holy-cross.com; breast@holy-cross.com
Vito's Gourmet Pizza,https://17thst.ordervitosgourmetpizza.com,OSM (fill),070660031,Marketing Sales,Owner,marketing.sales@17thst.ordervitosgourmetpizza.com,website,info@menufy.com; marketing.sales@17thst.ordervitosgourmetpizza.com
BankUnited of Fort Lauderdale - East Sunrise,https://www.bankunited.com/our-locations/florida/east-sunrise,OSM (fill),01422605,Business Journal,CEO,business.journal@bankunited.com,website,media@bankunited.com; business.journal@bankunited.com
Tropic Air Charters,https://tropicaircharters.com,OSM (fill),0390657,Tropic Air,director,tropic@tropicaircharters.com,website,charters@tropicaircharters.com; tropic@tropicaircharters.com
Rio Vista Community Church,https://riovistachurch.com,OSM (fill),050926856,Andrew Halsey,director,andrew.halsey@riovistachurch.com,website,20info@riovistachurch.com; andrew.halsey@riovistachurch.com
Fort Lauderdale City Hall,https://www.fortlauderdale.gov,OSM (fill),08811473295958,Affairs Large,Partner,affairs@fortlauderdale.gov,website,ccrawford@fortlauderdale.gov; ftl.em@fortlauderdale.gov; affairs@fortlauderdale.gov
Saint Anthony's Rehabilitation Hospital,https://www.catholichealthservices.org/location/st-anthonys-rehabilitation-hospital,OSM (fill),0260611,Frick President,CEO,frick.president@catholichealthservices.org,website,chs.ar@chsfla.com; frick.president@catholichealthservices.org
Rodeway Inn & Suites Fort Lauderdale Airport & Port Everglades Cruise Port Hotel,https://hotelftlauderdale.net,OSM (fill),+19547928181,Need Help,Team Member,need.help@hotelftlauderdale.net,website,info@rodewayfll.com; frontdesk@rodewayfll.com; need.help@hotelftlauderdale.net
Shred Nations,https://www.shrednations.com/fort-lauderdale,OSM (fill),0260618,Social Security,owner,social.security@shrednations.com,website,info@shrednations.com; support@shrednations.com; fort-lauderdale@shrednations.com; social.security@shrednations.com
Glass USA,https://www.glassusainc.com,OSM (fill),01375141944,,,glassusa@aol.com,none,glassusa@aol.com
Arizona College of Nursing - Fort Lauderdale,https://arizonacollege.edu/fort-lauderdale-nursing-school,OSM (fill),0260709,Jason Anderson,CEO,jason.anderson@arizonacollege.edu,website,contact@arizonacollege.edu; info@arizonacollege.edu; jason.anderson@arizonacollege.edu
Multiple Sclerosis Foundation,https://msfocus.org,OSM (fill),0241019,,,supportgroups@msfocus.org,none,admin@msfocus.org; info@msfocus.org; support@msfocus.org; supportgroups@msfocus.org; development@msfocus.org; donations@msfocus.org
"Salpeter Gitkin, LLP",https://salpetergitkin.com,OSM (fill),0246229,Gitkin Of,Partner,gitkin.of@salpetergitkin.com,website,info@salpetergitkin.com; gitkin.of@salpetergitkin.com
War Memorial Auditorium,https://www.ftlwarmemorial.com,OSM (fill),05961196,Collings Senior,Vice President,collings.senior@ftlwarmemorial.com,website,allisonj@floridapanthers.com; balkjyh@floridapanthers.com; castanoa@floridapanthers.com; cervinkal@floridapanthers.com; collingsz@floridapanthers.com; davik@floridapanthers.com; fitzgeraldm@floridapanthers.com; klinckr@floridapanthers.com; lysenkav@floridapanthers.com; morrisj@floridapanthers.com; odonnellj@floridapanthers.com; randolphz@floridapanthers.com; whitmorew@floridapanthers.com; collings.senior@ftlwarmemorial.com
La Quinta Inn & Suites by Wyndham Fort Lauderdale Tamarac,https://www.wyndhamhotels.com/laquinta/fort-lauderdale-florida/la-quinta-fort-lauderdale-tamarac/overview,OSM (fill),+19544846909,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Microtech,https://www.micro-tech.com/managed-it-services-fort-lauderdale,OSM,07789928,Brian Butterfield,Co-Founder,brian.butterfield@micro-tech.com,website,info@micro-tech.com; brian.butterfield@micro-tech.com
TEMS Association,http://www.temsassociation.com,OSM (fill),04900491,Info Questions,owner,info@temsassociation.com,website,filler@godaddy.com; tems@temsassociation.com; info@temsassociation.com
Port Everglades Pilots Association,https://www.pepilots.com,OSM (fill),0666666666667,,,accounting@pepilots.com,none,accounting@pepilots.com; jward@pepilots.com; pilotagerequests@pepilots.com
Community Church of God,https://www.communitycog.org,OSM (fill),03644503185,App Church,Director,app@communitycog.org,website,unity@communitycog.org; app@communitycog.org
26 North Yachts,https://www.26northyachts.com,OSM (fill),0260726,Charter Management,Owner,charter.management@26northyachts.com,website,info@26northyachts.com; charter.management@26northyachts.com
Unitarian Universalist Church of Fort Lauderdale,https://www.uucfl.org,OSM (fill),0230310,Catherine Cullen,President,catherine.cullen@uucfl.org,website,info@uua.org; catherine.cullen@uucfl.org
AD Mortgage,http://www.admortgage.com,OSM (fill),0260805,Max Slyusarchuk,CEO,max@admortgage.com,website,hr@admortgage.com; info@admortgage.com; advantage@admortgage.com; closing@admortgage.com; funding@admortgage.com; lock@admortgage.com; media@admortgage.com; partnersupport@admortgage.com; sales@admortgage.com; servicing@admortgage.com; max@admortgage.com
Habitat for Humanity ReStore,https://www.habitatbroward.org/restore,OSM (fill),0251023,Apostles Build,CEO,apostles@habitatbroward.org,website,restore@habitatbroward.org; apostles@habitatbroward.org
Galt Ocean Rehab Center,https://galtoceanrehabcenter.com,OSM (fill),+18444681345,At Galt,director,at.galt@galtoceanrehabcenter.com,website,info@galtoceanrehabcenter.com; at.galt@galtoceanrehabcenter.com
Nova Southeastern University Oceanographic Center,https://www.nova.edu/locations/oceanographic-center.html,OSM (fill),0260429,Years Through,founder,years@nova.edu,website,eduinfo@nova.edu; hpdadmissionsinfo@nova.edu; imcs@nsu.nova.edu; mdadmissions@nova.edu; nsu_nursing@nova.edu; years@nova.edu
Belmont Village Senior Living Fort Lauderdale,https://www.belmontvillage.com/locations/fort-lauderdale-florida,OSM (fill),0260465,Facial Covering,PARTNER,facial@belmontvillage.com,website,comm@belmontvillage.com; lgrimes@belmontvillage.com; mhayes@belmontvillage.com; preis@belmontvillage.com; u003emhayes@belmontvillage.com; u003evendor@belmontvillage.com; vendor@belmontvillage.com; facial@belmontvillage.com
Broward Design Center,https://www.thebrowarddesigncenter.com,OSM (fill),04446358805960417775,,,ecom-swiper@11.css,none,ecom-swiper@11.css; logan@thebrowarddesigncenter.com
Wilton Manors Animal Hospital,https://wiltonmanorsanimalhospital.net,OSM (fill),0944821472,Complete Exam,cto,complete.exam@wiltonmanorsanimalhospital.net,website,premierwmah@gmail.com; wiltonmanorsanimalhospital@gmail.com; complete.exam@wiltonmanorsanimalhospital.net
Las Olas Chabad Jewish Community Center,https://www.jewishfl.org,OSM (fill),0260731,,,rowel@jewishfl.org,none,office@jewishfl.org; rowel@jewishfl.org
