Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Assure Court Reporting,https://assurecourtreporting.com,OSM,,Court Reporters,Team Member,court.reporters@assurecourtreporting.com,website,info@assurecourtreporting.com; court.reporters@assurecourtreporting.com
The Disruptive Guys,https://thedisruptiveguys.com,OSM,+14699533771,Anthropic Engagements,Partner,anthropic.engagements@thedisruptiveguys.com,website,info@thedisruptiveguys.com; anthropic.engagements@thedisruptiveguys.com
The Bar Method,https://barmethod.com,OSM (fill),0260803,An Instru,cto,an.instru@barmethod.com,website,mediainquiries@sebrands.com; an.instru@barmethod.com
American Airlines Federal Credit Union,https://www.aacreditunion.org,OSM (fill),078280144,American Airlines,owner,american@aacreditunion.org,website,aacadet@aacreditunion.org; american@aacreditunion.org
Peace Love and Little Donuts,https://www.peaceloveandlittledonuts.com,OSM (fill),09925252405685,,,info@peaceloveandlittledonuts.com,none,info@peaceloveandlittledonuts.com
City of Grapevine,https://www.grapevinetexas.gov,OSM (fill),0275272,Fall Proofing,owner,fall@grapevinetexas.gov,website,fire@grapevinetexas.gov; tjmanor@grapevinetexas.gov; fall@grapevinetexas.gov
Alpha Gate & Door Co.,https://alphagateanddoor.com,OSM (fill),+18173817788,Door Co,owner,door.co@alphagateanddoor.com,website,info@alphagateanddoor.com; door.co@alphagateanddoor.com
Cowtown Gear Inc,http://www.cowtowngear.com,OSM (fill),04108950,Linda Mullenix,Founder,linda@cowtowngear.com,website,accounts@cowtowngear.com; linda@cowtowngear.com; lmcowtown@aol.com; michael.walls@cowtowngear.com; michelle@cowtowngear.com; proteam@mopro.com
Trinity Basin Preparatory - Panola (Building 2),https://panola.trinitybasin.com,OSM (fill),0230915,Mike Winemiller,Director,mike.winemiller@panola.trinitybasin.com,website,jdunn@trinitybasin.net; ymcdonald@trinitybasin.net; mike.winemiller@panola.trinitybasin.com
Trinity Basin Preparatory - Pafford (Building 2),https://pafford.trinitybasin.com,OSM (fill),0230915,Mike Winemiller,Director,mike.winemiller@pafford.trinitybasin.com,website,adeason@trinitybasin.net; attendancepafford@trinitybasin.net; mbecker@trinitybasin.net; mike.winemiller@pafford.trinitybasin.com
Unity Fort Worth,https://www.unityfortworth.org,OSM (fill),01577749976851,Charles Fillmore,co-founder,charles@unityfortworth.org,website,info@unityfortworth.org; pastoralcare@unityfortworth.org; pray@unityfortworth.org; techsupport@unityfortworth.org; charles@unityfortworth.org
Miller Lite Plaza,https://attstadium.com/EventServices,OSM (fill),0250828,,,guestcomments@dallascowboys.net,none,guestcomments@dallascowboys.net; lostandfound@dallascowboys.net; stadiumclub@dallascowboys.net
Grapevine Convention & Visitor Center,https://www.grapevinetexasusa.com,OSM (fill),0565006,Administration Email,Managing Director,administration@grapevinetexasusa.com,website,bclosson@grapevinetexasusa.com; bgentry@grapevinetexasusa.com; bhilterbrandt@grapevinetexasusa.com; bill@cfarley.com; bmault@grapevinetexasusa.com; broberson@grapevinetexasusa.com; btorres@grapevinetexasusa.com; cash@grapevinetexasusa.com; chaberman@grapevinetexasusa.com; cjgardner@grapevinetexasusa.com; cmissimo@grapevinetexasusa.com; cwheat@grapevinetexasusa.com; dklempin@grapevinetexasusa.com; dtaylor@grapevinetexasusa.com; eschrack@grapevinetexasusa.com; estallcup@grapevinetexasusa.com; glavery@grapevinetexasusa.com; hegan@grapevinetexasusa.com; hgardea@grapevinetexasusa.com; jbaldwin@grapevinetexasusa.com; jethompson@grapevinetexasusa.com; jingram@grapevinetexasusa.com; kadams@grapevinetexasusa.com; kdearman@grapevinetexasusa.com; khale@grapevinetexasusa.com; khill@grapevinetexasusa.com; kvanderpool@grapevinetexasusa.com; kwebster@grapevinetexasusa.com; ldalton@grapevinetexasusa.com; leasley@grapevinetexasusa.com; llyons@grapevinetexasusa.com; lprice@grapevinetexasusa.com; mkeefover@grapevinetexasusa.com; mmatthews@grapevinetexasusa.com; msettle@grapevinetexasusa.com; mtopelsohn@grapevinetexasusa.com; mwerner@grapevinetexasusa.com; mwilliams@grapevinetexasusa.com; nbarham@grapevinetexasusa.com; nrodriguez@grapevinetexasusa.com; nsaenz@grapevinetexasusa.com; pmccage@grapevinetexasusa.com; pmccallum@grapevinetexasusa.com; pnewman@grapevinetexasusa.com; rbonifas@grapevinetexasusa.com; sbaker@grapevinetexasusa.com; simonkneafsey@hotmail.com; smcosker@grapevinetexasusa.com; smehallic@grapevinetexasusa.com; swimberly@grapevinetexasusa.com; thippensteel@grapevinetexasusa.com; tnichols@grapevinetexasusa.com; tpatterson@grapevinetexasusa.com; visitorinfo@grapevinetexasusa.com; administration@grapevinetexasusa.com
Polk Mechanical,https://www.polkmechanical.com,OSM (fill),0260610,Polk Mechanical,CEO,polk@polkmechanical.com,website,webcontact@polkmechanical.com; polk@polkmechanical.com
"Woods Distribution Solutions, LLC",https://www.woodsdist.com,OSM (fill),0260127,America Woods,Partner,america.woods@woodsdist.com,website,info@woodsdist.com; america.woods@woodsdist.com
Harris Methodist Springwood Hospital,https://www.texashealth.org/location/texas-health-springwood-behavioral-health-hospital-heb,OSM (fill),0250326,Fort Worth,CEO,fort@texashealth.org,website,communityhope@texashealth.org; fort@texashealth.org
DFW Fertility,https://DallasFertility.com,OSM (fill),,Fort Worth,partner,fort@DallasFertility.com,website,thirdparty@dallasfertility.com; fort@DallasFertility.com
Joe's Pizza & Pasta Italian Cuisine Bar,https://www.joespizzaitaliancuisine.com,OSM (fill),+18179451765,Dine In,Team Member,dine.in@joespizzaitaliancuisine.com,website,joesitalianpizzafortworth@gmail.com; dine.in@joespizzaitaliancuisine.com
Thigbe: Power for Good,https://thigbe.com,OSM,0260428,Compare Rates,Partner,compare.rates@thigbe.com,website,service@thigbe.com; compare.rates@thigbe.com
Bodybar Pilates,https://bodybarpilates.com/studios/tanglewood/?set=1,OSM (fill),0260805,Franchise Owner,owner,franchise@bodybarpilates.com,website,capitol.hill@marianatek.com; chelsea@marianatek.com; dupont.circle@marianatek.com; east.hampton@marianatek.com; lincoln.park@marianatek.com; midtown@marianatek.com; mission@marianatek.com; pacific.heights@marianatek.com; point.loma@marianatek.com; santa.monica@marianatek.com; solana.beach@marianatek.com; tanglewood@bodybarpilates.com; tribeca@marianatek.com; upper.east.side@marianatek.com; west.hollywood@marianatek.com; williamsburg@marianatek.com; franchise@bodybarpilates.com
Great White Moving Company,https://greatwhitemovers.net,OSM (fill),0260211,Transparent Pricing,Team Member,transparent.pricing@greatwhitemovers.net,website,greatwhitemovers@gmail.com; transparent.pricing@greatwhitemovers.net
UNTUCKit,https://www.untuckit.com,OSM (fill),0260505,Chris Riccobono,founder,chris@untuckit.com,website,chunk@layout.theme.css; defaultvendors@layout.theme.js; questions@untuckit.com; chris@untuckit.com
Mira Lagos HOA South Office,https://www.miralagoshoa.com/hoa,OSM (fill),01520153,Clubhouse Rental,owner,clubhouse.rental@miralagoshoa.com,website,admin@miralagoshoa.com; clubhouse.rental@miralagoshoa.com
Trinity Episcopal Church,https://www.fortworthtrinity.org,OSM (fill),0128912,,,pgartman@fortworthtrinity.org,none,pgartman@fortworthtrinity.org; trinity@fortworthtrinity.org
Banfield Pet Hospital,https://www.banfield.com/locations/veterinarians/tx/fort-worth/fws,OSM (fill),0190313190108619,Banfield Shop,partner,banfield@banfield.com,website,info@banfieldfoundation.org; banfield.websupport@banfield.com; banfieldcares@banfield.com; cst.inbox@banfield.com; email@emailserver.com; home.delivery@banfield.com; owp@banfield.com; wellnessplanteam@banfield.com; banfield@banfield.com
Club Pilates,https://clubpilates.com,OSM (fill),089409371736465965,Club Pilates,cto,club.pilates@clubpilates.com,website,marketing@clubpilates.com; club.pilates@clubpilates.com
DeCavitte Properties,https://www.decavitte.com,OSM (fill),01583784104849,Cavitte Properties,Partner,cavitte.properties@decavitte.com,website,dean.decavitte@gmail.com; cavitte.properties@decavitte.com
Ann's Natural Grocery and Nutrition,https://annshfc.com,OSM (fill),0260804,Knowledge You,Team Member,knowledge.you@annshfc.com,website,feedback@cw33.com; knowledge.you@annshfc.com
Trinity Dental Care,https://www.trinitysmile.com,OSM (fill),0240717,,,office@trinitysmile.com,none,office@trinitysmile.com
Central Storehouse Food Pantry,https://central-storehouse.org,OSM (fill),05368905,Development Assistant,DIRECTOR,development.assistant@central-storehouse.org,website,info@central-storehouse.org; ministry_designs@events.frontend; development.assistant@central-storehouse.org
Whittle Family Dentristry,https://www.whittledentistry.com,OSM (fill),01333105,Comfortable Environment,Team Member,comfortable.environment@whittledentistry.com,website,info@whittledentistry.com; whittleoffice@hotmail.com; comfortable.environment@whittledentistry.com
DaVita Dialysis,https://www.davita.com/locations/tx/bedford/1809-forest-ridge-dr--936,OSM (fill),0227961,Fulfillment We,owner,fulfillment@davita.com,website,independentchair@davita.com; fulfillment@davita.com
Altitude Trampoline Park,https://altitudecityview.com,OSM (fill),011861000,Into Altitude,Owner,into.altitude@altitudecityview.com,website,info@atpcityview.com; into.altitude@altitudecityview.com
Gritr sports,https://gritrsports.com,OSM (fill),01520153,Mikhail Orlov,CEO,mikhail.orlov@gritrsports.com,website,info@gritrsports.com; mikhail.orlov@gritrsports.com
Fajita Pete's,https://www.fajitapetes.com,OSM (fill),07539092,,,acostald@hotmail.com,none,acostald@hotmail.com; bellairecatering@fajitapetes.com; brian.perry@fajitapetes.com; campbellrd@gsfranchises.com; carrollton@gsfranchises.com; carrolltonfajitas@gmail.com; catering@chicagotexmex.com; catering@fajitasdelivered.com; cateringfajitapetes@gmail.com; cedarpark@fajitapetes.com; chris@lonepalmhospitality.com; clearlake@fajitapetes.com; cmabry85@yahoo.com; cody.miller_5@yahoo.com; colleyville@fajitapetes.com; david@gsfranchises.com; faheata.sienna@gmail.com; faheata.sl@gmail.com; fajitapetes.rosspark@gmail.com; fajitapetespgh@gmail.com; felype@fajitasdelivered.com; firethorne@fajitapetes.com; flowermound@fajitapetes.com; forest@gsfranchises.com; fpcatering@fajitapetes.com; frisco@gsfranchises.com; juniormedrano35@yahoo.com; lakewood@fajitapetes.com; lascolinas@fajitapetes.com; lubbock@fajitapetes.com; luisafmendieta22@gmail.com; mopac@fajitapetes.com; parkcities@gsfranchises.com; patrick@chicagotexmex.com; patty@fajitapetes.com; pete@fajitapetes.com; pfs_gonzalez@hotmail.com; pierr@topstarmarketing.com; sienna@fajitapetes.com; southlake@fajitapetes.com; springcypress@fajitapetes.com; sri.steve100@gmail.com; todd@lonepalmhospitality.com; tribunito@gmail.com; wichitafalls@fajitapetes.com; wilmette@fajitapetes.com
Senior Helpers,https://www.seniorhelpers.com/tx/grapevine-lake/locations/south-lake,OSM (fill),06186013871,Abel Anaya,owner,abel.anaya@seniorhelpers.com,website,clientservices4860@seniorhelpers.com; abel.anaya@seniorhelpers.com
A-1 Locksmith,https://www.a-1locksmith.com/arlington,OSM (fill),07692151,Chris Barham,Manager,chris@a-1locksmith.com,website,info@a-1locksmith.com; cbarham@a-1locksmith.com; chris@a-1locksmith.com
Altitude,https://www.altitudetrampolinepark.com/locations/grapevine,OSM (fill),011861000,Into Altitude,Owner,into.altitude@altitudetrampolinepark.com,website,jim@altitudegv.com; larry.carrington@altitudetpog.com; into.altitude@altitudetrampolinepark.com
west elm,https://www.westelm.com/stores/us-tx-southlake-pk-vllg,OSM (fill),0263080415189,Responsible Retail,Partner,responsible.retail@westelm.com,website,customerservice@westelm.com; westelm@o.westelm.com; responsible.retail@westelm.com
Pretty Burrito,https://www.prettyburrito.com,OSM (fill),0331220,,,edgarduartec@live.com,none,edgarduartec@live.com; prettyburritoflowermound@gmail.com
Kindred Hospital Tarrant County - Arlington,https://www.kindredhospitals.com/locations/texas/tarrant-county-arlington,OSM (fill),035708985,Communications Jeanie,Vice President,communications.jeanie@kindredhospitals.com,website,aphelp@scionhealth.com; aphelp@scoionhealth.com; courage@scionhealth.com; jeanie.rittenberry@scionhealth.com; mediacontact@scionhealth.com; recordsretention@kindred.com; timothy.jolly@scionhealth.com; communications.jeanie@kindredhospitals.com
Office Equity Solutions,https://officeequitysolutions.com,OSM (fill),0260420,Plaza Condominium,Owner,plaza@officeequitysolutions.com,website,info@officeequitysolutions.com; officeequitysolutions@crecloudsolutions.com; sduvall@officeequitysolutions.com; plaza@officeequitysolutions.com
