Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
New Community Church,https://www.nccwm.org,OSM (fill),03490374,Button Bill,Director,button@nccwm.org,website,info@nccwm.org; bcurnow2@comcast.net; cindy@nccwm.org; diane@nccwm.org; greg@nccwm.org; heather@nccwm.org; jerry@nccwm.org; karen@nccwm.org; kevin@nccwm.org; lew@nccwm.org; mark@nccwm.org; markk@nccwm.org; mary@nccwm.org; pj@nccwm.org; button@nccwm.org
Littlebird,https://www.thelittlebirdgr.com,OSM (fill),04777037,Caleb Jenkins,Owner,caleb.jenkins@thelittlebirdgr.com,website,info@littlebirdgr.com; christian@littlebirdgr.com; caleb.jenkins@thelittlebirdgr.com
Faro's Italian Pizza,https://www.farospizza.com,OSM (fill),0330017,,,mariofarospizza@gmail.com,none,mariofarospizza@gmail.com
Campus Safety,https://calvin.edu/campus-safety,OSM (fill),096363193,Campus Safety,director,campus@calvin.edu,website,info@calvin.edu; 33333@calvin.edu; safety@calvin.edu; campus@calvin.edu
Rite Aid,https://www.riteaid.com/locations/mi/grand-rapids/2036-lake-michigan-dr.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Cornerstone University,https://www.cornerstone.edu,OSM (fill),0260803,Advisory Board,President,advisory.board@cornerstone.edu,website,info@cornerstone.edu; advisory.board@cornerstone.edu
Versiti Blood Center,https://versiti.org,OSM (fill),0260603,Advancement Christine,vice president,advancement@versiti.org,website,partnerships@versiti.org; wibeaconbear@versiti.org; advancement@versiti.org
Vitale's Italian Restaurant,https://www.theoriginalvitales.com,OSM (fill),026080510,Comstock Park,owner,comstock.park@theoriginalvitales.com,website,vitalesleonard814@gmail.com; comstock.park@theoriginalvitales.com
West Michigan Environmental Action Council,https://wmeac.org,OSM (fill),0260804,Improving Recycling,Partner,improving@wmeac.org,website,info@wmeac.org; giving@wmeac.org; t4watershed@wmeac.org; improving@wmeac.org
Aquinas College,https://www.aquinas.edu,OSM (fill),0260522,Brian Matzke,Vice President,brian@aquinas.edu,website,20schoolofed@aquinas.edu; admissions@aquinas.edu; chalmersk@aquinas.edu; dunstonc@aquinas.edu; financialaid@aquinas.edu; hennibre@aquinas.edu; kittenc@aquinas.edu; lee@aquinas.edu; ljh001@aquinas.edu; lrk003@aquinas.edu; matzkbri@aquinas.edu; meierm@aquinas.edu; nyczakk@aquinas.edu; perezj2@aquinas.edu; rousseaum@aquinas.edu; rrr001@aquinas.edu; schoolofed@aquinas.edu; vsg001@aquinas.edu; webmaster@aquinas.edu; brian@aquinas.edu
Cherry Health - Heart of the City Health Center,https://cherryhealth.org,OSM (fill),0260618,Chief Executive,President,chief.executive@cherryhealth.org,website,hr@cherryhealth.com; affordablecare@cherryhealth.com; billingmail@cherryhealth.com; compliance@cherryhealth.com; lecceadone@seyferthpr.com; newpatient@cherryhealth.com; chief.executive@cherryhealth.org
Mel Trotter Ministries,https://www.meltrotter.org,OSM (fill),0260729,Mel Tr,partner,mel.tr@meltrotter.org,website,info@meltrotter.org; mel.tr@meltrotter.org
Pleasant Hearts Pet Food Pantry,https://www.pleasantheartspetfoodpantry.org,OSM (fill),05004010,,,info@pleasantheartspetfoodpantry.org,none,info@pleasantheartspetfoodpantry.org
City Built Brewing Company,https://citybuiltbrewing.com,OSM (fill),088238360,Los Mariscos,partner,los.mariscos@citybuiltbrewing.com,website,info@citybuiltbrewing.com; los.mariscos@citybuiltbrewing.com
Furniture City Creamery,https://furniturecitycreamery.com,OSM (fill),04580252064,,,bridget@furniturecitycreamery.com,none,bridget@furniturecitycreamery.com; cater@furniturecitycreamery.com; rachel@furniturecitycreamery.com; trachelle@furniturecitycreamery.com
Days Inn & Suites,https://www.wyndhamhotels.com/days-inn/grand-rapids-michigan/days-inn-and-suites-grand-rapids-near-downtown/overview,OSM (fill),+16164269721,Ford Presidential,president,ford.presidential@wyndhamhotels.com,website,accessibility@wyndham.com; ford.presidential@wyndhamhotels.com
Acrisure Amphitheater,https://www.acrisureamphitheater.com,OSM (fill),,Acrisure Amphitheater,Partner,acrisure.amphitheater@acrisureamphitheater.com,website,hcarpenter@grandrapidsvenues.com; acrisure.amphitheater@acrisureamphitheater.com
Momma D's Kitchen,https://mommadskitchenllc.com,OSM (fill),0250516,Apple Chardonnay,Team Member,apple.chardonnay@mommadskitchenllc.com,website,mommadskitchenllc@gmail.com; apple.chardonnay@mommadskitchenllc.com
Grand Rapids Tech,https://www.grandrapids.tech,OSM,02309041,Justin Ayers,Founder,justin@grandrapids.tech,website,support@grandrapids.tech; helpdesk@grandrapids.tech; sales@grandrapids.tech; u003csales@grandrapids.tech; justin@grandrapids.tech
Holy Trinity Greek Orthodox Church,https://www.holytrinitygoc.org,OSM (fill),094063199000,,,frjoshua@holytrinitygoc.org,none,frjoshua@holytrinitygoc.org
Suite Society,https://suitesocietystudios.com,OSM (fill),0241125,Double Suites,partner,double.suites@suitesocietystudios.com,website,info@suitesocietystudios.com; graham@suitesociety.com; jdoe@beauty.com; double.suites@suitesocietystudios.com
Fratelli's Kitchen & Bar,https://fratellisgr.com,OSM (fill),01520153,,,hello@fratellisgr.com,none,hello@fratellisgr.com
Spirit Dreams,https://spiritdreamsgr.com,OSM (fill),0260714,,,info@spiritdreamsgr.com,none,info@spiritdreamsgr.com
