Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
United States District Court,https://www.ncmd.uscourts.gov/court-info/court-locations/greensboro,OSM (fill),,Calvin Coolidge,President,calvin@ncmd.uscourts.gov,website,clerk@ncmd.uscourts.gov; jauld@ncmd.uscourts.gov; jbragdon@ncmd.uscourts.gov; jeagles@ncmd.uscourts.gov; jfreeman@ncmd.uscourts.gov; jmcfadden@ncmd.uscourts.gov; josteen@ncmd.uscourts.gov; jpeake@ncmd.uscourts.gov; jschroeder@ncmd.uscourts.gov; unassignedjudge@ncmd.uscourts.gov; calvin@ncmd.uscourts.gov
High Point CrossFit,https://highpointcrossfit.com,OSM (fill),04900491,High Point,Team Member,high@highpointcrossfit.com,website,eben@eyebytes.com; georgette@highpointcrossfit.com; high@highpointcrossfit.com
LoveSac,https://www.lovesac.com/showroomlocator/nc/greensboro/friendly-center/3326-w-friendly-ave,OSM (fill),+13364992009,,,friendlycenter@lovesac.com,none,friendlycenter@lovesac.com
Gate City Billiards Club,https://www.gatecitybilliards.com,OSM (fill),0853255,Gate City,Owner,gate@gatecitybilliards.com,website,brian@gatecitybilliards.com; don@gatecitybilliards.com; gate@gatecitybilliards.com
Guilford Technical Community College,https://www.gtcc.edu/about/campuses/greensboro.php,OSM,01247594767507299158,Education Centers,partner,education.centers@gtcc.edu,website,hr@gtcc.edu; info@gtcc.edu; education.centers@gtcc.edu
West Shore Home,https://onservices.com/locations/greensboro-av-production,OSM (fill),+18009672419,Site Audio,Partner,site.audio@onservices.com,website,sales@onservices.com; services@onservices.com; site.audio@onservices.com
West Market Veterinary Hospital,https://www.westmarketvets.com,OSM (fill),0201117,Veterinary Medicine,cto,veterinary.medicine@westmarketvets.com,website,westmarketvets@gmail.com; veterinary.medicine@westmarketvets.com
Bluetick,https://bluetickinc.com,OSM,0666666666667,Integrated Tract,Owner,integrated.tract@bluetickinc.com,website,info@bluetickinc.com; support@bluetickinc.com; integrated.tract@bluetickinc.com
Ashley HomeStore,https://stores.ashleyfurniture.com/store/us/north-carolina/greensboro/9000109026,OSM (fill),0260727,Mattress Prote,cto,mattress.prote@stores.ashleyfurniture.com,website,customercare@1915south.com; mattress.prote@stores.ashleyfurniture.com
California Closets,https://www.locations.californiaclosets.com/california-closets-greensboro-6663332d3f3a,OSM (fill),0860181,The Emperor,cto,the.emperor@locations.californiaclosets.com,website,customer-service@calclosets.com; the.emperor@locations.californiaclosets.com
State Employees Credit Union,https://locations.ncsecu.org/greensboro/2600-south-holden-road,OSM (fill),0323182,,,greensboro-holdenroad@ncsecu.org,none,info@ncsecu.org; greensboro-holdenroad@ncsecu.org
Trimed Technologies,https://trimedtech.com,OSM,030851535,Support Your,Partner,support.your@trimedtech.com,website,support@trimedtech.com; sales@trimedtech.com; support.your@trimedtech.com
