Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Fountain of Faith Baptist Church,http://www.fofbchouston.org,OSM (fill),026202620262026,Ronald Barrs,Senior,ronald.barrs@fofbchouston.org,website,fofbc2002@gmail.com; ronald.barrs@fofbchouston.org
Humanities Research Center,https://hrc.rice.edu,OSM,01433293591321950210,Main St,Founder,main.st@hrc.rice.edu,website,hrc@rice.edu; main.st@hrc.rice.edu
Chao Center for Asian Studies,https://chaocenter.rice.edu,OSM,01433293591321950210,Court Visitor,Founder,court.visitor@chaocenter.rice.edu,website,chao.center@rice.edu; ems12@rice.edu; court.visitor@chaocenter.rice.edu
Kinder Institute for Urban Research,https://kinder.rice.edu,OSM,022072100722,Counties Since,owner,counties.since@kinder.rice.edu,website,kinder@rice.edu; counties.since@kinder.rice.edu
Rice Space Institute,https://rsi.rice.edu,OSM,01433293591321950210,External Programs,Managing Director,external.programs@rsi.rice.edu,website,space@rice.edu; external.programs@rsi.rice.edu
Forward Science,https://forwardscience.com,OSM,083164148,Executive Officer,Chief Executive Officer,executive.officer@forwardscience.com,website,focus@3.x.x; executive.officer@forwardscience.com
Bear Creek United Methodist Church,https://bearcreekumc.org,OSM (fill),05925671,Ann Cox,Director,ann@bearcreekumc.org,website,bckids@bearcreekumc.org; bcumc@bearcreekumc.org; bcyouth@bearcreekumc.org; billc@bearcreekumc.org; charlab@bearcreekumc.org; deborahr@bearcreekumc.org; director@bcumcs.org; facilities@bearcreekumc.org; kristig@bearcreekumc.org; leot@bearcreekumc.org; mshtaylor@aol.com; oscarp@bearcreekumc.org; tim.mcgee@ahbeck.com; ann@bearcreekumc.org
XVAND,https://xvand.com,OSM,0210916,Management Is,Owner,management.is@xvand.com,website,info@xvand.com; technologyconsult@xvand0.onmicrosoft.com; management.is@xvand.com
PetroSkills,https://www.petroskills.com,OSM (fill),0251023,Skills Alliance,partner,skills.alliance@petroskills.com,website,29@2x.7155b3c1.avif; training@2x.1b0193c4.avif; skills.alliance@petroskills.com
IndustrialZone inc,http://www.IndustrialZone.com,OSM (fill),036682114,Air Pow,cto,air.pow@IndustrialZone.com,website,support@industrialzone.com; 2026@industrialzone.com; air.pow@IndustrialZone.com
Miri's Kitchen Persian,https://miriskitchen.com,OSM (fill),,Parvaneh Miri,owner,parvaneh@miriskitchen.com,website,miri@miriskitchen.com; parvaneh@miriskitchen.com
Premier Wireless Business Technology Solutions,https://www.premierwireless.com,OSM,03173443051785915727,As President,Founder,as.president@premierwireless.com,website,support@premierwireless.com; sales@premierwireless.com; as.president@premierwireless.com
OIT Help Desk,https://oit.rice.edu,OSM,01433293591321950210,Governance External,Partner,governance.external@oit.rice.edu,website,helpdesk@rice.edu; governance.external@oit.rice.edu
Bullritos,https://www.bullritos.com,OSM (fill),05091884833836,,,info@bullritos.com,none,info@bullritos.com
24 Hour Fitness,https://www.24hourfitness.com/gyms/houston-tx/galleria-sport,OSM (fill),0343260715123811,Other Sharing,owner,other.sharing@24hourfitness.com,website,ccpadr@24hourfit.com; cpm@24hourfit.com; cpo@24hourfit.com; other.sharing@24hourfitness.com
CS TV Mounting,https://www.cstvmounting.com,OSM,0959072,Mounting Professional,owner,mounting.professional@cstvmounting.com,website,support@cstvmounting.com; mounting.professional@cstvmounting.com
City Church Houston,https://www.citychurchhouston.com,OSM (fill),024121719,,,info@citychurchhouston.com,none,info@citychurchhouston.com
