Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Christian Faith Centre,http://www.cfcindy.org,OSM (fill),063176527,Pray With,Partner,pray.with@cfcindy.org,website,amontgomery@colonialindy.org; connect@cfccampusministry.com; connect@collegiansforchrist.org; pray.with@cfcindy.org
Cutco Cutlery,https://www.cutco.com/home.jsp,OSM (fill),0251021,Knives The,Owner,knives@cutco.com,website,service@cutco.com; serviceca@cutco.com; servicio@cutco.com; knives@cutco.com
North Mass Boulder,https://www.northmassboulder.com,OSM (fill),024257008,El Presidente,Co-founder,el@northmassboulder.com,website,hello@northmassboulder.com; colt@northmassboulder.com; elliott@northmassboulder.com; zach@northmassboulder.com; el@northmassboulder.com
Kindred Hospital Indianapolis North,https://www.kindredhospitals.com/locations/ltac/kindred-hospital-indianapolis-north,OSM (fill),035708985,Communications Jeanie,Vice President,communications.jeanie@kindredhospitals.com,website,aphelp@scionhealth.com; aphelp@scoionhealth.com; courage@scionhealth.com; jeanie.rittenberry@scionhealth.com; mediacontact@scionhealth.com; recordsretention@kindred.com; timothy.jolly@scionhealth.com; communications.jeanie@kindredhospitals.com
Blackink IT,https://blackinkit.com,OSM,0606175,Doug Allgood,President,doug.allgood@blackinkit.com,website,info@blackinkit.com; doug.allgood@blackinkit.com
Healthspot,https://healthspot.com,OSM (fill),08568181153499811785,Jordan Shatley,partner,jordan@healthspot.com,website,support@healthspot.com; omber@healthspot.com; jordan@healthspot.com
Alltech Flooring & Cabinets,https://alltechflooringandcabinets.com,OSM,068594552,,,alltechfloors@gmail.com,none,alltechfloors@gmail.com
Versiti Blood Center of Indiana,https://www.versiti.org/blood-donation-locations/indiana/indianapolis-blood-donation-center,OSM (fill),0260603,Advancement Christine,vice president,advancement@versiti.org,website,partnerships@versiti.org; wibeaconbear@versiti.org; advancement@versiti.org
Butler Fairman & Seufert Inc,https://www.bfsengr.com,OSM (fill),0230821,The Butler,partner,the@bfsengr.com,website,bfs@bfsengr.com; the@bfsengr.com
Indianapolis Jiu Jitsu Coach - BJJ Academy,http://www.indianapolisbjjcoach.com,OSM (fill),0241016,Coach Marketing,Partner,coach.marketing@indianapolisbjjcoach.com,website,mcmbjja@gmail.com; coach.marketing@indianapolisbjjcoach.com
Couture Pilates,https://www.couturepilatesindy.com,OSM (fill),070660031,At Couture,cto,at@couturepilatesindy.com,website,joanna@couturepilatesindy.com; at@couturepilatesindy.com
Silver in the City,https://silverinthecity.com,OSM (fill),09803921569,Every Purchase,Team Member,every.purchase@silverinthecity.com,website,info@silverinthecity.com; every.purchase@silverinthecity.com
LA Fitness,https://www.lafitness.com/Pages/clubhome.aspx?clubid=472,OSM (fill),011306302026,,,contactus@fitnessintl.com,none,contactus@fitnessintl.com
Custom Living,https://www.customlivingusa.com,OSM (fill),046297431,Rosemary Pyrah,PRESIDENT,rosemary@customlivingusa.com,website,hello@customlivingusa.com; tom@customlivingusa.com; rosemary@customlivingusa.com
Campus Center,https://studentaffairs.indianapolis.iu.edu/campus-center/index.html,OSM (fill),0240307,Sponsorships Fundraising,Partner,sponsorships.fundraising@studentaffairs.indianapolis.iu.edu,website,campcntr@iu.edu; sponsorships.fundraising@studentaffairs.indianapolis.iu.edu
"Case Pacer, Inc.",https://casepacer.com,OSM (fill),090013380,Lawyer Secure,Partner,lawyer.secure@casepacer.com,website,support@casepacer.com; sales@casepacer.com; lawyer.secure@casepacer.com
Hickory Treatment Center at Indianapolis,https://hickorytreatmentcenters.com/indianapolis-drug-alcohol-rehab,OSM (fill),06042117,Fairbanks Hospital,CEO,fairbanks.hospital@hickorytreatmentcenters.com,website,referrals@hickoryrecovery.com; fairbanks.hospital@hickorytreatmentcenters.com
Orangetheory Fitness,https://www.orangetheory.com/en-us/locations/indiana/downtown-indianapolis/91-n-new-jersey-st,OSM (fill),0100301,Author Share,partner,author.share@orangetheory.com,website,studiomanager1013@orangetheoryfitness.com; author.share@orangetheory.com
Conner's Kitchen + Bar Indianapolis,https://www.connersindy.com,OSM (fill),02155287,,,forms@tambourine.com,none,info@connersindy.com; forms@tambourine.com
F45 Training,https://f45training.com/studio/broadripple,OSM (fill),0230501055849,Batt Deputy,Director,batt@f45training.com,website,broadripple.admin@f45training.com; broadripple@f45training.com; batt@f45training.com
University Library,https://library.indianapolis.iu.edu,OSM (fill),0494877045,Business Affairs,Partner,business.affairs@library.indianapolis.iu.edu,website,alscampb@iu.edu; andjsmit@iu.edu; aproctor@iu.edu; barberc@iu.edu; brown314@iu.edu; btringal@iu.edu; caiapike@iu.edu; calexan@iu.edu; ccockrum@iu.edu; cetomber@iu.edu; cortnee@iu.edu; dataserv@iu.edu; dlewen@iu.edu; drayman@iu.edu; esnajdr@iu.edu; gmaixner@iu.edu; gwhitley@iu.edu; jajames@iu.edu; jdodell@iu.edu; jdurbin@iu.edu; jfaulkne@iu.edu; jkflemin@iu.edu; joppold@iu.edu; jpcooper@iu.edu; jtrinosk@iu.edu; kamcmurr@iu.edu; keearle@iu.edu; klpalmer@iu.edu; kpetsche@iu.edu; kskingen@iu.edu; ksorr@iu.edu; lcalvert@iu.edu; lfgrogg@iu.edu; lizvine@iu.edu; macyk@iu.edu; mameen@iu.edu; matmull@iu.edu; milaport@iu.edu; milleeva@iu.edu; mjhinsma@iu.edu; mlowe@iu.edu; mmcooper@iu.edu; mradican@iu.edu; mveenema@iu.edu; mwood@iu.edu; omacisaa@iu.edu; pamoffet@iu.edu; piperg@iu.edu; ramolin@iu.edu; rbernd@iu.edu; rdunaway@iu.edu; relmyers@iu.edu; rhinrich@iu.edu; rjacks@iu.edu; rwing@iu.edu; s10@iu.edu; sasannem@iu.edu; sbruer@iu.edu; setowne@iu.edu; shwint@iu.edu; smlane@iu.edu; spclifto@iu.edu; talscott@iu.edu; tdurbin@iu.edu; thpolzin@iu.edu; wsmither@iu.edu; business.affairs@library.indianapolis.iu.edu
Anytime Fitness,https://www.anytimefitness.com/gyms/3176/indianapolis-in-46250,OSM (fill),0611448,Jayson Altman,Owner,jayson@anytimefitness.com,website,customercare@abcfitness.com; fishersin@anytimefitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; jayson@anytimefitness.com
Raybourn Group International,https://raybourn.com,OSM (fill),0260804,Amylyn Riedling,President,amylyn.riedling@raybourn.com,website,info@raybourn.com; amylyn.riedling@raybourn.com
George E. Booth Co,https://gebooth.com,OSM (fill),034230370000,Booth Co,partner,booth.co@gebooth.com,website,sales4@gebooth.com; sales@gebooth.com; booth.co@gebooth.com
