Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Las Colinas Federal Credit Union,https://www.lascolinasfcu.com,OSM (fill),08435295,Wallet Card,Manager,wallet.card@lascolinasfcu.com,website,complaints@texanscu.org; compliments@texanscu.org; memberservice@texanscu.org; wallet.card@lascolinasfcu.com
Desi Bites,https://desibites.com,OSM (fill),,,,jarallax@1.10,none,jarallax@1.10
University of Dallas,https://udallas.edu,OSM (fill),025202620252026,Irvin Ashford,Managing Director,irvin@udallas.edu,website,admissions@udallas.edu; irvin@udallas.edu
Cure With Care Dental,https://www.curewithcaredentist.com,OSM (fill),02233725,Chaitanya Raval,cto,chaitanya.raval@curewithcaredentist.com,website,office@curewithcaredentist.com; chaitanya.raval@curewithcaredentist.com
Spot Bar & Kitchen,https://spotbarandkitchen.com,OSM (fill),026080511,Book Table,head of,book.table@spotbarandkitchen.com,website,sathikospot@gmail.com; book.table@spotbarandkitchen.com
Riverchase Animal Hospital,https://www.riverchaseanimalhospital.com,OSM (fill),0928251,Find Quality,Owner,find.quality@riverchaseanimalhospital.com,website,hello@riverchaseanimalhospital.com; find.quality@riverchaseanimalhospital.com
Jackie Townsell Bear Creek Heritage Center,https://www.irvingarchivesandmuseum.com/bear-creek-heritage-center,OSM (fill),0387084,April Baker,Director,april.baker@irvingarchivesandmuseum.com,website,info@irvingarchivesandmuseum.com; abaker@irvingtx.gov; chulfish@irvingtx.gov; jlandry@irvingtx.gov; pmunoz@irvingtx.gov; april.baker@irvingarchivesandmuseum.com
United Electronic Recycling,https://unitedelectronicrecycling.com,OSM (fill),0210910,Jason Keller,CEO,jason.keller@unitedelectronicrecycling.com,website,info@uerteam.com; jkeller@uerteam.com; jason.keller@unitedelectronicrecycling.com
LanGo Institute,https://langoinstitute.com,OSM (fill),02130625,Akiba Yavneh,cto,akiba@langoinstitute.com,website,jobs@langoinstitute.com; learn@langoinstitute.com; lisa@langoinstitute.com; akiba@langoinstitute.com
Kwality Ice Cream & Bakery,https://kwalityicecreamdfw.com,OSM (fill),01020103,,,filler@godaddy.com,none,filler@godaddy.com
247 Workspace Office Furniture,https://247workspace.com,OSM (fill),09778898753358182177,Andy Gabehart,CEO,andy.gabehart@247workspace.com,website,info@247workspace.com; andy.gabehart@247workspace.com
Karma Kagyu Tibetan Buddhist Meditation Center,https://ktcdallas.org,OSM (fill),01669074113593,Armeda Ave,director,armeda@ktcdallas.org,website,director@ktcdallas.org; armeda@ktcdallas.org
Politano's Pizza & Pasta,https://www.mypolitanos.com,OSM (fill),02564438301,,,hi@mystore.com,none,hi@mystore.com
1255 Corporate,http://www.usbank.com,OSM (fill),0260804,Gunjan Kedia,CEO,gunjan@usbank.com,website,portaldotcom@usbank.com; rewardscommunication@usbank.com; gunjan@usbank.com
"Texas Car Title and Payday Loan Services, Inc.",https://texascartitleandpaydayloanservicesinc.com/title-loan-locations/tx1015/irving-75062,OSM (fill),05958729,Find Texas,Team Member,find.texas@texascartitleandpaydayloanservicesinc.com,website,webquestions@clacorp.com; find.texas@texascartitleandpaydayloanservicesinc.com
Anytime Fitness,https://www.anytimefitness.com/gyms/4549/irving-tx-75039,OSM (fill),0611448,Anytime Fitness,Owner,anytime.fitness@anytimefitness.com,website,customercare@abcfitness.com; irvingtx3@anytimefitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; anytime.fitness@anytimefitness.com
La Quinta Inn & Suites DFW Airport South / Irving,https://www.wyndhamhotels.com/laquinta/irving-texas/la-quinta-dfw-airport-south-irving/overview,OSM (fill),+19452880032,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Tropical Oasis,https://tropicaloasis.com,OSM (fill),01586148,Amazon American,cto,amazon.american@tropicaloasis.com,website,info@tropicaloasis.com; amazon.american@tropicaloasis.com
United Auction Group,https://unitedauctiongroup.com,OSM (fill),0250120,,,s-hopson@outlook.com,none,admin@unitedauctiongroup.com; s-hopson@outlook.com; wordpress@unitedauctiongroup.com
Centersquare,https://centersquaredc.com,OSM (fill),06247788,Customer Re,Partner,customer.re@centersquaredc.com,website,media@csquare.com; customer.re@centersquaredc.com
9 Rabbits Bakery,https://www.9rabbitsbakery.com,OSM (fill),0744650,,,9rabbitsbakery@gmail.com,none,9rabbitsbakery@gmail.com
Canales Furniture,https://www.canalesfurnitureusa.com,OSM (fill),0396541,Veronica Canales,founder,veronica.canales@canalesfurnitureusa.com,website,info@canalesfurniture.com; veronica.canales@canalesfurnitureusa.com
Sheesh Kitchen,https://sheeshkitchen.com,OSM (fill),0260722,,,info@sheeshkitchen.com,none,info@sheeshkitchen.com
Downtown Irving/Heritage Crossing,https://www.dart.org,OSM (fill),01072305,Chief Audit,Chief Executive Officer,chief@dart.org,website,akramer@dart.org; akurian@dart.org; bdesha@dart.org; ccato@dart.org; cdoucet@dart.org; cholland@dart.org; ckoloc@dart.org; dart-ceo@dart.org; dbrown9@dart.org; djohnson2@dart.org; ehernandez4@dart.org; emyers@dart.org; ggamez@dart.org; jadelman@dart.org; jaleman@dart.org; jfrost@dart.org; jhonor@dart.org; jksmith@dart.org; jmolina1@dart.org; jsalazar@dart.org; kshelton@dart.org; mcollins@dart.org; rmedina-cristobal@dart.org; scatchup@dart.org; tmpierre@dart.org; twalker1@dart.org; twinters@dart.org; chief@dart.org
Ace Hardware Irving,https://www.acehardware.com/store-details/18625,OSM (fill),05590438,Customer Service,owner,customer@acehardware.com,website,contactus@hanover-products.com; support@mockins.com; support@mrcool.com; aceordersupport@ariensco.com; carecenter@acehardware.com; claims@chilewich.com; copyright@acehardware.com; customerservice@classycaps.com; customerservice@ladders.com; ecommerceom@fortressbp.com; ecommercesupport@linon.com; fraud@acehardware.com; orders@cpeauto.com; rdealers@alpine4u.com; reportphishing@apwg.org; retailcustomersupport@generac.com; returns@marlonproducts.com; romeros@fortressrailingproducts.com; spam@uce.gov; u003eaceordersupport@ariensco.com; u003ecarecenter@acehardware.com; u003eclaims@chilewich.com; u003econtactus@hanover-products.com; u003ecustomerservice@classycaps.com; u003ecustomerservice@ladders.com; u003eecommerceom@fortressbp.com; u003eecommercesupport@linon.com; u003efraud@acehardware.com; u003eorders@cpeauto.com; u003erdealers@alpine4u.com; u003ereportphishing@apwg.org; u003eretailcustomersupport@generac.com; u003ereturns@marlonproducts.com; u003eromeros@fortressrailingproducts.com; u003espam@uce.gov; u003esupport@mockins.com; u003esupport@mrcool.com; u003ewaterloocs@sbdinc.com; waterloocs@sbdinc.com; customer@acehardware.com
ERP Logic,https://www.erplogic.com,OSM,02174924,Built In,partner,built.in@erplogic.com,website,reachout@noblq.com; built.in@erplogic.com
