Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Advanced Computer Consulting,https://www.advancedcpc.com,OSM,+19048728023,Plain English,Team Member,plain.english@advancedcpc.com,website,info@advancedcpc.com; plain.english@advancedcpc.com
Belleza at Ponte Vedra Condominium Clubhouse,https://bellezapv.com,OSM (fill),,Google Maps,owner,google.maps@bellezapv.com,website,bellezamanager@gmail.com; google.maps@bellezapv.com
San Jose Episcopal Church,http://www.sanjoseepiscopal.com,OSM (fill),,Acolytes Le,cto,acolytes@sanjoseepiscopal.com,website,brandon@sanjoseepiscopal.com; cathy@sanjoseepiscopal.com; churchoffice@sanjoseepicopal.com; churchoffice@sanjoseepiscopal.com; frbritt@sanjoseepiscopal.com; jan@sanjoseepiscopal.com; katie@sanjoseepiscopal.com; melissa@sanjoseepiscopal.com; outreach@sanjoseepiscopal.com; susan@sanjoseepiscopal.com; acolytes@sanjoseepiscopal.com
Jacksonville,https://www.jacksonville.gov,OSM (fill),055877443,In May,President,in.may@jacksonville.gov,website,mayordonnadeegan@coj.net; media@coj.net; myjax@custhelp.com; in.may@jacksonville.gov
Joshua Christian Faith Center,https://www.joshuachristian.org,OSM (fill),0250515,Dear Friends,founder,dear.friends@joshuachristian.org,website,jcfcinc@joshuachristian.net; dear.friends@joshuachristian.org
iSectra,https://isectra.com,OSM,0484562807,Damian Colarte,Chief Executive Officer,damian.colarte@isectra.com,website,info@isectra.com; support@isectra.com; john@company.com; damian.colarte@isectra.com
Veterans United Craft Brewery & Taproom,https://www.vubrew.com,OSM (fill),+19042533326,Charity Coordinator,Co-Founder,charity.coordinator@vubrew.com,website,info@vubrew.com; charity.coordinator@vubrew.com
All Saints Early Learning Child Care School,https://www.allsaintscarecenter.com,OSM (fill),0241223,Community Care,director,community.care@allsaintscarecenter.com,website,alsaintselccc@gmail.com; community.care@allsaintscarecenter.com
The Scarlett Group,https://www.scarlettculture.com,OSM,073081658326849331,Contractor North,Owner,contractor.north@scarlettculture.com,website,info@scarlettgroup.com; contractor.north@scarlettculture.com
Belmarmi,https://www.belmarmi.com,OSM (fill),01520153,,,info@belmarmi.com,none,info@belmarmi.com
In the Word International Church,https://inthewordinternationalchurch.org,OSM (fill),01856977,Community Coalition,partner,community.coalition@inthewordinternationalchurch.org,website,intheword@earthlink.net; community.coalition@inthewordinternationalchurch.org
The Fox Restaurant,https://foodeist.com/place/fox-restaurant,OSM (fill),025115540098,Foodeist Premium,Owner,foodeist.premium@foodeist.com,website,contact@foodeist.com; foodeist.premium@foodeist.com
JAX Federal Credit Union,https://www.jaxfcu.org,OSM (fill),0240112,Fi Credit,partner,fi.credit@jaxfcu.org,website,answers@radificu.org; fi.credit@jaxfcu.org
Woodlawn Presbyterian Church,https://woodlawnpresbyterian.org,OSM (fill),064492686792,,,eris@woodlawnpresbyterian.org,none,hello@woodlawnpresbyterian.org; eris@woodlawnpresbyterian.org; neris@woodlawnpresbyterian.org; woodlawnc9@aol.com
LensCrafters,https://local.lenscrafters.com/fl/jacksonville/4668-town-crossing-dr.html,OSM (fill),033106565852,Independent Do,cto,independent.do@local.lenscrafters.com,website,3e4658c1d3-c06a-4b14-8be0-97f04f33ce5a@1.50x; independent.do@local.lenscrafters.com
Advanced IT Support,https://www.advancedits.net,OSM,0260708,Jeremiah Dillingham,Founder,jeremiah.dillingham@advancedits.net,website,support@advancedits.net; jeremiah.dillingham@advancedits.net
Quadrant Information Security,https://www.quadrantsec.com,OSM,0260622,Cyber-Led Managed,CEO,cyber-led.managed@quadrantsec.com,website,info@quadrantsec.com; cyber-led.managed@quadrantsec.com
Ephesus Junior Academy,https://www.ephesusjunioracademy.org,OSM (fill),095455607,Adventist Christian,Owner,adventist@ephesusjunioracademy.org,website,bedwards@ephesusjunioracademy.org; joyceline.poole-dudley@secsda.org; joyceline.pooledudley@secsda.org; joycelinep5@bellsouth.net; jpoole@monroelangston.com; marva.peay@secsda.org; mpeay@ephesusjunioracademy.org; pat.goffe@secsda.org; sonia.goulbourne@secsda.org; tonia.satterfield@secsda.org; tsatterfield@ephesusjunioracademy.org; u003einfo@company.com; u003ejoyceline.pooledudley@secsda.org; u003emarva.peay@secsda.org; u003epat.goffe@secsda.org; u003esonia.goulbourne@secsda.org; u003etonia.satterfield@secsda.org; adventist@ephesusjunioracademy.org
J-Tech Institute,https://www.jtech.org,OSM,0260714,Auto Parts,partner,auto.parts@jtech.org,website,dev@celsiusmarketing.com; auto.parts@jtech.org
Alexander Temple Community Church,https://www.alexandertemplecc.com/home,OSM (fill),0223641,,,alexandertemplecommunitychurch@gmail.com,none,alexandertemplecommunitychurch@gmail.com
Apple Store,https://www.apple.com/retail/stjohnstowncenter,OSM (fill),0114776,Apple Alex,CEO,apple@apple.com,website,media.help@apple.com; stjohnstowncenter@apple.com; apple@apple.com
Viking Auto Electric & Air,https://www.vikingautoelectric.com,OSM (fill),0104213,Sunbeam Rd,owner,sunbeam@vikingautoelectric.com,website,harry@vikingautoelectric.com; sunbeam@vikingautoelectric.com
Ashley HomeStore,https://stores.ashleyfurniture.com/store/us/florida/jacksonville/7710000085,OSM (fill),0260727,Mattress Prote,cto,mattress.prote@stores.ashleyfurniture.com,website,customercare@1915south.com; mattress.prote@stores.ashleyfurniture.com
Kustura Technologies,https://kustura.com,OSM,01520153,Kustura Technolog,CEO,kustura.technolog@kustura.com,website,info@kustura.com; kustura.technolog@kustura.com
Destiny Church of Jacksonville,https://destinychurchjacksonville.com,OSM (fill),0555555555556,,,info@destinychurchjax.com,none,info@destinychurchjax.com
Grassroots Natural Market,https://www.thegrassrootsmarket.com,OSM (fill),01277795015,,,hello@thegrassrootsmarket.com,none,hello@thegrassrootsmarket.com
Jax Elite Home Services,https://www.jax-elite.com,OSM (fill),0170610,Jax Elite,cto,jax.elite@jax-elite.com,website,info@jax-elite.com; jax.elite@jax-elite.com
DSW,https://stores.dsw.com/usa/fl/jacksonville/dsw-designer-shoe-warehouse-st-john's-town-center.html,OSM (fill),04900491,,,info@dswinc.com,none,info@dswinc.com; customerservice@dsw.com
Citywide Income Tax Services,https://www.citywide1040.com,OSM (fill),0250108,Income Tax,partner,income@citywide1040.com,website,info@citywide1040.com; elbon@citywide1040.com; income@citywide1040.com
Taverna,https://taverna.restaurant,OSM (fill),0546063,Efron Co,Owner,efron.co@taverna.restaurant,website,contact@tavernasanmarco.com; amani@tavernasanmarco.com; audrey@tavernasanmarco.com; ben@tavernasanmarco.com; chad@tavernasanmarco.com; kiley@tavernaoceana.com; kiley@tavernasanmarco.com; kim@tavernasanmarco.com; marco@tavernasanmarco.com; rose@tavernasanmarco.com; sam@tavernasanmarco.com; sarah@tavernasanmarco.com; tina@tavernasanmarco.com; tony@tavernasanmarco.com; troyce@tavernasanmarco.com; efron.co@taverna.restaurant
TonyD's New York Pizza & Restaurant,https://tdnypizza.com,OSM (fill),01520153,New York,Founder,new.york@tdnypizza.com,website,team@latofonts.com; anapbm@gmail.com; new.york@tdnypizza.com
Metro Diner,https://metrodiner.com/locations/florida/ortega,OSM (fill),076001007,Does Met,owner,does@metrodiner.com,website,info@metrodiner.com; marketing@metrodiner.com; placemats@metrodiner.com; does@metrodiner.com
New Leaf Vapor Company,https://www.newleafvapor.com,OSM (fill),0965834,Mike Gonzales,CEO,mike.gonzales@newleafvapor.com,website,support@newleafvapor.com; abc@xyz.com; mike.gonzales@newleafvapor.com
