Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Fit Foundry,https://fitfoundry.com,OSM (fill),0250905,David Quevedo,Founder,david.quevedo@fitfoundry.com,website,hello@fitfoundry.com; david.quevedo@fitfoundry.com
Orale Mexican Kitchen,https://oralemk.com,OSM (fill),0260611,Frequently Asked,Team Member,frequently@oralemk.com,website,events@oralemk.com; frequently@oralemk.com
Jersey City Dental Spa,https://www.dentalnspa.com,OSM (fill),043030412,Dental Spa,cto,dental.spa@dentalnspa.com,website,jcdentalspa@gmail.com; dental.spa@dentalnspa.com
Stevens Institute of Technology,https://www.stevens.edu,OSM,0520137,Cabinet President,President,cabinet@stevens.edu,website,agarfink@stevens.edu; amendez@stevens.edu; dlombar1@stevens.edu; financialaid@stevens.edu; iusmani@stevens.edu; jmarrero@stevens.edu; jperalta1@stevens.edu; kherrman1@stevens.edu; kscudder@stevens.edu; lvegaros@stevens.edu; rrosado@stevens.edu; smcandre@stevens.edu; ssweeney1@stevens.edu; vdiaz1@stevens.edu; yfreeman@stevens.edu; cabinet@stevens.edu
Hoboken Cove Community Boathouse,https://www.hobokencoveboathouse.org,OSM (fill),0223641,Atlantic Ocean,partner,atlantic.ocean@hobokencoveboathouse.org,website,info@hobokencoveboathouse.org; atlantic.ocean@hobokencoveboathouse.org
Orale Mexican Kitchen,https://www.oralemk.com,OSM (fill),0260611,Frequently Asked,Team Member,frequently@oralemk.com,website,events@oralemk.com; frequently@oralemk.com
Pawsome Vita,https://www.pawsomevita.com,OSM (fill),+18622567400,,,newportjc@pawsomevita.com,none,newportjc@pawsomevita.com
Newport Swim & Fitness,https://www.newportsaf.com,OSM (fill),0240723,Newport Sw,partner,newport.sw@newportsaf.com,website,memberservices@newportamenity.com; newport.sw@newportsaf.com
Ela Greek Kitchen,https://www.elagreekkitchen.com,OSM (fill),026080512,Lemon Chicken,cto,lemon.chicken@elagreekkitchen.com,website,info.elagreek@gmail.com; lemon.chicken@elagreekkitchen.com
Grace Reformed Church of Jersey City,https://jerseycitygrace.org,OSM (fill),0556518,Congregational Day,cto,congregational.day@jerseycitygrace.org,website,jerseycitygrace@gmail.com; congregational.day@jerseycitygrace.org
Chango Kitchen,https://changokitchen.com,OSM (fill),01912250,,,info@changokitchen.com,none,info@changokitchen.com
west elm,https://www.westelm.com/stores/us-nj-hoboken-willow-ave,OSM (fill),0263080415189,Responsible Retail,Partner,responsible.retail@westelm.com,website,customerservice@westelm.com; westelm@o.westelm.com; responsible.retail@westelm.com
HeliFlite,https://www.heliflite.com,OSM (fill),0260410,Florida Yacht,Owner,florida.yacht@heliflite.com,website,info@heliflite.com; florida.yacht@heliflite.com
Oasis Orthopedic & Spine - Jersey City,https://oasismed.com/jersey-city,OSM (fill),0660704,Call Now,PARTNER,call@oasismed.com,website,appointments@oasismed.com; call@oasismed.com
Hoboken University Medical Center,https://www.carepointhealth.org/hoboken-university-medical-center,OSM (fill),0220101,Appointment Find,cto,appointment.find@carepointhealth.org,website,martha.truglio@carepointhealth.org; appointment.find@carepointhealth.org
Ramada Jersey City,https://www.wyndhamhotels.com/ramada/jersey-city-new-jersey/ramada-jersey-city/overview,OSM (fill),+12014326100,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
