Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
AmTest Laboratories,http://amtestlab.com,OSM (fill),,Aaron Young,Manager,aaron@amtestlab.com,website,admin@amtestlab.com; aarony@amtestlab.com; aaronyf@amtestlab.com; customerservice@amtestlab.com; login@amtestlab.com; micro@amtestlab.com; sethf@amtestlab.com; aaron@amtestlab.com
Koza Turkish and Mediterranean Grocery & Deli,https://kozaturkishgrocery.com,OSM (fill),0220314,Koza Market,Team Member,koza.market@kozaturkishgrocery.com,website,contact@sansoxygen.com; koza.market@kozaturkishgrocery.com
Bonafide Lock and Safe,https://bonafidelock.com,OSM (fill),0171023,Insured Contra,cto,insured.contra@bonafidelock.com,website,info@bonafidelock.com; insured.contra@bonafidelock.com
Fitness Together,https://fitnesstogether.com/kirkland,OSM (fill),0797387642,Do Not,Owner,do.not@fitnesstogether.com,website,riot@2.1; do.not@fitnesstogether.com
Alpha Gymnastics,https://www.alphagymnasticswa.com,OSM (fill),06180643,Alpha Gymnastics,owner,alpha.gymnastics@alphagymnasticswa.com,website,info@alphagymnasticswa.com; alpha.gymnastics@alphagymnasticswa.com
Nabtesco Aerospace Inc.,https://www.nabtescoaero.com,OSM (fill),+491511216845,,,aerospace@nabtesco.com,none,aerospace@nabtesco.com; sales@nabtescoaero.com
Acadia Craft,https://acadiacraft.com,OSM (fill),0260728,Acadia Craft,owner,acadia.craft@acadiacraft.com,website,info@acadiacraft.com; acadia.craft@acadiacraft.com
Juanita Vision Clinic,https://www.juanitavision.com,OSM (fill),0417202088,Eye Do,cto,eye.do@juanitavision.com,website,info@juanitavision.com; eye.do@juanitavision.com
Stryker,https://www.stryker.com,OSM (fill),0250430,Behrampur Village,cto,behrampur.village@stryker.com,website,infosmi@stryker.com; hanlijun@trauson.com; opensourcerequest@stryker.com; vivien.li@stryker.com; behrampur.village@stryker.com
DigiPen Institute of Technology,https://www.digipen.edu,OSM,0359502,Founder Claude,founder,founder@digipen.edu,website,admissions@digipen.edu; founder@digipen.edu
EPTAC Seattle Training Center,https://www.eptac.com/location/eptac-seattle-training-center,OSM (fill),0323049312,Award Charter,President,award@eptac.com,website,brenda@eptac.com; eptac@eptac.com; sales@eptac.com; award@eptac.com
All About Cats Veterinary Hospital,https://weareallaboutcats.com,OSM (fill),0170824,Care Your,partner,care.your@weareallaboutcats.com,website,info@weareallaboutcats.com; care.your@weareallaboutcats.com
Eastside Community Aid (ECA) Thrift Shop,https://ecathriftshop.org,OSM (fill),01520153,Ann Reynolds,President,ann.reynolds@ecathriftshop.org,website,ecathriftshop@gmail.com; ann.reynolds@ecathriftshop.org
EBC Training Centers,https://www.ebconefamily.com,OSM (fill),028853122052444,Active Athletes,CEO,active@ebconefamily.com,website,info@ebconefamily.com; aaron@ebconefamily.com; briana@ebconefamily.com; kendall@ebconefamily.com; nick@ebconefamily.com; training@ebconefamily.com; active@ebconefamily.com
Hy Kitchen Cabinet & Stone,https://hykitchen.com,OSM (fill),06640625,,,hy@hykitchen.com,none,hy@hykitchen.com
Cafe Juanita,https://cafejuanita.com,OSM (fill),020544663,Holly Smith,Owner,holly.smith@cafejuanita.com,website,info@cafejuanita.com; team@cafejuanita.com; holly.smith@cafejuanita.com
Project Management Academy Kirkland,https://projectmanagementacademy.net/pmp-certification/kirkland,OSM (fill),09212021,Army Lieutenant,CEO,army.lieutenant@projectmanagementacademy.net,website,contact@projectmanagementacademy.net; army.lieutenant@projectmanagementacademy.net
NW Vision Institute,https://www.nwvision.com,OSM (fill),0251113,Pure Encapsulations,partner,pure@nwvision.com,website,nwvision@nwvision.com; pure@nwvision.com
Gold's Gym,https://www.goldsgym.com/kirklandwa,OSM (fill),0233969,Named Sole,CEO,named@goldsgym.com,website,websiteinquiries@goldsgym.com; named@goldsgym.com
Global Credit Union,https://www.globalcu.org/branches/kingsgate,OSM (fill),0344801,Insurance Overview,owner,insurance@globalcu.org,website,globalcumsc@globalcu.org; kingsgate@globalcu.org; insurance@globalcu.org
Northwest University,https://www.northwestu.edu,OSM (fill),+14258228266,Banquet Chapel,President,banquet@northwestu.edu,website,development@northwestu.edu; banquet@northwestu.edu
Westlake Ace Hardware,https://westlakehardware.com,OSM (fill),0260801,Ace Hardware,owner,ace.hardware@westlakehardware.com,website,tmentzer@mprg.biz; ace.hardware@westlakehardware.com
Orion Sports Club,https://orionsportsclub.com,OSM (fill),074163259344093019,Orion Sports,cto,orion.sports@orionsportsclub.com,website,info@orionsportsclub.com; orion.sports@orionsportsclub.com
LWIT Bookstore,https://www.bkstr.com/lakewashingtonitstore/home,OSM (fill),07458248480177876197,Sites Apple,Partner,sites@bkstr.com,website,lwit@bkstr.com; sites@bkstr.com
Infinity Spa and Wellness,https://www.infinityspawellness.com,OSM (fill),0957316,Acupuncturist Teresa,owner,acupuncturist@infinityspawellness.com,website,teresa@infinityspawellness.com; acupuncturist@infinityspawellness.com
Pump It Up,https://www.pumpitupparty.com/kirkland-wa,OSM (fill),02608065129656,,,wa.kirkland@pumpitupparty.com,none,wa.kirkland@pumpitupparty.com
Anytime Fitness,https://www.anytimefitness.com/gyms/3227/kirkland-wa-98033,OSM (fill),0611448,Nick Dalbey,Owner,nick@anytimefitness.com,website,customercare@abcfitness.com; kirklandwa@anytimefitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; nick@anytimefitness.com
Solar You Yoga,https://solaryouyoga.com,OSM (fill),01520153,Dikla Kafka,co-founder,dikla.kafka@solaryouyoga.com,website,info@solaryouyoga.com; dikla.kafka@solaryouyoga.com
Everett Community College - Kirkland,https://www.everettcc.edu,OSM (fill),0260729,Alumni Accounting,President,alumni@everettcc.edu,website,studentlife@everettcc.edu; alumni@everettcc.edu
Skintegrity Medspa,https://www.skintegritymedspa.com,OSM (fill),+14258033000,Board Certification,cto,board.certification@skintegritymedspa.com,website,careers@skintegritymedspa.com; info@skintegritymedspa.com; board.certification@skintegritymedspa.com
Be One Yoga,https://www.beoneyogastudio.com,OSM (fill),02174924,Be One,cto,be.one@beoneyogastudio.com,website,info@beoneyogastudio.com; be.one@beoneyogastudio.com
Mediterranean Kitchen,https://mediterraneankitchens.net,OSM (fill),0260602,Dash Uber,Partner,dash.uber@mediterraneankitchens.net,website,info@mediterraneankitchens.net; dash.uber@mediterraneankitchens.net
Hopelink Food Bank,https://www.hopelink.org/locations/kirkland-northshore,OSM (fill),047169281,Community Action,Partner,community@hopelink.org,website,cschmidt@hopelink.org; drives@hopelink.org; findaride@hopelink.org; mobility@hopelink.org; persist@3.x.x; tdrovetto@hopelink.org; community@hopelink.org
Life Community Church,https://lifekirkland.org,OSM (fill),08641677,Boggs Worship,Director,boggs@lifekirkland.org,website,office@lifekirkland.org; abigail@lifekirkland.org; chris@lifekirkland.org; eileen@lifekirkland.org; eric@lifekirkland.org; kelly@lifekirkland.org; lauren@lifekirkland.org; mike@lifekirkland.org; boggs@lifekirkland.org
POMA Fertility,https://pomafertility.com,OSM (fill),+14258227662,,,name@company.com,none,name@company.com
Juanita High School,https://jhs.lwsd.org,OSM (fill),0704674,Civil Rights,Director,civil.rights@jhs.lwsd.org,website,bhowell@lwsd.org; civilrights@lwsd.org; jhs-attendance@lwsd.org; jwest@lwsd.org; kanthony-maeda@lwsd.org; kewarren@lwsd.org; lespejo@lwsd.org; rfurtado@lwsd.org; section504@lwsd.org; titleix@lwsd.org; civil.rights@jhs.lwsd.org
The War Front,https://thewarfront.com,OSM (fill),04465342784,Collector Whether,cto,collector.whether@thewarfront.com,website,thewarfront1944@gmail.com; collector.whether@thewarfront.com
Madison House,https://www.koelschseniorcommunities.com/senior-living/wa/kirkland/madison-house,OSM (fill),0241108,Explore Dining,President,explore.dining@koelschseniorcommunities.com,website,info@koelschsenior.com; explore.dining@koelschseniorcommunities.com
Wyze,https://wyze.com,OSM (fill),0401770055156,Yun Zhang,Cofounder,yun.zhang@wyze.com,website,support@wyze.com; yun.zhang@wyze.com
GSM Nation LLC,https://www.gsmnation.com,OSM (fill),0250500960,,,css-vars-ponyfill@2.js,none,css-vars-ponyfill@2.js
International Community School,https://ics.lwsd.org,OSM (fill),0240725,Family Expectations,partner,family.expectations@ics.lwsd.org,website,civilrights@lwsd.org; icsattendance@lwsd.org; icsregistrar@lwsd.org; jhendrickson@lwsd.org; modonnell@lwsd.org; mzia@lwsd.org; section504@lwsd.org; titleix@lwsd.org; family.expectations@ics.lwsd.org
Solidcore,https://solidcore.co/wa/seattle/totem-lake,OSM (fill),08210022,Core Collective,partner,core@solidcore.co,website,totemlake@solidcore.co; core@solidcore.co
Emerald City Orthodontics,https://www.ecortho.io,OSM (fill),01520153,Emerald City,founder,emerald.city@ecortho.io,website,support@orthodynamo.com; hi@ecortho.io; emerald.city@ecortho.io
