Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Kopita Authentic Mediterranean,https://kopitarestaurants.com,OSM (fill),026080512,Book Now,head of,book.now@kopitarestaurants.com,website,kopitaknox@gmail.com; book.now@kopitarestaurants.com
"Dog Gone Rite, LLC",https://doggoneritellc.com,OSM (fill),0640024,Send Cancel,Partner,send.cancel@doggoneritellc.com,website,eben@eyebytes.com; send.cancel@doggoneritellc.com
Pellissippi Veterinary Hospital,https://www.pellissippiveterinaryhospital.com,OSM (fill),07563266,Veterinary Hospital,cto,veterinary@pellissippiveterinaryhospital.com,website,frontdesk@pellissippiveterinaryhospital.com; veterinary@pellissippiveterinaryhospital.com
Summit Uniforms,https://mssuniforms.com/KnoxvilleLocation,OSM (fill),0906157,David Pearson,Manager,david.pearson@mssuniforms.com,website,david@summituniforms.com; jamie@summituniforms.net; david.pearson@mssuniforms.com
Roane State Community College Welcome sign,https://www.roanestate.edu,OSM (fill),0250121,Aaron Summerall,President,aaron@roanestate.edu,website,studentenrollment@roanestate.edu; aaron@roanestate.edu
Old City Sports Bar,https://oldcitysportsbar.com,OSM (fill),0260423,First Score,Team Member,first.score@oldcitysportsbar.com,website,oldcitysportsbar@gmail.com; first.score@oldcitysportsbar.com
The Guild Pilates,https://www.theguildstudio.com,OSM (fill),0211768715939124,Kimberly Chandler,cto,kimberly.chandler@theguildstudio.com,website,info@theguildstudio.com; kimberly.chandler@theguildstudio.com
M3 Technology Group,https://www.m3techgroup.com,OSM,0260507,Chief Executive,President,chief.executive@m3techgroup.com,website,support@m3techgroup.com; chief.executive@m3techgroup.com
Taziki's Mediterranean Cafe,https://www.tazikis.com/location/powell,OSM (fill),01520153,Giving Kitchen,partner,giving@tazikis.com,website,powell@tazikis.com; giving@tazikis.com
Lucas Lepri Brazilian Jiu Jitsu Knoxville,https://lepribjjknoxville.com,OSM (fill),0509961,Defense Reviews,cto,defense.reviews@lepribjjknoxville.com,website,bjjknoxville@gmail.com; defense.reviews@lepribjjknoxville.com
Low Meadow Farms,https://lowmeadowfarms.com,OSM (fill),070660031,,,host@brownbikefarms.com,none,host@brownbikefarms.com; lowmeadowfarms@gmail.com
Ramsey House Visitor Center,https://www.ramseyhouse.org,OSM (fill),0250522,Colonel Francis,Founder,colonel.francis@ramseyhouse.org,website,info@ramseyhouse.org; colonel.francis@ramseyhouse.org
Secret City Vapor,http://www.secretcityvaporhv.com,OSM (fill),0272418,Age Verification,Team Member,age.verification@secretcityvaporhv.com,website,info@secretcityvaporhv.com; age.verification@secretcityvaporhv.com
