Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Annie’s Answer,https://anniesanswer.org,OSM (fill),01610150886426,Events Facility,Partner,events.facility@anniesanswer.org,website,anniesanswer.programming@gmail.com; anniesanswerinc@gmail.com; events.facility@anniesanswer.org
Lexington Trailer & Hitch,https://www.lexingtontrailerandhitch.com,OSM (fill),03032094,Hours Change,cto,hours.change@lexingtontrailerandhitch.com,website,lextrailer@gmail.com; hours.change@lexingtontrailerandhitch.com
Institute 193,https://www.institute193.org,OSM (fill),0942971193,Directions Metered,Director,directions@institute193.org,website,info@institute193.org; keelan@institute193.org; reba@institute193.org; directions@institute193.org
Untitled,https://www.prhbtn.com,OSM (fill),025121709,Loudoun House,cto,loudoun@prhbtn.com,website,john@prhbtn.com; loudoun@prhbtn.com
Tailored Living Featuring PremierGarage,http://www.tailoredliving.com,OSM (fill),03420260806042452,North America,partner,north.america@tailoredliving.com,website,reporting@gohfc.com; north.america@tailoredliving.com
Albert B. Chandler Hospital,https://ukhealthcare.uky.edu/hospitals-clinics/albert-b-chandler-hospital,OSM (fill),0313757,Advanced Practice,Director,advanced.practice@ukhealthcare.uky.edu,website,itshelpdesk@uky.edu; ukhcbrand@uky.edu; advanced.practice@ukhealthcare.uky.edu
KidStrong,https://lexington.kidstrong.com,OSM (fill),+18593003703,Megin Sharp,Founder,megin.sharp@lexington.kidstrong.com,website,lexington@kidstrong.com; privacy@kidstrong.com; megin.sharp@lexington.kidstrong.com
Smithtown Seafood,https://smithtownseafood.com,OSM (fill),07838636909,Ouita Michel,Owner,ouita.michel@smithtownseafood.com,website,press@hollyhillandco.com; ouita.michel@smithtownseafood.com
Community Action Council,https://commaction.org,OSM (fill),0260506,Community Action,Partner,community.action@commaction.org,website,angie.schalch@commaction.org; john.barnes@commaction.org; joseph.patterson@commaction.org; kristi.persinger@commaction.org; luisyana.gamboa@commaction.org; patricia.shobe@commaction.org; phyllis.mckissack@commaction.org; theodore.ware@commaction.org; community.action@commaction.org
Kong Productions,https://www.kongpro.com,OSM (fill),070660031,,,an@kongpro.com,none,an@kongpro.com; ian@kongpro.com; template.placeholder@gmail.com
Apple Fritz Farm,https://www.apple.com/retail/fritzfarm,OSM (fill),0114776,Apple Alex,CEO,apple.alex@apple.com,website,fritzfarm@apple.com; media.help@apple.com; apple.alex@apple.com
Lexington Pride Center,https://www.lexpridecenter.org,OSM (fill),0735903,Jason Schubert,partner,jason@lexpridecenter.org,website,office@lexpridecenter.org; officemanager@lexpridecenter.org; bryana@lexpridecenter.org; jason@lexpridecenter.org; someone@website.com
Upscale Furniture,https://www.upscale-furniture.com,OSM (fill),0260611,Lexington Relocation,Director,lexington@upscale-furniture.com,website,customerservice@upscale-furniture.com; dan@upscale-furniture.com; dan@upscalefurniture.com; lexington@upscale-furniture.com
Winburn Fruit Supermarket,https://winburnfruitsupermarket.com,OSM (fill),0390673,Winburn Fruit,owner,winburn.fruit@winburnfruitsupermarket.com,website,winburnfruitsupermercado@gmail.com; winburn.fruit@winburnfruitsupermarket.com
Su Casa Tile & Granite,https://sucasatilegranite.com,OSM (fill),01303151208,,,mytops@sucasatilegranite.com,none,mytops@sucasatilegranite.com
Nelson Avenue Community Garden,https://www.seedleaf.org,OSM (fill),070660031,Christine Smith,Director,christine@seedleaf.org,website,admin@seedleaf.org; christine@seedleaf.org; emj@seedleaf.org; farm@seedleaf.org; garden@seedleaf.org; lexfoodmap@seedleaf.org; nicole@seedleaf.org; sarah@seedleaf.org
Kentucky Customs & Upfitting,https://kentucky-customs.com,OSM (fill),096397673568,Kentucky Customs,owner,kentucky.customs@kentucky-customs.com,website,sales@kentucky-customs.com; kentucky.customs@kentucky-customs.com
Best Style Suits Supply,https://beststylesuitssupply.com,OSM (fill),0919020168,Best Style,owner,best.style@beststylesuitssupply.com,website,beststylesuits@gmail.com; best.style@beststylesuitssupply.com
Los Hermanos Fruit Supermarket,https://loshermanosfruitsupermarket.com,OSM (fill),0457142,Los Hermanos,owner,los.hermanos@loshermanosfruitsupermarket.com,website,winburnfruitsupermercado@gmail.com; los.hermanos@loshermanosfruitsupermarket.com
Dunn in the Kitchen,https://www.dunninthekitchen.com,OSM (fill),0260325,,,chefmichele@dunninthekitchen.com,none,chefmichele@dunninthekitchen.com; dunninthekitchen@icloud.com; hi@mystore.com
Critchfield Meats,https://www.critchfieldmeats.com,OSM (fill),077269788261,Brandon Critchfield,CEO,brandon@critchfieldmeats.com,website,orders@critchfield.com; orders@critchfieldmeats.com; brandon@critchfieldmeats.com
Rollergirls of Central Kentucky (R.O.C.K.),https://rockandrollergirls.com,OSM (fill),08869616654680480117,Olivia Lussi,founder,olivia.lussi@rockandrollergirls.com,website,rollerderbyofcentralkentucky@gmail.com; olivia.lussi@rockandrollergirls.com
Perry's American Furniture Gallery,https://perrysgallery.com,OSM (fill),0250807,Dining Room,Team Member,dining.room@perrysgallery.com,website,sales@perrysgallery.com; dining.room@perrysgallery.com
"White, Greer & Maggard Orthodontics",https://wgmortho.com/location-nicholasville,OSM (fill),0774784,Are For,cto,are@wgmortho.com,website,hello@wgmortho.com; nicholasville@wgmortho.com; are@wgmortho.com
Smokey Mountain Truck & Jeep Outfitters,https://smokeymountaintruckoutfitters.com,OSM (fill),0749452,,,barry@smokeymountaintruckoutfitters.com,none,info@extang.com; barry@smokeymountaintruckoutfitters.com; felicia@smokeymountaintruckoutfitters.com; sales@smokeymountaintruckoutfitters.com
La Quinta Inn & Suites Lexington South / Hamburg,https://www.wyndhamhotels.com/laquinta/lexington-kentucky/la-quinta-lexington-south-hamburg/overview,OSM (fill),+18595431877,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Legacy Reserve at Fritz Farm,https://www.legacyreservefritzfarm.com,OSM (fill),0260804,Kennedy Sales,Director,kennedy@legacyreservefritzfarm.com,website,jkennedy@legacyreservefritzfarm.com; kennedy@legacyreservefritzfarm.com
Greater Kentucky Credit Union Inc.,https://www.gtkycu.com,OSM (fill),027201345,Guy Hawkins,President,guy@gtkycu.com,website,memberservice@gtkycu.com; guy@gtkycu.com
Trinity Christian Academy Upper Campus,https://www.trinitylex.org,OSM (fill),0260427,Baird Private,Managing Director,baird@trinitylex.org,website,office@trinitylex.org; aames@trinitylex.org; abowen@trinitylex.org; abriggs@trinitylex.org; acarter@trinitylex.org; adame@trinitylex.org; ahaddock@trinitylex.org; ajohnson@trinitylex.org; amaas@trinitylex.org; amartin@trinitylex.org; asherrow@trinitylex.org; awilliams@trinitylex.org; bbeatty@trinitylex.org; bnelson@trinitylex.org; bstone@trinitylex.org; bward@trinitylex.org; cguarnieri@trinitylex.org; cmorgan@trinitylex.org; cpepiot@trinitylex.org; creasoner@trinitylex.org; crogers@trinitylex.org; cwadlington@trinitylex.org; cwestbrook@trinitylex.org; cwhite@trinitylex.org; dannas@trinitylex.org; dvanfleet@trinitylex.org; ecobb@trinitylex.org; ehardin@trinitylex.org; ehawk@trinitylex.org; ehobbs@trinitylex.org; esparks@trinitylex.org; hdouglas@trinitylex.org; hstewart@trinitylex.org; iallen@trinitylex.org; jestes@trinitylex.org; jgross@trinitylex.org; jhoward@trinitylex.org; jroberts@trinitylex.org; jsusini@trinitylex.org; jtaylor@trinitylex.org; jtoro@trinitylex.org; jwallis@trinitylex.org; kferguson@trinitylex.org; kgray@trinitylex.org; khils@trinitylex.org; kiverson@trinitylex.org; kiversonsr@trinitylex.org; kjohns@trinitylex.org; ksmoot@trinitylex.org; lmcanally@trinitylex.org; lpowell@trinitylex.org; lwebster@trinitylex.org; mdavila@trinitylex.org; mfeaster@trinitylex.org; mfinn@trinitylex.org; mguarnieri@trinitylex.org; mpiscatello@trinitylex.org; mshute@trinitylex.org; mwhite@trinitylex.org; mwright@trinitylex.org; phacker@trinitylex.org; plittrell@trinitylex.org; rmeredith@trinitylex.org; schristie@trinitylex.org; scombs@trinitylex.org; sestes@trinitylex.org; sgnau@trinitylex.org; sgroleau@trinitylex.org; showard@trinitylex.org; skenney@trinitylex.org; slogan@trinitylex.org; smoore@trinitylex.org; snichols@trinitylex.org; spearson@trinitylex.org; srowe@trinitylex.org; staylor@trinitylex.org; sturco@trinitylex.org; tbarracca@trinitylex.org; tbrashear@trinitylex.org; tkirkpatrick@trinitylex.org; togden@trinitylex.org; vlee@trinitylex.org; vwhite@trinitylex.org; baird@trinitylex.org
Good Health Fittness,https://www.goodhealthfitnessky.com,OSM (fill),01520153,,,goodhealthfitness7542@gmail.com,none,goodhealthfitness7542@gmail.com
Ditto & Musick Eye Care Center,https://www.dittoandmusick.com,OSM (fill),0267710,Eye Care,cto,eye.care@dittoandmusick.com,website,coopervisionpromos@360incentives.com; eye.care@dittoandmusick.com
Awesome Inc,https://www.awesomeinc.org,OSM,0112023,Be Awesome,Partner,be.awesome@awesomeinc.org,website,info@awesomeinc.org; be.awesome@awesomeinc.org
Habitat for Humanity ReStore,https://www.lexingtonrestore.com,OSM (fill),0957316,Neighborhood Clean,owner,neighborhood.clean@lexingtonrestore.com,website,info@lexhabitat.org; donations@lexhabitat.org; restore@lexhabitat.org; neighborhood.clean@lexingtonrestore.com
Asbury Inn & Suites,https://asburyinn.com,OSM (fill),0240723,,,meetings@asburyseminary.edu,none,meetings@asburyseminary.edu; u003emeetings@asburyseminary.edu
Sayre Christian Village,https://www.sayrechristianvillage.org,OSM (fill),0909090909,Karen Venis,Chief Executive Officer,karen.venis@sayrechristianvillage.org,website,cuvyyvcf@fnler.hf; eenl@fnler.hf; efynhtugre@fnler.hf; ffgenggba@fnler.hf; foleaf@fnler.hf; fynaunz@fnler.hf; icuvyyvcf@fnler.hf; joebbxf@fnler.hf; ncngevpx@fnler.hf; nsvfuzna@fnler.hf; nyhpreb@fnler.hf; nzhyyvaf@fnler.hf; ppbeargg@fnler.hf; ppnegjevtug@fnler.hf; ppyrzragf@fnler.hf; pqnivf@fnler.hf; pxvgpuraf@fnler.hf; qnqnzf@fnler.hf; ruvapuzna@fnler.hf; ufunaaba@fnler.hf; utevssvgu@fnler.hf; wfpuyrare@fnler.hf; wnylaznfbaeq@tznvy.pbz; wpneryyn@fnler.hf; wqnavryf@fnler.hf; wveivar@fnler.hf; xcnggba@fnler.hf; xfjrrg@fnler.hf; xgnyynag@fnler.hf; xiravf@fnler.hf; xunzyva@fnler.hf; xyrqrg@fnler.hf; ycrnpu@fnler.hf; ysbfgre@fnler.hf; yvfnnpf@fnler.hf; zgngr@fnler.hf; zjvyfba@fnler.hf; zmhryyl@fnler.hf; zwbuafba@fnler.hf; karen.venis@sayrechristianvillage.org
Illegal Campground,https://www.hipcamp.com/en-US/land/kentucky-farm-and-forest-dw9h6zop?adults=1&children=0&srid=00d0adba-9ee6-49c7-b2c9-0784f973da08,OSM (fill),01755037,Alyssa Ravasio,founder,alyssa@hipcamp.com,website,faysal.bohmo@gmail.com; hosting@hipcamp.com; hosts@hipcamp-land.com; press@hipcamp.com; alyssa@hipcamp.com
Broke Spoke Community Bike Shop,http://thebrokespoke.org,OSM (fill),0260325,,,info@thebrokespoke.org,none,info@thebrokespoke.org
Southern Hills United Methodist Church,https://www.southernhillsumc.org,OSM (fill),02174924,Jim Nichols,senior,jim@southernhillsumc.org,website,adminassistant@southernhillsumc.org; jim@southernhillsumc.org
KITTO yokatta,https://fuudey.com/kittoyokatta,OSM (fill),01520153,,,kateryna1313b@gmail.com,none,support@atendant.com; support@orderlina.com; support@orderse.com; kateryna1313b@gmail.com; khomutch199@gmail.com; kitto.yokatta@gmail.com; posfront1@gmail.com
Centro de San Juan Diego,https://www.cdsjd.org,OSM (fill),03119653,,,jbennett@cdsjd.org,none,jbennett@cdsjd.org
Archa Nine Thai Kitchen,https://www.archaninethai.com/archa-nine-thai-kitchen-todds-plaza-old-todds-road,OSM (fill),090280285,,,eat@archaninethai.com,none,eat@archaninethai.com
Headley-Whitney Museum,https://www.headley-whitney.org,OSM (fill),04537002,Christina Bell,Director,christina@headley-whitney.org,website,claibornegraves@headley-whitney.org; hwmuseum@headley-whitney.org; michaelgoffinet@headley-whitney.org; christina@headley-whitney.org
