Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Urban Design Studio,https://Www.udstudio.org,OSM (fill),018675103,Louisville Metro,partner,patrick.piuma@louisville.edu,website,patrick.piuma@louisville.edu; ptpium01@louisville.edu
Perdue Builders,http://perduebuilders.com,OSM (fill),,Andrea Night,Owner,andrea@perduebuilders.com,website,craig@perduebuilders.com; andrea@perduebuilders.com
Martini Italian Bistro,https://www.martinilouisville.com,OSM (fill),026080513,Your Favorite,Team Member,your@martinilouisville.com,website,martini@martinilouisville.com; your@martinilouisville.com
CoinFlip Bitcoin ATM,https://locations.coinflip.tech/us/ky/louisville/12610-shelbyville-road,OSM (fill),0354614,Flip Legal,Partner,flip.legal@locations.coinflip.tech,website,support@coinflip.tech; flip.legal@locations.coinflip.tech
X.B.E. Electric Blueprint & Supply Company,https://xbeinc.com,OSM (fill),067371428554,The Benefits,Partner,the@xbeinc.com,website,brad@xbeinc.com; jesse@xbeinc.com; johno@xbeinc.com; laura@xbeinc.com; mike@xbeinc.com; sales@xbeinc.com; steve@xbeinc.com; the@xbeinc.com
Chris Rapp Frames,http://crframes.com,OSM (fill),09378828,Chris Rapp,Team Member,chris.rapp@crframes.com,website,rapp2117@bellsouth.net; chris.rapp@crframes.com
Core Centre Pilates,https://www.corefluencypilates.com,OSM (fill),0153566426648638,Laura Porter,Owner,laura@corefluencypilates.com,website,corefluencypilates@gmail.com; laura@corefluencypilates.com
Estes Public Relations,https://estespr.com,OSM (fill),0260728,Estes President,founder,estes.president@estespr.com,website,info@estespr.com; estes.president@estespr.com
Fitness on Frankfort,https://fitnessonfrankfort.com,OSM (fill),04900491,Boot Camp,cto,boot.camp@fitnessonfrankfort.com,website,info@fitnessonfrankfort.com; boot.camp@fitnessonfrankfort.com
Barre3,https://barre3.com/studio-locations/louisville-frankfort-avenue,OSM (fill),,,,onlinesupport@barre3.com,none,onlinesupport@barre3.com
Salzman Institute of Cosmetic Surgery,https://www.spa-v.com,OSM (fill),0260728,Lori Warren,cto,lori.warren@spa-v.com,website,info@spa-v.com; 502-425-5258info@spa-v.com; lori.warren@spa-v.com
Charr'd Bourbon Kitchen & Lounge,https://www.marriott.com/en-us/hotels/sdfls-louisville-marriott-east/dining,OSM (fill),0637207,Tony Capuano,CEO,tony.capuano@marriott.com,website,faysal.bohmo@gmail.com; tony.capuano@marriott.com
Mathnasium,https://www.mathnasium.com/math-centers/middletownky,OSM (fill),0260805,Education Jodi,Director,education@mathnasium.com,website,middletownky@mathnasium.com; education@mathnasium.com
"Blackburn and Davis, Inc.",https://www.blackburnanddavis.com,OSM (fill),08712890966336,Give Blackburn,cto,give.blackburn@blackburnanddavis.com,website,blackburnanddavis1914@gmail.com; robertfranzman7@gmail.com; give.blackburn@blackburnanddavis.com
"Fuzzy’s The 15th Club, Food & Spirits",https://www.fuzzysthe15thclub.com,OSM (fill),0202026,Card Championship,Senior,card.championship@fuzzysthe15thclub.com,website,hiltongardeninnjeffersonvillesales@genhotels.com; card.championship@fuzzysthe15thclub.com
GoodMaps,https://goodmaps.com,OSM,0250909,Neil Barnfather,Chief Executive Officer,neil.barnfather@goodmaps.com,website,info@goodmaps.com; neil.barnfather@goodmaps.com
Atria Senior Living,https://atriaseniorliving.com,OSM (fill),0376045,Community Business,Director,community@atriaseniorliving.com,website,hrhelpdesk@atriaseniorliving.com; accessibility@atriaseniorliving.com; customerservice@atriaseniorliving.com; media_inquiries@atriaseniorliving.com; community@atriaseniorliving.com
F45 Training,https://f45training.com/middletownkentucky/home,OSM (fill),0230501055849,Batt Deputy,Director,batt@f45training.com,website,middletownkentucky.admin@f45training.com; middletownkentucky@f45training.com; batt@f45training.com
Divinity Fine Catering,https://www.divinityfinecatering.com,OSM (fill),01520153,,,divinitycatering@bellsouth.net,none,divinitycatering@bellsouth.net
Fan Outfitters - Kentucky/Louisville,https://www.fanoutfitters.com,OSM (fill),01691593247828,Social Channels,Team Member,social.channels@fanoutfitters.com,website,faysal.bohmo@gmail.com; social.channels@fanoutfitters.com
Anytime Fitness,https://www.anytimefitness.com/gyms/2987/louisville-ky-40299,OSM (fill),0611448,Anytime Fitness,owner,anytime.fitness@anytimefitness.com,website,customercare@abcfitness.com; louisvilleky3@anytimefitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; anytime.fitness@anytimefitness.com
Thin Air Design,https://thinairdesign.wordpress.com,OSM (fill),0211021,,,thinairdesign@gmail.com,none,thinairdesign@gmail.com
Sweet Evening Breeze,https://sweeteveningbreeze.org,OSM (fill),0232024,Case Management,partner,case.management@sweeteveningbreeze.org,website,info@sweeteveningbreeze.org; case.management@sweeteveningbreeze.org
Studio A Architecture,https://www.studioaarch.com,OSM (fill),0100101,Follow Multi-Family,Senior,follow@studioaarch.com,website,getstarted@studioaarch.com; follow@studioaarch.com
DaVita Dialysis,https://www.davita.com/locations/ky/louisville/4600-shelbyville-rd--5094,OSM (fill),02072391,Fulfillment We,owner,fulfillment@davita.com,website,independentchair@davita.com; fulfillment@davita.com
