Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Fitchburg Police Department,http://www.fitchburgwi.gov/340/Police-Department,OSM (fill),0275272,Bike Patrol,President,bike.patrol@fitchburgwi.gov,website,alfonso.morales@fitchburgwi.gov; bike.patrol@fitchburgwi.gov
Bendyworks,https://bendyworks.com,OSM,0701584,Email Follow,Chief Executive Officer,email@bendyworks.com,website,andrew@bendyworks.com; juniper@bendyworks.com; peter@bendyworks.com; stephen@bendyworks.com; email@bendyworks.com
Mendota County Park Campground,https://www.danecountyparks.com/park/Mendota,OSM (fill),0343260715123811,Park Planning,Manager,park.planning@danecountyparks.com,website,desmidt.alex@danecounty.gov; park.planning@danecountyparks.com
UnityPoint Health - Meriter - West Washington Clinic,https://www.unitypoint.org/madison/clinic.aspx?id=1950,OSM (fill),02382330000000,Accountable Care,Partner,accountable_care@unitypoint.org,website,amh_recruitment@unitypoint.org; cr_recruitment@unitypoint.org; dbq_recruitment@unitypoint.org; dm_recruitment@unitypoint.org; fd_recruitment@unitypoint.org; msn_recruitment@unitypoint.org; qc_recruitment@unitypoint.org; sio_recruitment@unitypoint.org; upah_privacyofficer@unitypoint.org; upah_recruitment@unitypoint.org; upc_recruitment@unitypoint.org; uph_centraliaprivacyofficer@unitypoint.org; uph_easterniaprivacyofficer@unitypoint.org; uph_ilprivacyofficer@unitypoint.org; uph_privacyofficers@unitypoint.org; uph_recruitment@unitypoint.org; uph_upcprivacyofficer@unitypoint.org; uph_westerniaprivacyofficer@unitypoint.org; uph_wiprivacyofficer@unitypoint.org; accountable_care@unitypoint.org
Potter Lawson,http://www.potterlawson.com,OSM (fill),0122016,As President,CEO,as@potterlawson.com,website,rebeccap@potterlawson.com; as@potterlawson.com
University Square Dental,https://www.usquaredental.com,OSM (fill),01650888262697,Stanley Pollan,owner,stanley@usquaredental.com,website,frontdesk@usquaredental.com; usquaredental@gmail.com; stanley@usquaredental.com
Heritage Tavern,https://heritagetavern.com,OSM (fill),04900491,Executive Chef,Owner,executive.chef@heritagetavern.com,website,typesetit@att.net; executive.chef@heritagetavern.com
Barre3,https://barre3.com/locations/madison,OSM (fill),,,,onlinesupport@barre3.com,none,onlinesupport@barre3.com
Americans for Prosperity-Wisconsin,https://americansforprosperity.org/state/wisconsin,OSM (fill),0230221,Brent Gardner,Chief Executive Officer,brent.gardner@americansforprosperity.org,website,media@afphq.org; brent.gardner@americansforprosperity.org
Alexander Company,https://alexandercompany.com,OSM (fill),0240807,Management Helping,owner,management@alexandercompany.com,website,info@alexandercompany.com; ans@alexandercompany.com; kbishop@alexandercompany.com; payable@alexandercompany.com; management@alexandercompany.com
City of Madison Parking Utility,https://www.cityofmadison.com/parking-utility,OSM (fill),0260727,Community Development,Director,community@cityofmadison.com,website,hr@cityofmadison.com; assessor@cityofmadison.com; attorney@cityofmadison.com; bldginspect@cityofmadison.com; cdd@cityofmadison.com; clerk@cityofmadison.com; cspieler@cityofmadison.com; dcr@cityofmadison.com; engineering@cityofmadison.com; finance@cityofmadison.com; fleet@cityofmadison.com; health@publichealthmdc.com; housing@cityofmadison.com; it@cityofmadison.com; kbrodowsky@cityofmadison.com; library@cityofmadison.com; licensing@cityofmadison.com; madisonmayor@cityofmadison.com; mononaterrace@cityofmadison.com; monthlyparking@cityofmadison.com; mymetrobus@cityofmadison.com; parking@cityofmadison.com; parkingenforcement@cityofmadison.com; planning@cityofmadison.com; publicworks@cityofmadison.com; seniorcenter@cityofmadison.com; sop@cityofmadison.com; streets@cityofmadison.com; traffic@cityofmadison.com; treasurer@cityofmadison.com; voting@cityofmadison.com; water@madisonwater.org; webadmin@cityofmadison.com; community@cityofmadison.com
Center for Healthy Minds,https://centerhealthyminds.org,OSM,0260626,Civic Science,Partner,civic.science@centerhealthyminds.org,website,info@centerhealthyminds.org; recruiting@chm.wisc.edu; centerhealthyminds@gmail.com; hharris7@wisc.edu; civic.science@centerhealthyminds.org
Progress Center for Black Women,https://www.centerforblackwomen.org,OSM (fill),0251016,As Seen,FOUNDER,as.seen@centerforblackwomen.org,website,hello@centerforblackwomen.org; as.seen@centerforblackwomen.org
UW Children's Hospital,https://madison.bcycle.com,OSM (fill),09382892,Customer Service,partner,customer.service@madison.bcycle.com,website,madison@bcycle.com; customer.service@madison.bcycle.com
Agrace Thrift Store,https://www.agrace.org/thriftstore,OSM (fill),0260629,Fundraising Events,Partner,fundraising@agrace.org,website,volunteer@agrace.org; fundraising@agrace.org
U-Frame-It,https://uframeitmadison.com,OSM (fill),01520153,,,info@ndiscovered.com,none,info@ndiscovered.com
James Reeb Unitarian Universalist Congregation,https://jruuc.org,OSM (fill),0202021,Commitment Form,Director,commitment@jruuc.org,website,office@jruuc.org; music@jruuc.org; news@jruuc.org; re@jruuc.org; rentals@jruuc.org; revbowie@jruuc.org; revdenise@jruuc.org; revkaren@jruuc.org; web@jruuc.org; commitment@jruuc.org
Barriques - Fitchburg,https://barriquesmarket.com/pages/fitchburg,OSM (fill),091773245255,Monroe St,owner,monroe.st@barriquesmarket.com,website,info@barriquesmarket.com; monroe.st@barriquesmarket.com
University of Wisconsin Space Place,http://www.spaceplace.wisc.edu,OSM (fill),01520153,Park For,Partner,park.for@spaceplace.wisc.edu,website,smdidier@wisc.edu; park.for@spaceplace.wisc.edu
City Dog Vet & Grooming,https://www.gracecoffeewi.com,OSM (fill),01520153,Cottage Grove,Team Member,cottage.grove@gracecoffeewi.com,website,info@gracecoffeewi.com; cottage.grove@gracecoffeewi.com
Turkish Kitchen,https://turkishkitchenmadison.com,OSM (fill),026080512,Book Table,head of,book.table@turkishkitchenmadison.com,website,gurhancim@hotmail.com; book.table@turkishkitchenmadison.com
Cyclomedia Technology Inc. (Madison office),https://cyclomedia.com,OSM,+16082854720,Sean Fernback,Chief Executive Officer,sean.fernback@cyclomedia.com,website,info-de@cyclomedia.com; info-us@cyclomedia.com; info@cyclomedia.com; info@cyclomedia.nl; sean.fernback@cyclomedia.com
Guitar Shop of Wisconsin,https://guitarshopofwisconsin.com,OSM (fill),036416789,Guitar Shop,Team Member,guitar.shop@guitarshopofwisconsin.com,website,contact@sansoxygen.com; guitar.shop@guitarshopofwisconsin.com
PCY Muay Thai,https://pcymuaythai.com,OSM (fill),02137201539,Petchaiyadej Muay,Partner,petchaiyadej.muay@pcymuaythai.com,website,pcymuaythai@gmail.com; tglepien@msn.com; tninedorf@gmail.com; petchaiyadej.muay@pcymuaythai.com
Democratic Party of Wisconsin,https://www.wisdems.org,OSM (fill),0260710,,,info@wisdems.org,none,info@wisdems.org
Arts + Literature Laboratory,https://artlitlab.org,OSM (fill),076877579,Are Saying,Partner,are.saying@artlitlab.org,website,info@artlitlab.org; are.saying@artlitlab.org
Emler Swim School Fitchburg,https://emlerswimschool.com/locations/wisconsin/fitchburg,OSM (fill),0260704,Emler Swim,partner,emler@emlerswimschool.com,website,fitchburg@emlerswimschool.com; emler@emlerswimschool.com
Anytime Fitness,https://www.anytimefitness.com/gyms/332/madison-wi-53718,OSM (fill),0611448,Andrew Gundlach,Owner,andrew@anytimefitness.com,website,customercare@abcfitness.com; madisonwi@anytimefitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; andrew@anytimefitness.com
Barriques - University,https://www.barriquesmarket.com/our-cafes/university,OSM (fill),091773245255,Monroe St,owner,monroe.st@barriquesmarket.com,website,info@barriquesmarket.com; monroe.st@barriquesmarket.com
Forage Kitchen,https://www.eatforage.com,OSM (fill),08469262,,,hello@eatforage.com,none,hello@eatforage.com
Wisconsin IceCube Particle Astrophysics Center,https://wipac.wisc.edu,OSM (fill),04900491,Cube Neutrino,partner,cube.neutrino@wipac.wisc.edu,website,contact-us@wipac.wisc.edu; cube.neutrino@wipac.wisc.edu
The Healthy Place,https://findyourhealthyplace.com,OSM (fill),0509769,Healthy Place,Founder,healthy.place@findyourhealthyplace.com,website,contact@findyourhealthyplace.com; healthy.place@findyourhealthyplace.com
KSW Construction,https://kswconstruction.com,OSM (fill),0260625,Dean Slaby,President,dean.slaby@kswconstruction.com,website,info@kswconstruction.com; info@lawngreen-butterfly-725781.hostingersite.com; 20info@kswconstruction.com; dean.slaby@kswconstruction.com
Fya Side Kitchen,https://www.fyasydekitchen.com,OSM (fill),026080512,Unforgettable Events,Team Member,unforgettable.events@fyasydekitchen.com,website,fyaside21@yahoo.com; unforgettable.events@fyasydekitchen.com
Summit Credit Union,https://www.summitcreditunion.com,OSM (fill),0260724,Message From,CEO,message@summitcreditunion.com,website,careers@summitcreditunion.com; memberservice@summitcreditunion.com; reportfraud@summitcreditunion.com; message@summitcreditunion.com
University Ridge Golf Course,https://www.universityridge.com,OSM (fill),0228042,Club Instruction,cto,club.instruction@universityridge.com,website,contactus@uwbadgers.com; universityridge@uwbadgers.com; webmaster@uwbadgers.com; club.instruction@universityridge.com
WayFi Wireless,https://wayfiwireless.com,OSM,0586771,Org Chart,Founder,org.chart@wayfiwireless.com,website,info@wayfiwireless.com; org.chart@wayfiwireless.com
One Community Bank,https://onecommunity.bank/community/middleton,OSM (fill),0260108,Chief Commercial,Vice President,chief@onecommunity.bank,website,abailey@onecommunity.bank; adalsoren@onecommunity.bank; azellner@onecommunity.bank; bmalcook@onecommunity.bank; czellner@onecommunity.bank; dcarey@onecommunity.bank; dmattes@onecommunity.bank; jkellman@onecommunity.bank; jzaffino@onecommunity.bank; khudson@onecommunity.bank; kmacwilliams@onecommunity.bank; lbachhuber@onecommunity.bank; ldeihs@onecommunity.bank; ltrow@onecommunity.bank; mmcmerty@onecommunity.bank; nhavey@onecommunity.bank; pkruckenberg@onecommunity.bank; pmoskal@onecommunity.bank; terickson@onecommunity.bank; tlong@onecommunity.bank; wspitzer@onecommunity.bank; chief@onecommunity.bank
Vintage Brewing Co. Capitol East,https://vintagebrewingcompany.com/capitoleast,OSM (fill),0260520,,,vintagemadison@gmail.com,none,vintagemadison@gmail.com
Freewheel Community Bike Shop,https://freewheelbikes.org,OSM (fill),026080604,Freewheel Comm,cto,freewheel.comm@freewheelbikes.org,website,info@freewheelbikes.org; freewheel.comm@freewheelbikes.org
Willy Street Pantry,https://www.socialjusticecenter.org/pantry,OSM (fill),0230928,Hygiene Bank,partner,hygiene@socialjusticecenter.org,website,hello@socialjusticecenter.org; frontdesk@socialjusticecenter.org; hygiene@socialjusticecenter.org
American Institute of the History of Pharmacy (AIHP),https://www.aihp.org,OSM (fill),0260401,Bernie Olin,Vice President,bernie@aihp.org,website,aihp@aihp.org; bernie@aihp.org
Redeemer City Church,https://www.redeemercitychurch.org,OSM (fill),0791646650,Winona Stat,partner,winona.stat@redeemercitychurch.org,website,info@redeemercitychurch.org; winona.stat@redeemercitychurch.org
RCC sexual violence resource center,https://www.thercc.org,OSM (fill),0256138,Bubble Time,Owner,bubble.time@thercc.org,website,info@thercc.org; bubble.time@thercc.org
Wild Theory CBD Co.,https://wildtheory.com,OSM (fill),02010100,Wild Theory,co-founder,wild.theory@wildtheory.com,website,support@wildtheory.com; emran.bd.08@gmail.com; wild.theory@wildtheory.com
pitaya,https://www.pitaya.com,OSM (fill),03582711910409216827,,,info@pitaya.com,none,info@pitaya.com; jobs@pitaya.com
Touch of Europe Cleaning in Madison,https://touchofeuropecleaning.com,OSM (fill),0240826,Ava Palek,Owner,ava.palek@touchofeuropecleaning.com,website,office@touchofeuropecleaning.com; ava.palek@touchofeuropecleaning.com
Group Health Cooperative Capitol Clinic,https://www.ghcscw.com,OSM (fill),0260803,Experience Guarantee,Owner,experience@ghcscw.com,website,accountsreceivable@ghcscw.com; marketing@ghcscw.com; medicalbilling@ghcscw.com; member_services@ghcscw.com; experience@ghcscw.com
Bethany United Methodist Church,https://www.bethanymadison.org,OSM (fill),01520153,Bell Choirs,Director,bell@bethanymadison.org,website,bells@bethanymadison.org; bethanyoffice@bethanymadison.org; children@bethanymadison.org; music@bethanymadison.org; pastorjulie@bethanymadison.org; visitation@bethanymadison.org; bell@bethanymadison.org
Spring Harbor Animal Hospital,http://www.springharboranimalhospital.com,OSM (fill),076268650,Hospital Manager,Manager,hospital.manager@springharboranimalhospital.com,website,springharborah@yourvetdoc.com; hospital.manager@springharboranimalhospital.com
Memorial United Church of Christ,https://memorialucc.org,OSM (fill),02743939369,Luke House,Partner,luke.house@memorialucc.org,website,memorialucc@gmail.com; luke.house@memorialucc.org
Mendota Mental Health Institute,https://www.dhs.wisconsin.gov/mendota,OSM (fill),08311829,Deaths Domestic,Partner,deaths@dhs.wisconsin.gov,website,dhsadhealth@dhs.wisconsin.gov; dhsaps@dhs.wisconsin.gov; dhsbadr@dhs.wisconsin.gov; dhsdesbfsapinvoice@dhs.wisconsin.gov; dhsdmsltc@dhs.wisconsin.gov; dhsdqabalcentral@dhs.wisconsin.gov; dhsenvhealth@dhs.wisconsin.gov; dhshumanresources@dhs.wisconsin.gov; dhsirisafh@dhs.wisconsin.gov; jackson.keuler@dhs.wisconsin.gov; jeremiah.yee@dhs.wisconsin.gov; kristen.felten@dhs.wisconsin.gov; laura.langer@dhs.wisconsin.gov; michelle.grochocinski@dhs.wisconsin.gov; nathaniel.keeley@dhs.wisconsin.gov; samantha.margelofsky@dhs.wisconsin.gov; thomas.rylander@dhs.wisconsin.gov; deaths@dhs.wisconsin.gov
Casetta Kitchen & Counter,https://www.casettakitchen.com,OSM (fill),0685011,,,info@casettakitchen.com,none,info@casettakitchen.com
La Quinta Inn & Suites,https://www.wyndhamhotels.com/laquinta/madison-wisconsin/la-quinta-madison-american-center/overview,OSM (fill),+16082450123,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Goodman Community Center,https://www.goodmancenter.org,OSM (fill),0725681344692,Chris Talton,President,chris.talton@goodmancenter.org,website,info@goodmancenter.org; chris.talton@goodmancenter.org
Asbury United Methodist Church,https://asburymadison.com,OSM (fill),0711679445783699,Choral Activities,director,choral@asburymadison.com,website,admin@asburymadison.com; eoplinger@asburymadison.com; hzimmick@asburymadison.com; jmarks@asburymadison.com; lkegel@asburymadison.com; ptristan@asburymadison.com; pyoder@asburymadison.com; sergeipavlov@gmail.com; sergeivpavlov@gmail.com; choral@asburymadison.com
Capital High,https://capital.madison.k12.wi.us,OSM (fill),0210224,Blackhawk Church,partner,blackhawk.church@capital.madison.k12.wi.us,website,alwright@madison.k12.wi.us; capitalhighadmissions@madison.k12.wi.us; jrodin@madison.k12.wi.us; kesemrau@madison.k12.wi.us; mbartzen@schoolsmakemadison.org; mleonbenito@madison.k12.wi.us; snjames@madison.k12.wi.us; vochukwudebe@madison.k12.wi.us; blackhawk.church@capital.madison.k12.wi.us
