Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Village Community Building,https://villageoftowanda.org,OSM (fill),0482424,November Newsletter,cto,november@villageoftowanda.org,website,calendar@villageoftowanda.org; clerk@villageoftowanda.org; mayor@villageoftowanda.org; parks@villageoftowanda.org; safety@villageoftowanda.org; streets@villageoftowanda.org; super@villageoftowanda.org; treasurer@villageoftowanda.org; water@villageoftowanda.org; website@villageoftowanda.org; zoning@villageoftowanda.org; november@villageoftowanda.org
Nu-Way,https://www.nuway.com,OSM (fill),01571585,Brian Walder,Founder,brian.walder@nuway.com,website,careers@nuway.com; info@nuway.com; sales@nuway.com; brian.walder@nuway.com
Reality Bites,https://realitybitesblm.com,OSM (fill),01520153,Catering Current,owner,catering.current@realitybitesblm.com,website,team@latofonts.com; anapbm@gmail.com; catering.current@realitybitesblm.com
Carle BroMenn Medical Center,https://carle.org,OSM (fill),0260508,Carle Illinois,partner,carle.illinois@carle.org,website,patient.relations@carle.com; carle.illinois@carle.org
Christ Community Church,https://www.christccchenoa.com,OSM (fill),04198196226,Directory Photo,Director,directory@christccchenoa.com,website,christccchenoa@outlook.com; duaneo@christccchenoa.com; directory@christccchenoa.com
Chenoa United Methodist Church,https://chenoaumc.com,OSM (fill),0161187,Adult Choir,Director,adult.choir@chenoaumc.com,website,chenoaumc@gmail.com; adult.choir@chenoaumc.com
OSF Saint Joseph Medical Center,https://www.osfhealthcare.org/st-joseph,OSM (fill),054986510,Carle Bro,partner,carle@osfhealthcare.org,website,chnafeedback@osfhealthcare.org; u003echnafeedback@osfhealthcare.org; carle@osfhealthcare.org
Eureka College,https://www.eureka.edu,OSM (fill),04200333022866,Abbi Stuaan,President,abbi@eureka.edu,website,awoodley@eureka.edu; jwahlfeld@eureka.edu; kshelley@eureka.edu; abbi@eureka.edu
University Galleries,https://galleries.illinoisstate.edu,OSM (fill),0260720,In October,partner,in.october@galleries.illinoisstate.edu,website,gallery@illinoisstate.edu; in.october@galleries.illinoisstate.edu
Shake It Up Cocktail Lounge & Eatery,https://www.shakeitupcocktaillounge.com,OSM (fill),03700377,,,noceilinghospitality@gmail.com,none,noceilinghospitality@gmail.com
Heartland Head Start,https://heartlandheadstart.org,OSM (fill),07944552,Governance Volunteers,Partner,governance.volunteers@heartlandheadstart.org,website,info@heartlandheadstart.org; governance.volunteers@heartlandheadstart.org
