Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Dina Mitrani Art Gallery,http://www.dinamitranigallery.com,OSM (fill),04900491,The Screening,founder,the@dinamitranigallery.com,website,dina@dinamitranigallery.com; the@dinamitranigallery.com
Metropolitan Trucking and Technical,https://metrocdl.com,OSM,0165625147,In May,cto,in.may@metrocdl.com,website,support@fifothemes.com; in.may@metrocdl.com
El Rey de las Fritas,https://www.elreydelasfritas.com,OSM (fill),0399887,De Las,cto,de.las@elreydelasfritas.com,website,info@elreydelasfritas.com; de.las@elreydelasfritas.com
Thunder Gym,https://miamithundergym.com,OSM (fill),056420413,Facility Tour,Senior,facility.tour@miamithundergym.com,website,tony@miamifitnessgroup.com; facility.tour@miamithundergym.com
Pro Line Systems International,https://prolinesystems.net,OSM,+13057939503,Equipment Affordable,Founder,equipment.affordable@prolinesystems.net,website,sales@prolinesystems.net; equipment.affordable@prolinesystems.net
Joey's Italian Cuisine,https://joeyswynwood.com,OSM (fill),+13054380488,,,events@joeyswynwood.com,none,events@joeyswynwood.com
Little Havana Laundry,https://www.littlehavanalaundry.com,OSM (fill),+17865348444,Little Havana,owner,little.havana@littlehavanalaundry.com,website,littlehavanalaundry@gmail.com; little.havana@littlehavanalaundry.com
Eutelsat Americas Miami,https://www.eutelsat.com,OSM (fill),0433830222,French English,Partner,french.english@eutelsat.com,website,investors@eutelsat-communications.com; french.english@eutelsat.com
Saint Jude Melkite Greek Catholic Church,http://stjudemiami.org,OSM (fill),021042619,,,office@stjudemiami.org,none,office@stjudemiami.org
"Nerds Support, Inc.",https://nerdssupport.com,OSM,0154951843149469,Nerds Support,CEO,nerds.support@nerdssupport.com,website,info@nerdssupport.com; nerds.support@nerdssupport.com
Synergy Yoga Center,https://synergyyoga.org,OSM (fill),0457495441721311719,Brunacci Studio,cto,brunacci.studio@synergyyoga.org,website,synergysobe@gmail.com.leave; brunacci.studio@synergyyoga.org
Treasure Towing LLC,https://treasure-towing.com,OSM (fill),07843137,Service Area,Partner,service.area@treasure-towing.com,website,contact@treasure-towing.com; service.area@treasure-towing.com
Monalisa Pizzeria Italian Restaurant,https://monalisapizzeria.menufy.com,OSM (fill),070660031,Marketing Sales,Owner,marketing.sales@monalisapizzeria.menufy.com,website,info@menufy.com; marketing.sales@monalisapizzeria.menufy.com
Crew Outfitters,https://crewoutfitters.com,OSM (fill),,,,brandi.schutza@crewoutfitters.com,none,support@crewoutfitters.com; brandi.schutza@crewoutfitters.com
Kindred Hospital - South Florida - Coral Gables,https://www.kindredhospitals.com/locations/florida/south-florida-coral-gables,OSM (fill),035708985,Communications Jeanie,Vice President,communications.jeanie@kindredhospitals.com,website,aphelp@scionhealth.com; aphelp@scoionhealth.com; courage@scionhealth.com; jeanie.rittenberry@scionhealth.com; mediacontact@scionhealth.com; recordsretention@kindred.com; timothy.jolly@scionhealth.com; communications.jeanie@kindredhospitals.com
Miami Culinary Institute,http://www.miamidadeculinary.com/about_directions.htm,OSM (fill),058769653,Community Engagement,President,community.engagement@miamidadeculinary.com,website,crctitleixada@mdc.edu; equityoff@mdc.edu; community.engagement@miamidadeculinary.com
La Casita Restaurant,http://lacasitamiami.com,OSM (fill),0592877,,,info@lacasitacubancuisine.com,none,info@lacasitacubancuisine.com; info@lacasitamiami.com
Titanic Restaurant and Brewery,https://www.titanicbrewery.com,OSM (fill),026080600,Inquire Skip,head of,inquire.skip@titanicbrewery.com,website,ruskkevin@gmail.com; inquire.skip@titanicbrewery.com
Margaritaville,https://www.margaritavillemiamibayside.com,OSM (fill),01726511220,Order Rewards,partner,order.rewards@margaritavillemiamibayside.com,website,customerservice@margaritavillemiamibayside.com; sales@miamibayside.com; order.rewards@margaritavillemiamibayside.com
Los Gemelos Locksmith,https://losgemeloslocksmith.com,OSM (fill),0250929,Commercial Locksmith,owner,commercial.locksmith@losgemeloslocksmith.com,website,info@losgemeloslocksmith.com; commercial.locksmith@losgemeloslocksmith.com
