Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Metropolitan Interdenominational Church,http://www.micwhosoever.org,OSM (fill),03056349,Administrative Staff,Senior,administrative.staff@micwhosoever.org,website,mic4cynthia@aol.com; administrative.staff@micwhosoever.org
Radnor Primitive Baptist Church,https://radnorpbc.org,OSM (fill),,Bryce Lowrance,cto,bryce.lowrance@radnorpbc.org,website,you@mail.com; bryce.lowrance@radnorpbc.org
Zeitgeist,https://mzarch.com,OSM (fill),0260430,Adam Rosenberg,Founder,adam.rosenberg@mzarch.com,website,info@mzarch.com; adam.rosenberg@mzarch.com
RE/MAX Elite: Ann Mann,http://annmann.com,OSM (fill),0314591,Find Valuable,owner,find.valuable@annmann.com,website,dmcanotice@mlsgrid.com; find.valuable@annmann.com
Tennessee State Museum - Military Branch,https://tnmuseum.org,OSM (fill),0180806,Public Programs,Partner,public@tnmuseum.org,website,info@tnmuseum.org; collections@tnmuseum.org; events@tnmuseum.org; media@tnmuseum.org; museum.tours@tn.gov; programs@tn.g; programs@tnmuseum.org; public.programs@tn.gov; tours@tn.gov; public@tnmuseum.org
Williamson County Recreation Complex,https://www.wcparksandrec.com,OSM (fill),027419789,An Instru,cto,an.instru@wcparksandrec.com,website,subscribers@williamson-tn.org; an.instru@wcparksandrec.com
Bite a Bit Thai & Sushi,https://www.biteabitnashville.com,OSM (fill),026080512,Book Table,head of,book@biteabitnashville.com,website,eat@biteabitnashville.com; book@biteabitnashville.com
Forest Hills United Methodist Church,https://foresthillsumc.org,OSM (fill),030884032,Donna Mc,Director,donna@foresthillsumc.org,website,info@foresthillsumc.org; dayschool@foresthillsumc.org; donna.studio123@gmail.com; facilities@foresthillsumc.org; john@foresthillsumc.org; karenfhumc@gmail.com; kristin@foresthillsumc.org; laurafhumc@gmail.com; mackenziefhumc@gmail.com; donna@foresthillsumc.org
Trevecca Community Church,https://www.trevecca.church,OSM (fill),01484698489854,Ben Riley,President,ben@trevecca.church,website,hraydunning@gmail.com; info@trevecca.church; dfranchetti@trevecca.church; dkoon@trevecca.church; imiller@trevecca.church; jguthrie@trevecca.church; jwentworth@trevecca.church; kmowry@trevecca.edu; shoskins@trevecca.edu; ssands@trevecca.church; ssgaines@trevecca.church; tgreen@trevecca.edu; trgaines@trevecca.edu; ben@trevecca.church
FP Staging and Design,https://www.fpstaging.com,OSM (fill),0260721,President Anthea,founder,president.anthea@fpstaging.com,website,info@fpstaging.com; president.anthea@fpstaging.com
City Limits Bakery & Cafe,https://citylimitsbakerycafe.com,OSM (fill),026080511,Book Table,head of,book.table@citylimitsbakerycafe.com,website,citylimitsbakerycafe@gmail.com; book.table@citylimitsbakerycafe.com
Crievewood United Methodist Church,https://crievewoodumc.org,OSM (fill),0260726,Emily Brazzel,Director,emily@crievewoodumc.org,website,administratoroffice@crievewoodumc.org; info@crievewoodumc.org; office@crievewoodumc.org; brendajhead@gmail.com; chelsey@crievewoodumc.org; director@crievewoodumc.org; emily@crievewoodumc.org; john@crievewoodumc.org; mary@crievewoodumc.org; matthew@crievewoodumc.org; pastorjohn@crievewoodumc.org; thurmanfamily@bellsouth.net
Aquinas College,https://www.aquinascollege.edu,OSM (fill),0114092,Message Aquinas,President,message@aquinascollege.edu,website,neilsenb@aquinascollege.edu; siena@aquinascollege.edu; message@aquinascollege.edu
Oasis Center,https://oasiscenter.org,OSM (fill),01152112,Central Alabama,CEO,central@oasiscenter.org,website,donations@oasiscenter.org; volunteers@oasiscenter.org; central@oasiscenter.org
Tuck Hinton Arhitects PLC,http://www.tuckhinton.com,OSM (fill),04883893,,,arch@anecdotexp.com,none,arch@anecdotexp.com
Boys & Girls Club of Middle Tennessee,https://bgcmt.org,OSM (fill),0180806,Eric Higgs,Chief Executive Officer,eric@bgcmt.org,website,info@bgcmt.org; agrinstead@bgcmt.org; ammiller@bgcmt.org; dcarothers@bgcmt.org; eminor@bgcmt.org; hmyers@bgcmt.org; jdarnell@bgcmt.org; jmarcellus@bgcmt.org; lmcghee@bgcmt.org; msmith@bgcmt.org; eric@bgcmt.org
Nashville Chess Center,https://www.nashvillechess.org,OSM (fill),0602871,Martin Katahn,Founder,martin@nashvillechess.org,website,officemanager@nashvillechess.org; director@nashvillechess.org; directorofoutreach@nashvillechess.org; nashvillechess@gmail.com; martin@nashvillechess.org
