Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Doris Metropolitan,https://dorismetropolitan.com/new-orleans,OSM (fill),07779294,Happy Hour,Team Member,happy.hour@dorismetropolitan.com,website,terrance@dorismet.com; happy.hour@dorismetropolitan.com
Midcity Yacht Club,https://midcityyachtclub.com,OSM (fill),026080512,Marc Melan,owner,marc@midcityyachtclub.com,website,manager@midcityyachtclub.com; marc@midcityyachtclub.com
Crescent City Veterinary Hospital,https://crescentcityvet.com,OSM (fill),0250905,Megan Baltzly,cto,megan.baltzly@crescentcityvet.com,website,ccvnola@gmail.com; megan.baltzly@crescentcityvet.com
La Petite Grocery,https://www.lapetitegrocery.com,OSM (fill),07258653,Culinary Director,Owner,culinary@lapetitegrocery.com,website,camille@callmecollins.com; mia@lapetitegrocery.com; culinary@lapetitegrocery.com
Painting with a Twist,https://www.paintingwithatwist.com/gretna,OSM (fill),0260720,Trivia Night,partner,trivia@paintingwithatwist.com,website,westbank@paintingwithatwist.com; trivia@paintingwithatwist.com
First Unitarian Universalist Church of New Orleans,https://firstuuno.org,OSM (fill),0223641,Board Music,Director,board.music@firstuuno.org,website,office@firstuuno.org; board.music@firstuuno.org
City Market,https://citymarketnola.com,OSM (fill),0201088262687,Kiko Poke,Team Member,kiko.poke@citymarketnola.com,website,citymarketnola@gmail.com; kiko.poke@citymarketnola.com
Beachbum Berry's Latitude 29,https://latitude29nola.com,OSM (fill),09334784573,,,info@latitude29nola.com,none,info@latitude29nola.com
Bellwether Technology,https://www.belltec.com,OSM,0260107,Managed Cyber,Team Member,managed.cyber@belltec.com,website,jelle@jellekralt.nl; managed.cyber@belltec.com
The Green Project,https://www.thegreenproject.org,OSM (fill),01520153,Back Recycling,Partner,back@thegreenproject.org,website,info@thegreenproject.org; board@thegreenproject.org; donations@thegreenproject.org; egenrich@thegreenproject.org; volunteer@thegreenproject.org; back@thegreenproject.org
Tipitina’s French Quarter,https://tipitinas.com,OSM (fill),025111200,Charles Twilling,Manager,charles@tipitinas.com,website,info@tipitinas.com; jeremy@tipitinas.com; lara@tipitinas.com; merch@tipitinas.com; murry@tipitinas.com; nick@tipitinas.com; production@tipitinas.com; specialevents@tipitinas.com; tanner@tipitinas.com; tristan@tipitinas.com; charles@tipitinas.com
Delgado Community College,https://www.dcc.edu,OSM (fill),0678880,Built Around,Team Member,built@dcc.edu,website,bursaroffice@dcc.edu; dcchr@dcc.edu; dccia@dcc.edu; enroll@dcc.edu; finaid@dcc.edu; registrar@dcc.edu; rhoorm@dcc.edu; built@dcc.edu
Greek Orthodox Cathedral of the Holy Trinity,https://holytrinitycathedral.org,OSM (fill),07652915055,Tina Salles-Agas,Vice President,tina@holytrinitycathedral.org,website,festival@holytrinitycathedral.org; httaskforce@gmail.com; priest@holytrinitycathedral.org; secretary@holytrinitycathedral.org; tina@holytrinitycathedral.org
Body Shoppe,https://www.nolabodyshoppe.com,OSM (fill),03700377,Meet Kelsey,founder,meet.kelsey@nolabodyshoppe.com,website,smile@bodyshoppenola.com; meet.kelsey@nolabodyshoppe.com
Loyola University New Orleans,https://www.loyno.edu,OSM (fill),0262027,Forum Board,President,forum@loyno.edu,website,letters@loyno.edu; forum@loyno.edu
W.I.N.O. Wine Institute New Orleans,https://www.winoschool.org,OSM (fill),01520153,,,info@winoschool.com,none,info@winoschool.com
