Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Short Circuited Computer Services,https://www.shortcircuited.us,OSM,+18773119423,Founder Raul,founder,founder.raul@shortcircuited.us,website,info@computer-repair.nyc; tech@computer-repair.nyc; founder.raul@shortcircuited.us
AI Now Institute,https://ainowinstitute.org,OSM,0260708,Karen Hao,President,karen.hao@ainowinstitute.org,website,faysal.bohmo@gmail.com; karen.hao@ainowinstitute.org
ThoughtWorks,https://www.thoughtworks.com,OSM,06016501,Back Close,CEO,back@thoughtworks.com,website,backgroundverification-india@thoughtworks.com; peoplesupport-apac@thoughtworks.com; peoplesupport-china@thoughtworks.com; peoplesupport-na@thoughtworks.com; sg-th-sharedservices@thoughtworks.com; shared-services-americas-people-support@thoughtworks.com; ukpeoplesupport@thoughtworks.com; back@thoughtworks.com
Beluga Labs,https://belugalab.com,OSM,0112026,,,info@belugalab.com,none,info@belugalab.com
Datadog,https://www.datadoghq.com,OSM,0160714,Newsroom Events,Partner,newsroom.events@datadoghq.com,website,info@datadoghq.com; newsroom.events@datadoghq.com
ORE Design + Technology,https://ore-design.com,OSM,05881016207,Principal Architect,Founder,principal.architect@ore-design.com,website,hello@ore-design.com; info@oredesign.org; principal.architect@ore-design.com
Complete Shredding Solutions A Data-struction Company,https://completeshreddingsolutions.com,OSM,08229007,New York,owner,new.york@completeshreddingsolutions.com,website,sales@data-struction.com; new.york@completeshreddingsolutions.com
Sherlock Security Systems,http://sherlocksecuritysystems.com,OSM,09270109,Approved Testing,cto,approved.testing@sherlocksecuritysystems.com,website,jane@company.com; service@sherlocksecuritysystems.com; you@company.com; approved.testing@sherlocksecuritysystems.com
Citi Bike - Jay St & Tech Pl,https://citibikenyc.com,OSM,0850612,,,sponsors@citibikenyc.com,none,press@lyft.com; sponsors@citibikenyc.com
Billion Oyster Project,https://www.billionoysterproject.org,OSM,0260803,Founded Billion,CEO,founded@billionoysterproject.org,website,membership@billionoysterproject.org; founded@billionoysterproject.org
Acacia Network,https://acacianetwork.org,OSM,,General Inquiries,director,general@acacianetwork.org,website,compliance@acacianetwork.org; general@acacianetwork.org
"Office of Applied Research, Evaluation, and Data Analytics",https://www.cuny.edu/about/administration/offices/oareda,OSM,01406634,Borough Hearings,President,borough@cuny.edu,website,oareda@cuny.edu; borough@cuny.edu
Billion Oyster Project Williamsburg Lab,https://www.billionoysterproject.org/williamsburg-lab,OSM,0260803,Founded Billion,CEO,founded@billionoysterproject.org,website,membership@billionoysterproject.org; founded@billionoysterproject.org
Northwest Essex Community Healthcare Network,https://northwestessex.org,OSM,022052022,Anthony Lucibello,Chief Financial Officer,anthony@northwestessex.org,website,info@northwestessex.org; aoparaji@northwestessex.org; bsilver@northwestessex.org; crusso@northwestessex.org; emontanez@northwestessex.org; jkirk@northwestessex.org; jtandler@northwestessex.org; mcortese@northwestessex.org; mguglberger@northwestessex.org; mmorvey@northwestessex.org; tlucbello@northwestessex.org; vhageman@northwestessex.org; wcole@northwestessex.org; anthony@northwestessex.org
May First Movement Technology,https://mayfirst.coop,OSM,,,,members@mayfirst.org,none,info@mayfirst.org; support@mayfirst.org; members@mayfirst.org
Reliable Office Systems,https://www.reliableoffice.com,OSM,0220620,Customer Testimonials,Partner,customer@reliableoffice.com,website,payables@reliableoffice.com; sales@reliableoffice.com; customer@reliableoffice.com
NSA FAIRVIEW data surveillance hub,https://theintercept.com/2018/06/25/att-internet-nsa-spy-hubs,OSM,0180625,Annie Chabel,Chief Executive Officer,annie.chabel@theintercept.com,website,hello@theintercept.com; akela.lacy@theintercept.com; ali.gharib@theintercept.com; annie.chabel@theintercept.com; ben.muessig@theintercept.com; celine.piser@theintercept.com; chelsey.coombs@theintercept.com; david.bralow@theintercept.com; eoinhiggins@gmail.com; fei.liu@theintercept.com; jeehan.mikdadi@theintercept.com; jessica.washington@theintercept.com; jonah.valdez@theintercept.com; katherine.krueger@theintercept.com; laura.flynn@theintercept.com; lauren.schilli@theintercept.com; legal@theintercept.com; liliana.segura@theintercept.com; maia.hibbett@theintercept.com; margot.williams@theintercept.com; membership@theintercept.com; michael.sherrard@theintercept.com; miroslav.macala@theintercept.com; moltke@theintercept.com; nara.shin@theintercept.com; nick.turse@theintercept.com; noah.hurowitz@theintercept.com; permissions@theintercept.com; press@theintercept.com; ryan.gallagher@theintercept.com; sam.biddle@theintercept.com; sledge@theintercept.com
Stevens Institute of Technology,https://www.stevens.edu,OSM,0520137,Cabinet President,President,cabinet@stevens.edu,website,agarfink@stevens.edu; amendez@stevens.edu; dlombar1@stevens.edu; financialaid@stevens.edu; iusmani@stevens.edu; jmarrero@stevens.edu; jperalta1@stevens.edu; kherrman1@stevens.edu; kscudder@stevens.edu; lvegaros@stevens.edu; rrosado@stevens.edu; smcandre@stevens.edu; ssweeney1@stevens.edu; vdiaz1@stevens.edu; yfreeman@stevens.edu; cabinet@stevens.edu
New York Institute of Technology,https://www.nyit.edu/nyc,OSM,0742831156875,Jerry Balentine,President,jerry@nyit.edu,website,admissions@nyit.edu; bailey@aiageny.nyit.edu; predoc@osteopathic.org; vancouverinfo@nyit.edu; jerry@nyit.edu
MongoDB,https://www.mongodb.com,OSM,0250712,Chief Executive,President,chief.executive@mongodb.com,website,partners@mongodb.com; u003epartners@mongodb.com; chief.executive@mongodb.com
B2B SEO Company,https://www.b2bseocompany.com,OSM,0123456789,Mo Co-Owner,Founder,mo.co-owner@b2bseocompany.com,website,hello@b2bseocompany.com; mo.co-owner@b2bseocompany.com
MD Charts,https://mdchartsehr.com,OSM,,,,info@mdcharts.net,none,info@mdcharts.net
Continuous Networks,https://www.continuous.net,OSM,08776371,Jason Silverglate,CEO,jason.silverglate@continuous.net,website,info@continuous.net; jason.silverglate@continuous.net
Speyer School (Historic Site),http://daytoninmanhattan.blogspot.com/2014/06/the-1902-speyer-school-nos-512-516-w.html,OSM (fill),02312000087595701,Provident Loan,founder,provident.loan@daytoninmanhattan.blogspot.com,website,tmiller632@aol.com; provident.loan@daytoninmanhattan.blogspot.com
Broadway Station Long Island City Post Office,https://www.usps.com,OSM (fill),+18002221811,General Postal,cto,general.postal@usps.com,website,sfsdelivery.confirmation@usps.gov; general.postal@usps.com
Living Faith Community Church,https://www.lfcc.net,OSM (fill),052121497926555732,Preaching Coaching,co-founder,preaching@lfcc.net,website,admin@lfcc.net; andrewau@lfcc.net; marthalew@lfcc.net; peter@lfcc.net; peterkang@lfcc.net; peterong@lfcc.net; philipchung@lfcc.net; stephenro@lfcc.net; preaching@lfcc.net
systMD,https://systmd.net,OSM,0260724,Google Chan,ceO,google.chan@systmd.net,website,matt@systmd.com; webdesign@systmd.com; google.chan@systmd.net
Unitarian Church of Staten Island,https://www.uucsi.org,OSM (fill),0437235921384,New England,founder,new.england@uucsi.org,website,office@uucsi.org; new.england@uucsi.org
Gracie Square Hospital,https://www.nygsh.org,OSM (fill),061268544,Good Dog,partner,good.dog@nygsh.org,website,10021@40.7697066; good.dog@nygsh.org
StatenWeb,https://statenweb.com,OSM,0509803922,Salmon Real,owner,salmon@statenweb.com,website,contact@statenweb.com; notices@statenweb.com; salmon@statenweb.com
JZ Surveillance Systems,https://www.rintercom.com,OSM,0624175,,,info@rintercom.com,none,info@rintercom.com
Skirball Institute of Biomolecular Medicine,http://skirball.med.nyu.edu,OSM (fill),0415211,Administration Postdo,cto,administration.postdo@skirball.med.nyu.edu,website,chanying.wong@nyulangone.org; administration.postdo@skirball.med.nyu.edu
Institute for Collaborative Education,https://www.iceschoolnyc.org,OSM (fill),076164188773,Safe Schools,partner,safe.schools@iceschoolnyc.org,website,iceschool345@gmail.com; safe.schools@iceschoolnyc.org
Cornell Tech,https://tech.cornell.edu,OSM,0260805,Establishes Cornell,Partner,establishes.cornell@tech.cornell.edu,website,ctcareermanagement@cornell.edu; establishes.cornell@tech.cornell.edu
P.S. 241 -  STEM Institute of Manhattan,https://www.ps241stem.com,OSM (fill),026383395,Monthly Calendar,Partner,monthly.calendar@ps241stem.com,website,areininga@schools.nyc.gov; cjohnson95@schools.nyc.gov; dbratto@schools.nyc.gov; dwilsonjr@schools.nyc.gov; hknight@schools.nyc.gov; icorder@schools.nyc.gov; lvandyne@health.nyc.gov; sperez4@schools.nyc.gov; monthly.calendar@ps241stem.com
Lounge Lizard,https://www.loungelizard.com,OSM,0260714,Life Nation,CEO,life.nation@loungelizard.com,website,sales@loungelizard.com; life.nation@loungelizard.com
iC Consult Americas LLC,https://ic-consult.com,OSM,05678962,Raiffeisen Bank,Owner,raiffeisen.bank@ic-consult.com,website,marketing@ic-consult.com; raiffeisen.bank@ic-consult.com
M.S. 356Q - Community Voices Middle School,https://www.ms356covo.org,OSM (fill),0223641,Boxing Club,partner,boxing@ms356covo.org,website,alipari@ms356covo.org; amcinnis@ms356covo.org; cfolds@ms356covo.org; boxing@ms356covo.org
Cohen’s Children’s Medical Center,https://childrenshospital.northwell.edu,OSM (fill),05395054051,Brian Belpanno,Vice President,brian.belpanno@childrenshospital.northwell.edu,website,ccmccommunityoutreach@northwell.edu; brian.belpanno@childrenshospital.northwell.edu
First United Methodist Church,https://fumc.net,OSM (fill),0210704,,,webteam.fumc@gmail.com,none,webteam.fumc@gmail.com; webteam@fumc.net
Montefiore Medical Center West Campus Moses Division Hospital,https://www.montefiore.org/west,OSM (fill),0230607,Care Find,cto,care@montefiore.org,website,dhaffeman@montefiore.org; elaine.iandoli@einsteinmed.edu; lpilkingto@montefiore.org; rlopez2@montefiore.org; rmccall@montefiore.org; tgurrisi@montefiore.org; care@montefiore.org
