Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Rex Key & Security,https://www.rexkey.com,OSM (fill),05277000,Rex Key,owner,rex.key@rexkey.com,website,sales@rexkey.com; rex.key@rexkey.com
It's Your Move,http://www.itsyourmoveoakland.com,OSM (fill),01520153,Chris Specker,owner,chris.specker@itsyourmoveoakland.com,website,itsyourmovegames@yahoo.com; chris.specker@itsyourmoveoakland.com
Center for New Music and Audio Technologies,https://cnmat.berkeley.edu,OSM,0957000,David Wessel,founder,david.wessel@cnmat.berkeley.edu,website,campion@berkeley.edu; carmine.cella@berkeley.edu; faysal.bohmo@gmail.com; jeremy.wagner@berkeley.edu; manager-cnmat@berkeley.edu; david.wessel@cnmat.berkeley.edu
University of California Police Department,https://ucpd.berkeley.edu,OSM (fill),0221205,President Obama,president,president.obama@ucpd.berkeley.edu,website,police@berkeley.edu; survivorsupport@berkeley.edu; president.obama@ucpd.berkeley.edu
Jupiter,http://www.jupiterbeer.com,OSM (fill),01506722897681,John Martin,Founder,john@jupiterbeer.com,website,chelsea@drakesbrewing.com; managers@jupiterbeer.com; music@jupiterbeer.com; reservations@jupiterbeer.com; john@jupiterbeer.com
Modem,http://modem.work,OSM,01766893869,,,hello@modem.work,none,hello@modem.work
Rivithead,https://www.rivithead.com,OSM (fill),0260812,Arabella Vi,cto,arabella.vi@rivithead.com,website,service@rivithead.com; arabella.vi@rivithead.com
California Center for Innovative Transportation,https://its.berkeley.edu/CCIT,OSM (fill),0309362,Advanced Highway,Partner,advanced@its.berkeley.edu,website,acairo@berkeley.edu; its@its.berkeley.edu; advanced@its.berkeley.edu
Lumiphore,https://lumiphore.com,OSM,02458362,Directors David,CEO,directors.david@lumiphore.com,website,info@lumiphore.com; directors.david@lumiphore.com
La Méditeranée,https://cafelamedberkeley.com,OSM (fill),026080520,Skylar Lederg,owner,skylar@cafelamedberkeley.com,website,information@cafelamedberkeley.com; skylar@cafelamedberkeley.com
Itani Sushi,https://www.itanisushi.com,OSM (fill),05944067,Chef Kyle,owner,chef.kyle@itanisushi.com,website,info@itanisushi.com; chef.kyle@itanisushi.com
Attocube Systems,https://www.attocube.com/en,OSM,0119113094234198898,Managing Director,Chief Executive Officer,managing@attocube.com,website,info.rockgate@bluefors.com; info@attocube.com; info@creon.com.tr; info@inoesy.ro; info@motionsmart.cn; info@nicoletcz.cz; info@optoprim.it; info@qd-china.com; info@qd-japan.com; info@qd-singapore.com; info@simc.co.in; infousa@attocube.com; mail@omacom.co.kr; ales@forter.com.tw; comef@comef.com.pl; gwendal.girard@trioptics.fr; henry@askcorp.co.kr; luz.ruiz@pro-lite.es; omega001@ms3.hinet.net; qdk@qdkorea.com; sales@acexon.com; sales@forter.com.tw; sales@greenrs.com.sg; sales@qd-taiwan.com; sales@warsash.com.au; ssb@ekais.kr; tsuruta@japanlaser.jp; vision@medital.co.il; managing@attocube.com
Bellweather Coffee,https://bellwethercoffee.com,OSM (fill),0558795,Coffee Success,Partner,coffee.success@bellwethercoffee.com,website,support@bellwethercoffee.com; sales@bellwethercoffee.com; coffee.success@bellwethercoffee.com
National Writing Project,https://www.nwp.org,OSM (fill),0138459,Find Local,partner,find@nwp.org,website,nwp@nwp.org; find@nwp.org
BluPeak credit union,https://www.blupeak.com,OSM (fill),0260729,Supervisory Committee,partner,supervisory@blupeak.com,website,nominations@blupeak.com; supervisory@blupeak.com
Forthrite,https://forthriteprinting.com,OSM (fill),0130906,,,info@forthriteprinting.com,none,info@forthriteprinting.com
Boys & Girls Club of Alameda,https://alamedabgc.org,OSM (fill),01520153,Button Brian,Director,button@alamedabgc.org,website,info@alamedabgc.org; bcook@alamedabgc.org; marc@alamedabgc.org; mbumstead@alamedabgc.org; mymail@mailservice.com; nmarchetti@alamedabgc.org; rwatters@alamedabgc.org; button@alamedabgc.org
Poly Plus Battery Company,https://polyplus.com,OSM,0200116,Advisor President,CEO,advisor.president@polyplus.com,website,info@polyplus.com; advisor.president@polyplus.com
Revival Kitchen,https://www.revivalbarandkitchen.com,OSM (fill),0236682,,,revival510@gmail.com,none,revival510@gmail.com
Itani Ramen,https://www.itaniramen.com,OSM (fill),07740895,Kyle Itani,Owner,kyle.itani@itaniramen.com,website,info@itaniramen.com; lisa@lisanourse.com; kyle.itani@itaniramen.com
Mangalam Research Center for Buddhist Languages,https://www.mangalamresearch.org,OSM,0200327,Hugh Joswick,Director,hugh@mangalamresearch.org,website,inquiries@mangalamresearch.org; inquiries@mangalamresearch.orgp; programs@mangalamresearch.org; hugh@mangalamresearch.org
Rite Aid,https://www.riteaid.com/locations/ca/oakland/1991-mountain-boulevard.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
"ecoPartners, LLC",http://ecopartnersllc.com/en,OSM (fill),0250626,Kyle Holland,founder,kyle.holland@ecopartnersllc.com,website,careers@epcarbon.com; info@epcarbon.com; projects@epcarbon.com; kyle.holland@ecopartnersllc.com
Lazeez Kitchen,https://lazeezkitchen.com,OSM (fill),010001000,Lazeez Kitchen,owner,lazeez@lazeezkitchen.com,website,faysal.bohmo@gmail.com; nurevas@lazeezkitchen.com; lazeez@lazeezkitchen.com
Innerstellar,https://www.innerstellaryoga.com,OSM (fill),070660031,Innerstellar Pilates,Founder,innerstellar.pilates@innerstellaryoga.com,website,info@innerstellaryoga.com; innerstellar.pilates@innerstellaryoga.com
