Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Of Course Kitchen & Company,https://www.ofcoursekc.com,OSM (fill),0395213,Bar Manager,Chef de,bar.manager@ofcoursekc.com,website,hello@ofcoursekc.com; bar.manager@ofcoursekc.com
Blessings Abound Thrift Store & Donation Center,https://blessingsaboundkc.org,OSM (fill),04900491,The Store,partner,the.store@blessingsaboundkc.org,website,hello@rfuenzalida.com; blessingsaboundkc@gmail.com; impallari@gmail.com; micah@micahrich.com; the.store@blessingsaboundkc.org
The White Theatre,https://www.thejkc.org/white-theatre,OSM (fill),0263713103365,Donate Now,Partner,donate.now@thejkc.org,website,ui@4.0; donate.now@thejkc.org
CoinFlip Bitcoin ATM,https://locations.coinflip.tech/us/ks/olathe/14100-w-135th-st,OSM (fill),0354614,Flip Legal,Partner,flip.legal@locations.coinflip.tech,website,support@coinflip.tech; flip.legal@locations.coinflip.tech
Bear Necessities,https://bearnecessitiescoffeebar.com,OSM (fill),026080511,,,bearnecessitieskc@gmail.com,none,bearnecessitieskc@gmail.com
Faithful RV,https://faithfulrv.com,OSM (fill),0260113,Awareness Other,Owner,awareness@faithfulrv.com,website,customercare@faithfulrv.com; service@faithfulrv.com; awareness@faithfulrv.com
Elite Flooring Solutions,https://eliteflooringkc.com,OSM (fill),0260319,Kansas City,owner,kansas@eliteflooringkc.com,website,alicia@eliteflooringkc.com; kansas@eliteflooringkc.com
Gurdwara Sahib Kansas City,https://kcmsa.org,OSM (fill),0260727,Gurdwara Etiquette,Team Member,gurdwara.etiquette@kcmsa.org,website,lenexagurudwara@gmail.com; gurdwara.etiquette@kcmsa.org
Kansas City Ballet - South Campus at Meadowbrook,https://kcballet.org/kc-ballet-school-south-campus,OSM (fill),0260618,Contributors Community,Partner,contributors@kcballet.org,website,info@kcballet.org; boxoffice@kcballet.org; impact@kcballet.org; contributors@kcballet.org
Westlake Ace Hardware,https://westlakehardware.com/store/westlake-ace-hardware-overland-park-87th-santa-fe,OSM (fill),0260728,Ace Hardware,owner,ace.hardware@westlakehardware.com,website,tmentzer@mprg.biz; ace.hardware@westlakehardware.com
Moonshot Solutions,https://moonshot-solutions.com,OSM,0260721,Healthcare Staffing,CEO,healthcare.staffing@moonshot-solutions.com,website,info@moonshot-solutions.com; healthcare.staffing@moonshot-solutions.com
Corporate Housing of Kansas City,https://www.corporatehousingofkansascity.com,OSM (fill),0260120,Kansas City,partner,kansas.city@corporatehousingofkansascity.com,website,info@corporatehousingofkansascity.com; kansas.city@corporatehousingofkansascity.com
Overland Park BreakPointe Community Church,http://www.breakpointe.org,OSM (fill),0909090909,At The,Director,at.the@breakpointe.org,website,hello@thelightkc.org; amber.fletcher@thelightkc.org; jobeth.crank@thelightkc.org; lindsay.miles@thelightkc.org; ryan.hanson@thelightkc.org; at.the@breakpointe.org
Johnson County Community College,https://www.jccc.edu,OSM (fill),0252027,Chris Gray,Vice President,chris@jccc.edu,website,webmaster@jccc.edu; chris@jccc.edu
Whole Body Pilates,https://www.wholebodypilateskc.com,OSM (fill),0609556961,,,dana@wholebodypilateskc.com,none,dana@wholebodypilateskc.com
F45 Training,https://f45training.com/leawood,OSM (fill),0230501055849,Jack Rinkes,Owner,jack@f45training.com,website,leawood.admin@f45training.com; leawood@f45training.com; jack@f45training.com
Coldtainer USA,https://www.coldtainerusa.com,OSM (fill),0200818,Florida Coldtainer,Owner,florida.coldtainer@coldtainerusa.com,website,info@coldtainerusa.com; florida.coldtainer@coldtainerusa.com
The University of Kansas Cancer Center,https://www.kucancercenter.org/locations/overland-park,OSM (fill),0262027,Back Find,Partner,back.find@kucancercenter.org,website,physref@kumc.edu; back.find@kucancercenter.org
Merriam City Hall,https://www.merriam.org,OSM (fill),08812043400099,Seth Potts,President,seth@merriam.org,website,aslocum@merriam.org; bdyer@merriam.org; bpape@merriam.org; cengel@merriam.org; cgard@merriam.org; cityofmerriam@merriam.org; ckumke@merriam.org; comdev@merriam.org; court@merriam.org; dmclaughlin@merriam.org; doliver@merriam.org; mborth@merriam.org; mcc@merriam.org; merriamfire@opkansas.org; publicworks@merriam.org; rbrumbaugh@merriam.org; rfine@merriam.org; seth@merriam.org
Merit Weight Loss,https://www.meritweightloss.com,OSM (fill),01520153,Board-Certified Family,Co-Founder,board-certified@meritweightloss.com,website,results@meritweightloss.com; board-certified@meritweightloss.com
First Federal Bank of Kansas City,https://www.ffbkc.com,OSM (fill),0240710,First Federal,owner,first@ffbkc.com,website,digitalbanking@ffbkc.com; doug.gaumer@ffbkc.com; jacob.lewis@ffbkc.com; loanservicing@ffbkc.com; mark.rieger@ffbkc.com; sara.butch@ffbkc.com; sherri.parsons@ffbkc.com; first@ffbkc.com
DEMDACO,https://www.demdaco.com,OSM (fill),02620260316,Fluttery Finds,Team Member,fluttery@demdaco.com,website,check@and.return; customercare@demdaco.com; guest@guest.com; fluttery@demdaco.com
Elite Comics,https://www.elite-comics.com,OSM (fill),08510845,,,atomick9@aol.com,none,atomick9@aol.com
