Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
La Salle University Art Museum,https://artcollection.lasalle.edu,OSM (fill),,Online Collections,Team Member,online.collections@artcollection.lasalle.edu,website,artmuseum@lasalle.edu; online.collections@artcollection.lasalle.edu
Whitemarsh Township Police Department,https://www.whitemarshtwp.org/140/Police,OSM (fill),0275272,Whitemarsh Police,owner,whitemarsh.police@whitemarshtwp.org,website,info@whitemarshtwp.org; tforsyth@whitemarshpd.org; whitemarsh.police@whitemarshtwp.org
St. Vincent De Paul Church,https://www.saint-vincent-church.org,OSM (fill),08432238322,Ensemble Choir,Director,ensemble.choir@saint-vincent-church.org,website,emc25sch@gmail.com; ensemble.choir@saint-vincent-church.org
Habitat Coffee House,https://habitat.coffee,OSM (fill),01520153,Aaron Beattie,Founder,aaron.beattie@habitat.coffee,website,info@habitat.coffee; aaron.beattie@habitat.coffee
Fitler Square Farmers Market,https://thefoodtrust.org/farmers-markets/market/fitler-square,OSM (fill),07317073,Farmers Market,partner,farmers@thefoodtrust.org,website,contact@thefoodtrust.org; broguehydrodelivery@gmail.com; farmersmarket@thefoodtrust.org; farmers@thefoodtrust.org
Rittenhouse Market,https://rittenhousemarkets.com,OSM (fill),0732265476,,,info@rittenhousemarket.com,none,info@rittenhousemarket.com; info@rittenhousemarkets.com
Lumos Yoga & Barre,https://www.lumosyogaandbarre.com,OSM (fill),01291641321442514,Parrish Street,partner,parrish.street@lumosyogaandbarre.com,website,info@lumosfitness.com; parrish.street@lumosyogaandbarre.com
Action Karate Northern Liberties,https://actionkarate.net/locations/northern-liberties,OSM (fill),0250520,Action Karate,cto,action@actionkarate.net,website,info@actionplymouth.com; teamdinoto@gmail.com; actioncherryhill@gmail.com; actiondrexelhill@gmail.com; actionfairmount@gmail.com; actionfountainville@gmail.com; actionhv@verizon.net; actionjamison@gmail.com; actionkaratebethlehem@gmail.com; actionkarateco@gmail.com; actionkaratefairlesshills@gmail.com; actionkaratefl@gmail.com; actionkaratehamilton@gmail.com; actionkaratehorsham@gmail.com; actionkaratelebanon@gmail.com; actionkaratemtairy@gmail.com; actionkaratephillipsburg@gmail.com; actionkaratephoenixville@gmail.com; actionkaratetelford@gmail.com; actionkaratevoorhees@gmail.com; actionkaratewc@gmail.com; actionkaratewhitehall@gmail.com; actionmainline@gmail.com; actionmanayunk@gmail.com; actionnewtownpa@gmail.com; actionnorthernliberties@gmail.com; actionnorthwales@gmail.com; actionpw@gmail.com; actionqtown@gmail.com; actionskippack@gmail.com; akcinnaminson@gmail.com; aknazareth@gmail.com; akroyersford@gmail.com; aksouthphilly@gmail.com; chalfont@actionkarate.net; chalfontak@gmail.com; mrsdags.akfeasterville@gmail.com; orelandak@gmail.com; action@actionkarate.net
Rite Aid,https://www.riteaid.com/locations/pa/philadelphia/3601-midvale-avenue.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Franklin Mint Federal Credit Union,https://www.fmfcu.org,OSM (fill),0860853,Consumer Credit,partner,consumer@fmfcu.org,website,relationshipmanagers@fmfcu.org; retentionsolutionsemailgroup@fmfcu.org; consumer@fmfcu.org
Berean Institute Technology & Technical Center,https://ptt.edu,OSM,0260725,Donald Jackson,partner,donald.jackson@ptt.edu,website,info@ptt.edu; donald.jackson@ptt.edu
P'unk Ave,https://punkave.com,OSM,0260716,,,connect@yesandagency.com,none,connect@yesandagency.com
SHARE Food Program,https://sharefoodprogram.org,OSM (fill),0260710,Give Now,Partner,give@sharefoodprogram.org,website,gmatysik@sharefoodprogram.org; jbautista@sharefoodprogram.org; give@sharefoodprogram.org
BCC Interactive,https://www.bccinteractive.com,OSM,0260625,Elevate Your,CEO,elevate@bccinteractive.com,website,cory@bccinteractive.com; elevate@bccinteractive.com
Architectural Antiques Exchange,https://www.architecturalantiques.com,OSM (fill),01020103,Brooks Brothers,cto,brooks.brothers@architecturalantiques.com,website,antiquebars@gmail.com; brooks.brothers@architecturalantiques.com
Salus University,https://www.salus.edu,OSM (fill),02869576,Admissions Staff,Partner,admissions.staff@salus.edu,website,accredit@theacoe.org; salus_admissions@drexel.edu; admissions.staff@salus.edu
Salvation Army - KROC,https://easternusa.salvationarmy.org/philadelphia-kroc,OSM (fill),08111791845120179192,Never Miss,Team Member,never.miss@easternusa.salvationarmy.org,website,phillykrocinfo@use.salvationarmy.org; never.miss@easternusa.salvationarmy.org
Nehemiah Tabernacle Inc,https://www.nehemiahtabernacle.org,OSM (fill),0223641,Day Sunday,Founder,day.sunday@nehemiahtabernacle.org,website,churchcommunity@gmail.com; day.sunday@nehemiahtabernacle.org
Germantown Ave. Crisis Ministry,https://www.crisisministry.org,OSM (fill),01020103,Eileen Jones,Director,eileen@crisisministry.org,website,info@crisisministry.org; ayoungblood@crisisministry.org; bjones@crisisministry.org; dmorgridge@crisisministry.org; help@crisisministry.org; jpodraza@crisisministry.org; rbernstein@crisisministry.org; sdrummond@crisisministry.org; eileen@crisisministry.org
"Iroko Pharmaceuticals, LLC",https://www.iroko.com,OSM (fill),0550876,Fondateur Pierre-Antoine,Directeur général,fondateur.pierre-antoine@iroko.com,website,contact-iberia@iroko.eu; contact@iroko.eu; ayrton.lucas@iroko.eu; back-office@iroko.eu; charles-edouard.pauly@iroko.eu; enzo.rocca@iroko.eu; julien.tour@gmail.com; thibault@iroko.eu; fondateur.pierre-antoine@iroko.com
Little Susie's Coffee & Pie,https://www.littlesusies.com,OSM (fill),0260325,,,catering@littlesusies.com,none,catering@littlesusies.com; hi@mystore.com; littlesusies.phl@gmail.com
Greater Philadelphia Asian Social Services,https://www.gpasspa.org,OSM (fill),070068844,Counseling Budgeting,owner,counseling.budgeting@gpasspa.org,website,info@ndiscovered.com; counseling.budgeting@gpasspa.org
DaVita Dialysis,https://www.davita.com/locations/pa/philadelphia/3020-market-st--5033,OSM (fill),04246589,Fulfillment We,owner,fulfillment@davita.com,website,independentchair@davita.com; fulfillment@davita.com
St. Vincent De Paul (Face to Face),https://facetofacegermantown.org,OSM (fill),0384615385,Board Of,Director,board@facetofacegermantown.org,website,ally@facetofacegermantown.org; jeanne@facetofacegermantown.org; board@facetofacegermantown.org
Sacred Heart Home,https://sacredheartphila.org,OSM (fill),0240311,,,superiorgeneral@hawthorne-dominicans.org,none,superiorgeneral@hawthorne-dominicans.org
Britton Industries,https://brittonindustries.com,OSM (fill),0260120,Patrick Flannery,Founder,patrick.flannery@brittonindustries.com,website,info@brittonindustries.com; patrick.flannery@brittonindustries.com
Penn Capital Management,https://www.penncapital.com,OSM (fill),0721650,Penn Capital,Partner,penn.capital@penncapital.com,website,media@penncapital.com; penn.capital@penncapital.com
UHP Wireless Networks,http://www.uhpwireless.com,OSM,0210625,Co-Founder Jonathan,Co-Founder,co-founder@uhpwireless.com,website,sales@uhpwireless.com; solutions@uhpwireless.com; co-founder@uhpwireless.com
F1 Arcade,https://f1arcade.com/us/philadelphia,OSM (fill),0850457,Qs Press,Partner,qs@f1arcade.com,website,support@f1arcade.com; atlanta.bookings@f1arcade.com; bostonbookings@f1arcade.com; chicago.bookings@f1arcade.com; dc.bookings@f1arcade.com; dcbookings@f1arcade.com; denver.bookings@f1arcade.com; events@f1arcade.com; philly.bookings@f1arcade.com; press@f1arcade.com; privacy@f1arcade.com; vegas.bookings@f1arcade.com; qs@f1arcade.com
New Life Community Church,https://www.newlifehv.org,OSM (fill),054936319,Bill Murray,Director,bill.murray@newlifehv.org,website,office@newlifehv.com; bill.murray@newlifehv.org
"Club Quarters Hotel Rittenhouse Square, Philadelphia",https://clubquartershotels.com/philadelphia,OSM (fill),0241010,New York,Team Member,new.york@clubquartershotels.com,website,guestservices@clubquarters.com; u003eguestservices@clubquarters.com; new.york@clubquartershotels.com
City Fitness,https://cityfitness.com/old-city-club,OSM (fill),0100101,Health Clubs,CEO,health@cityfitness.com,website,eastmarket@cityfitness.com; eastpassyunk@cityfitness.com; fairmount@cityfitness.com; fishtown@cityfitness.com; graduatehospital@cityfitness.com; logansquare@cityfitness.com; northernliberties@cityfitness.com; oldcity@cityfitness.com; press@cityfitness.com; health@cityfitness.com
Philabundance,https://www.philabundance.org,OSM (fill),0260522,Board Loree,Chief Executive Officer,board@philabundance.org,website,contactus@philabundance.org; example@gmail.com; media@philabundance.org; pckinfo@philabundance.org; pckmeals@philabundance.org; pckrecruitment@philabundance.org; board@philabundance.org
Paulie Gee's Soul City,https://pauliegee.com/soul-city,OSM (fill),02312202307,,,jobs@pauliegee.com,none,jobs@pauliegee.com
White Horse Coffee & Creamery,https://www.whitehorsecoffeecreamery.com,OSM (fill),01017184244658717588,Jean Brillman,Founder,jean.brillman@whitehorsecoffeecreamery.com,website,info@whitehorsecoffeeroasters.com; jean.brillman@whitehorsecoffeecreamery.com
