Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
KPrime Technologies,https://www.kprime.net,OSM,+14032265897,As President,Vice President,as.president@kprime.net,website,sales@kprime.net; as.president@kprime.net
Arizona Fire Medical Authority Fire Station 343,https://www.afma.az.gov/facilities#A12C6400-FE26-4142-8317-8C65FF2DB284,OSM (fill),0242029,Fire Code,cto,fire.code@afma.az.gov,website,info@afma.az.gov; fire.code@afma.az.gov
Los Taquitos,https://www.skyharbor.com/at-the-airport/food-drinks/los-taquitos-408,OSM (fill),+16022733300,Goodyear Airport,Director,goodyear.airport@skyharbor.com,website,jason.gitkin@phoenix.gov; nicole.donathan@phoenix.gov; skyharbor@phoenix.gov; skyharborpio@phoenix.gov; goodyear.airport@skyharbor.com
Maricopa Institute of Technology,https://www.mitglobalonline.org,OSM,073361770,Multicultural Day,Partner,multicultural@mitglobalonline.org,website,cvaldez@mitglobalonline.org; mcarbajal@mitglobalonline.org; multicultural@mitglobalonline.org
Marshland Software,https://marshland.software,OSM,+18433218208,Josh Marshall,Founder,josh.marshall@marshland.software,website,hello@marshland.software; newsletter@yourbusiness.com; josh.marshall@marshland.software
White Cup Coffee,https://thewhitecafe.com,OSM (fill),01323505,Andrew Rosener,CEO,andrew.rosener@thewhitecafe.com,website,interested@domainmarket.com; andrew.rosener@thewhitecafe.com
Kino Catechetical Institute,https://kinoinstitute.org,OSM,0130227,Catechesi Tradendae,Director,catechesi.tradendae@kinoinstitute.org,website,kinoinstitute@diocesephoenix.org; kinoinstitute@dphx.org; llobato@dphx.org; vromero@dphx.org; catechesi.tradendae@kinoinstitute.org
North Mountain Medical and Rehabilitation Center,https://northmountain.net,OSM (fill),0779400635,Former Patient,cto,former.patient@northmountain.net,website,contact-northmountain@ensignservices.net; former.patient@northmountain.net
La Locanda Italian Bistro,https://www.lalocandaaz.com,OSM (fill),026080511,La Locanda,partner,la@lalocandaaz.com,website,cochoa@lalocandaaz.com; la@lalocandaaz.com
OneAZ Credit Union,https://www.oneazcu.com/about/locations/tempe-southern-ave,OSM (fill),+18446632928,Are You,Owner,are@oneazcu.com,website,amontoy@oneazcu.com; bmello@oneazcu.com; bmorenzoni@oneazcu.com; cangulo@oneazcu.com; cdaniels@oneazcu.com; cgoodwin@oneazcu.com; cmanning@oneazcu.com; darrizon@oneazcu.com; omata@oneazcu.com; questions@oneazcu.com; sgunderman@oneazcu.com; tterkelsen@oneazcu.com; are@oneazcu.com
CorePower Yoga,https://www.corepoweryoga.com/yoga-studios/arizona/tempe/tempeasu,OSM (fill),0415591615,Power Yoga,partner,power@corepoweryoga.com,website,corepoweryoga@azionepr.com; mediainquiries@corepoweryoga.com; partnerships@corepoweryoga.com; power@corepoweryoga.com
Keen Independent Research,https://keenindependent.com,OSM,0869209504,Creative Waco,Chief Executive Officer,creative.waco@keenindependent.com,website,hiring@keenindependent.com; info@keenindependent.com; alexkeen@keenindependent.com; amanda.embry@keenindependent.com; aneliese.dar@keenindependent.com; blanca.monter@keenindependent.com; dkeen@keenindependent.com; heather.calvin@keenindependent.com; hummkeen@keenindependent.com; janine.kyritsis@keenindependent.com; jennifer.tuchband@keenindependent.com; jeremy.dueck@keenindependent.com; joseph.broad@keenindependent.com; kristen.bethune@keenindependent.com; nicole.yates@keenindependent.com; roksana.filipowska@keenindependent.com; tedy.isaacks@keenindependent.com; tiffany.couch@keenindependent.com; vivien.l@keenindependent.com; creative.waco@keenindependent.com
Los Taquitos,https://lostaquitosaz.com,OSM (fill),0265787,Agua Frescas,Team Member,agua.frescas@lostaquitosaz.com,website,arthurandarcher@gmail.com; agua.frescas@lostaquitosaz.com
Cleveland Electric Laboritories,https://clevelandelectriclabs.com,OSM,07681434,Jack Lieske,President,jack.lieske@clevelandelectriclabs.com,website,sales@cel-atg.com; sales@cel-tcg.com; jack.lieske@clevelandelectriclabs.com
Orangetheory Fitness,https://www.orangetheory.com/en-us/locations/phoenix-arizona-0232,OSM (fill),0100301,Author Share,partner,author.share@orangetheory.com,website,studiomanager0232@orangetheoryfitness.com; author.share@orangetheory.com
Shred Nations,https://www.shrednations.com/phoenix,OSM (fill),0260618,North Mountain,owner,north@shrednations.com,website,info@shrednations.com; support@shrednations.com; phoenix@shrednations.com; north@shrednations.com
La Princesa,https://www.azprincesa.com,OSM (fill),0892639,,,dmcole2000@gmail.com,none,mail@mail.com; dmcole2000@gmail.com
F45 Training,https://f45training.com/studio/midtownphoenix,OSM (fill),0230501055849,Batt Deputy,Director,batt.deputy@f45training.com,website,midtownphoenix.admin@f45training.com; midtownphoenix@f45training.com; batt.deputy@f45training.com
DaVita Dialysis,https://www.davita.com,OSM (fill),0260616,Fulfillment We,owner,fulfillment@davita.com,website,independentchair@davita.com; fulfillment@davita.com
"Valcon General, LLC",https://valcongeneral.com,OSM (fill),01044238031776315971,General Contra,cto,general.contra@valcongeneral.com,website,jp@valcongeneral.com; general.contra@valcongeneral.com
Parts Authority,https://partsauthority.com,OSM (fill),0250813093809,Clark Hale,Chief Executive Officer,clark@partsauthority.com,website,contactus@partsauthority.com; +az+85281+united+states@33.4563547; clark@partsauthority.com
Heritage Shutters,https://heritageshutters.com,OSM (fill),0457495441781124500,Heritage Shutters,owner,heritage.shutters@heritageshutters.com,website,info@heritageshutters.com; heritage.shutters@heritageshutters.com
The Catering Kitchen,https://morningsqueeze.com/catering,OSM (fill),0250905,,,catering@webeggtodiffer.com,none,info@morningsqueeze.com; catering@webeggtodiffer.com
RSP Architects,https://rsparch.com,OSM (fill),0260324,King Kinney,CEO,king.kinney@rsparch.com,website,dev.jain@alex-dg.com; ed.hess@rsparch.com; heidi.schmidt@rsparch.com; john.eckerman@rsparch.com; michael.carter@rsparch.com; michelle.matera@rsparch.com; phxmarketing@rsparch.com; rajan.battish@rsparch.com; king.kinney@rsparch.com
Arizona Community Church,https://www.azcc.org,OSM (fill),03029298556,New Mexico,founder,new@azcc.org,website,bmeiter@azcc.org; eventpostbanner@1.1; welcome@azcc.org; new@azcc.org
Banfield Pet Hospital,https://www.banfield.com,OSM (fill),0190313190108619,Banfield Shop,partner,banfield.shop@banfield.com,website,info@banfieldfoundation.org; banfield.websupport@banfield.com; banfieldcares@banfield.com; cst.inbox@banfield.com; email@emailserver.com; home.delivery@banfield.com; owp@banfield.com; wellnessplanteam@banfield.com; banfield.shop@banfield.com
"Whitley Machine, Inc.",https://whitleymachine.com,OSM (fill),0260802,Whitley Machine,Team Member,whitley@whitleymachine.com,website,breann@whitleymachine.com; cliff@whitleymachine.com; erri@whitleymachine.com; shanda@whitleymachine.com; whitley@whitleymachine.com
One Tribe Yoga and Wellness,https://onetribe.life,OSM (fill),0260729,,,behappy@onetribe.life,none,behappy@onetribe.life
TitleBuck$,https://www.titlebucks.com/store/phoenix-w-cactus-az-10-title-loans,OSM (fill),0210224,Customer Reviews,Team Member,customer.reviews@titlebucks.com,website,customer.service@ccfi.com; customer.reviews@titlebucks.com
B&B Evaluation Services,https://bbevaluation.net,OSM (fill),01020103,Accept Your,Partner,accept.your@bbevaluation.net,website,contact@sansoxygen.com; team@latofonts.com; filler@godaddy.com; accept.your@bbevaluation.net
Nook Kitchen Downtown,https://nookkitchen.com,OSM (fill),0260714,An Arcadia,Team Member,an@nookkitchen.com,website,frank@nookkitchen.com; nicholas@nookkitchen.com; an@nookkitchen.com
New Asian Kitchen,https://newasiankitchen.com,OSM (fill),06457421,Qui Xian,owner,qui.xian@newasiankitchen.com,website,micah@micahrich.com; qui.xian@newasiankitchen.com
