Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Tavares Pediatric Center,https://tpcri.com,OSM (fill),04900491,Erica Jewell,Director,erica@tpcri.com,website,team@latofonts.com; aturgeon@tpcri.com; ejewell@tpcri.com; impallari@gmail.com; koldrid@tpcri.com; kvessella@tpcri.com; mznamirowski@tpcri.com; rbastien@tpcri.com; tobrien@tpcri.com; vtavares@tpcri.com; erica@tpcri.com
Geoff's Superlative Sandwitches,https://geoffssuperlativesandwiches.com,OSM (fill),01520153,Associate Degrees,cto,associate.degrees@geoffssuperlativesandwiches.com,website,astigma@astigmatic.com; geoffs.on.southmain@gmail.com; associate.degrees@geoffssuperlativesandwiches.com
Rhode Island College,https://www.ric.edu,OSM (fill),024202520242025,Action Adu-Gyamfi,cto,action@ric.edu,website,admissions@ric.edu; arudermanlooff@ric.edu; cda@ric.edu; graduatestudies@ric.edu; l4linfo@ric.edu; mrc@ric.edu; odei@ric.edu; theweb@ric.edu; unitycenter@ric.edu; action@ric.edu
Hangry Kitchen,https://hangry-kitchen.com,OSM (fill),01520153,Hangry Kitchen,Partner,hangry.kitchen@hangry-kitchen.com,website,info@hangryllc.com; team@latofonts.com; impallari@gmail.com; hangry.kitchen@hangry-kitchen.com
Culinary Archive and Museum;Johnson & Wales University Culinary Arts Museum,https://www.jwu.edu/culinarymuseum,OSM (fill),03425598,American Campus,chief executive officer,american.campus@jwu.edu,website,cassandra.aracri@jwu.edu; christine.iannotti@jwu.edu; eliana.medina@jwu.edu; emma.pedigo@jwu.edu; jane.delamare@jwu.edu; jenny.winklerrichards@jwu.edu; julie.defruscio@jwu.edu; kyle.barbato@jwu.edu; laura.macek@jwu.edu; lauren.zukus@jwu.edu; liam.coll@jwu.edu; marybeth.dempsey@jwu.edu; mashona.mcafee@jwu.edu; mbrown@jwu.edu; michele.milos@jwu.edu; michelle.doss@jwu.edu; museum@jwu.edu; rayanne.enos@jwu.edu; rosetta.parente@jwu.edu; sas.onl@jwu.edu; sfs.clt@jwu.edu; sfs.pvd@jwu.edu; shunna.crockett@jwu.edu; stacy.bateni@jwu.edu; taryn.mcelroy@jwu.edu; american.campus@jwu.edu
Brown University Pharmacy,https://healthservices.brown.edu/services/pharmacy-services,OSM (fill),0842123,Campus Life,Director,campus.life@healthservices.brown.edu,website,20christine_farland@brown.edu; christine_farland@brown.edu; erika_lorange@brown.edu; stephen_barnabe@brown.edu; campus.life@healthservices.brown.edu
Little Sister,https://www.littlesisterpvd.com,OSM (fill),0331433,Earth Care,partner,earth.care@littlesisterpvd.com,website,hello@littlesisterpvd.com; earth.care@littlesisterpvd.com
White Electric,https://www.whiteelectriccoffee.com,OSM (fill),08603357207,By Marc,owner,by.marc@whiteelectriccoffee.com,website,wecoffeecoop@gmail.com; by.marc@whiteelectriccoffee.com
White Owl Bar & Kitchen,https://whiteowlpvd.com,OSM (fill),0142015,,,whiteowlri@gmail.com,none,info@ndiscovered.com; whiteowlri@gmail.com; wweeiihhuuaanngg@gmail.com
West End Community Center,https://providenceri.recdesk.com/Community/Facility/Detail?facilityId=10,OSM (fill),0272418,Bucklin St,Director,bucklin.st@providenceri.recdesk.com,website,ddelves@providenceri.gov; estanley@providenceri.gov; hperry@providenceri.gov; jfargnoli@providenceri.gov; jodugbela@providenceri.gov; jpoulios@providenceri.gov; ljohnson@providenceri.gov; mholland@providenceri.gov; mshepard@providenceri.gov; nbailey@providenceri.gov; sgrace@providenceri.gov; sperry@providenceri.gov; spiscopiello@providenceri.gov; ymanfredo@providenceri.gov; ymendoza@providenceri.gov; bucklin.st@providenceri.recdesk.com
The Nitro Bar,https://thenitrocart.com,OSM (fill),01520153,Audrey Finocchiaro,founder,audrey@thenitrocart.com,website,hilip@thenitrocart.com; justine@thenitrocart.com; katierudio@thenitrocart.com; philip@thenitrocart.com; audrey@thenitrocart.com
Jewish Community Day School of Rhode Island,https://jcdsri.com,OSM (fill),01414070882953,Engagement Community,Partner,engagement@jcdsri.com,website,sfel@jcdsri.com; engagement@jcdsri.com
Chomp Kitchen & Drinks,https://www.chompri.com/#,OSM (fill),0240810,,,hello@chompri.com,none,hello@chompri.com
Boys & Girls Club,https://bgcprov.org/wanskuck-clubhouse,OSM (fill),08333333333333333,Club Facts,CEO,club@bgcprov.org,website,aatchinson@bgcprov.org; aberry@bgcprov.org; caucoin@bgcprov.org; dallen@bgcprov.org; dtavares@bgcprov.org; jblack@bgcprov.org; jmcdonough@bgcprov.org; mborges@bgcprov.org; mmorgan@bgcprov.org; mscarpetti@bgcprov.org; ndufresne@bgcprov.org; ptaraian@bgcprov.org; slapham@bgcprov.org; slawrence@bgcprov.org; spawlitschek@bgcprov.org; ssilva@bgcprov.org; timbier@bgcprov.org; club@bgcprov.org
