Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
East Palo Alto City Hall,https://www.ci.east-palo-alto.ca.us,OSM (fill),0859375,City Newsletter,Director,city.newsletter@ci.east-palo-alto.ca.us,website,faysal.bohmo@gmail.com; city.newsletter@ci.east-palo-alto.ca.us
United Studios of Self Defense,http://menloparkussd.com,OSM (fill),05755431,Degree Black,CTO,degree.black@menloparkussd.com,website,ussdmenlopark@gmail.com; ussdnevada@gmail.com; degree.black@menloparkussd.com
Belmont Community Branch,https://providentcu.org,OSM (fill),0192026,Resources Investment,President,resources@providentcu.org,website,hrd@providentcu.org; cardservices@providentcu.org; consumerlending@providentcu.org; investments@providentcu.org; jjulow@providentcu.org; mbrsrvc@providentcu.org; memberstoceo@providentcu.org; rb@providentcu.atlassian.net; realestate@providentcu.org; resources@providentcu.org
Point Forward,https://www.pointforward.com,OSM (fill),027945211,American Families,owner,american@pointforward.com,website,twilliams@pointforward.com; american@pointforward.com
Feedly,https://feedly.com,OSM,06572356,Graph Relationships,cto,graph@feedly.com,website,care@feedly.com; graph@feedly.com
Autonomic Technologies Inc.,http://www.autonomictechnologies.com,OSM,0117188,Surgeons Realeve,CEO,surgeons.realeve@autonomictechnologies.com,website,projects@finsweet.com; surgeons.realeve@autonomictechnologies.com
"Volkswagen of America, Electronics Research Lab",http://www.vwerl.com,OSM (fill),070660031,Volkswagen Cam-Connect,Partner,volkswagen.cam-connect@vwerl.com,website,iecc-info@vw.com; volkswagen.cam-connect@vwerl.com
Zum,https://www.ridezum.com,OSM,0664648,In Vivek,Chief Executive Officer,in.vivek@ridezum.com,website,ui@4.0; in.vivek@ridezum.com
Woodmont Real Estate Services,https://www.wres.com,OSM (fill),05923960,As Woodmontâ,CEO,as@wres.com,website,careers@wres.com; info@wres.com; commleasing@wres.com; multifamily@wres.com; as@wres.com
Exact Sciences,https://www.exactsciences.com/about/Locations/RWC,OSM (fill),0894051,Exact Sciences,CEO,exact@exactsciences.com,website,healthequity@exactsciences.com; exact@exactsciences.com
Snap Fitness,https://www.snapfitness.com/us/gyms/redwood-city-ca,OSM (fill),0484562807,Fitness Investment,Owner,fitness@snapfitness.com,website,inquiries@snapfitness.com; eades63@yahoo.com; kevrai51@gmail.com; media@snapfitness.com; ninquiries@snapfitness.com; nmedia@snapfitness.com; nvendorsupport@liftbrands.com; redwoodcity@snapfitness.com; surrender2@earthlink.net; vendorsupport@liftbrands.com; fitness@snapfitness.com
AXIS,https://www.axispt.com,OSM (fill),0101010,Fire Me,CEO,fire@axispt.com,website,aallen@axispt.com; adoan@axispt.com; alara@axispt.com; amadrigal@axispt.com; april@yourskinmatters.com; csteeves22@yahoo.com; dhawkins@axispt.com; djohnson@axispt.com; dougmichael.beyondfitness@gmail.com; dshan@axispt.com; garudaman@sbcglobal.net; jfernandez@axispt.com; jladden@axispt.com; jlara@axispt.com; jmoran@axispt.com; jodie@axispt.com; lania@axispt.com; mgutierrez@axispt.com; nmanglinong@axispt.com; sarsmiller@gmail.com; sergio@sergiopt.com; sgomez@axispt.com; snorton@axispt.com; stefan@axispt.com; willmarts21@yahoo.com; fire@axispt.com
Valerio Dewalt Train,https://www.buildordie.com,OSM (fill),03070308,,,products@buildordie.com,none,contact@buildordie.com; info@buildordie.com; marketing@buildordie.com; products@buildordie.com
Guidewire Software,https://www.guidewire.com,OSM,0768714,Klaus Endres,CEO,klaus@guidewire.com,website,security@guidewire.com; klaus@guidewire.com
San Francisco Federal Credit Union,https://www.sanfranciscofcu.com,OSM (fill),05108816,Celeste Fehely,Vice President,celeste.fehely@sanfranciscofcu.com,website,kevin.enomoto@lpl.com; celeste.fehely@sanfranciscofcu.com
British Bankers Club,https://www.britishbankersclub.com,OSM (fill),01520153,Ginger Beer,CTO,ginger@britishbankersclub.com,website,events@britishbankersclub.com; ginger@britishbankersclub.com
Team Fitness,https://www.teamfitness.com,OSM (fill),01665632355,Los Altos,Team Member,los@teamfitness.com,website,tomgordon@teamfitness.com; los@teamfitness.com
Crunch Fitness,https://www.crunch.com/locations/san-mateo,OSM (fill),0214519,Crunch Gym,Owner,crunch@crunch.com,website,_211_sanmateo_generalmanager_group@crunch.com; _211_sanmateo_om_group@crunch.com; _211_sanmateo_ptmanager_group@crunch.com; sanmateomanager@crunch.com; crunch@crunch.com
U.S. Venture Partners,https://www.usvp.com,OSM (fill),0260730,Benkoski General,Partner,benkoski.general@usvp.com,website,contact@usvp.com; benkoski.general@usvp.com
Reltio,https://reltio.com,OSM,0260701,Chief Information,Vice President,chief@reltio.com,website,support@reltio.com; legal@reltio.com; partners@reltio.com; press@reltio.com; sales@reltio.com; chief@reltio.com
MongoDB,https://www.mongodb.com,OSM,0250712,Chief Executive,President,chief.executive@mongodb.com,website,partners@mongodb.com; u003epartners@mongodb.com; chief.executive@mongodb.com
Elegen Bio,https://elegenbio.com,OSM (fill),0260127,Elegen Elegen,Founder,elegen.elegen@elegenbio.com,website,info@elegenbio.com; customer.support@elegenbio.com; hero-video@2000px.mp4; elegen.elegen@elegenbio.com
Derby Interiors & Design,https://www.traditionallyderby.com,OSM (fill),018001420,Diana Deggelman,Owner,diana.deggelman@traditionallyderby.com,website,info@derbymenlo.com; diana.deggelman@traditionallyderby.com
Rite Aid,https://www.riteaid.com/locations/ca/redwood-city/2150-roosevelt-avenue.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Boxleaf Design,https://www.boxleafdesign.com,OSM (fill),0118594,,,info@boxleafdesign.com,none,info@boxleafdesign.com
Summit Public Schools,https://summitps.org,OSM (fill),0250904,Cady Ching,Chief Executive Officer,cady@summitps.org,website,apply@summitps.org; info@summitps.org; talent@summitps.org; atlas@summitps.org; boardmanager@summitps.org; caboardofdirectors@summitps.org; everest@summitps.org; k2@summitps.org; olympus@summitps.org; shasta@summitps.org; sierra@summitps.org; summitprep@summitps.org; tahoma@summitps.org; tamalpais@summitps.org; waboardofdirectors@summitps.org; cady@summitps.org
