Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
The Benefit Store,https://thebenefitstore.org,OSM (fill),+19724700700,Catalog By,Partner,catalog@thebenefitstore.org,website,jane@company.com; staff@thebenefitstore.org; catalog@thebenefitstore.org
Callier Center Richardson,https://calliercenter.utdallas.edu/location/richardson-campus,OSM,0250630,Annual Giving,Director,annual.giving@calliercenter.utdallas.edu,website,bethany.arsenault@utdallas.edu; communicationdisorders@utdallas.edu; darin.phan@utdallas.edu; donna.wylie@utdallas.edu; holly.rio@utdallas.edu; jiana.khazma@utdallas.edu; kenyatta.rendon@utdallas.edu; larissa.fong@utdallas.edu; melanie.obrien@utdallas.edu; patricia.gregory@utdallas.edu; sam.cox@utdallas.edu; slhs.phd@utdallas.edu; utdaudcenter@utdallas.edu; annual.giving@calliercenter.utdallas.edu
​Sababa Mediterranean Cuisine,https://www.sababacuisine.com,OSM (fill),049999999,Customer Reviews,Team Member,customer.reviews@sababacuisine.com,website,bafinvestments@hotmail.com; customer.reviews@sababacuisine.com
Edith and Peter O’Donnell Jr. Athenaeum,https://oda.utdallas.edu,OSM (fill),0241010,Bass Jr,director,bass.jr@oda.utdallas.edu,website,ckim@crowmuseum.org; terryl.han@utdallas.edu; bass.jr@oda.utdallas.edu
University Village Leasing Office,https://housing.utdallas.edu/contact,OSM (fill),0616133407,Grief Associate,Vice President,grief.associate@housing.utdallas.edu,website,alexis.rodriguez3@utdallas.edu; andres.dejesus@utdallas.edu; ashleigh.beckmann@utdallas.edu; cesar.arreola@utdallas.edu; christina.schwiderski@utdallas.edu; colen.skinner@utdallas.edu; elizabeth.johnson@utdallas.edu; emily.rigsby@utdallas.edu; emily.ross@utdallas.edu; ericka.butler@utdallas.edu; fatima.nawfa@utdallas.edu; grief@utdallas.edu; hminton@utdallas.edu; housing@utdallas.edu; kayla.fairclough@utdallas.edu; kaytie.harwood@utdallas.edu; lisa.koontz@utdallas.edu; luis.robles@utdallas.edu; lxg132230@utdallas.edu; maria.mares@utdallas.edu; mariessa.joseph@utdallas.edu; mbenson@utdallas.edu; miguel.solorio@utdallas.edu; nicky.dang@utdallas.edu; ren.lafleur@utdallas.edu; ryan.hopkins@utdallas.edu; ryan.white@utdallas.edu; sarah.mirarchi@utdallas.edu; seth.harwood@utdallas.edu; stan.scroggins@utdallas.edu; taylor.lawson@utdallas.edu; thomas.abbey@utdallas.edu; todd.lawrence@utdallas.edu; zane.dean@utdallas.edu; grief.associate@housing.utdallas.edu
Suntronic,https://suntronicinc.com,OSM (fill),0260526,Live Personalized,President,live.personalized@suntronicinc.com,website,info@suntronicinc.com; adam.wilk@suntronicinc.com; adam.wilk@suntronicllc.com; live.personalized@suntronicinc.com
"Synergistic Systems, Inc.",https://www.e-ssy.com,OSM,+19724159217,Certification Support,Team Member,certification.support@e-ssy.com,website,support@e-ssy.com; certification.support@e-ssy.com
Advancial Federal Credit Union,https://www.advancial.org/locations/richardson,OSM (fill),0474428984811,,,fraudalert@advancial.org,none,fraudalert@advancial.org; loans@advancialmortgage.com; lruiz@advancial.org; msc@advancial.org; richardson@advancial.org; tstanley@advancial.org
Home Zone Furniture,https://homezonefurniture.com,OSM (fill),08630830,Build It,partner,build@homezonefurniture.com,website,bree@homezonefurniture.com; build@homezonefurniture.com
Little Spurs Pediatric Urgent Care,https://littlespurspedi.com/location/garland-clinic,OSM (fill),0251101,Jeffrey Gerlach,Chief Executive Officer,jeffrey.gerlach@littlespurspedi.com,website,info@littlespurs.com; jeffrey.gerlach@littlespurspedi.com
Dallas Meditation Center,https://dallasmeditationcenter.com,OSM (fill),0260627,Awakening Heart,founder,awakening.heart@dallasmeditationcenter.com,website,info@dallasmeditationcenter.com; awakening.heart@dallasmeditationcenter.com
