Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Habitat for Humanity ReStore,https://foothillshabitat.org,OSM (fill),0622889465,Vehicle Donatons,owner,vehicle.donatons@foothillshabitat.org,website,foothillshabitat@surewest.net; restore@surewest.net; vehicle.donatons@foothillshabitat.org
Rocklin Ranch Veterinary Hospital at Pacific Street,https://www.rocklinranchvet.com/rrvh-pacific-street,OSM (fill),0689715,Pacific Street,owner,pacific.street@rocklinranchvet.com,website,info@rocklinranchvet.com; pacificst@rocklinparkvet.com; pacific.street@rocklinranchvet.com
"Granite Bay Cosmetic Surgery: Christa Clark, MD, FACS",https://www.granitebaycosmetic.com,OSM (fill),+19162422662,Christa Clark,founder,christa.clark@granitebaycosmetic.com,website,info@granitebaycosmetic.com; christa.clark@granitebaycosmetic.com
Rite Aid,https://www.riteaid.com/locations/ca/roseville/446-roseville-square.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
The Gathering Inn,https://www.thegatheringinn.com/index.html,OSM (fill),0202616,Chief Executive,President,chief@thegatheringinn.com,website,info@thegatheringinn.com; dcullivan@thegatheringinn.com; dloya@thegatheringinn.com; gstarkey@thegatheringinn.com; jobopenings@thegatheringinn.com; jorourke@thegatheringinn.com; keith@thegatheringinn.com; ldelamare@thegatheringinn.com; megan@thegatheringinn.com; meredith@thegatheringinn.com; ngolling@thegatheringinn.com; rtellier@thegatheringinn.com; chief@thegatheringinn.com
Granite Bay High School,https://gbhs.rjuhsd.us,OSM (fill),0240413,Administration Administration,Director,administration.administration@gbhs.rjuhsd.us,website,anmartin@rjuhsd.us; bhouse@rjuhsd.us; cgarabedian@rjuhsd.us; cthorns@rjuhsd.us; gbhsattendance@rjuhsd.us; gsloan@rjuhsd.us; hclemmer@rjuhsd.us; jcrawford@rjuhsd.us; jdietrich@rjuhsd.us; jpichon@rjuhsd.us; jsitterud@rjuhsd.us; kbranham@rjuhsd.us; mhollwager@rjuhsd.us; qdonnis@rjuhsd.us; swetteland@rjuhsd.us; tcruz@rjuhsd.us; tgivens@rjuhsd.us; tlandon@rjuhsd.us; administration.administration@gbhs.rjuhsd.us
Sutter Roseville Medical Center,https://www.sutterhealth.org/find-location/facility/sutter-roseville-medical-center-1043247063,OSM (fill),043247063,Sutter Health,President,sutter@sutterhealth.org,website,patientadvocacy@sutterhealth.org; sutter@sutterhealth.org
Zenith Bail Bonds,https://www.zenithbailbonds.com,OSM (fill),01520153,,,admin@zenithbailbonds.com,none,admin@zenithbailbonds.com
Backyard Unlimited,https://www.backyardunlimited.com,OSM (fill),025102709,Backyard Unlimited,partner,backyard.unlimited@backyardunlimited.com,website,sales@backyardunlimited.com; backyard.unlimited@backyardunlimited.com
Anytime Fitness,https://www.anytimefitness.com/gyms/2863/roseville-ca-95661,OSM (fill),0611448,Anytime Fitness,Owner,anytime@anytimefitness.com,website,customercare@abcfitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; rosevilleca@anytimefitness.com; anytime@anytimefitness.com
Veritas Church,https://www.veritasroseville.com,OSM (fill),01520153,,,hello@veritasroseville.com,none,hello@veritasroseville.com
Point Equity,https://www.pointequity.com,OSM (fill),06846258,Mortgage Advisor,CEO,mortgage@pointequity.com,website,hello@psdtohubspot.in; info@pointequity.com; alex@pointequity.com; courtney@pointequity.com; justin@pointequity.com; mortgage@pointequity.com
kitchen747 bar & grill,https://www.kitchen747.com,OSM (fill),02412747,Juli Hilton,owner,juli@kitchen747.com,website,hello@kitchen747.com; thello@kitchen747.com; juli@kitchen747.com
Light Within Counseling,https://lightwithinlmft.org,OSM (fill),+19162519507,Kelsey Thompson,Owner,kelsey.thompson@lightwithinlmft.org,website,info@lightwithinlmft.org; kelsey.thompson@lightwithinlmft.org
White House Black Market,https://www.whitehouseblackmarket.com/locations/us/ca/roseville/1182-roseville-pkwy,OSM (fill),04900491,,,internationalorders@whitehouseblackmarket.com,none,customerservice@whitehouseblackmarket.com; internationalorders@whitehouseblackmarket.com; u003ecustomerservice@whitehouseblackmarket.com; u003einternationalorders@whitehouseblackmarket.com
Kaiser Permanente Roseville Medical Center,https://thrive.kaiserpermanente.org/care-near-you/northern-california/northvalley/locations/roseville-medical-center,OSM (fill),+18664548855,Closed Memorial,President,closed.memorial@thrive.kaiserpermanente.org,website,kp-volunteer-roseville@kp.org; closed.memorial@thrive.kaiserpermanente.org
Free Flow Academy,http://freeflowacademy.com,OSM (fill),01320137,,,parkourandperformingarts@gmail.com,none,parkourandperformingarts@gmail.com
Granite Bay Golf Club,https://www.granitebayclub.com,OSM (fill),0260118,Eric Gray,Director,eric.gray@granitebayclub.com,website,granitebay@invitedclubs.com; eric.gray@granitebayclub.com
Life Time,https://www.lifetime.life/life-time-locations/ca-roseville.html,OSM (fill),0150507,Content Membership,Partner,content.membership@lifetime.life,website,roseville1@ltfinc.onmicrosoft.com; content.membership@lifetime.life
