Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Fitness Court,https://www.nationalfitnesscampaign.com/fitness-court,OSM (fill),0202621,As Told,Founder,as.told@nationalfitnesscampaign.com,website,careers@nfchq.com; info@nfchq.com; as.told@nationalfitnesscampaign.com
Office of Systems Integration,https://osi.ca.gov,OSM,085765904139,What We,partner,what_we@osi.ca.gov,website,hr@otsi.ca.gov; hrpersonnelspecialist@otsi.ca.gov; cmipsinfo@osi.ca.gov; communications@otsi.ca.gov; cws_custrel@osi.ca.gov; ebtproject@osi.ca.gov; evvp2project@osi.ca.gov; ewicmisproject@osi.ca.gov; otsilegal@otsi.ca.gov; timeonaidhelp@otsi.ca.gov; webmaster@osi.ca.gov; what_we@osi.ca.gov
Californai State Parks Capitol District Office,https://www.parks.ca.gov/?page_id=684,OSM (fill),0818214838,Public Notices,Director,public@parks.ca.gov,website,info.calshpo@parks.ca.gov; localservices@parks.ca.gov; ohvinfo@parks.ca.gov; privacy@parks.ca.gov; pubinfo@parks.ca.gov; public@parks.ca.gov
Signs Now,http://www.signsnowsacramento.com,OSM (fill),055112292483,Signs Now,owner,signs.now@signsnowsacramento.com,website,sn43@signsnowsac.com; signs.now@signsnowsacramento.com
Arden-Dimick Community Library,https://www.saclibrary.org/visit-us/arden-dimick,OSM (fill),08867779255,Noel Mora,President,noel@saclibrary.org,website,contact@saclibrary.org; info@philpluckebaum.com; cmaple@cityofsacramento.org; desmondr@saccounty.net; director@saclibrary.org; district2@cityofsacramento.org; district8@cityofsacramento.org; kspease@elkgrovecity.org; ktalamantes@cityofsacramento.org; lbudge@cityofranchocordova.org; mlopeztaff@citrusheights.net; pathume@saccounty.gov; rbrewer@elkgrovecity.org; supervisorkennedy@saccounty.net; supervisorrodriguez@saccounty.org; supervisorserna@saccounty.net; treed@cityofgalt.org; u003ecmaple@cityofsacramento.org; u003edesmondr@saccounty.net; u003edistrict2@cityofsacramento.org; u003edistrict8@cityofsacramento.org; u003einfo@philpluckebaum.com; u003ekspease@elkgrovecity.org; u003ektalamantes@cityofsacramento.org; u003elbudge@cityofranchocordova.org; u003emlopeztaff@citrusheights.net; u003epathume@saccounty.gov; u003erbrewer@elkgrovecity.org; u003esupervisorkennedy@saccounty.net; u003esupervisorrodriguez@saccounty.org; u003esupervisorserna@saccounty.net; u003etreed@cityofgalt.org; noel@saclibrary.org
Konicom Inc,https://www.nodata-nocharge.com,OSM,048659769244,Bryan Wu,PARTNER,bryan.wu@nodata-nocharge.com,website,support@konicom.com; bryan.wu@nodata-nocharge.com
Scalp Co. Scalp Micro Pigmentation,https://www.gotscalp.com,OSM (fill),08718129,Clinic Manager,founder,clinic@gotscalp.com,website,matt@clearspacemedia.com; usa@gotscalp.com; clinic@gotscalp.com
Cycle Life,https://www.cyclelifesac.com,OSM (fill),09671112624,Buy Classes,CTO,buy.classes@cyclelifesac.com,website,cyclelifesac@gmail.com; buy.classes@cyclelifesac.com
Sacramento Bicycle Kitchen,https://www.sacbikekitchen.org,OSM (fill),0250909,Halibut Head,headof,halibut@sacbikekitchen.org,website,info@sacbikekitchen.org; classes@sacbikekitchen.org; donations@sacbikekitchen.org; grants@sacbikekitchen.org; outreach@sacbikekitchen.org; volunteer@sacbikekitchen.org; halibut@sacbikekitchen.org
Sojourner Truth African Heritage Museum,https://www.sojoartsmuseum.org,OSM (fill),02694726,Golden Gate,Co-Founder,golden.gate@sojoartsmuseum.org,website,sojomuseum@gmail.com; golden.gate@sojoartsmuseum.org
UC Davis School of Nursing,http://www.ucdmc.ucdavis.edu/nursing,OSM (fill),0260527,Sacramento Belonging,Founder,sacramento.belonging@ucdmc.ucdavis.edu,website,aammah@imsearch.com; bettyirenemooreson@health.ucdavis.edu; jmiller@imsearch.com; sonadmissions@health.ucdavis.edu; sacramento.belonging@ucdmc.ucdavis.edu
Florin United Methodist Church,https://www.florinumc.org,OSM (fill),026080523,,,florinumc@comcast.net,none,florinumc@comcast.net
Father Keith B. Kenny Elementary School,https://fkbk.scusd.edu,OSM (fill),0250610,Cattle Dog,partner,cattle.dog@fkbk.scusd.edu,website,david-vannatten@scusd.edu; keyshun-marshall@scusd.edu; melinda-iremonger@scusd.edu; nanci-rose@scusd.edu; noel-estacio@scusd.edu; cattle.dog@fkbk.scusd.edu
"Trinity Technology Group, Inc.",https://trinitytg.com,OSM,0211028,Full Project,Owner,full.project@trinitytg.com,website,hr@trintytg.com; trinity@trintytg.com; full.project@trinitytg.com
Galvanize Fitness,https://www.galvanizefitsac.com,OSM (fill),+12099966876,Coach Rudy,Owner,coach@galvanizefitsac.com,website,grant@galvanizefitsac.com; coach@galvanizefitsac.com
Prelude Kitchen & Bar,https://preluderestaurant.com,OSM (fill),01520153,St Sacramento,manager,st@preluderestaurant.com,website,manager@preluderestaurant.com; st@preluderestaurant.com
Rite Aid,https://www.riteaid.com/locations/ca/west-sacramento/1260-west-capitol-avenue.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
M Corp,https://the-mcorp.com,OSM,0251201,Advanced Tier,Partner,advanced.tier@the-mcorp.com,website,hello@1159.ai; hello@elevenfiftynine.com; advanced.tier@the-mcorp.com
SchoolsFirst Federal Credit Union,https://www.schoolsfirstfcu.org,OSM (fill),0643232,Meeting You,CEO,meeting@schoolsfirstfcu.org,website,boardofdirectors@schoolsfirstfcu.org; meeting@schoolsfirstfcu.org
Laughs Unlimited Comedy Club and Lounge,https://www.laughsunlimited.com,OSM (fill),0260806,,,bookinglaughs@gmail.com,none,bookinglaughs@gmail.com; laughsunlimited@gmail.com
River City Process Service,https://www.rivercityprocessservice.com,OSM (fill),0251030,Attorney Support,Founder,attorney.support@rivercityprocessservice.com,website,orders@rivercityprocess.com; attorney.support@rivercityprocessservice.com
Joe’s Fitness Revolution,https://joesfitrevolution.com,OSM (fill),01623798495638,Master Jack,cto,master.jack@joesfitrevolution.com,website,joe86pantoja@gmail.com; master.jack@joesfitrevolution.com
Sutter Center For Psychiatry,https://www.sutterhealth.org/find-location/facility/sutter-center-for-psychiatry,OSM (fill),043246594,Sutter Health,President,sutter@sutterhealth.org,website,patientadvocacy@sutterhealth.org; sutter@sutterhealth.org
Soul Collective,https://solcollective.org,OSM (fill),0451741729789858,Sol Collective,partner,sol.collective@solcollective.org,website,sol@solcollective.com; sol.collective@solcollective.org
Stanford Home For Children,https://www.stanfordhome.org,OSM (fill),07433359571398,Laura Heintz,Chief Executive Officer,laura.heintz@stanfordhome.org,website,info@ssyaf.org; laura.heintz@stanfordhome.org
"Sacramento Pipeworks, Touchstone Climbing",https://touchstoneclimbing.com/pipeworks,OSM (fill),0260721,Calendar Youth,cto,calendar.youth@touchstoneclimbing.com,website,heather@smackhappy.com; calendar.youth@touchstoneclimbing.com
Valley Recovery Center of California,https://valleyrecovery.com,OSM (fill),01035835067,Addiction Medicine,Chief Executive Officer,addiction.medicine@valleyrecovery.com,website,forc_communityrelations@fairoaksrecoverycenter.com; addiction.medicine@valleyrecovery.com
