Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Museum of Utah Folk Art,https://artsandmuseums.utah.gov/chase-home-museum,OSM (fill),0260315113226,Teaching Artist,Director,teaching.artist@artsandmuseums.utah.gov,website,econdie1@utah.gov; teaching.artist@artsandmuseums.utah.gov
Saint Paul's Preschool and Childcare,https://www.stpaulspreschool-slc.org,OSM (fill),070660031,Human Development,Manager,human@stpaulspreschool-slc.org,website,rhonda@stpaulspreschool-slc.org; shannon@stpaulspreschool-slc.org; human@stpaulspreschool-slc.org
The Bayou,https://www.utahbayou.com,OSM (fill),01520153,Kileen Alston,owner,kileen.alston@utahbayou.com,website,sales@utahbayou.com; kileen.alston@utahbayou.com
Lost Acorn,https://bio.site/lostacorn,OSM (fill),0174917,,,acorn1@lostacorngallery.com,none,acorn1@lostacorngallery.com
South Salt Lake,https://sslc.gov,OSM (fill),0275272,Quick Links,Director,quick@sslc.gov,website,connect@sslc.gov; quick@sslc.gov
Eva,https://www.evaslc.com,OSM (fill),01520153,,,evarestaurantslc@gmail.com,none,evarestaurantslc@gmail.com
Dough Tech,https://www.doughtech.com,OSM,0160229,Andrew National,Manager,andrew.national@doughtech.com,website,info@doughtech.com; andrew.national@doughtech.com
Utah Museum of Fine Arts,https://umfa.utah.edu,OSM (fill),0260730,Location Marcia,owner,location@umfa.utah.edu,website,events@umfa.utah.edu; location@umfa.utah.edu
Enterprise,https://www.enterprise.com/en/car-rental-locations/us/ut/downtown-salt-lake-city-4702.html,OSM (fill),026072304,Damage Waive,Owner,damage.waive@enterprise.com,website,nosub_enerpriserentalcar@lexisnexis.com; damage.waive@enterprise.com
Himalayan Kitchen,https://www.himalayankitchen.com,OSM (fill),026080511,Salt Lake,owner,salt@himalayankitchen.com,website,info@himalayankitchen.com; surya@himalayankitchen.com; salt@himalayankitchen.com
The Rose Establishment,https://www.theroseestb.com,OSM (fill),07888423485,The Rose,cto,the.rose@theroseestb.com,website,foh.therose@gmail.co; foh.therose@gmail.com; the.rose@theroseestb.com
MTI - Medical Technology Industries,https://mti.net,OSM,0260716,Keith Matheny,CEO,keith.matheny@mti.net,website,customer.service@mti.net; sales@mti.net; technical.support@mti.net; keith.matheny@mti.net
Department of Electrical and Computer Engineering,https://www.ece.utah.edu,OSM,0260108,Day Memorial,President,day.memorial@ece.utah.edu,website,info@ece.utah.edu; day.memorial@ece.utah.edu
Perry's Barbershop,https://perrysbarbershop.net,OSM (fill),04900491,Perrys Barber,Team Member,perrys.barber@perrysbarbershop.net,website,impallari@gmail.com; perrys.barber@perrysbarbershop.net
Rescue Mission of Salt Lake Men's Facility,https://rescuesaltlake.org/rescue-mission-of-salt-lake-mens-facility-and-homeless-service-center,OSM (fill),0190911,Chris Croswhite,Director,chris@rescuesaltlake.org,website,chris@rescuesaltlake.org; dennis@rescuesaltlake.org; don@rescuesaltlake.org
Two Men and a Truck,https://twomenandatruck.com/movers/ut/salt-lake-city-north,OSM (fill),0314268,Mary Ellen,Founder,mary.ellen@twomenandatruck.com,website,info0578@twomen.com; mary.ellen@twomenandatruck.com
Broadway Center Cinemas,https://slfs.org,OSM (fill),0328706,Last Updated,Owner,last.updated@slfs.org,website,info@saltlakefilmsociety.org; brandonsuisse@saltlakefilmsociety.org; memberships@saltlakefilmsociety.org; last.updated@slfs.org
Edinburgh Castle,https://edinburghcastle.com,OSM (fill),01715123760435479224,,,shop@edinburghcastle.com,none,shop@edinburghcastle.com
Paradise Palm,https://paradisepalm.com,OSM (fill),0661622,Family-Owned Interior,cto,family-owned@paradisepalm.com,website,john@paradisepalm.com; family-owned@paradisepalm.com
