Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Idient,https://idient.com,OSM,,Reliability We,partner,reliability.we@idient.com,website,info@idient.com; jane@company.com; reliability.we@idient.com
TechHub,http://techhubrepairs.com,OSM,025170294,Computer Repair,Team Member,computer@techhubrepairs.com,website,hello@techhubrepairs.com; info@techhubrepairs.com; repair@techhubrepairs.com; computer@techhubrepairs.com
Technology Credit Union,https://www.techcu.com,OSM,09643049144845552,For Your,Partner,for@techcu.com,website,info@techcu.com; mortgageservicing@techcu.com; for@techcu.com
Stellar IT Solutions,https://www.stellaritgroup.com,OSM,066625688191,Hanuman Nandanampati,President,hanuman.nandanampati@stellaritgroup.com,website,info@stellaritgroup.com; hanuman.nandanampati@stellaritgroup.com
"Tecarta, Incorporated",https://www.tecarta.com,OSM,0250409,Ming Siu,CEO,ming@tecarta.com,website,career@tecarta.com; careers@tecarta.com; support@tecarta.com; author@tecarta.com; authors@tecarta.com; biblesupport@tecarta.com; partner@tecarta.com; ming@tecarta.com
Medical Design Solutions,https://www.medicaldesignsolutions.com,OSM,,,,rts@medicaldesignsolutions.com,none,rts@medicaldesignsolutions.com
Spanner Product Development,https://www.spannerpd.com,OSM,01900219768,Jason Johnson,CEO,jason.johnson@spannerpd.com,website,hello@spannerpd.com; jason.johnson@spannerpd.com
ZionTech,https://ziontech.com,OSM,0785363,Potential Your,partner,potential.your@ziontech.com,website,contact@ziontech.com; potential.your@ziontech.com
Mojo Vision,https://www.mojo.vision,OSM,03317043,Mike Wiemer,Chief Executive Officer,mike.wiemer@mojo.vision,website,bd@mojo.vision; mike.wiemer@mojo.vision
DSP Concepts,https://w.dspconcepts.com,OSM,0909800061785267867,Documentation Hub,Partner,documentation.hub@w.dspconcepts.com,website,sales@dspconcepts.com; documentation.hub@w.dspconcepts.com
GEM Optoelectronic,http://www.gem-oe.com,OSM,+86055165857225,Health Food,cto,health@gem-oe.com,website,sophia@gem-oe.com; health@gem-oe.com
Prodigal,https://prodigaltech.com,OSM,0457404031,Annuity Health,CEO,annuity.health@prodigaltech.com,website,support@prodigaltech.com; boosters-countup@1.0; your@company.com; annuity.health@prodigaltech.com
Relay2,https://relay2.com,OSM,0231023,Eric Chen,Founder,eric.chen@relay2.com,website,jobs@relay2.com; emea-sales@relay2.com; sales@relay2.com; eric.chen@relay2.com
InnoPeak Technology,https://www.innopeaktech.com,OSM,070660031,,,info@innopeaktech.com,none,info@innopeaktech.com
SoftNet Solutions,https://www.softnets.com,OSM,0497541,Fujitsu Nvidia,Partner,fujitsu.nvidia@softnets.com,website,info@softnets.com; fujitsu.nvidia@softnets.com
Velocity Software Inc,http://www.velocity-software.com,OSM,0260702163831,Additional Platforms,Owner,additional.platforms@velocity-software.com,website,info@velocitysoftware.com; additional.platforms@velocity-software.com
