Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Good Shepherd Health Care Center,http://www.goodshepherdhcc.com,OSM (fill),0140707,Cedars Sinai,partner,cedars.sinai@goodshepherdhcc.com,website,clowe@jphconsultinginc.com; cedars.sinai@goodshepherdhcc.com
Good Body Pilates,https://www.goodbodypilates.com,OSM (fill),0902972327660235,Good Body,partner,good.body@goodbodypilates.com,website,info@goodbodypilates.com; good.body@goodbodypilates.com
Citrin,https://www.citrinandmelisse.com,OSM (fill),0887138,Ken Takayama,Partner,ken@citrinandmelisse.com,website,info@citrinandmelisse.com; lyndaatri@me.com; melisse@citrinandmelisse.com; ken@citrinandmelisse.com
Framework Security,https://frameworksecurity.com,OSM,0260105,Aaron Scruggs,CEO,aaron.scruggs@frameworksecurity.com,website,contact@frameworksecurity.com; aaron.scruggs@frameworksecurity.com
iconmobile,http://iconmobile.com,OSM (fill),+13103937600,Santa Monica,Team Member,santa.monica@iconmobile.com,website,info@icongroup.com; santa.monica@iconmobile.com
Unplug Meditation,https://www.unplug.com,OSM (fill),0883824847,South Africa,CEO,south.africa@unplug.com,website,info@unplug.com; info@unplugmeditation.com; south.africa@unplug.com
Goodwill,https://www.goodwillsocal.org,OSM (fill),0260513,Earth Goodwill,partner,earth.goodwill@goodwillsocal.org,website,info@goodwillsocal.org; earth.goodwill@goodwillsocal.org
Gotta Have It,https://gottahaveitvenice.com,OSM (fill),03925949,,,info@gottahaveitvenice.com,none,info@gottahaveitvenice.com
California Heritage Museum,https://californiaheritagemuseum.org,OSM (fill),0102011,Food Trucks,cto,food.trucks@californiaheritagemuseum.org,website,mail@californiaheritagemuseum.org; team@latofonts.com; food.trucks@californiaheritagemuseum.org
JAMS Clubhouse,https://www.smbgc.org/john-adams-middle-school,OSM (fill),0250904,Brynja Seagren,Chief Executive Officer,brynja@smbgc.org,website,info@smbgc.org; bseagren@smbgc.org; jsteenhoek@smbgc.org; membership@smbgc.org; phawkins@smbgc.org; brynja@smbgc.org
The Little Beach House Transitional Living,https://littlebeachhousetl.com,OSM (fill),0260722,Raufmann Founder,CEO,raufmann.founder@littlebeachhousetl.com,website,theren@beachhousetl.com; raufmann.founder@littlebeachhousetl.com
Petitgrain Boulangerie,https://www.petitgrainboulangerie.com,OSM (fill),01520153,Pre-Order Gift,Partner,pre-order.gift@petitgrainboulangerie.com,website,hello@petitegrainboulangerie.com; hello@petitgrainboulangerie.com; pre-order.gift@petitgrainboulangerie.com
Tower 25 Digital Marketing Agency,https://tower25.com,OSM (fill),0250216,Google Upgrade,partner,google.upgrade@tower25.com,website,info@tower25.com; google.upgrade@tower25.com
Suavecito Boxing,https://www.suavecitoboxing.com,OSM (fill),09127295,Head Coach,Owner,head.coach@suavecitoboxing.com,website,info@suavecitoboxing.com; head.coach@suavecitoboxing.com
Shred Nations,https://www.shrednations.com/santa-monica,OSM (fill),0251121,Best We,partner,best.we@shrednations.com,website,info@shrednations.com; support@shrednations.com; santa-monica@shrednations.com; best.we@shrednations.com
Rite Aid,https://www.riteaid.com/locations/ca/santa-monica/1331-wilshire-boulevard.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Co-opportunity Market,https://coopportunity.com,OSM (fill),0190905,Delivery Instacart,Owner,delivery.instacart@coopportunity.com,website,marketing@coopportunity.com; service@coopportunity.com; delivery.instacart@coopportunity.com
Bruno's Italian Restaurant,https://brunossantamonica.com,OSM (fill),026080511,,,ristorante@brunossantamonica.com,none,ristorante@brunossantamonica.com
Global Risk Solutions,https://www.grsprotection.com/security-locations/california/los-angeles/santa-monica-security-services,OSM (fill),0260613,Ocean Avenue,owner,ocean.avenue@grsprotection.com,website,info@grsprotection.com; ocean.avenue@grsprotection.com
Marine Park Community Garden,https://www.santamonica.gov/places/community-gardens/marine-park-community-garden,OSM (fill),0220718,Christopher Dishlip,director,christopher@santamonica.gov,website,info@santamonica.gov; gardens@santamonica.gov; tdmplans@santamonica.gov; christopher@santamonica.gov
Santa Monica Yoga,https://santamonicayoga.com,OSM (fill),070660031,,,contact@santamonicayoga.com,none,contact@santamonicayoga.com
Esprit,https://www.marinawaterbus.com,OSM (fill),0260609,,,mdr@hornblower.com,none,mdr@hornblower.com
Commonlands LLC,https://www.commonlands.com/collections/m12-lenses,OSM (fill),0457495441784481361,Max Henkart,Founder,max@commonlands.com,website,careers@commonlands.com; contact@commonlands.com; engineering@commonlands.com; sales@commonlands.com; tv@6.0mm; tv@6.3mm; max@commonlands.com
Chitchat,https://www.chitchatla.com,OSM (fill),,,,hello@chitchatla.com,none,hello@chitchatla.com
Shoppe Amber Interiors,https://shoppe.amberinteriordesign.com,OSM (fill),010099881785885526,Amber Interior,founder,amber.interior@shoppe.amberinteriordesign.com,website,jobs@shoppeamberinteriors.com; montecito@shoppeamberinteriors.com; platform@shoppeamberinteriors.com; press@shoppeamberinteriors.com; shoppe@shoppeamberinteriors.com; shoppecal@shoppeamberinteriors.com; shoppemarin@shoppeamberinteriors.com; shoppenewport@shoppeamberinteriors.com; trade@shoppeamberinteriors.com; amber.interior@shoppe.amberinteriordesign.com
The Gaslite,https://thegaslite.com,OSM (fill),0260805,,,faysal.bohmo@gmail.com,none,faysal.bohmo@gmail.com
Santa Monica Flyers,https://www.santamonicaflyers.com,OSM (fill),0251007,Airline Transport,cto,airline@santamonicaflyers.com,website,20reception@santamonicaflyers.com; reception@santamonicaflyers.com; airline@santamonicaflyers.com
Intuition,https://www.intuitionskate.com,OSM (fill),03125014426651692642,,,intuitionsantamonica@gmail.com,none,intuitionsantamonica@gmail.com; intuitionskateshop@hotmail.com
Cafe Demitasse,https://cafedemitasse.com,OSM (fill),0457495441764632857,,,roasting@cafedemitasse.com,none,roasting@cafedemitasse.com
