Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Anonymous Tattoo,http://anonymoustattoo.com,OSM (fill),070660031,East Lower,cto,east.lower@anonymoustattoo.com,website,carrenobookings@gmail.com; fpi77@hotmail.com; imokayyart@gmail.com; kelreidtattoo@gmail.com; manager.anonymoustattoo@gmail.com; scottalthentattoo@gmail.com; tattoosbypaulsackman@gmail.com; east.lower@anonymoustattoo.com
Sacred Heart Church,https://www.sacredheartsavannah.org,OSM (fill),01520153,Benedictine Abbey,cto,benedictine@sacredheartsavannah.org,website,mymail@mailservice.com; secretary@sacredheartsavannah.org; benedictine@sacredheartsavannah.org
Cinnamon Bear Country Store,https://cinnamonbearstores.com,OSM (fill),06675020,The Cinnamon,Team Member,the.cinnamon@cinnamonbearstores.com,website,contact@sansoxygen.com; the.cinnamon@cinnamonbearstores.com
Five & Dime General Store,http://www.fiveanddimegs.com,OSM (fill),01803281018,East San,CEO,east.san@fiveanddimegs.com,website,epotter505@gmail.com; fivedim@aol.com; east.san@fiveanddimegs.com
Clipper Trading,http://www.clippertrading.com,OSM (fill),01323505,Andrew Rosener,CEO,andrew.rosener@clippertrading.com,website,interested@domainmarket.com; andrew.rosener@clippertrading.com
Earthbound Trading Co.,https://www.earthboundtrading.com,OSM (fill),02710292,Arbor Day,partner,arbor.day@earthboundtrading.com,website,hello@earthboundtrading.com; arbor.day@earthboundtrading.com
B. Mathew’s Eatery,https://bmatthewseatery.com,OSM (fill),026080513,,,info@bmatthewseatery.com,none,info@bmatthewseatery.com
The Butcher,http://www.whatisthebutcher.com,OSM (fill),046749002470877,Best Quality,Team Member,best.quality@whatisthebutcher.com,website,info@whatisthebutcher.com; best.quality@whatisthebutcher.com
The Warehouse Bar & Grille,https://www.thewarehousebarandgrille.com,OSM (fill),026080512,The Shrimp,cto,the@thewarehousebarandgrille.com,website,generalmanager@thewarehousebarandgrille.com; jstrickland@riverstreetsweets.com; the@thewarehousebarandgrille.com
Wright Square Bistro,https://www.wrightsquarecafe.com,OSM (fill),026080512,Michael Higgins,Owner,michael.higgins@wrightsquarecafe.com,website,info@wrightsquarebistro.com; michael.higgins@wrightsquarecafe.com
