Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Parts Authority,https://partsauthority.com,OSM (fill),0250813093809,Clark Hale,Chief Executive Officer,clark@partsauthority.com,website,contactus@partsauthority.com; +az+85281+united+states@33.4563547; clark@partsauthority.com
Jeff Crane Realtor Homesmart Elite Group,https://justlistedsearch.com,OSM (fill),095185660,Resources Check,Partner,resources@justlistedsearch.com,website,careers@hsmove.com; office@budgetbrotherstermite.com; support@totalinspectionsaz.com; accountmanagers@moveconcierge.com; azsales@eqescrow.com; azsmartteam@guildmortgage.net; brad@solarfixaz.com; bshisler@amfam.com; clientservices@hsmove.com; concierge@hsmove.com; gippolito@hsmove.com; homesmart@hellosuper.com; homesmartaz@orhp.com; jbrosius@firstam.com; jcrane@hsmove.com; jeff@justlistedsearch.com; kayla@leaseaz.com; mkempton@hsmove.com; revenue@hsmove.com; rstrange-saavedra@2-10.com; resources@justlistedsearch.com
"Nelsen Partners, Inc",http://www.nelsenpartners.com,OSM (fill),0251014,Scottsdale Road,Managing Director,scottsdale@nelsenpartners.com,website,info@nelsenpartners.com; bnelsen@nelsenpartners.com; gmelara@nelsenpartners.com; scottsdale@nelsenpartners.com
Global Credit Union,https://www.globalcu.org/branches/scottsdale,OSM (fill),06085770,Insurance Overview,owner,insurance@globalcu.org,website,globalcumsc@globalcu.org; scottsdalebranch@globalcu.org; insurance@globalcu.org
La Locanda Italian Bistro,https://www.lalocandaaz.com,OSM (fill),026080511,La Locanda,partner,la@lalocandaaz.com,website,cochoa@lalocandaaz.com; la@lalocandaaz.com
Eco Mama Green House Cleaning of Scottsdale,https://ecomamagreenclean.com,OSM (fill),+14805270522,Schedule Recurring,owner,schedule@ecomamagreenclean.com,website,ecomama@ecomamagreenclean.com; schedule@ecomamagreenclean.com
Liz Eichelberger with HomeSmart Realty,http://AZDreamHomeProperties.com,OSM (fill),0972949,Magnolia Street,owner,magnolia@AZDreamHomeProperties.com,website,liz@azdreamhomeproperties.com; magnolia@AZDreamHomeProperties.com
Horizon Animal Hospital,https://www.horizonanimalhospital.com,OSM (fill),026072101,Arizona Client,Owner,arizona@horizonanimalhospital.com,website,reception@horizonanimalhospital.com; arizona@horizonanimalhospital.com
Shred Nations,https://www.shrednations.com/scottsdale,OSM (fill),0260618,North Scottsdale,owner,north@shrednations.com,website,info@shrednations.com; support@shrednations.com; scottsdale@shrednations.com; north@shrednations.com
La Fogata Kitchen & Bar,https://www.thescottsdaleresort.com/dine-drink/la-fogata,OSM (fill),062026001126,,,scottsdaleresortfd@dhmhotels.com,none,scottsdaleresortfd@dhmhotels.com
Modern Yoga,https://www.modern.yoga,OSM (fill),070660031,John Salisbury,owner,john@modern.yoga,website,buddha@modern.yoga; john@modern.yoga
Therapy With Heart,https://therapywithheart.com,OSM (fill),09435907,Behavioral Health,Director,behavioral.health@therapywithheart.com,website,info@therapywithheart.com; behavioral.health@therapywithheart.com
F45 Training,https://f45training.com/studio/dcranch,OSM (fill),0230501055849,Kory Williams,Manager,kory@f45training.com,website,dcranch.admin@f45training.com; dcranch@f45training.com; kory@f45training.com
North Italia,https://www.northitalia.com/locations/scottsdale-az-kierland-commons,OSM (fill),0260714,August September,cto,august@northitalia.com,website,gdprowner@northitalia.com; august@northitalia.com
CA Yoga Barre,https://www.cayogabarre.com,OSM (fill),,Equinox Master,cto,equinox@cayogabarre.com,website,courtney@cayogabarre.com; sarah@cayogabarre.com; equinox@cayogabarre.com
Mohave District Annex,https://www.susd.org,OSM (fill),0150331,Chaplain Winfield,founder,chaplain@susd.org,website,agoff@susd.org; bwilliams@susd.org; cbochna@susd.org; cbonow@susd.org; djacobson@susd.org; dpriniski@susd.org; droehler@susd.org; emartinez@susd.org; gwagoner@susd.org; hcruz@susd.org; jeffthomason@susd.org; jfiredman@susd.org; kristineharrington@susd.org; leamitchell@susd.org; mirvin@susd.org; msackos@susd.org; nnoonan@susd.org; pbilbrey@susd.org; scervantez@susd.org; scronn@susd.org; scrosier@susd.org; slugo@susd.org; storrilhon@susd.org; tjagodzinski@susd.org; chaplain@susd.org
Bark Avenue Animal Hospital,https://barkavevet.com,OSM (fill),0928251,Find Quality,Owner,find.quality@barkavevet.com,website,barkaveah@mvetpartners.com; find.quality@barkavevet.com
Dynamite Smiles Dentistry,https://www.dynamitesmilesdentistry.com,OSM (fill),05918111,Dental Surgery,cto,dental.surgery@dynamitesmilesdentistry.com,website,info@dynamitesmilesdentistry.com; dental.surgery@dynamitesmilesdentistry.com
Elevation Event Photography,https://elevationeventphotography.com,OSM (fill),0260709,Owner Travis,Founder,owner.travis@elevationeventphotography.com,website,hello@elevationeventphotos.com; owner.travis@elevationeventphotography.com
Riot Hospitality Group,https://riothg.com,OSM (fill),0240628,,,lissadruss@riothg.com,none,lissadruss@riothg.com
MINT Strength &  Conditioning,https://mintstrength.com,OSM (fill),0260502,Olympic Weightlifting,Team Member,olympic@mintstrength.com,website,emailinfo@mintstrength.com; olympic@mintstrength.com
Vita Bella,https://vitabella.com,OSM (fill),+14806020444,Phil Vella,Founder,phil.vella@vitabella.com,website,info@vitabella.com; sales@vitabella.com; phil.vella@vitabella.com
Anytime Fitness,https://www.anytimefitness.com/gyms/2652/mesa-az-85203,OSM (fill),0611448,Name Type,Manager,name.type@anytimefitness.com,website,customercare@abcfitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; mesaaz2@anytimefitness.com; name.type@anytimefitness.com
DoveSong Retreat at Scottsdale,https://dovesongretreat.com,OSM (fill),+16023634781,Led Excellence,Owner,led.excellence@dovesongretreat.com,website,info@dovesongretreat.com; led.excellence@dovesongretreat.com
Department of Corrections Administration & Booking,https://srpmic-nsn.gov,OSM (fill),0260714,Media Inquiries,Director,media.inquiries@srpmic-nsn.gov,website,media@srpmic-nsn.gov; media.inquiries@srpmic-nsn.gov
Pinnacle Peak Recovery,https://www.pinnaclepeakrecovery.com,OSM (fill),08013660234919191,Tisdale Founder,CEO,tisdale@pinnaclepeakrecovery.com,website,info@pinnaclepeakrecovery.com; maritzas@pinnaclepeakrecovery.com; tisdale@pinnaclepeakrecovery.com
Blue Buddha Collective,https://ilovebluebuddha.com,OSM (fill),0250718,Amrit Desai,founder,amrit.desai@ilovebluebuddha.com,website,hello@ilovebluebuddha.com; amrit.desai@ilovebluebuddha.com
CorePower Yoga,https://www.corepoweryoga.com/yoga-studios/arizona/scottsdale/old-town-scottsdale,OSM (fill),0415591615,Power Yoga,partner,power@corepoweryoga.com,website,corepoweryoga@azionepr.com; mediainquiries@corepoweryoga.com; partnerships@corepoweryoga.com; power@corepoweryoga.com
LA Fitness,https://www.lafitness.com,OSM (fill),01519720898773,Fitness Job,Team Member,fitness.job@lafitness.com,website,contactus@fitnessintl.com; fitness.job@lafitness.com
DeFalco's Italian Eatery and Grocery,https://defalcosdeli.com,OSM (fill),05020210,,,dining@defalcosdeli.com,none,dining@defalcosdeli.com
