Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Seattle Community Network,https://seattlecommunitynetwork.org,OSM,,The Seattle,Partner,the@seattlecommunitynetwork.org,website,lcl@seattlecommunitynetwork.org; the@seattlecommunitynetwork.org
Department of Industrial & Systems Engineering,https://ise.washington.edu,OSM,08025613,Henry Ford,CEO,henry.ford@ise.washington.edu,website,iseuw@uw.edu; henry.ford@ise.washington.edu
Center for Science in the Earth System,http://cses.washington.edu/index.shtml,OSM,,Affiliate Faculty,cto,affiliate.faculty@cses.washington.edu,website,atmadmin@uw.edu; karllang@uw.edu; odom@apl.washington.edu; outreachcoordinators@atmos.washington.edu; stahr@ocean.washington.edu; affiliate.faculty@cses.washington.edu
RAPID,https://www.uwrapid.org,OSM,070660031,Joseph Wartman,Director,joseph.wartman@uwrapid.org,website,uwrapid@uw.edu; joseph.wartman@uwrapid.org
Atlas Networks,https://atlasnet.com,OSM,0145384,Engineer Ryan,CEO,engineer@atlasnet.com,website,support@atlasnet.com; billing@atlasnet.com; ryan@atlasnet.com; sales@atlasnet.com; engineer@atlasnet.com
Washington Nanofabrication Facility,https://www.wnf.uw.edu,OSM,019082019,Murdock Charitable,owner,murdock.charitable@wnf.uw.edu,website,brunson@uw.edu; ctoskey@uw.edu; darick@uw.edu; fnewman@uw.edu; glidden@uw.edu; jniels3@uw.edu; karlb@uw.edu; ltybursk@uw.edu; patricns@uw.edu; perseant@uw.edu; qtong5@uw.edu; sarahy7@uw.edu; sbjones@uw.edu; spals@uw.edu; murdock.charitable@wnf.uw.edu
Rain City Burgers,http://raincityburgers.com,OSM (fill),0260520,,,raincityburgers@gmail.com,none,raincityburgers@gmail.com
Technique Pilates & Fitness Studio,https://www.techniquepilatesandfitness.com,OSM,0716889844,Expert Instru,cto,expert.instru@techniquepilatesandfitness.com,website,hello@technique-pilates.com; expert.instru@techniquepilatesandfitness.com
Paul G. Allen School of Computer Science & Engineering,https://www.cs.washington.edu,OSM,0260317,Allen Alumni,Partner,allen@cs.washington.edu,website,amberlco@cs.washington.edu; csetimes@cs.washington.edu; grad-advising@cs.washington.edu; jmw456@cs.washington.edu; jsean@cs.washington.edu; kbeck@cs.washington.edu; kday23@cs.washington.edu; kristin@cs.washington.edu; masters@cs.washington.edu; ugrad-adviser@cs.washington.edu; allen@cs.washington.edu
PNNL - Seattle Research Center,https://www.pnnl.gov/seattle-research-center,OSM,+15093757665,Education Undergraduate,Partner,education.undergraduate@pnnl.gov,website,hr@pnnl.gov; chris.daniels@diamondparking.com; dawn.zimmerman@pnnl.gov; employee.concerns@pnnl.gov; evangelina.shreeve@pnnl.gov; jaime.shimek@pnnl.gov; kathleen.judd@pnnl.gov; partnerships@pnnl.gov; researchpartnerships@pnnl.gov; tom.rickey@pnnl.gov; trish.herron@pnnl.gov; education.undergraduate@pnnl.gov
Immusoft,https://immusoft.com,OSM,0260803,Officer Sean,Chief Executive Officer,officer.sean@immusoft.com,website,careers@immusoft.com; info@immusoft.com; bd@immusoft.com; press@immusoft.com; officer.sean@immusoft.com
Greene Information Systems,https://greeneis.com,OSM,0260507,Gina Peckman,CEO,gina@greeneis.com,website,gissales@greeneis.com; gina@greeneis.com
St. John United Lutheran Church,https://stjohnunited.org,OSM (fill),0130729,Create Project,Partner,create@stjohnunited.org,website,office@stjohnunited.org; cocreate@stjohnunited.org; engagementcocreate@stjohnunited.org; pastor@stjohnunited.org; pastorpastor@stjohnunited.org; create@stjohnunited.org
Natural Systems Design,https://naturaldes.com,OSM,0150818,Leif Embertson,President,leif.embertson@naturaldes.com,website,info@naturaldes.com; leif.embertson@naturaldes.com
Zeitgeist Coffee,https://www.zeitgeistcoffee.com,OSM (fill),020760398,,,info@zeitgeistcoffee.com,none,info@zeitgeistcoffee.com
Department of Electrical & Computer Engineering,https://www.ee.washington.edu,OSM,020190621094817,Capital One,vice president,capital.one@ee.washington.edu,website,anantmp@uw.edu; bilmes@ece.uw.edu; chair@ece.uw.edu; chair_res@ece.uw.edu; hameedm@uw.edu; hauck@uw.edu; industry_liaison@ece.uw.edu; jrsjrs@ece.uw.edu; pr@ece.uw.edu; sburden@ece.uw.edu; capital.one@ee.washington.edu
That's Amore Italian Cafe,https://thatsamoreseattle.com,OSM (fill),0250129,Amore Italian,cto,amore.italian@thatsamoreseattle.com,website,info@thatsamoreseattle.com; amore.italian@thatsamoreseattle.com
