Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Sunnyvale Hindu Temple & Community Center,http://www.sunnyvale-hindutemple.org,OSM (fill),06251286955,Email Subscription,Team Member,email.subscription@sunnyvale-hindutemple.org,website,hindutempleofsunnyvale@gmail.com; sunnyvalegurukul@gmail.com; email.subscription@sunnyvale-hindutemple.org
Apple Park,https://www.apple.com,OSM,02604211141,Apple Alex,CEO,apple.alex@apple.com,website,media.help@apple.com; apple.alex@apple.com
Mayan Kitchen,https://www.mayankitchenfood.com,OSM (fill),026080513,Katie Voong,Owner,katie.voong@mayankitchenfood.com,website,mayankitchenfood@gmail.com; katie.voong@mayankitchenfood.com
Crunch Fitness,https://www.crunch.com/locations/sunnyvale,OSM (fill),0214519,Crunch Gym,Owner,crunch.gym@crunch.com,website,dan@crunchsunnyvale.com; gfcoordinator@crunchsanjose.com; manager@crunchsunnyvale.com; operations@crunchsunnyvale.com; ptm@crunchsunnyvale.com; crunch.gym@crunch.com
24 Hour Fitness,https://www.24hourfitness.com/FindClubDetail.mvc?rt=2&clubid=00887,OSM (fill),0343260715123811,Other Sharing,owner,other.sharing@24hourfitness.com,website,ccpadr@24hourfit.com; cpm@24hourfit.com; cpo@24hourfit.com; other.sharing@24hourfitness.com
Metro City Restaurant & Bar,https://www.metrocitysunnyvale.com,OSM (fill),026080511,Convenience Of,Team Member,convenience.of@metrocitysunnyvale.com,website,metrocitysunnyvale@gmail.com; convenience.of@metrocitysunnyvale.com
First Community School,https://communityfirstschool.com,OSM (fill),0262027,Calaveras Blvd,Director,calaveras@communityfirstschool.com,website,mimi@communityfirstschool.com; ttran@communityfirstschool.com; calaveras@communityfirstschool.com
ACK Technologies Incorporated,https://www.ackavionics.com,OSM,0514204,,,info@ackavionics.com,none,info@ackavionics.com
Star One Credit Union,https://www.starone.org/home/home,OSM (fill),02766773667,Star One,owner,star.one@starone.org,website,partners@starone.org; star.one@starone.org
Unitarian Universalist Fellowship of Sunnyvale,https://uufs.org,OSM (fill),0240505,Sofía Betancourt,president,office@uufs.org,website,office@uufs.org; board.president@uufs.org; communications@uufs.org; connections@uufs.org; redirector@uufs.org; social.justice@uufs.org; webmaster@uufs.org
Fibera,http://www.fiberausa.com,OSM (fill),,John Tsai,CEO,john.tsai@fiberausa.com,website,info@fiberausa.com; sales@fiberausa.com; john.tsai@fiberausa.com
DSP Concepts,https://w.dspconcepts.com,OSM,0909800061785267867,Documentation Hub,Partner,documentation.hub@w.dspconcepts.com,website,sales@dspconcepts.com; documentation.hub@w.dspconcepts.com
SoftNet Solutions,https://www.softnets.com,OSM,09611342,Fujitsu Nvidia,Partner,fujitsu.nvidia@softnets.com,website,info@softnets.com; fujitsu.nvidia@softnets.com
Silicon Light Machines,https://www.siliconlight.com/en,OSM (fill),084118117,Visit Pioneering,partner,visit.pioneering@siliconlight.com,website,hr@siliconlight.com; support@siliconlight.com; banner-katana@lg.webm; banner-katana@sm.webm; banner-plv@lg.webm; banner-plv@sm.webm; pr@siliconlight.com; sales@siliconlight.com; visit.pioneering@siliconlight.com
Keypoint Credit Union,https://www.kpcu.com,OSM (fill),043380828,Bay Area,owner,bay@kpcu.com,website,contactcenter@kpcu.com; itdevstaff@kpcu.com; realestatesalesteam@kpcu.com; bay@kpcu.com
Kurated Kitchens,https://www.kuratedkitchens.com/home,OSM (fill),0260503,Business Hours,Team Member,business.hours@kuratedkitchens.com,website,info@kuratedkitchens.com; business.hours@kuratedkitchens.com
Atomic Machines,https://www.atomicmachines.com,OSM,0548003,,,info@atomicmachines.com,none,info@atomicmachines.com
Axbio,https://www.axbio.com,OSM (fill),024101728547735,Intermolecular Founder,CEO,intermolecular.founder@axbio.com,website,info@axbio.co; intermolecular.founder@axbio.com
Sunnyvale Heritage Park Museum,https://heritageparkmuseum.org,OSM (fill),0260722,Sherman Oaks,President,sherman.oaks@heritageparkmuseum.org,website,info@heritageparkmuseum.org; sherman.oaks@heritageparkmuseum.org
Excel Precision,https://www.excelprecisionusa.com,OSM (fill),0358734130859,Applications Semicondu,cto,applications.semicondu@excelprecisionusa.com,website,info@excelprecisionusa.com; applications.semicondu@excelprecisionusa.com
Metro City Restaurant and Bar,https://metrocitysunnyvale.com,OSM (fill),026080511,Convenience Of,Team Member,convenience.of@metrocitysunnyvale.com,website,metrocitysunnyvale@gmail.com; convenience.of@metrocitysunnyvale.com
Caltron,https://caltroncomponents.com,OSM (fill),0231050,Active Semicondu,cto,active.semicondu@caltroncomponents.com,website,2095054@37.38007; sales@caltroncomponents.com; active.semicondu@caltroncomponents.com
ProperSys,https://www.propersyscorp.com/#h.c29jd689senp,OSM (fill),0661622,What We,cto,what.we@propersyscorp.com,website,info@propersyscorp.com; what.we@propersyscorp.com
Rainbow Montessori Child Development Center,https://www.rainbow-montessori.com,OSM (fill),0212121,Assistant Directors,Director,assistant@rainbow-montessori.com,website,contact@rainbow-montessori.com; chelsea@rainbow-montessori.com; dave@rainbow-montessori.com; ellen@rainbow-montessori.com; erick@rainbow-montessori.com; geraldine@rainbow-montessori.com; irene@rainbow-montessori.com; julie@rainbow-montessori.com; larry@rainbow-montessori.com; micki@rainbow-montessori.com; sima@rainbow-montessori.com; assistant@rainbow-montessori.com
Animal Assisted Happiness,https://www.animalassistedhappiness.org,OSM (fill),05967800,,,donate@aahsmilefarm.org,none,donate@aahsmilefarm.org
Real-Time Innovations,https://www.rti.com,OSM,048971791783518916,Audit Committee,CEO,audit.committee@rti.com,website,info@rti.com; press@rti.com; sales@rti.com; audit.committee@rti.com
AbilityPath,https://abilitypath.org,OSM (fill),0251003,Bryan Neider,CEO,bryan.neider@abilitypath.org,website,info@abilitypath.org; bryan.neider@abilitypath.org
Knightscope,https://knightscope.com,OSM (fill),0221981783383503889,Impact Level,partner,impact@knightscope.com,website,contact@knightscope.com; overwatch@knightscope.com; security@knightscope.com; impact@knightscope.com
Aurora Innovation,https://aurora.tech,OSM (fill),02404391,Derek Leathers,President,derek.leathers@aurora.tech,website,support@aurora.tech; ir@aurora.tech; press@aurora.tech; derek.leathers@aurora.tech
Fortinet,https://www.fortinet.com,OSM,+18668683678,Armis Forti,Partner,armis.forti@fortinet.com,website,info@fortinet.com; armis.forti@fortinet.com
Artium,http://www.Artium.com,OSM (fill),04000486,Invention William,President,invention.william@Artium.com,website,info@artium.com; info@oplanchina.com; info@tesscorn-aerofluid.com; jonathan@lastek.com.au; kobayashi@seika-di.com; sales@lavision.com; invention.william@Artium.com
Neobits,https://www.neobits.com,OSM (fill),046141195,Crimps Termination,cto,crimps@neobits.com,website,customercare@neobits.com; sales@neobits.com; vendors@neobits.com; crimps@neobits.com
Rachna's Wellness Center,https://www.rachnaradio.com,OSM (fill),0290710841,,,info@rachnaradio.com,none,info@rachnaradio.com
Silicon Valley Community Media,http://www.dingdingtv.com/?p=90388,OSM (fill),046774376460,American Teochew,Founder,american@dingdingtv.com,website,diana@dingdingtv.com; sandy@dingdingtv.com; american@dingdingtv.com
Eridan,https://eridan.io,OSM (fill),0260701,Ikanos Communications,CEO,ikanos.communications@eridan.io,website,info@eridan.io; ikanos.communications@eridan.io
MVP Car Title Loans,https://mvpautotitleloan.com/location/sunnyvale-ca,OSM (fill),0231106,Title Loan,owner,title.loan@mvpautotitleloan.com,website,mvpcartitleloan@gmail.com; mvpfinancialservices@gmail.com; title.loan@mvpautotitleloan.com
小滿 Xiaoman Riceburrito,https://www.riceburrito.com,OSM (fill),07787206506691730166,,,riceburrito.sv@gmail.com,none,riceburrito.sv@gmail.com
Walmart Corporate Office,https://walmart.com,OSM (fill),05223049547814,Brand Shop,Director,brand.shop@walmart.com,website,sherlock.chang@walmart.com; brand.shop@walmart.com
Serra Veterinary Hospital,https://serravet.com,OSM (fill),0260222,Silicon Valley,owner,silicon.valley@serravet.com,website,info@serravet.com; silicon.valley@serravet.com
Arbor Vitae Massage and Bodywork,https://www.arborvitaemassage.com,OSM (fill),068049667,,,info@arborvitaemassage.com,none,info@arborvitaemassage.com
Bay Home Builders,https://bayhomebuildersca.com,OSM (fill),0260609,Email Support,Team Member,email.support@bayhomebuildersca.com,website,admin@bayhomebuildersca.com; email.support@bayhomebuildersca.com
Rebaca Technologies,https://www.rebaca.com,OSM,0260324,Applications Lab,partner,applications.lab@rebaca.com,website,ashirbad.roy@rebaca.com; marketing@rebaca.com; applications.lab@rebaca.com
