Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
JE Miller INC,http://www.jemiller.com,OSM (fill),0171107,Community Connectivity,CEO,community@jemiller.com,website,msears@jemiller.com; community@jemiller.com
La Casita Cultural Center,https://lacasita.syr.edu,OSM (fill),05230440,Upstate New,President,upstate.new@lacasita.syr.edu,website,adparede@syr.edu; aiarango@syr.edu; bguzma01@syr.edu; clvalenz@syr.edu; lacasita@syr.edu; sjciriac@syr.edu; tpaniagu@syr.edu; upstate.new@lacasita.syr.edu
Goodwill,http://www.goodwillfingerlakes.com,OSM (fill),0272451,Annual Report,partner,annual.report@goodwillfingerlakes.com,website,amistretta@goodwillfingerlakes.org; community@goodwillfingerlakes.org; annual.report@goodwillfingerlakes.com
The Craftsman,http://thecraftsman.com,OSM (fill),021756479,The Craftsman,owner,the@thecraftsman.com,website,thecraftsman@thecraftsman.com; the@thecraftsman.com
Jamesville Community Church,http://jamesvillecommunitychurch.org,OSM (fill),0902779,Assistant Professor,Director,assistant.professor@jamesvillecommunitychurch.org,website,admin@jamesvillecommunitychurch.org; assistant.professor@jamesvillecommunitychurch.org
Stagnitta Insurance,https://www.sterlingins.com/Agencies/stagnitta.html,OSM (fill),0230213,Directors Message,President,directors@sterlingins.com,website,general@sterlingins.com; directors@sterlingins.com
Richard H. Hutchings Psychiatric Center,https://www.omh.ny.gov/omhweb/facilities/hupc,OSM (fill),014110708,Mental Health,partner,mental@omh.ny.gov,website,hutchingspc@omh.ny.gov; kristyn.saveliev@omh.ny.gov; matthew.canuteson@omh.ny.gov; mental@omh.ny.gov
Huntington Family Center,https://www.huntingtonfamilycenters.org,OSM (fill),0241202,Directors Jeffrey,President,directors.jeffrey@huntingtonfamilycenters.org,website,acrawford@hfcsyr.org; cbelge@hfcsyr.org; class@hfcsyr.org; dpier@hfcsyr.org; lmclean@hfcsyr.org; mbruent@hfcsyr.org; msayles@hfcsyr.org; rmanning@hfcsyr.org; rridgeway@hfcsyr.org; sgryczka@hfcsyr.org; tjones@hfcsyr.org; twatson@hfcsyr.org; directors.jeffrey@huntingtonfamilycenters.org
Shred Nations,https://www.shrednations.com/syracuse,OSM (fill),0251121,Best We,partner,best@shrednations.com,website,info@shrednations.com; support@shrednations.com; syracuse@shrednations.com; best@shrednations.com
The Gingerbread House Preschool and Day Care Center,http://thegingerbreadhouseofsyracuse.com,OSM (fill),01462825280,Jessica Riess,Director,jessica.riess@thegingerbreadhouseofsyracuse.com,website,dcole-director.gbh@verizon.net; gingerbread.finance@gmail.com; hoganjessica374@gmail.com; jriess.gbh@gmail.com; kathleen.lillis@yahoo.com; jessica.riess@thegingerbreadhouseofsyracuse.com
Apex Building Supply,http://apexbuildingsupply.com,OSM (fill),092091553,,,sales@apexbuildingsupply.com,none,sales@apexbuildingsupply.com
Syracuse Sweat Club,http://syracusesweatclub.com,OSM (fill),0231117,Head Coach,Owner,head@syracusesweatclub.com,website,info@crossfitsyracuse.com; info@syracusesweatclub.com; dan@syracusesweatclub.com; head@syracusesweatclub.com
Salt City Coffee,https://www.saltcitycoffee.com/pages/509-west-onondaga-street-syracuse-new-york,OSM (fill),09839257160761701785,Coffee Online,PARTNER,coffee.online@saltcitycoffee.com,website,hello@saltcitycoffee.com; billing@saltcitycoffee.com; coffee.online@saltcitycoffee.com
Northeast Community Center Library,http://www.onlib.org/locations/city-libraries/northeast-community-center-library,OSM (fill),044920225391,Additional Literacy,cto,additional@onlib.org,website,borrowbymail@onlib.org; bw-ocpl@eprintitsaas.com; color-ocpl@eprintitsaas.com; donotreply@eprintitsaas.com; reference@onlib.org; additional@onlib.org
St. Matthew's Church Food Pantry,https://www.townofdewitt.com/business_detail_T6_R74.php,OSM (fill),+60135620860,The Government,vize,the@townofdewitt.com,website,dewittinfo@townofdewitt.com; webpageupdate_subscribers@revize.com; the@townofdewitt.com
Pastabilities,https://www.pastabilities.com,OSM (fill),01420858332006,,,info@pastabilities.com,none,info@pastabilities.com
Syracuse Fire Department Credit Union,https://www.syrfirecu.com,OSM (fill),0100101,Roxane Bowering,CEO,roxane@syrfirecu.com,website,adelapaz@syrfirecu.com; cgreaves@syrfirecu.com; chughes@syrfirecu.com; hmahearn@syrfirecu.com; hminor@syrfirecu.com; lfaes@syrfirecu.com; lgibson@syrfirecu.com; mahearn@syrfirecu.com; memberservice@syrfirecu.com; pwylde@syrfirecu.com; reportscam@syrfirecu.com; roxane@syrfirecu.com; schawks@syrfirecu.com; scornell@syrfirecu.com; sharon@syrfirecu.com; shawks@syrfirecu.com; syrfirecusupervisory@gmail.com; tkadlubowski@syrfirecu.com; tonia@syrfirecu.com; vwilder@syrfirecu.com
Catholic Charities Diocese of Syracuse,https://www.ccsyrdio.org,OSM (fill),03469648,Lindsay Cronkright,Chief Executive Officer,lindsay.cronkright@ccsyrdio.org,website,jcallaghan@ccharityom.org; lindsay.cronkright@ccsyrdio.org
Miller Environmental Group,https://www.millerenv.com/locations/syracuse,OSM (fill),0260805,Industrial Cleaning,cto,industrial.cleaning@millerenv.com,website,info@millerenv.com; industrial.cleaning@millerenv.com
"Approved Credit Services, Inc.",http://www.approvedcreditny.com,OSM (fill),0260116,Willoughby Trustindex,cto,willoughby.trustindex@approvedcreditny.com,website,support@approvedcreditny.com; willoughby.trustindex@approvedcreditny.com
Van Duyn Center for Rehabilitation & Nursing,https://vanduyncenter.com,OSM (fill),0260724,,,media@vanduyncenter.com,none,media@vanduyncenter.com
Mirabito,https://www.mirabito.com/convenience-stores,OSM (fill),09349480,Mirabito Energy,partner,mirabito.energy@mirabito.com,website,marissa.sweeney@mirabito.com; mirabito.energy@mirabito.com
Onondaga Community College,https://www.sunyocc.edu,OSM (fill),011526367,Central New,partner,central@sunyocc.edu,website,occinfo@sunyocc.edu; occliverpool@sunyocc.edu; central@sunyocc.edu
Salt City Federal Credit Union,https://saltcityfcu.org/hours-locations,OSM (fill),0608126,Day Monday,President,day.monday@saltcityfcu.org,website,support@saltcityfcu.org; day.monday@saltcityfcu.org
Crouse Federal Credit Union,https://www.crousefcu.com,OSM (fill),01679506,Calculator Mortgage,Owner,calculator.mortgage@crousefcu.com,website,info@crousefcu.com; calculator.mortgage@crousefcu.com
Guitar Center,https://stores.guitarcenter.com/syracuse,OSM (fill),0101732,Fender Spe,cto,fender.spe@stores.guitarcenter.com,website,all-store-819-syracuse-retail-managers@guitarcenter.com; john.buffey@googlemail.com; fender.spe@stores.guitarcenter.com
Trillium Fitness Center,http://www.trilliumfit.com,OSM (fill),0554909,Barb St,Owner,barb@trilliumfit.com,website,memberservices@trilliumfit.com; barb@trilliumfit.com
United Auto Supply,http://www.unitedautosupply.com/eastsyracuse,OSM (fill),0299459189,,,rapid@unitedautosupply.com,none,rapid@unitedautosupply.com
Empire Freight Logistics,https://empirefreightlogistics.com,OSM (fill),0886701646,Transportation Modes,Team Member,transportation.modes@empirefreightlogistics.com,website,sales@empirefreightlogistics.com; transportation.modes@empirefreightlogistics.com
"Kitchen Express, Inc.",https://www.kitchenexp.com,OSM (fill),0251107,Central New,owner,central@kitchenexp.com,website,+mkqxlhl_s0rh@bq9vzcyoaj.gfmrn4k65wy-tdwo38ieftzegxuid7pbca2v1nupsj; scottmarvin@kitchenexp.com; sv_1q2bunmk8aax6tv49wpnts7dpedzmfr-yo@rq0u3ilccgloej.ibwgzfhjx5kyh; tmwegi-cq8jy4yuhrf_dcb09nsvpqpwi3+@h2j.kkmoblxlsvzenuo65afgr7a1dxzt; central@kitchenexp.com
Community Bank,https://cbna.com/locations/syracuse-hanover-square,OSM (fill),0220414135512,Chevron Nottingham,Partner,chevron.nottingham@cbna.com,website,info@communitybankna.com; ashly.blumer@cbna.com; corpcom@cbna.com; lekia.hill@cbna.com; ryan.mosack@cbna.com; chevron.nottingham@cbna.com
Mazella Court,https://www.eastwoodneighbor.com/mazcourt,OSM (fill),06623829,Skateboard Sessions,partner,skateboard.sessions@eastwoodneighbor.com,website,info@eastwoodneighbor.com; info@eastwoodrun.com; info@skateeastwood.com; skateboard.sessions@eastwoodneighbor.com
University United Methodist Church,https://uumcsyracuse.org,OSM (fill),0210702,Diaper Bank,partner,diaper@uumcsyracuse.org,website,office@uumcsyracuse.org; outreach@uumcsyracuse.org; pastor@uumcsyracuse.org; diaper@uumcsyracuse.org
Money Federal Credit Union,https://moneyfcu.org,OSM (fill),0251204,Business Account,owner,business@moneyfcu.org,website,info@moneyfcu.org; super@moneyfcu.org; business@moneyfcu.org
The Q Center at ACR Health,https://linktr.ee/qcenterny,OSM (fill),011856296014,Action We,partner,action.we@linktr.ee,website,faysal.bohmo@gmail.com; action.we@linktr.ee
University Chiropractic & Natural Healing,https://syracusenaturalhealing.com,OSM (fill),0666666666667,Issues Over,cto,issues.over@syracusenaturalhealing.com,website,universitychiropractic465@gmail.com; issues.over@syracusenaturalhealing.com
Rite Aid,http://www.riteaid.com/store-details?storeNumber=3424,OSM (fill),+18632709911,,,hello@riteaid.com,none,hello@riteaid.com
Syracuse Housing Authority,https://syracusehousing.org,OSM (fill),0100101,National Hous,President,national.hous@syracusehousing.org,website,ports@syrhousing.org; national.hous@syracusehousing.org
Cabinets To Go,https://cabinetstogo.com/pages/syracuse-ny-1,OSM (fill),019623510078,Cabinets To,Partner,cabinets@cabinetstogo.com,website,customercare@cabinetstogo.com; cabinets@cabinetstogo.com
Southwest Community Center,https://smnfswcc.org,OSM (fill),0250117,Syracuse Community,Chief Executive Officer,syracuse@smnfswcc.org,website,banthony@smnfswcc.org; dbradford@smnfswcc.org; jbennett@smnfswcc.org; mwoodworth@smnfswcc.org; receptionist@smnfswcc.org; tcorriders@smnfswcc.org; vhill@smnfswcc.org; syracuse@smnfswcc.org
Smith Interiors ltd Contemporary Furniture,https://www.smithinteriors.com,OSM (fill),07431240163049039117,Galaxy Communications,Vice President,galaxy.communications@smithinteriors.com,website,13214smithcontemporaryfurniture@gmail.com; cfnysocial@gmail.com; smithcontemporaryfurniture@gmail.com; galaxy.communications@smithinteriors.com
Optogenics,https://www.optogenics.com,OSM (fill),0655734065709,Symposium The,owner,symposium@optogenics.com,website,custsupport@optogenics.com; symposium@optogenics.com
Westcott Community Center,https://www.westcottcc.org,OSM (fill),0558952963,Employment Opportunities,Director,employment.opportunities@westcottcc.org,website,hello@ninzio.com; info@westcottcc.org; editor@ninzio.com; employment.opportunities@westcottcc.org
Margarita's Mexican Cantina,https://margaritasmexicancantina.com,OSM (fill),026080510,,,margaritassyracuse@gmail.com,none,margaritassyracuse@gmail.com
First Unitarian Universalist Society of Syracuse,https://firstuusyr.org,OSM (fill),0260806,Kathleen Bryce,partner,kathleen@firstuusyr.org,website,office@firstuusyr.org; dre@firstuusyr.org; musicdir@firstuusyr.org; revhammerhand@gmail.com; kathleen@firstuusyr.org
Visions Federal Credit Union,https://www.visionsfcu.org,OSM (fill),03274718,No Closing,Team Member,no@visionsfcu.org,website,businessservices@visionsfcu.org; no@visionsfcu.org
Collegian Hotel & Suites,https://www.wyndhamhotels.com/trademark/syracuse-new-york/collegian-hotel/overview,OSM (fill),+13154764212,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
New Hope Family Services,https://www.newhopefamilyservices.com,OSM (fill),054936319,New Hope,Partner,new.hope@newhopefamilyservices.com,website,info@newhopefamilyservices.com; new.hope@newhopefamilyservices.com
Home Traditions,https://www.home-traditions.com,OSM (fill),01257108,,,sspinell@home-traditions.com,none,sspinell@home-traditions.com
Ace Salt City Hardware,"https://www.acehardware.com/mystore/index.jsp?store=10733&saddr=43.009,-76.146%28%20%29&daddr=43.0289,-76.1114%28325%20Nottingham%20Rd%20Syracuse,%20NY%2013210%29",OSM (fill),05590438,Membership Number,owner,membership.number@acehardware.com,website,saltcityacehardware@gmail.com; membership.number@acehardware.com
Northeast Community Center,http://snccsyr.org,OSM (fill),070660031,Onondaga County,partner,onondaga.county@snccsyr.org,website,info@snccsyr.org; onondaga.county@snccsyr.org
Syracuse Office Environments,https://www.soesyr.com,OSM (fill),01320137,David Sweeney,Vice President,david@soesyr.com,website,cganley@soesyr.com; cstgermain@soesyr.com; ctreacy@soesyr.com; desantis@soesyr.com; dlobello@soesyr.com; eweller@soesyr.com; jdalbro@soesyr.com; jecker@soesyr.com; ksweeney@soesyr.com; mdykeman@soesyr.com; memmi@soesyr.com; misweeney@soesyr.com; pganley@soesyr.com; rconway@soesyr.com; sschmitz@soesyr.com; david@soesyr.com
Quarryside Animal Hospital,https://quarrysidevet.com,OSM (fill),0928251,Find Quality,Owner,find@quarrysidevet.com,website,petrecords@quarrysidevet.com; find@quarrysidevet.com
Elmcrest Childrens Center,https://elmcrest.org,OSM (fill),0260602,Marcus Gillespie,Chief Executive Officer,marcus@elmcrest.org,website,ashumpert@elmcrest.org; bmcinerney@elmcrest.org; ccrreferrals@elmcrest.org; cwild@elmcrest.org; dburns@elmcrest.org; dnappa@elmcrest.org; ezacholl@elmcrest.org; faysal.bohmo@gmail.com; hkelley@elmcrest.org; hweller@elmcrest.org; lbrown@elmcrest.org; managedcarereferrals@elmcrest.org; mgillespie@elmcrest.org; mking@elmcrest.org; pcasey@elmcrest.org; rjohnson@elmcrest.org; swebb@elmcrest.org; ttulowiecki@elmcrest.org; marcus@elmcrest.org
Kissane Water Conditioning Inc,https://www.kissanewater.com,OSM (fill),0100101,,,john@kissanewater.com,none,john@kissanewater.com; kissanewater@verizon.net
Price Rite,https://www.priceritemarketplace.com,OSM (fill),0937859,Free Milk,cto,free.milk@priceritemarketplace.com,website,000@wakefern.com; joe@commerce.com; free.milk@priceritemarketplace.com
Onondaga County Democratic Comittee,https://www.ocdemocrats.com,OSM (fill),01520153,Executive Director,director,executive@ocdemocrats.com,website,info@ocdemocrats.com; chair@ocdemocrats.com; executivedirector@ocdemocrats.com; executive@ocdemocrats.com
Bert's Bikes & Fitness,https://www.bertsbikes.com/about/dewitt-ny-pg1649.htm,OSM (fill),0522451,,,info@bertsbikes.com,none,info@bertsbikes.com
Adirondack Furniture,https://adirondackhomefurniture.com,OSM (fill),095047131491,Nationwide Marketing,Partner,nationwide.marketing@adirondackhomefurniture.com,website,adirondack13413@yahoo.com; nationwide.marketing@adirondackhomefurniture.com
Winnick Hillel Center For Jewish Life,https://www.syracusehillel.org,OSM (fill),04900491,Heather Morri,Director,heather.morri@syracusehillel.org,website,hrsmuckl@syr.edu; hillel@syr.edu; hmorri05@syr.edu; jijuni@syr.edu; jmstern@syr.edu; mlevy12@syr.edu; mrojtenb@syr.edu; rtzadok@syr.edu; heather.morri@syracusehillel.org
Fradon Lock Co. Inc.,https://www.fradonlock.com,OSM (fill),061654908,,,sales@fradonlock.com,none,sales@fradonlock.com
Nino's Italian Bakery,http://ninositalianbakeryofsyracuse.com,OSM (fill),0602121,,,nino@ninositalianbakeryofsyracuse.com,none,nino@ninositalianbakeryofsyracuse.com
