Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Parts Authority,https://partsauthority.com,OSM (fill),0250813093809,Clark Hale,Chief Executive Officer,clark@partsauthority.com,website,contactus@partsauthority.com; +az+85281+united+states@33.4563547; clark@partsauthority.com
AZ Endocrine Institute,https://azendocrineinstitute.com,OSM (fill),07335483,Advanced Practice,cto,advanced.practice@azendocrineinstitute.com,website,micah@micahrich.com; advanced.practice@azendocrineinstitute.com
CorePower Yoga,https://www.corepoweryoga.com/yoga-studios/arizona/tempe/tempeasu,OSM (fill),0415591615,Power Yoga,partner,power@corepoweryoga.com,website,corepoweryoga@azionepr.com; mediainquiries@corepoweryoga.com; partnerships@corepoweryoga.com; power@corepoweryoga.com
Muscle Factory,https://musclefactoryaz.com,OSM (fill),01520153,Accept Muscle,cto,accept.muscle@musclefactoryaz.com,website,info@musclefactoryaz.com; accept.muscle@musclefactoryaz.com
Woodlands Vegetarian South Indian Kitchen,http://woodlandsaz.com,OSM (fill),,,,info@woodlandsaz.com,none,info@woodlandsaz.com
Arizona Fire Medical Authority Fire Station 343,https://www.afma.az.gov/facilities#A12C6400-FE26-4142-8317-8C65FF2DB284,OSM (fill),0242029,Fire Code,cto,fire.code@afma.az.gov,website,info@afma.az.gov; fire.code@afma.az.gov
Blue Buddha Collective,https://ilovebluebuddha.com,OSM (fill),0250718,Amrit Desai,founder,amrit.desai@ilovebluebuddha.com,website,hello@ilovebluebuddha.com; amrit.desai@ilovebluebuddha.com
Carrabba's Italian Grill,https://www.carrabbas.com,OSM (fill),01703212236,Italian Grill,partner,italian.grill@carrabbas.com,website,carrabbasgiftcardsupport@buyatab.com; dinerewards@bloominbrands.com; giftcardteam@bloominbrands.com; u003ecarrabbasgiftcardsupport@buyatab.com; u003edinerewards@bloominbrands.com; u003egiftcardteam@bloominbrands.com; italian.grill@carrabbas.com
Iridium Communications Inc,https://www.iridium.com,OSM,0251218,Anywhere Accessories,Partner,anywhere.accessories@iridium.com,website,iridium.online@iridium.com; anywhere.accessories@iridium.com
OneAZ Credit Union,https://www.oneazcu.com/about/locations/tempe-southern-ave,OSM (fill),+18446632928,Are You,Owner,are@oneazcu.com,website,amontoy@oneazcu.com; bmello@oneazcu.com; bmorenzoni@oneazcu.com; cangulo@oneazcu.com; cdaniels@oneazcu.com; cgoodwin@oneazcu.com; cmanning@oneazcu.com; darrizon@oneazcu.com; omata@oneazcu.com; questions@oneazcu.com; sgunderman@oneazcu.com; tterkelsen@oneazcu.com; are@oneazcu.com
Body Focus Fitness & Performance,https://www.bodyfocusfitness.com,OSM (fill),0675283643313487,Kettlebell Instru,cto,kettlebell.instru@bodyfocusfitness.com,website,info@bodyfocusfitness.com; kettlebell.instru@bodyfocusfitness.com
East Valley Juniors Volleyball Club,https://www.evjvolleyball.com,OSM (fill),05805787,,,info@evjvolleyball.com,none,info@evjvolleyball.com
FS8,https://fs8.com/studio/downtowntempe,OSM (fill),0260106090549,Keep In,Team Member,keep.in@fs8.com,website,downtowntempe@fs8studio.com; keep.in@fs8.com
Cleveland Electric Laboritories,https://clevelandelectriclabs.com,OSM,07681434,Jack Lieske,President,jack.lieske@clevelandelectriclabs.com,website,sales@cel-atg.com; sales@cel-tcg.com; jack.lieske@clevelandelectriclabs.com
Mesquite,https://eatmesquite.com/tempe,OSM (fill),0260727,Academic Opportunity,partner,academic.opportunity@eatmesquite.com,website,info@eatmesquite.com; academic.opportunity@eatmesquite.com
RSP Architects,https://rsparch.com,OSM (fill),0260324,King Kinney,CEO,king.kinney@rsparch.com,website,dev.jain@alex-dg.com; ed.hess@rsparch.com; heidi.schmidt@rsparch.com; john.eckerman@rsparch.com; michael.carter@rsparch.com; michelle.matera@rsparch.com; phxmarketing@rsparch.com; rajan.battish@rsparch.com; king.kinney@rsparch.com
HonorHealth Tempe Medical Center,https://www.honorhealth.com/locations/hospitals/tempe-medical-center,OSM (fill),07845500,Locations Medical,cto,locations@honorhealth.com,website,foundation@honorhealth.com; honorhealthpricing@honorhealth.com; medicalrecordsnssc@honorhealth.com; patientrelations@honorhealth.com; volunteers@honorhealth.com; locations@honorhealth.com
Jeremiah's Italian Ice,https://jeremiahsice.com/locations/nw-chandler-az,OSM (fill),0230504190853,Italian Ice,founder,italian@jeremiahsice.com,website,devin@jeremiahsice.com; italian@jeremiahsice.com
PineTales,https://www.pinetales.com,OSM (fill),0457495441770627461,Health Care,cto,health.care@pinetales.com,website,support@pinetales.com; health.care@pinetales.com
F45 Training,https://f45training.com/studio/tempetownlake,OSM (fill),0230501055849,Head Trainer,Manager,head.trainer@f45training.com,website,tempetownlake.admin@f45training.com; tempetownlake@f45training.com; head.trainer@f45training.com
The Catering Kitchen,https://morningsqueeze.com/catering,OSM (fill),0250905,,,catering@webeggtodiffer.com,none,info@morningsqueeze.com; catering@webeggtodiffer.com
Arizona Community Church,https://www.azcc.org,OSM (fill),03029298556,New Mexico,founder,new@azcc.org,website,bmeiter@azcc.org; eventpostbanner@1.1; welcome@azcc.org; new@azcc.org
Bryan University,https://bryanuniversity.edu,OSM (fill),0260729,Bryan Newsroom,President,bryan.newsroom@bryanuniversity.edu,website,info@cahiim.org; support@bryanuniversity.edu; cmoeller@bryancollege.ca; bryan.newsroom@bryanuniversity.edu
Tempe Elementary School District,https://www.tempeschools.org,OSM (fill),01249181,Academic Achievement,partner,academic@tempeschools.org,website,careers@tempeschools.org; info@tempeschools.org; brittany.franklin@tempeschools.org; enrollment@tempeschools.org; monica.allread@tempeschools.org; studentrecords@tempeschools.org; academic@tempeschools.org
One Tribe Yoga and Wellness,https://onetribe.life,OSM (fill),0260729,,,behappy@onetribe.life,none,behappy@onetribe.life
