Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Holy Trinity Greek Orthodox Cathedral,https://www.holytrinitytoledo.com,OSM (fill),0260802,Food Olives,Director,food.olives@holytrinitytoledo.com,website,faysal.bohmo@gmail.com; food.olives@holytrinitytoledo.com
Grindhrs Coffee & Community,https://www.grindhrs.com,OSM (fill),0423301469,Grindhrs Coffee,owner,grindhrs.coffee@grindhrs.com,website,grindhrsco@hotmail.com; grindhrs.coffee@grindhrs.com
"37+ Highest Rated Information Technology Companies in Toledo, OH - Lensa",https://lensa.com/company/highest-rated-information-technology-companies-in-toledo-oh,DuckDuckGo,03253755,Lensa Job,partner,lensa.job@lensa.com,website,support@lensa.com; lensa.job@lensa.com
Super Fitness,https://superfitnesstoledo.com,OSM (fill),0260114,Page Welcome,cto,page.welcome@superfitnesstoledo.com,website,superfitness21@aol.com; page.welcome@superfitnesstoledo.com
Siena Center,https://www.sienaretreatcenter.org,OSM (fill),0260415,Christine Noelle,Director,christine@sienaretreatcenter.org,website,arrangements@sienaretreatcenter.org; canderson@sienaretreatcenter.org; cnoelle@sienaretreatcenter.org; dgiese@sienaretreatcenter.org; retreats@sienaretreatcenter.org; tfeest@sienaretreatcenter.org; vcurtiss@sienaretreatcenter.org; christine@sienaretreatcenter.org
Talbot Health Services,https://talbothealthservices.com,OSM (fill),0414838,Talbot Health,partner,talbot@talbothealthservices.com,website,clinic@talbothealthservices.com; talbot@talbothealthservices.com
Kengo Sushi & Yakitori,http://www.kengotoledo.com,OSM (fill),,,,kengotoledo@gmail.com,none,kengotoledo@gmail.com
The University of Toledo,https://www.utoledo.edu,OSM (fill),090620143553,James Hollaway,president,james@utoledo.edu,website,webmaster@utoledo.edu; james@utoledo.edu
Black Kite Coffee & Pies,http://www.blackkitecoffee.com,OSM (fill),095480862,Arts Commission,partner,arts@blackkitecoffee.com,website,thekite@blackkitecoffee.com; arts@blackkitecoffee.com
Rite Aid,https://www.riteaid.com/locations/oh/toledo/810-east-manhattan-blvd.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Toledo Metropolitan Area Council of Governments,https://tmacog.org,OSM (fill),0260410090215,Lake Erie,partner,lake@tmacog.org,website,ahsanullah@lakeeriewest.org; ahsanullah@tmacog.org; allen@lakeeriewest.org; bechstein@lakeeriewest.org; bookkeeper@lakeeriewest.org; cole@lakeeriewest.org; cole@tmacog.org; gedeon@lakeeriewest.org; gedeon@tmacog.org; gerwin@lakeeriewest.org; gerwin@tmacog.org; gonzalez@lakeeriewest.org; gonzalez@tmacog.org; hoelzle@lakeeriewest.org; hopfer@lakeeriewest.org; householder@lakeeriewest.org; householder@tmacog.org; kanjin@lakeeriewest.org; kirtland@lakeeriewest.org; kwarteng@lakeeriewest.org; mccauley@lakeeriewest.org; merrill@lakeeriewest.org; nagisetty@lakeeriewest.org; nagisetty@tmacog.org; nur@lakeeriewest.org; public.info@lakeeriewest.org; roehrig@lakeeriewest.org; roehrig@tmacog.org; sammon@lakeeriewest.org; snahoshchenko@lakeeriewest.org; spang@lakeeriewest.org; streiffert@lakeeriewest.org; lake@tmacog.org
Toledo Muslim Community Center,https://toledomcc.org,OSM (fill),01020103,,,wweeiihhuuaanngg@gmail.com,none,admin@toledomcc.org; wweeiihhuuaanngg@gmail.com
Top IT Services Companies in Toledo | 2026 - DesignRush,https://www.designrush.com/agency/it-services/ohio/toledo,DuckDuckGo,0833333333,As Jonathan,CEO,as@designrush.com,website,info@designrush.com; ildiko@designrush.com; jelena@designrush.com; maria.v@designrush.com; mariana@designrush.com; selina@designrush.com; spotlight@designrush.com; as@designrush.com
Toledo Club,https://www.toledoclub.org/athletics,OSM (fill),0182814,Fine Dining,Founder,fine@toledoclub.org,website,membership@toledoclub.org; sales@toledoclub.org; fine@toledoclub.org
Glass City Dog Park,https://glasscitydogpark.org,OSM (fill),,,,admin@glasscitydogpark.org,none,admin@glasscitydogpark.org
Toledo Water Conditioning,https://www.toledowater.com,OSM (fill),0260729,Behind Every,Owner,behind.every@toledowater.com,website,sales@toledowater.com; behind.every@toledowater.com
Off Contact Productions,http://www.offcontact.com,OSM (fill),0922439,,,solutions@offcontact.com,none,solutions@offcontact.com
Pro Toledo Locksmith,https://protoledolocksmith.com,OSM (fill),0260703,Don Acres,owner,don.acres@protoledolocksmith.com,website,info@protoledolocksmith.com; protoledolocksmith@gmail.com; don.acres@protoledolocksmith.com
Ottawa Park Amphitheater,https://www.ottawapark.org/amphitheater-ottawa-park-toledo.html,OSM (fill),0250327,,,officers@ottawapark.org,none,info@friendsofottawapark.org; officers@ottawapark.org; dawn.cousino@toledo.oh.gov; page1906@gmail.com; shawn.sobel@toledo.oh.gov; webmaster@ottawapark.org
Alpha Omega Gym,https://www.alphaomegagyms.com,OSM (fill),0260305,,,hello@alphaomegagyms.com,none,hello@alphaomegagyms.com
