Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Calaway Capital Management,http://www.callawaycm.com,OSM (fill),05462698010888,Cody Callaway,Team Member,cody@callawaycm.com,website,cody@callawaycm.com
Pfeifer Jones,https://pfeiferjones.com,OSM (fill),0663975131,Tulsa Luxiere,Partner,tulsa@pfeiferjones.com,website,aaron@pfeiferjones.com; bret@pfeiferjones.com; tulsa@pfeiferjones.com
Elite Dance,https://elitedancetulsa.com,OSM (fill),+19189493262,Artistic Director,Owner,artistic.director@elitedancetulsa.com,website,contact@elitedancetulsa.com; artistic.director@elitedancetulsa.com
Ranch Acres Wine & Spirits,https://www.ranchacreswine.com,OSM (fill),012899200,Ranch Acres,PARTNER,ranch.acres@ranchacreswine.com,website,erik@erikmcollins.com; ranch.acres@ranchacreswine.com
Ranch Acres Veterinary Hospital,http://www.ranchacresvet.net/index.html,OSM (fill),,William Cody,cto,william@ranchacresvet.net,website,drcody@ranchacresvet.net; ranchacresvet@gmail.com; william@ranchacresvet.net
Diversity Family Health,https://www.diversityfamilyhealth.com/tulsa,OSM (fill),09413118,Russell Rooms,Founder,russell.rooms@diversityfamilyhealth.com,website,info@diversityfamilyhealth.com; russell.rooms@diversityfamilyhealth.com
Crunch Fitness,https://www.crunch.com/locations/owasso,OSM (fill),0214519,Crunch Gym,Owner,crunch.gym@crunch.com,website,manager@crunchowasso.com; crunch.gym@crunch.com
Cherry Street Kitchen and Catering,https://www.cherrystkitchen.com,OSM (fill),,,,cherrystreetcatering@gmail.com,none,cherrystreetcatering@gmail.com
Margaritaville,https://www.margaritavilletulsa.com,OSM (fill),0951689278282,Riverside Parkway,partner,riverside.parkway@margaritavilletulsa.com,website,customerservice@margaritavilletulsa.com; sales@margaritavilletulsa.com; riverside.parkway@margaritavilletulsa.com
Orangetheory Fitness,https://www.orangetheory.com/en-us/locations/oklahoma/tulsa-north-brookside/1551-e-15th-st-suite-103,OSM (fill),0100301,Author Share,partner,author.share@orangetheory.com,website,studiomanager0803@orangetheoryfitness.com; author.share@orangetheory.com
Gigi's Kitchen,https://foodeist.com/place/gigiskitchen,OSM (fill),026021939,Foodeist Premium,Owner,foodeist.premium@foodeist.com,website,contact@foodeist.com; foodeist.premium@foodeist.com
Taekwon-Do Fitness Boxing,https://itfa.us,OSM (fill),0164636,Authentic Curriculum,founder,authentic@itfa.us,website,kmorrison@itfa.us; authentic@itfa.us
Jackson Technical,https://www.jacksontechnical.com,OSM,0154417372912625,,,help@jacksontechnical.com,none,info@jacksontechnical.com; help@jacksontechnical.com
Tulsa City-County Library Express,https://www.tulsalibrary.org/tccl-express,OSM (fill),014314087126,Annual Report,CEO,annual@tulsalibrary.org,website,askus@tulsalibrary.org; annual@tulsalibrary.org
Waxing the City,https://www.waxingthecity.com/locations/w291/us/ok/owasso,OSM (fill),0250723,Book Now,Partner,book.now@waxingthecity.com,website,mediainquiries@sebrands.com; book.now@waxingthecity.com
University of Oklahoma,https://www.ou.edu/tulsa,OSM (fill),0568418,Tulsa Link,cto,tulsa@ou.edu,website,brucker@ou.edu; tulsa@ou.edu
W Design,http://www.wdesignsite.com,OSM (fill),09165742182,Principal Roger,Founder,principal.roger@wdesignsite.com,website,info@wdesignsite.com; principal.roger@wdesignsite.com
Biergarten Wine & Spirits,https://www.biergartenjenks.com,OSM (fill),085458678,,,biergartenjenks@gmail.com,none,biergartenjenks@gmail.com
Animal Medical and Surgical Hospital East,https://amshpetvet.com,OSM (fill),0100101,Broken Arrow,Owner,broken.arrow@amshpetvet.com,website,info-ba@amshpetvet.com; info@amshpetvet.com; broken.arrow@amshpetvet.com
City Cycles,https://city-cycles.com,OSM (fill),0838685771704151740,The Crew,Team Member,the.crew@city-cycles.com,website,info@city-cycles.com; the.crew@city-cycles.com
University United Methodist Church,https://www.uumctulsa.org,OSM (fill),01520153,John Wesley,Founder,john.wesley@uumctulsa.org,website,office@uumctulsa.org; john.wesley@uumctulsa.org
Tour Quality Golf,https://www.tourqualitygolf.com,OSM (fill),0210923,Michael Newnam,cto,michael.newnam@tourqualitygolf.com,website,customerservice@tourqualitygolf.com; michael.newnam@tourqualitygolf.com
