Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
La Bella Italia,https://lbilaskin.com,OSM (fill),026080510,La Bella,founder,la.bella@lbilaskin.com,website,brady@steinys.com; la.bella@lbilaskin.com
Sorellas: An Italian Eatery,https://sorellasvb.com,OSM (fill),026080510,Shortrib Caprese,cto,shortrib.caprese@sorellasvb.com,website,sorellasvb@gmail.com; shortrib.caprese@sorellasvb.com
Performance Pilates,http://performancepilatesllc.com,OSM (fill),,Classical Pilates,cto,classical.pilates@performancepilatesllc.com,website,contact@performancepilatesllc.com; classical.pilates@performancepilatesllc.com
Navy Federal Credit Union,https://www.navyfederal.org/branches-atms/locations/usa/va/virginia-beach/vbv.html,OSM (fill),0811491,Business Membership,owner,business@navyfederal.org,website,invest@navyfederal.org; business@navyfederal.org
TQ-Systems USA,https://www.tq-group.com,OSM,0260609,Aviation Distributors,Partner,aviation.distributors@tq-group.com,website,info@tq-group.com; aviation.distributors@tq-group.com
Baladi Mediterranean Cafe,https://baladicafe.com,OSM (fill),092568792,Baladi Mediterranean,owner,baladi@baladicafe.com,website,baladi@baladicafe.com; job@baladicafe.com; techsupport@baladicafe.com
Hot Yoga,https://studio8hotyoga.com,OSM (fill),073347863,Classes Meet,Owner,classes.meet@studio8hotyoga.com,website,studio8hotyoga@gmail.com; classes.meet@studio8hotyoga.com
Mariscos Nayarit,https://mariscosnayaritva.com/index.html,OSM (fill),0112208,,,contact@mariscosnayaritva.com,none,contact@mariscosnayaritva.com
City of Virginia Beach,https://treasurer.virginiabeach.gov,OSM (fill),+17573854445,Real Estate,Owner,real.estate@treasurer.virginiabeach.gov,website,info@docupet.com; delqcoll@vbgov.com; payit@vbgov.com; restitution@vbgov.com; treasurercc@vbgov.com; vb311@vbgov.com; vbbk4you@vbgov.com; vbmisccollections4you@vbgov.com; vbpp4you@vbgov.com; vbpt4you@vbgov.com; vbre4you@vbgov.com; vbsodc4you@vbgov.com; vbstateandest4you@vbgov.com; vbtrust4you@vbgov.com; real.estate@treasurer.virginiabeach.gov
Lake Smith Nature Area,https://parks.virginiabeach.gov/outdoors/city-parks/lake-lawson-lake-smith-natural-area,OSM (fill),+17573851100,An Adult,Director,an.adult@parks.virginiabeach.gov,website,fun@vbgov.com; vb311@vbgov.com; an.adult@parks.virginiabeach.gov
EQUI-KIDS Therapeutic Riding Program,https://www.equikids.org,OSM (fill),0260619,Beach Commercial,President,beach.commercial@equikids.org,website,information@equikids.org; eileen.garcia@equikids.org; beach.commercial@equikids.org
Rocket Title,http://rockettitle.com,OSM (fill),0202949,At Rocket,partner,at@rockettitle.com,website,orders@rockettitle.com; at@rockettitle.com
Tri-Tronics Ltd,https://www.tri-tronicsltd.com,OSM (fill),01520153,North Carolina,founder,north.carolina@tri-tronicsltd.com,website,info@tri-tronicsltd.com; sales@tri-tronicsltd.com; north.carolina@tri-tronicsltd.com
Workout Anytime,https://workoutanytime.com/location/virginiabeach,OSM (fill),0260713,American Cancer,CEO,american@workoutanytime.com,website,workout-anytime-virginia-beach@email.gymsales.net; virginiabeach@workoutanytime.com; american@workoutanytime.com
Whiskey Kitchen,https://thewhiskeykitchen.com,OSM (fill),0797877,,,keith@thewhiskeykitchen.com,none,info@thewhiskeykitchen.com; keith@thewhiskeykitchen.com
Driftwood Kitchen,https://www.driftwoodkitchenvb.com,OSM (fill),026080511,Book Table,head of,book@driftwoodkitchenvb.com,website,troyboyd@driftwoodkitchenvb.com; book@driftwoodkitchenvb.com
Trails of Purpose,https://www.trailsofpurpose.com,OSM (fill),0945232,Kayla Fallon,Co-Founder,kayla.fallon@trailsofpurpose.com,website,info@trailsofpurpose.com; kayla.fallon@trailsofpurpose.com
F45 Training,https://f45training.com/kingsgrant/home,OSM (fill),0230501055849,Bree Dinsdale,cto,bree.dinsdale@f45training.com,website,kingsgrant.admin@f45training.com; kingsgrant@f45training.com; bree.dinsdale@f45training.com
Republican Party of Virginia Beach,https://rpvb.org,OSM (fill),020260707,Operations Chair,Manager,operations.chair@rpvb.org,website,info@rpvb.org; operations.chair@rpvb.org
Anytime Fitness,https://www.anytimefitness.com/gyms/3337/virginia-beach-va-23456,OSM (fill),0611448,Gibbs Owner,owner,gibbs.owner@anytimefitness.com,website,customercare@abcfitness.com; mediainquiries@sebrands.com; member.solutions@sebrands.com; virginiabeachva7@anytimefitness.com; gibbs.owner@anytimefitness.com
Rock Box Fitness,https://www.rockboxfitness.com/virginia-beach,OSM (fill),0260716,August September,cto,august@rockboxfitness.com,website,virginiabeach@rockboxfitness.com; august@rockboxfitness.com
Camp Baker Boy Scout Camp,https://campreservation.com/596/Camps/503,OSM (fill),0231125,Associated General,cto,associated.general@campreservation.com,website,mustangron@aol.com; ranger@pipsicobsa.com; associated.general@campreservation.com
Atlantic Wildfowl Heritage Museum,https://www.awhm.org,OSM (fill),0160316,Witt Cottage,Partner,witt@awhm.org,website,director@awhm.org; witt@awhm.org
Atlas Wellness & MMA,https://atlas-vb.com,OSM (fill),0260406,Coach Chuck,co-founder,coach@atlas-vb.com,website,info@atlas-vb.com; chuck@atlas-vb.com; sarah@atlas-vb.com; coach@atlas-vb.com
Acredale Animal Hospital,https://acredaleanimalhospital.com,OSM (fill),032645322,Qs Pet,Owner,qs.pet@acredaleanimalhospital.com,website,aahreception@gmail.com; qs.pet@acredaleanimalhospital.com
Reginella's Italian Ristorante,https://reginellas.com,OSM (fill),047399291,,,eben@eyebytes.com,none,eben@eyebytes.com; hi@typemade.mx
Coastal Virginia Unitarian Universalist,https://c-vuu.org,OSM (fill),0180625,Officer Kerry,Vice President,officer@c-vuu.org,website,office@c-vuu.org; ciganeks@gmail.com; comm-coordinator@c-vuu.org; dlfd@c-vuu.org; event@c-vuu.org; lilismith13@gmail.com; music-director@c-vuu.org; officer@c-vuu.org
INIT Innovations in Transportation Inc.,https://www.initusa.com,OSM,0465200,Orange County,partner,orange.county@initusa.com,website,info@initse.com; orange.county@initusa.com
Kimberly Hitchman - State Farm Insurance Agent,https://www.insurewithkimberly.biz,OSM (fill),0260805,Condo Renters,owner,condo.renters@insurewithkimberly.biz,website,team@keen.io; adam.kasprowicz@keen.io; alex@keen.io; dariusz.lacheta@keen.io; dustin@keen.io; eric@keen.io; joe@keen.io; condo.renters@insurewithkimberly.biz
Crunch Fitness - Chimney Hill,http://www.crunch.com/locations/chimney-hill,OSM (fill),0214519,Crunch Gym,Owner,crunch.gym@crunch.com,website,info@crunchchimneyhill.com; crunch.gym@crunch.com
Decisions,https://decisions.com,OSM (fill),02934042,Giles Whiting,Chief Executive Officer,giles.whiting@decisions.com,website,media@decisions.com; sales@decisions.com; giles.whiting@decisions.com
The Sitter,https://thesittervb.com,OSM (fill),0932429,Phyllis Coleman,founder,phyllis.coleman@thesittervb.com,website,sitterinc@verizon.net; phyllis.coleman@thesittervb.com
The Little Gym,https://www.thelittlegym.com/virginia-chesapeake,OSM (fill),0100101,Robin Wes,founder,robin@thelittlegym.com,website,tlgchesapeakeva@thelittlegym.com; robin@thelittlegym.com
Drop Box Fitness,https://www.dropboxcrossfit.com,OSM (fill),01520153,,,dropboxcrossfit@gmail.com,none,dropboxcrossfit@gmail.com
OneLife Fitness,https://www.onelifefitness.com/gyms/va-beach-blvd,OSM (fill),0838131941781018594,Cardio Cinema,Team Member,cardio.cinema@onelifefitness.com,website,memberservices@onelifefitness.com; vabeach.blvd@onelifefitness.com; cardio.cinema@onelifefitness.com
Beach Pet Hospital,https://www.beachpet.com,OSM (fill),0184605,New Pet,Owner,new.pet@beachpet.com,website,info@beachpet.com; new.pet@beachpet.com
"G2 Ops, Inc.",https://g2-ops.com,OSM (fill),0260731,Executive Officer,CEO,executive.officer@g2-ops.com,website,info@g2-ops.com; executive.officer@g2-ops.com
LFT Gym VB,https://www.lftvb.com,OSM (fill),0182814,Favorite Gym,Founder,favorite@lftvb.com,website,kelli@lftvb.com; favorite@lftvb.com
Langley Federal Credit Union,https://www.langleyfcu.org,OSM (fill),0250213,Announces New,CEO,announces.new@langleyfcu.org,website,amber.marois@ampf.com; bonnie.blaylock@ampf.com; corey.watson@ampf.com; frank.nickey@ampf.com; justin.a.king@ampf.com; najib.khan@ampf.com; announces.new@langleyfcu.org
USA Ninja Challenge,https://ninjagreenbrier.com,OSM (fill),+19782281033,,,info@usaninjachallenge.com,none,info@usaninjachallenge.com
Courthouse Community UMC,https://ccumc.net,OSM (fill),0260729,Coleman Youth,Director,coleman@ccumc.net,website,betha@ccumc.net; ccpadirector@ccumc.net; cindymusic01@gmail.com; donnas@ccumc.net; donnlee@ccumc.net; ginal@ccumc.net; jennk@ccumc.net; jerri.peake@cox.net; laurar@ccumc.net; mikec@ccumc.net; pastor@ccumc.net; wendyd@ccumc.net; coleman@ccumc.net
Boil Bay Seafood City,https://www.boilbay.com,OSM (fill),07624607580160,Cajun Fried,Team Member,cajun.fried@boilbay.com,website,faysal.bohmo@gmail.com; cajun.fried@boilbay.com
Back Bay National Wildlife Refuge Visitor Contact Station,https://www.fws.gov/backbay,OSM (fill),04235062199,Banking Conservation,owner,banking.conservation@fws.gov,website,info@fws.gov; banking.conservation@fws.gov
Pilates-4-Virginia Beach,https://www.pilates-4.com/classes,OSM (fill),0270676791,Apprenticeship Rates,cto,apprenticeship.rates@pilates-4.com,website,pilates4vb@gmail.com; apprenticeship.rates@pilates-4.com
First Landing State Park Campground,https://www.dcr.virginia.gov/state-parks/first-landing#cabins_camping,OSM (fill),03299922332,Conservation Corps,Partner,conservation@dcr.virginia.gov,website,dam@dcr.virginia.gov; environmentaleducation@dcr.virginia.gov; firstlanding@dcr.virginia.gov; flood.resilience@dcr.virginia.gov; floodplainmgmt@dcr.virginia.gov; landcon@dcr.virginia.gov; nhadmin@dcr.virginia.gov; pcmo@dcr.virginia.gov; planningresources@dcr.virginia.gov; pslechief@dcr.virginia.gov; resvs@dcr.virginia.gov; vastateparks@dcr.virginia.gov; web@dcr.virginia.gov; conservation@dcr.virginia.gov
Torch Yoga,https://www.torchyogastudio.com,OSM (fill),01520153,Lead Instructor,Owner,lead@torchyogastudio.com,website,info@torchyogastudio.com; jess@torchyogastudio.com; lead@torchyogastudio.com
United Motorsports,https://www.unitedmotorsva.com,OSM (fill),08424651,,,adilb1281@gmail.com,none,adilb1281@gmail.com
Thoroughgood House Visitor Center,https://vbmuseums.org/museums/thoroughgood-house,OSM (fill),+17573855400,The Interpretive,partner,the.interpretive@vbmuseums.org,website,artsinfo@vbgov.com; cdye@vbgov.com; vbhistory@vbgov.com; vbhistoryevents@vbgov.com; volunteervbhm@vbgov.com; the.interpretive@vbmuseums.org
Mary Delk Pilates & Fitness,https://www.marydelkpilatesandfitness.com,OSM (fill),02173100,Mary Delk,FOUNDER,mary.delk@marydelkpilatesandfitness.com,website,marydelk4@gmail.com; marydelk4@gmail.con; mary.delk@marydelkpilatesandfitness.com
Virginia Beach KOA Holiday,https://koa.com/campgrounds/virginia-beach/#campgroundFooter,OSM (fill),055276839,Gift Cards,Partner,gift@koa.com,website,virginiabeach@koa.com; gift@koa.com
Northwest River Park Campground,https://www.cityofchesapeake.net/562/Camping-Cabins-Rentals,OSM (fill),0275272,Street Closure,Owner,street@cityofchesapeake.net,website,contactprt@cityofchesapeake.net; citymanager@cityofchesapeake.net; council@cityofchesapeake.net; street@cityofchesapeake.net
Little Creek Branch Norfolk Public Library,https://www.norfolk.gov/facilities/Facility/Details/126,OSM (fill),+564057312819,Application Process,Director,application.process@norfolk.gov,website,recruit@norfolk.gov; testold@domain.org; application.process@norfolk.gov
La Quinta Inn & Suites Norfolk Airport,https://www.wyndhamhotels.com/laquinta/norfolk-virginia/la-quinta-inn-and-suites-norfolk/overview,OSM (fill),+17574667001,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Rite Aid,https://www.riteaid.com/locations/va/virginia-beach/5232-fairfield-shopping-center.html,OSM (fill),+18632709911,Autoimmune Screen,cto,autoimmune.screen@riteaid.com,website,hello@riteaid.com; autoimmune.screen@riteaid.com
Dash Fit,https://dashfitonline.com,OSM (fill),0100101,,,dashfit@aol.com,none,dashfit@aol.com
ECPI University,https://www.ecpi.edu/locations/virginia-beach-virginia,OSM (fill),069101981,Education Accreditation,President,education@ecpi.edu,website,getstarted@ecpi.edu; education@ecpi.edu
"Virginia Beach City Government, Building #30",https://virginiabeach.gov,OSM (fill),06303418,City Manager,manager,city.manager@virginiabeach.gov,website,vb311@vbgov.com; city.manager@virginiabeach.gov
