Company Name,Website,Source,Phone Number,Contact Person,Contact Title,Contact Email,Founder Source,All Emails Found
Beta Theta Pi - Wichita State University,https://wichita.beta.org,OSM (fill),0662219,Calendar Attend,Director,calendar.attend@wichita.beta.org,website,beta@beta.org; calendar.attend@wichita.beta.org
Computer Troubleshooters,https://www.technology-solved.com/wichita-ks,OSM,0240307,Computer Troubleshooters,Owner,computer.troubleshooters@technology-solved.com,website,ctadmin@ctwichita.com; computer.troubleshooters@technology-solved.com
Wichita State University - Lowell D Holmes Museum of Anthropology,https://www.wichita.edu/museums/holmes/index.php,OSM (fill),02603171737,Gaha President,CEO,gaha.president@wichita.edu,website,ad@goshockers.com; ali.gordon@wichita.edu; andy.schlapp@wichita.edu; ashlie.jack@wichita.edu; brent.mai@wichita.edu; coleen.pugh@wichita.edu; david.miller@wichita.edu; david.wright@wichita.edu; gabriel.fonseca@wichita.edu; gregory.hand@wichita.edu; holmes.museum@wichita.edu; jamarco.clark@wichita.edu; jennifer.friend@wichita.edu; jeremy.patterson@wichita.edu; kimberly.engber@wichita.edu; larisa.genin@wichita.edu; laura.manning@wichita.edu; marie.bukowski@wichita.edu; monica.lounsbery@wichita.edu; operator@wichita.edu; president@wichita.edu; sarahbeth.estes@wichita.edu; sga.president@wichita.edu; shelly.coleman-martins@wichita.edu; sheree.utash@wichita.edu; stacia.boden@wichita.edu; telly.mcgaha@wichita.edu; vicki.whisenhant@wichita.edu; victoria.koop@wichita.edu; zachary.gearhart@wichita.edu; gaha.president@wichita.edu
Flight Safety Textron Wichita East Learning Center,https://www.flightsafety.com,OSM (fill),0260506,Ben Carter,Chief Executive Officer,ben@flightsafety.com,website,support.flightbag@flightsafety.com; askhr@flightsafety.com; bddefense@flightsafety.com; elearning@flightsafety.com; fsipress@apcoworldwide.com; mfs-support@flightsafety.com; ben@flightsafety.com
D & R Tender Loving Care Home Health Services,https://www.dandrtenderlovingcare.com,OSM (fill),0220610,Survey We,cto,survey.we@dandrtenderlovingcare.com,website,drtlchome@gmail.com; survey.we@dandrtenderlovingcare.com
White Crow Cider Company,https://www.whitecrowcider.com,OSM (fill),0192020,Cider Maker,Co-founder,cider.maker@whitecrowcider.com,website,contact@whitecrowcider.com; cider.maker@whitecrowcider.com
Ribbit Computers,https://ribbitcomputers.com,OSM,0520636,Service Appointments,Team Member,service.appointments@ribbitcomputers.com,website,support@ribbitcomputers.com; kadenmillerwebdesign@gmail.com; service.appointments@ribbitcomputers.com
Adelitas Coffee Co,https://www.adelitascoffeeco.com,OSM (fill),04399883,Follow Along,Team Member,follow@adelitascoffeeco.com,website,info@adelitascoffeeco.com; wholesale@adelitascoffeeco.com; follow@adelitascoffeeco.com
Sunflower State Vital Care,https://www.sunflowerstatevc.com,OSM (fill),03700377,Chad Ullom,Director,chad@sunflowerstatevc.com,website,info@sunflowerstatevc.com; wichitapharmacy@sunflowerstatevc.com; chad@sunflowerstatevc.com
Haysville Community Library,http://www.haysvillecommunitylibrary.org,OSM (fill),0120501,,,haysvillecommunitylibrary@gmail.com,none,haysvillecommunitylibrary@gmail.com; u003chaysvillecommunitylibrary@gmail.com
Institute for Restorative Health,https://instituteforrestorativehealth.com,OSM (fill),0220921,Method Meet,Founder,method.meet@instituteforrestorativehealth.com,website,hello@irestorehealth.com; method.meet@instituteforrestorativehealth.com
Days Inn & Suites Wichita,https://www.wyndhamhotels.com/days-inn/wichita-kansas/days-inn-and-suites-wichita/overview,OSM (fill),031310313,Answer Security,partner,answer.security@wyndhamhotels.com,website,accessibility@wyndham.com; answer.security@wyndhamhotels.com
Wichita Furniture & Mattress Superstore,https://www.wichitafurniture.com,OSM (fill),0130790,Furniture On,cto,furniture@wichitafurniture.com,website,esales@wichitafurniture.com; furniture@wichitafurniture.com
Camber Wichita - Children's Mental Health Hospital,https://www.cambermentalhealth.org/locations/wichita,OSM (fill),0260410,Alternative Program,partner,alternative.program@cambermentalhealth.org,website,alarin@cambermh.org; ckeener@cambermh.org; cmcmedicalrecords@cmcmh.org; pasalas@cambermh.org; alternative.program@cambermentalhealth.org
Rush Truck Centers – Wichita,https://www.rushtruckcenters.com/locations/26040000-wichita,OSM (fill),0812958043,Autocar Terminal,cto,autocar.terminal@rushtruckcenters.com,website,coblec@rushenterprises.com; kirboa@rushenterprises.com; leads@rushenterprises.com; pryorm@rushenterprises.com; rushcare@rushenterprises.com; wolfd1@rushenterprises.com; autocar.terminal@rushtruckcenters.com
La Vie Bohème Apothecary and Curiosity Shoppe,http://www.laviebohemeict.com,OSM (fill),0649150187028,,,laviebohemeict@gmail.com,none,laviebohemeict@gmail.com
Wichita Community Theatre,https://www.wichitact.org,OSM (fill),02174924,Click Here,Director,click.here@wichitact.org,website,wichitact@gmail.com; click.here@wichitact.org
Youth Horizons,https://youthhorizons.net,OSM (fill),0260629,Event Support,CEO,event.support@youthhorizons.net,website,pbagnpg@lbhguubevmbaf.arg; event.support@youthhorizons.net
Maize City Hall,https://cityofmaize.org,OSM (fill),02509291106110,Arts District,Director,arts.district@cityofmaize.org,website,citymanager@test.gov; test@test.gov; webpageupdate_subscribers@revize.com; arts.district@cityofmaize.org
Valley Center USD 262 Office,https://usd262.net,OSM (fill),0150331,Academic Affairs,Director,academic.affairs@usd262.net,website,jamie.lewis@usd262.net; usd262.net_b07qmrijq7dq09a7s93u4qq7u0@group.calendar.google.com; usd262.net_cv9dc6dh1q8qlbbvi7s73d48jc@group.calendar.google.com; usd262.net_gbnit3eupg1cnvt8488nda29ac@group.calendar.google.com; usd262.net_i3h77955pbqve63nsfkuam6qag@group.calendar.google.com; usd262.net_ovokkmfeut896clid41s7lqavk@group.calendar.google.com; academic.affairs@usd262.net
